,회사명,거래소코드,회계년도,이자보상배율
0,(주)CMG제약,58820,2000/12,11111111.11
1,(주)CMG제약,58820,2001/12,1.03
2,(주)CMG제약,58820,2002/12,-9.99
3,(주)CMG제약,58820,2003/12,-3.37
4,(주)CMG제약,58820,2004/12,-22.92
5,(주)CMG제약,58820,2005/12,-13.4
6,(주)CMG제약,58820,2006/12,-14.08
7,(주)CMG제약,58820,2007/12,999999999.0
8,(주)CMG제약,58820,2008/12,-5.05
9,(주)CMG제약,58820,2009/12,-8.29
10,(주)CMG제약,58820,2010/12,-7.42
11,(주)CMG제약,58820,2011/12,3.53
12,(주)CMG제약,58820,2012/12,-7.75
13,(주)CMG제약,58820,2013/12,0.7
14,(주)CMG제약,58820,2014/12,3.6
15,(주)CMG제약,58820,2015/12,-32.22
16,(주)CMG제약,58820,2016/12,999999999.0
17,(주)CMG제약,58820,2017/12,999999999.0
18,(주)CMG제약,58820,2018/12,999999999.0
19,(주)CMG제약,58820,2019/12,303.0
20,(주)DB하이텍,990,2000/12,1.01
21,(주)DB하이텍,990,2001/12,1.37
22,(주)DB하이텍,990,2002/12,1.5
23,(주)DB하이텍,990,2003/12,1.27
24,(주)DB하이텍,990,2004/12,2.94
25,(주)DB하이텍,990,2005/12,1.01
26,(주)DB하이텍,990,2006/12,0.56
27,(주)DB하이텍,990,2007/12,-0.27
28,(주)DB하이텍,990,2008/12,0.18
29,(주)DB하이텍,990,2009/12,-0.77
30,(주)DB하이텍,990,2010/12,-3.82
31,(주)DB하이텍,990,2011/12,-0.75
32,(주)DB하이텍,990,2012/12,-0.31
33,(주)DB하이텍,990,2013/12,-0.16
34,(주)DB하이텍,990,2014/12,0.67
35,(주)DB하이텍,990,2015/12,2.5
36,(주)DB하이텍,990,2016/12,4.41
37,(주)DB하이텍,990,2017/12,6.05
38,(주)DB하이텍,990,2018/12,6.77
39,(주)DB하이텍,990,2019/12,13.44
40,(주)ES큐브,50120,2001/06,11111111.11
41,(주)ES큐브,50120,2002/06,4.0
42,(주)ES큐브,50120,2003/06,2.24
43,(주)ES큐브,50120,2004/06,1.66
44,(주)ES큐브,50120,2005/12,-4.77
45,(주)ES큐브,50120,2006/12,-6.0
46,(주)ES큐브,50120,2007/12,-25.03
47,(주)ES큐브,50120,2008/12,-35.62
48,(주)ES큐브,50120,2009/12,10.3
49,(주)ES큐브,50120,2010/12,-7.12
50,(주)ES큐브,50120,2011/12,-245.99
51,(주)ES큐브,50120,2012/12,1.72
52,(주)ES큐브,50120,2013/12,-37.44
53,(주)ES큐브,50120,2014/12,22.2
54,(주)ES큐브,50120,2015/12,-11.86
55,(주)ES큐브,50120,2016/12,8.98
56,(주)ES큐브,50120,2017/12,2.86
57,(주)ES큐브,50120,2018/12,-0.82
58,(주)ES큐브,50120,2019/12,-0.68
59,(주)HJ중공업,97230,2007/12,11111111.11
60,(주)HJ중공업,97230,2008/12,3.39
61,(주)HJ중공업,97230,2009/12,2.07
62,(주)HJ중공업,97230,2010/12,0.54
63,(주)HJ중공업,97230,2011/12,0.55
64,(주)HJ중공업,97230,2012/12,0.27
65,(주)HJ중공업,97230,2013/12,-0.4
66,(주)HJ중공업,97230,2014/12,-0.88
