,회사명,회계년도,[제조]영업이익증가율,[제조]재고자산증가율,[제조]자기자본증가율,[제조]매출액증가율,[제조]매출액총이익률,[제조]부가가치율,[제조]노동소득분배율,이자보상배율(이자비용),이자보상배율(이자비용)(IFRS연결),이자보상배율
0,(주)CMG제약,2000/12,,,,,,,,4.996818750162807,77777777.77,4.996818750162807
1,(주)CMG제약,2001/12,0.0,0.0,0.0,0.0,5.53,11.57,65.34,1.0320245975865725,77777777.77,1.0320245975865725
2,(주)CMG제약,2002/12,0.0,-39.91,-25.65,66.81,-10.12,0.46,2111.99,-9.989502830388664,77777777.77,-9.989502830388664
3,(주)CMG제약,2003/12,0.0,-11.75,-1.55,-34.12,0.7,10.69,63.75,-3.368570986334891,77777777.77,-3.368570986334891
4,(주)CMG제약,2004/12,0.0,-53.72,-60.2,-24.76,-14.51,-15.02,0.0,-22.923709375201913,77777777.77,-22.923709375201913
5,(주)CMG제약,2005/12,0.0,-93.53,33.56,-68.0,-26.71,-44.87,0.0,-13.40481501888111,77777777.77,-13.40481501888111
6,(주)CMG제약,2006/12,0.0,0.0,106.42,-20.58,3.74,-78.95,0.0,-14.082157222076779,77777777.77,-14.082157222076779
7,(주)CMG제약,2007/12,0.0,0.0,193.28,-45.98,17.48,-20.72,0.0,-inf,77777777.77,11111111.11
8,(주)CMG제약,2008/12,0.0,445.64,19.57,501.81,36.6,-8.5,0.0,-5.0521699440264145,77777777.77,-5.0521699440264145
9,(주)CMG제약,2009/12,0.0,42.07,-61.98,-6.12,24.33,-113.66,0.0,-8.285655441690087,77777777.77,-8.285655441690087
10,(주)CMG제약,2010/12,0.0,18.7,82.1,11.86,23.74,-3.98,0.0,-7.334933993675439,77777777.77,-7.334933993675439
11,(주)CMG제약,2011/12,0.0,-4.87,6.72,56.4,41.83,21.37,82.14,3.8504332870278493,3.438821635686093,3.438821635686093
12,(주)CMG제약,2012/12,0.0,7.73,72.78,-8.43,28.34,-6.82,0.0,-7.451259946949602,-7.746653035661656,-7.746653035661656
13,(주)CMG제약,2013/12,0.0,56.29,55.2,25.02,38.46,25.72,59.94,0.725508113319215,0.6976873373165071,0.6976873373165071
14,(주)CMG제약,2014/12,-45.78,6.37,0.04,11.96,37.07,24.25,65.41,3.6308857049820906,3.600797785737545,3.600797785737545
15,(주)CMG제약,2015/12,0.0,11.04,-4.47,18.85,36.26,10.49,149.88,-32.20440936991106,-32.220568708505574,-32.220568708505574
16,(주)CMG제약,2016/12,0.0,17.2,115.71,21.92,40.36,27.66,55.3,inf,inf,11111111.11
17,(주)CMG제약,2017/12,-9.95,23.63,-3.13,25.98,43.43,27.63,60.08,inf,inf,11111111.11
18,(주)CMG제약,2018/12,64.75,8.45,6.16,20.05,45.6,29.59,58.86,inf,inf,11111111.11
19,(주)CMG제약,2019/12,1.4,5.56,73.26,17.56,49.34,29.37,64.84,303.01105551029906,303.01105551029906,303.01105551029906
20,(주)DB하이텍,2000/12,13.65,-3.39,0.5,44.94,24.39,16.29,34.82,1.0058945781956845,1.019041480563966,1.019041480563966
21,(주)DB하이텍,2001/12,11.98,-4.56,1.34,-2.38,23.64,14.47,37.11,1.3684854524180372,1.426702039088235,1.426702039088235
22,(주)DB하이텍,2002/12,-7.27,7.18,2.07,-6.29,18.61,17.66,38.19,1.5042577594827575,1.5652596226714424,1.5652596226714424
23,(주)DB하이텍,2003/12,-21.03,0.13,7.45,7.11,16.41,14.67,40.34,1.268837357286621,77777777.77,1.268837357286621
24,(주)DB하이텍,2004/12,116.51,47.18,16.45,34.37,18.96,13.92,32.13,2.935227941909811,2.850758019584263,2.850758019584263
25,(주)DB하이텍,2005/12,-63.29,-2.51,7.09,7.85,14.18,10.35,47.17,1.006710224354559,1.006487565588481,1.006487565588481
26,(주)DB하이텍,2006/12,-37.29,-23.47,0.44,-6.83,14.13,11.38,48.75,0.560050598875806,0.5996090239130912,0.5996090239130912
27,(주)DB하이텍,2007/12,0.0,62.0,119.52,27.82,15.75,26.58,11.91,-0.12172907845407283,-0.27476048238046474,-0.27476048238046474
