,회사명,거래소코드,회계년도,이자보상배율
0,(주)DB하이텍,990,11-Dec,-0.75
1,(주)DB하이텍,990,12-Dec,-0.31
2,(주)DB하이텍,990,13-Dec,-0.16
3,(주)DB하이텍,990,14-Dec,0.67
4,(주)DB하이텍,990,15-Dec,2.5
5,(주)DB하이텍,990,16-Dec,4.41
6,(주)DB하이텍,990,17-Dec,6.05
7,(주)DB하이텍,990,18-Dec,6.77
8,(주)DB하이텍,990,19-Dec,13.44
9,(주)HJ중공업,97230,11-Dec,0.55
10,(주)HJ중공업,97230,12-Dec,0.27
11,(주)HJ중공업,97230,13-Dec,-0.4
12,(주)HJ중공업,97230,14-Dec,-0.88
13,(주)HJ중공업,97230,15-Dec,-0.5
14,(주)HJ중공업,97230,16-Dec,-0.58
15,(주)HJ중공업,97230,17-Dec,-1.08
16,(주)HJ중공업,97230,18-Dec,0.62
17,(주)HJ중공업,97230,19-Dec,0.69
18,(주)ST,11810,11-Dec,1.66
19,(주)ST,11810,12-Dec,-3.12
20,(주)ST,11810,13-Dec,-10.71
21,(주)ST,11810,14-Dec,0.76
22,(주)ST,11810,15-Dec,-0.84
23,(주)ST,11810,16-Dec,-0.91
24,(주)ST,11810,17-Dec,2.02
25,(주)ST,11810,18-Dec,-1.12
26,(주)ST,11810,19-Dec,0.11
27,(주)강스템바이오텍,217730,15-Dec,-5.41
28,(주)강스템바이오텍,217730,16-Dec,-18.89
29,(주)강스템바이오텍,217730,17-Dec,-8.15
30,(주)강스템바이오텍,217730,18-Dec,-12.31
31,(주)강스템바이오텍,217730,19-Dec,-21.5
32,(주)강원에너지,114190,11-Nov,393.9
33,(주)강원에너지,114190,12-Dec,58.37
34,(주)강원에너지,114190,13-Dec,18.11
35,(주)강원에너지,114190,14-Dec,39.01
36,(주)강원에너지,114190,15-Dec,187.51
37,(주)강원에너지,114190,16-Dec,-241.54
38,(주)강원에너지,114190,17-Dec,-26.56
39,(주)강원에너지,114190,18-Dec,0.2
40,(주)강원에너지,114190,19-Dec,-8.38
41,(주)갤럭시아에스엠,11420,11-Dec,6.31
42,(주)갤럭시아에스엠,11420,12-Dec,3.79
43,(주)갤럭시아에스엠,11420,13-Dec,1.9
44,(주)갤럭시아에스엠,11420,14-Dec,-0.88
45,(주)갤럭시아에스엠,11420,15-Dec,5.69
46,(주)갤럭시아에스엠,11420,16-Dec,-18.76
47,(주)갤럭시아에스엠,11420,17-Dec,-35.52
48,(주)갤럭시아에스엠,11420,18-Dec,-157.86
49,(주)갤럭시아에스엠,11420,19-Dec,-8.95
50,(주)골드앤에스,35290,11-Dec,1.13
51,(주)골드앤에스,35290,12-Dec,-1.91
52,(주)골드앤에스,35290,13-Dec,-3.83
53,(주)골드앤에스,35290,14-Dec,-1.41
54,(주)골드앤에스,35290,15-Dec,1.99
55,(주)골드앤에스,35290,16-Dec,2.42
56,(주)골드앤에스,35290,17-Dec,-26.15
57,(주)골드앤에스,35290,18-Dec,-4.56
58,(주)골드앤에스,35290,19-Dec,-1.46
59,(주)골드퍼시픽,38530,11-Dec,14.16
60,(주)골드퍼시픽,38530,12-Dec,2.66
61,(주)골드퍼시픽,38530,13-Dec,-11.34
62,(주)골드퍼시픽,38530,14-Dec,-4.33
63,(주)골드퍼시픽,38530,15-Dec,-9.59
64,(주)골드퍼시픽,38530,16-Dec,-17.43
65,(주)골드퍼시픽,38530,17-Dec,0.62
66,(주)골드퍼시픽,38530,18-Dec,-0.68
67,(주)골드퍼시픽,38530,19-Dec,-0.89
68,(주)광림,14200,11-Dec,4.55
69,(주)광림,14200,12-Dec,1.71
70,(주)광림,14200,13-Dec,6.18
71,(주)광림,14200,14-Dec,0.7
72,(주)광림,14200,15-Dec,0.43
73,(주)광림,14200,16-Dec,0.16
74,(주)광림,14200,17-Dec,-3.19
75,(주)광림,14200,18-Dec,-0.23
76,(주)광림,14200,19-Dec,-2.3
77,(주)광무,29480,11-Dec,-3.01
78,(주)광무,29480,12-Dec,-2.69
79,(주)광무,29480,13-Dec,-8.2
80,(주)광무,29480,14-Dec,1.12
81,(주)광무,29480,15-Dec,-0.8
82,(주)광무,29480,16-Dec,1.93
83,(주)광무,29480,17-Dec,0.32
84,(주)광무,29480,18-Dec,-3.19
85,(주)광무,29480,19-Dec,-2.9
86,(주)국보,1140,11-Dec,0.75
87,(주)국보,1140,12-Dec,0.64
88,(주)국보,1140,13-Dec,0.36
89,(주)국보,1140,14-Dec,-1.31
90,(주)국보,1140,15-Dec,-1.55
91,(주)국보,1140,16-Dec,0.14
92,(주)국보,1140,17-Dec,-2.66
93,(주)국보,1140,18-Dec,-4.03
94,(주)국보,1140,19-Dec,-0.35
95,(주)국순당,43650,11-Dec,167.22
96,(주)국순당,43650,12-Dec,172.69
97,(주)국순당,43650,13-Dec,9.21
98,(주)국순당,43650,14-Dec,9.17
99,(주)국순당,43650,15-Dec,-334.84
100,(주)국순당,43650,16-Dec,-327.25
101,(주)국순당,43650,17-Dec,-12.28
102,(주)국순당,43650,18-Dec,-7.85
103,(주)국순당,43650,19-Dec,-4.32
104,(주)기산텔레콤,35460,11-Dec,-3.73
105,(주)기산텔레콤,35460,12-Dec,0.71
106,(주)기산텔레콤,35460,13-Dec,4.99
107,(주)기산텔레콤,35460,14-Dec,2.53
108,(주)기산텔레콤,35460,15-Dec,2.72
109,(주)기산텔레콤,35460,16-Dec,-5.83
110,(주)기산텔레콤,35460,17-Dec,-6.37
111,(주)기산텔레콤,35460,18-Dec,-5.52
112,(주)기산텔레콤,35460,19-Dec,6.63
113,(주)까뮤이앤씨,13700,11-Dec,-14.28
114,(주)까뮤이앤씨,13700,12-Dec,0.46
115,(주)까뮤이앤씨,13700,13-Dec,-0.14
116,(주)까뮤이앤씨,13700,14-Dec,0.4
117,(주)까뮤이앤씨,13700,15-Dec,1.65
118,(주)까뮤이앤씨,13700,16-Dec,1.92
119,(주)까뮤이앤씨,13700,17-Dec,4.85
120,(주)까뮤이앤씨,13700,18-Dec,2.29
121,(주)까뮤이앤씨,13700,19-Dec,5.87
122,(주)나노,187790,14-Dec,11111111.11
123,(주)나노,187790,15-Dec,-4.06
124,(주)나노,187790,16-Dec,-5.47
125,(주)나노,187790,17-Dec,0.96
126,(주)나노,187790,18-Dec,1.22
127,(주)나노,187790,19-Dec,-0.54
128,(주)나노엔텍,39860,11-Dec,-12.31
129,(주)나노엔텍,39860,12-Dec,-5.04
130,(주)나노엔텍,39860,13-Dec,-0.44
131,(주)나노엔텍,39860,14-Dec,-8.4
132,(주)나노엔텍,39860,15-Dec,-32.63
133,(주)나노엔텍,39860,16-Dec,-42.07
134,(주)나노엔텍,39860,17-Dec,3.38
135,(주)나노엔텍,39860,18-Dec,18.0
136,(주)나노엔텍,39860,19-Dec,133.96
137,(주)나이벡,138610,11-Dec,-3.91
138,(주)나이벡,138610,12-Dec,-2.68
139,(주)나이벡,138610,13-Dec,-5.06
140,(주)나이벡,138610,14-Dec,-5.51
141,(주)나이벡,138610,15-Dec,-3.41
142,(주)나이벡,138610,16-Dec,-3.51
143,(주)나이벡,138610,17-Dec,-1.81
144,(주)나이벡,138610,18-Dec,-4.64
145,(주)나이벡,138610,19-Dec,-2.23
146,(주)남성,4270,11-Dec,-0.06
147,(주)남성,4270,12-Dec,-0.01
148,(주)남성,4270,13-Dec,0.39
149,(주)남성,4270,14-Dec,0.41
150,(주)남성,4270,15-Dec,0.65
151,(주)남성,4270,16-Dec,1.01
152,(주)남성,4270,17-Dec,1.79
153,(주)남성,4270,18-Dec,0.23
154,(주)남성,4270,19-Dec,0.13
155,(주)내츄럴엔도텍,168330,13-Dec,675.61
156,(주)내츄럴엔도텍,168330,14-Dec,4036.59
157,(주)내츄럴엔도텍,168330,15-Dec,-805.99
158,(주)내츄럴엔도텍,168330,16-Dec,-34.59
159,(주)내츄럴엔도텍,168330,17-Dec,-1.96
160,(주)내츄럴엔도텍,168330,18-Dec,-6.1
161,(주)내츄럴엔도텍,168330,19-Dec,-4.35
162,(주)네오리진,94860,11-Dec,1.61
163,(주)네오리진,94860,12-Dec,1.27
164,(주)네오리진,94860,13-Dec,-2.65
165,(주)네오리진,94860,14-Dec,-8.5
166,(주)네오리진,94860,15-Dec,-19.24
167,(주)네오리진,94860,16-Dec,9.47
168,(주)네오리진,94860,17-Dec,2.48
169,(주)네오리진,94860,18-Dec,-12.63
170,(주)네오리진,94860,19-Dec,3.22
171,(주)네이처셀,7390,11-Dec,-1.42
172,(주)네이처셀,7390,12-Dec,-0.67
173,(주)네이처셀,7390,13-Dec,1.54
