회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),자산(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),유형자산(*)(IFRS)(천원),건설중인자산(IFRS)(천원),기계장치(IFRS)(천원),부가가치(IFRS)(백만원),[제조]자본(*)(IFRS),[제조]종업원수(IFRS),유형자산회전율(개별),순운전자본회전율(개별),운전자본회전률(개별),노동장비율(개별),기계장비율(개별),자본집약도(개별),총자본투자효율(개별),설비투자효율(개별),기계투자효율(개별),부가가치율(개별)
(주)CMG제약,58820,11-Dec,17751704,27548539,15264885,7620349,9652599,24700,3944218,3669.25,18290915,135,0.644379145,2.32214277,4.644285539,71317.77037,29216.42963,135488259.3,20.06050545,38.11059921,93.02858006,20.66984668
(주)CMG제약,58820,12-Dec,16255389,56988604,47073443,6665126,9264142,0,4288368,-88.04,31602540,134,0.285239291,0.402278298,0.804556597,69135.38806,32002.74627,235839850.7,-0.278585202,-0.950330856,-2.052995452,-0.541605003
(주)CMG제약,58820,13-Dec,20322140,55961620,38258866,5498201,10805092,1827454,4595388,6952.08,49048213,136,0.363144241,0.620321352,1.240642704,66012.04412,33789.61765,360648625,14.17397205,77.43774031,151.2838524,34.20938937
(주)CMG제약,58820,14-Dec,22752584,58127098,28359823,8713579,18833775,154233,7950710,7065.04,49067039,164,0.391428177,1.158113683,2.316227366,113899.6463,48479.93902,299189262.2,14.39874943,37.82234061,88.8604917,31.05159396
(주)CMG제약,58820,15-Dec,27041894,56591972,26330765,8843328,17822468,0,8328336,4316.8,46872705,156,0.477839754,1.546361196,3.092722393,114246.5897,53386.76923,300466057.7,9.209624237,24.22111236,51.83268302,15.9633789
(주)CMG제약,58820,16-Dec,32969825,110979867,78772201,9136755,16905814,24524,8523793,10518.86,101107635,160,0.297079334,0.473463256,0.946926512,105508.0625,53273.70625,631922718.8,10.4036258,62.31075943,123.4058593,31.90450662
(주)CMG제약,58820,17-Dec,41535588,109568153,81227330,10884321,16182518,28136,9029339,13710.01,97944019,200,0.379084495,0.590472153,1.180944307,80771.91,45146.695,489720095,13.99780215,84.86867526,151.8384679,33.00786304
(주)CMG제약,58820,18-Dec,49864782,114379880,81370415,8495060,17268535,1412095,9751312,16847.65,103981846,222,0.435957635,0.684247535,1.368495069,71425.40541,43924.82883,468386693.7,16.20249173,106.251151,172.7731612,33.78667132
(주)CMG제약,58820,19-Dec,58622681,192243166,150584066,9306387,24119403,7510880,10703886,19033.25,180158283,241,0.30494026,0.414946518,0.829893036,68915.0332,44414.46473,747544742.7,10.56473768,114.5992934,177.8162622,32.46738238
(주)DB하이텍,990,11-Dec,534317238,1183957429,265976810,796794129,758179817,27453000,1531278817,216914,291709498,2567,0.451297678,-1.006593453,-2.013186906,284661.7908,596524.6658,113638292.9,74.35959456,29.68469132,14.16554566,40.59648175
(주)DB하이텍,990,12-Dec,583901597,1149069244,303296307,563352691,684941380,22706000,1456050000,241800.39,274553219,2304,0.508151793,-2.245288456,-4.490576913,287428.5503,631966.1458,119163723.5,88.070499,36.51275623,16.60659936,41.41115408
(주)DB하이텍,990,13-Dec,493752028,1049494642,222316934,476710357,635765049,36099000,1462150000,198528.8,197287466,2142,0.470466459,-1.940899345,-3.881798689,279956.1387,682609.7106,92104325.86,100.6292006,33.10655995,13.57786821,40.20819941
(주)DB하이텍,990,14-Dec,567718224,1001959816,246306720,376149526,591653498,41973000,1475386000,207672.46,136104062,1999,0.566607777,-4.37235024,-8.74470048,274977.7379,738062.031,68086074.04,152.5835871,37.78057631,14.07580525,36.58019969
(주)DB하이텍,990,15-Dec,666594987,1005673854,334045125,242109386,533113708,44837000,1550672000,382610.36,277662952,2004,0.662834163,7.250662194,14.50132439,243651.0519,773788.4232,138554367.3,137.796691,78.35933063,24.67384205,57.39772537
(주)DB하이텍,990,16-Dec,773140180,1006370876,364126852,271946015,547687840,50562000,1630540000,336460.47,364450453,2047,0.768245781,8.387211542,16.77442308,242855.8085,796551.0503,178041257,92.31994836,67.68114689,20.63491052,43.51868894
(주)DB하이텍,990,17-Dec,679737744,977575054,348507961,143100665,555556192,42348000,1684434000,292737.25,441546809,1940,0.695330493,3.309219084,6.618438169,264540.3052,868264.9485,227601447.9,66.29812379,57.04064248,17.37896825,43.06620496
(주)DB하이텍,990,18-Dec,669279136,1050696487,380098326,156793407,597563521,100033000,1713452000,316543.96,542557222,1955,0.636986175,2.997153574,5.994307147,254491.3151,876446.0358,277522875.7,58.34296313,63.62302344,18.47404888,47.29625398
(주)DB하이텍,990,19-Dec,807416423,1089400761,422531166,219572033,616562743,61122000,1822084743,394709.63,645305205,1979,0.741156471,3.97822168,7.956443359,280667.379,920709.8247,326076404.7,61.16634841,71.06241934,21.66252868,48.88550923
(주)ES큐브,50120,11-Dec,41700477,45233434,18786276,4839823,1407274,0,720,7961.63,39144414,237,0.921895008,2.990041769,5.980083538,5937.864979,3.037974684,165166303.8,20.33912169,565.7483902,1105781.944,19.09241949
(주)ES큐브,50120,12-Dec,44178050,44676182,15631243,3228112,1395951,0,492,11617.33,39881477,236,0.988850166,3.561846601,7.123693203,5915.04661,2.084745763,168989309.3,29.1296383,832.2161738,2361245.935,26.2966111
(주)ES큐브,50120,13-Dec,45823196,47509654,32518902,2690545,914811,0,186,-5722.54,43712820,0,0.964502836,1.5362293,3.0724586,#DIV/0!,#DIV/0!,#DIV/0!,-13.09121672,-625.5434183,-3076634.409,-12.48830396
(주)ES큐브,50120,14-Dec,37188072,44914173,21477612,3055060,640405,0,0,1481.4,41226335,27,0.82798078,2.018616748,4.037233495,23718.7037,0,1526901296,3.593334212,231.3223663,#DIV/0!,3.983535366
(주)ES큐브,50120,15-Dec,36887119,47123684,22590313,1792096,596347,0,0,6263.14,44872641,39,0.782772395,1.773571215,3.547142431,15290.94872,0,1150580538,13.95759166,1050.250945,#DIV/0!,16.97920621
(주)ES큐브,50120,16-Dec,34818205,104459992,43388800,4569554,4673186,0,0,20160.01,69832373,30,0.333316175,0.896931512,1.793863024,155772.8667,0,2327745767,28.86914641,431.3975519,#DIV/0!,57.90077346
(주)ES큐브,50120,17-Dec,37104908,104850192,44761949,4085637,7506218,0,0,4476.07,71398467,35,0.353884979,0.912199415,1.824398829,214463.3714,0,2039956200,6.269140204,59.63149485,#DIV/0!,12.06328284
(주)ES큐브,50120,18-Dec,31308873,108481764,29054833,37696219,10880733,0,0,177.01,66518631,30,0.288609549,-3.623130942,-7.246261884,362691.1,0,2217287700,0.266105897,1.626820546,#DIV/0!,0.565366885
(주)ES큐브,50120,19-Dec,28527284,136065488,24298462,54789915,10576512,0,0,-6558.67,53986331,30,0.209658484,-0.935582965,-1.87116593,352550.4,0,1799544367,-12.1487604,-62.01165375,#DIV/0!,-22.99086727
(주)HJ중공업,97230,11-Dec,2316017000,5857119000,2183437000,1800533000,1427510000,5016000,98801000,364032,1874877000,2785,0.395419147,6.048557863,12.09711573,510769.8384,35476.12208,673205386,19.41631371,25.5911097,368.449712,15.71801934
(주)HJ중공업,97230,12-Dec,1980761000,5938108000,2419666000,2125376000,1343556000,13655000,98606000,488043,1863529000,2634,0.333567695,6.730643243,13.46128649,504897.874,37435.83903,707490129.1,26.18918192,36.69769404,494.9424984,24.63916646
