회사명,거래소코드,회계년도,자본(*)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),유형자산(*)(IFRS연결)(천원),건설중인자산(IFRS연결)(천원),종업원수(IFRS연결),부가가치(IFRS연결)(백만원),기계장치(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),유형자산회전율(연결),순운전자본회전률(연결),운전자본회전률(연결),노동장비율(연결),기계장비율(연결),자본집약도(연결),총자본투자효율(연결),설비투자효율(연결),기계투자효율(연결),부가가치율(연결)
(주)CMG제약,58820,11-Dec,18034249,27305198,15341167,7633673,9707759,24700,,3472.17,3944218,17751704,0.650121783,2.303174547,4.606349093,,,,19.25319984,35.85819316,88.03189885,19.5596434
(주)CMG제약,58820,12-Dec,31590685,57108035,47109213,6793095,9307482,0,,269.31,4288368,16255389,0.284642765,0.403198269,0.806396538,,,,0.852498134,2.893478601,6.280011417,1.656742881
(주)CMG제약,58820,13-Dec,48997281,55912563,38209699,5500075,10805092,1827454,,6994.9,4595388,20402140,0.364893664,0.623735082,1.247470164,,,,14.2760983,77.91470318,152.2156562,34.28512891
(주)CMG제약,58820,14-Dec,49002644,58068326,28300941,8719202,18833775,154233,,7061.34,7950710,22752584,0.391824348,1.161928672,2.323857345,,,,14.4101204,37.80253285,88.81395498,31.03533207
(주)CMG제약,58820,15-Dec,46806888,56532821,26271614,8849994,17822468,0,,4315.37,8328336,27041894,0.478339724,1.552203182,3.104406364,,,,9.219519144,24.21308878,51.81551273,15.95809081
(주)CMG제약,58820,16-Dec,101107635,110979867,78772201,9136755,16905814,24524,,10518.86,8523793,32969825,0.297079334,0.473463256,0.946926512,,,,10.4036258,62.31075943,123.4058593,31.90450662
(주)CMG제약,58820,17-Dec,97944019,109568153,81227330,10884321,16182518,28136,,13710.01,9029339,41535588,0.379084495,0.590472153,1.180944307,,,,13.99780215,84.86867526,151.8384679,33.00786304
(주)CMG제약,58820,18-Dec,103981846,114379880,81370415,8495060,17268535,1412095,,16847.65,9751312,49864782,0.435957635,0.684247535,1.368495069,,,,16.20249173,106.251151,172.7731612,33.78667132
(주)CMG제약,58820,19-Dec,180158283,192243166,150584066,9306387,24119403,7510879,,19033.25,10703886,58622681,0.30494026,0.414946518,0.829893036,,,,10.56473768,114.5992865,177.8162622,32.46738238
(주)DB하이텍,990,11-Dec,308061688,1199043869,279725559,794704783,758902417,27453000,,217837.57,1531279417,552216245,0.460547157,-1.072307812,-2.144615624,,,,70.7123211,29.7816315,14.22585373,39.44787427
