회사명,거래소코드,회계년도,[제조]* (정상)영업손익(보고서기재)(IFRS),[제조]* (정상)영업손익(보고서기재)(IFRS연결)
(주)CMG제약,058820,2011/12,714950,640283
(주)CMG제약,058820,2012/12,-4045140,-4205503
(주)CMG제약,058820,2013/12,822547,791250
(주)CMG제약,058820,2014/12,446018,442322
(주)CMG제약,058820,2015/12,-2570878,-2572168
(주)CMG제약,058820,2016/12,1730753,1730753
(주)CMG제약,058820,2017/12,1558607,1558607
(주)CMG제약,058820,2018/12,2567820,2567820
(주)CMG제약,058820,2019/12,2603774,2603774
(주)DB하이텍,000990,2011/12,-39983672,-43150444
(주)DB하이텍,000990,2012/12,-14429657,-15621631
(주)DB하이텍,000990,2013/12,-9392980,-9610612
(주)DB하이텍,000990,2014/12,45310506,45560248
(주)DB하이텍,000990,2015/12,124372824,124968815
(주)DB하이텍,000990,2016/12,171787648,172427930
(주)DB하이텍,000990,2017/12,142353689,143195168
(주)DB하이텍,000990,2018/12,112884303,112993143
(주)DB하이텍,000990,2019/12,181155872,181292188
(주)ES큐브,050120,2011/12,-2080143,-3650245
(주)ES큐브,050120,2012/12,645839,89337
(주)ES큐브,050120,2013/12,217136,-1164611
(주)ES큐브,050120,2014/12,325909,171090
(주)ES큐브,050120,2015/12,2370570,-4060426
(주)ES큐브,050120,2016/12,2359527,2161041
(주)ES큐브,050120,2017/12,2170102,2248520
(주)ES큐브,050120,2018/12,691469,-1211129
(주)ES큐브,050120,2019/12,587700,-2617071
(주)HJ중공업,097230,2011/12,59453000,107974000
(주)HJ중공업,097230,2012/12,28591000,52914000
(주)HJ중공업,097230,2013/12,-109107000,-69574000
(주)HJ중공업,097230,2014/12,-106249000,-144988000
(주)HJ중공업,097230,2015/12,-97810000,-79370000
(주)HJ중공업,097230,2016/12,49319000,-79319000
(주)HJ중공업,097230,2017/12,86683000,-116693000
(주)HJ중공업,097230,2018/12,-66005000,61676000
(주)HJ중공업,097230,2019/12,77055000,83839000
(주)MH에탄올,023150,2011/12,6908187,603258
(주)MH에탄올,023150,2012/12,6518758,5451733
(주)MH에탄올,023150,2013/12,9650241,3009741
(주)MH에탄올,023150,2014/12,8746818,8744851
(주)MH에탄올,023150,2015/12,11094172,11092013
(주)MH에탄올,023150,2016/12,11876872,11874476
(주)MH에탄올,023150,2017/12,10452914,8116711
(주)MH에탄올,023150,2018/12,9028515,1228204
(주)MH에탄올,023150,2019/12,7828586,7829103
(주)SH에너지화학,002360,2011/12,4987642,4165988
(주)SH에너지화학,002360,2012/12,2874585,2183184
(주)SH에너지화학,002360,2013/12,7203175,6424227
(주)SH에너지화학,002360,2014/12,20274504,21271907
(주)SH에너지화학,002360,2015/12,22899622,22950175
(주)SH에너지화학,002360,2016/12,23600205,24101160
(주)SH에너지화학,002360,2017/12,13189274,14181936
(주)SH에너지화학,002360,2018/12,2811557,2100669
(주)SH에너지화학,002360,2019/12,-2363194,-3131128
(주)SIMPAC,009160,2011/12,27382839,27346333
(주)SIMPAC,009160,2012/12,25309896,25191277
(주)SIMPAC,009160,2013/12,23741361,23599349
(주)SIMPAC,009160,2014/12,18736806,17341900
(주)SIMPAC,009160,2015/12,23630499,21241031
(주)SIMPAC,009160,2016/12,21406076,23566192
(주)SIMPAC,009160,2017/12,13971089,11697915
(주)SIMPAC,009160,2018/12,7215888,10190572
(주)SIMPAC,009160,2019/12,8438305,11141319
(주)SNT에너지,100840,2011/12,-6597216,
(주)SNT에너지,100840,2012/12,15132783,
(주)SNT에너지,100840,2013/12,16804410,
(주)SNT에너지,100840,2014/12,13777651,
(주)SNT에너지,100840,2015/12,33918033,
(주)SNT에너지,100840,2016/12,1195144,
(주)SNT에너지,100840,2017/12,19201911,
(주)SNT에너지,100840,2018/12,-1892191,
(주)SNT에너지,100840,2019/12,14679703,17473548
(주)SNT홀딩스,036530,2011/12,-4240083,120504644
(주)SNT홀딩스,036530,2012/12,6695560,85693573
(주)SNT홀딩스,036530,2013/12,6923357,84798090
(주)SNT홀딩스,036530,2014/12,5966121,65504975
