,Unnamed: 0,구분,코드,산업명,2011년,2011년.mid,2012년,2012년.mid,2013년,2013년.mid,2014년,2014년.mid,2015년,2015년.mid,2016년,2016년.mid,2017년,2017년.mid,2018년,2018년.mid,2019년,2019년.mid,2012년 감소율,2013년 감소율,2014년 감소율,2015년 감소율,2016년 감소율,2017년 감소율,2018년 감소율,2019년 감소율
0,0,(주)CMG제약,58820,  의료용 물질 및 의약품 제조업,58.17,41.73,71.66,41.84,61.54,43.25,62.93,44.93,63.74,48.21,59.64,52.51,56.57,52.32,54.4,54.69,50.66,57.6,-23.19,14.12,-2.26,-1.29,6.43,5.15,3.84,6.88
1,1,(주)경보제약,214390,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,72.73,48.21,76.38,52.51,71.5,52.32,75.53,54.69,78.76,57.6,,,,-inf,-5.02,6.39,-5.64,-4.28
2,2,(주)나이벡,138610,  의료용 물질 및 의약품 제조업,87.6,41.73,73.71,41.84,113.09,43.25,80.86,44.93,77.66,48.21,83.35,52.51,68.97,52.32,91.13,54.69,57.17,57.6,15.86,-53.43,28.5,3.96,-7.33,17.25,-32.13,37.27
3,3,(주)녹십자,6280,  의료용 물질 및 의약품 제조업,65.37,41.73,67.22,41.84,68.11,43.25,66.74,44.93,66.09,48.21,70.43,52.51,71.39,52.32,74.37,54.69,72.98,57.6,-2.83,-1.32,2.01,0.97,-6.57,-1.36,-4.17,1.87
4,4,(주)녹십자엠에스,142280,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,81.59,44.93,85.42,48.21,85.41,52.51,84.69,52.32,90.37,54.69,90.49,57.6,,,-inf,-4.69,0.01,0.84,-6.71,-0.13
5,5,(주)녹십자웰빙,234690,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,0.0,48.21,0.0,52.51,0.0,52.32,0.0,54.69,46.11,57.6,,,,,,,,-inf
6,6,(주)대성미생물연구소,36480,  의료용 물질 및 의약품 제조업,79.14,41.73,74.52,41.84,70.75,43.25,71.94,44.93,66.97,48.21,66.82,52.51,69.94,52.32,67.2,54.69,66.41,57.6,5.84,5.06,-1.68,6.91,0.22,-4.67,3.92,1.18
7,7,(주)대웅제약,69620,  의료용 물질 및 의약품 제조업,57.92,41.73,58.93,41.84,57.56,43.25,63.59,44.93,64.51,48.21,58.53,52.51,58.68,52.32,62.09,54.69,58.85,57.6,-1.74,2.32,-10.48,-1.45,9.27,-0.26,-5.81,5.22
8,8,(주)동구바이오제약,6620,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,0.0,48.21,0.0,52.51,0.0,52.32,41.44,54.69,43.56,57.6,,,,,,,-inf,-5.12
9,9,(주)레고켐바이오사이언스,141080,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,38.63,48.21,72.39,52.51,60.93,52.32,67.07,54.69,31.13,57.6,,,,-inf,-87.39,15.83,-10.08,53.59
10,10,(주)메디톡스,86900,  의료용 물질 및 의약품 제조업,12.54,41.73,9.36,41.84,14.28,43.25,10.23,44.93,18.38,48.21,19.44,52.51,20.4,52.32,28.62,54.69,36.25,57.6,25.36,-52.56,28.36,-79.67,-5.77,-4.94,-40.29,-26.66
11,11,(주)메타바이오메드,59210,  의료용 물질 및 의약품 제조업,53.92,41.73,59.24,41.84,61.89,43.25,68.41,44.93,57.03,48.21,62.02,52.51,60.99,52.32,65.22,54.69,67.23,57.6,-9.87,-4.47,-10.53,16.63,-8.75,1.66,-6.94,-3.08
12,12,(주)바이넥스,53030,  의료용 물질 및 의약품 제조업,46.07,41.73,53.51,41.84,66.71,43.25,57.25,44.93,54.68,48.21,64.05,52.51,63.6,52.32,53.63,54.69,54.69,57.6,-16.15,-24.67,14.18,4.49,-17.14,0.7,15.68,-1.98
13,13,(주)바이오니아,64550,  의료용 물질 및 의약품 제조업,45.33,41.73,40.38,41.84,42.16,43.25,43.88,44.93,40.52,48.21,48.01,52.51,42.49,52.32,48.7,54.69,52.32,57.6,10.92,-4.41,-4.08,7.66,-18.48,11.5,-14.62,-7.43
14,14,(주)바이오솔루션,86820,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,0.0,48.21,0.0,52.51,0.0,52.32,33.37,54.69,33.56,57.6,,,,,,,-inf,-0.57
15,15,(주)보령,3850,  의료용 물질 및 의약품 제조업,58.97,41.73,59.52,41.84,56.94,43.25,55.45,44.93,57.9,48.21,56.83,52.51,60.3,52.32,59.03,54.69,57.47,57.6,-0.93,4.33,2.62,-4.42,1.85,-6.11,2.11,2.64
16,16,(주)비씨월드제약,200780,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,49.82,44.93,48.97,48.21,49.93,52.51,51.73,52.32,60.16,54.69,65.92,57.6,,,-inf,1.71,-1.96,-3.61,-16.3,-9.57
17,17,(주)서울제약,18680,  의료용 물질 및 의약품 제조업,43.4,41.73,43.35,41.84,48.26,43.25,48.55,44.93,51.03,48.21,46.74,52.51,49.42,52.32,48.0,54.69,43.27,57.6,0.12,-11.33,-0.6,-5.11,8.41,-5.73,2.87,9.85
18,18,(주)세운메디칼,100700,  의료용 물질 및 의약품 제조업,74.63,41.73,74.78,41.84,68.88,43.25,70.17,44.93,69.49,48.21,67.4,52.51,65.44,52.32,64.53,54.69,69.29,57.6,-0.2,7.89,-1.87,0.97,3.01,2.91,1.39,-7.38
