회사명,거래소코드,회계년도,투자활동으로 인한 현금흐름(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS연결)(천원)
(주)CMG제약,058820,2011/12,-1845332,-1773162
(주)CMG제약,058820,2012/12,-30286514,-30265984
(주)CMG제약,058820,2013/12,20988786,21135376
(주)CMG제약,058820,2014/12,-13611109,-13611109
(주)CMG제약,058820,2015/12,-8670890,-8670780
(주)CMG제약,058820,2016/12,-56094458,-56094458
(주)CMG제약,058820,2017/12,-467123,-467123
(주)CMG제약,058820,2018/12,8779219,8779219
(주)CMG제약,058820,2019/12,-70595614,-70595614
(주)DB하이텍,000990,2011/12,-26649125,-23347990
(주)DB하이텍,000990,2012/12,-40437367,-49272120
(주)DB하이텍,000990,2013/12,-13799557,-14425742
(주)DB하이텍,000990,2014/12,-43422794,-43635104
(주)DB하이텍,000990,2015/12,-12201261,-12209258
(주)DB하이텍,000990,2016/12,-121028468,-121031883
(주)DB하이텍,000990,2017/12,-101907140,-101904145
(주)DB하이텍,000990,2018/12,-114336834,-117302225
(주)DB하이텍,000990,2019/12,-123827487,-123954602
(주)ES큐브,050120,2011/12,-2631208,-2460979
(주)ES큐브,050120,2012/12,-4021693,-4486091
(주)ES큐브,050120,2013/12,-15525675,-14873142
(주)ES큐브,050120,2014/12,-6727853,7970827
(주)ES큐브,050120,2015/12,5644794,399044
(주)ES큐브,050120,2016/12,-27691503,-23005177
(주)ES큐브,050120,2017/12,-9285270,-6850093
(주)ES큐브,050120,2018/12,-9930672,-1328332
(주)ES큐브,050120,2019/12,-42892183,-18643079
(주)HJ중공업,097230,2011/12,51907000,41457000
(주)HJ중공업,097230,2012/12,97508000,39701000
(주)HJ중공업,097230,2013/12,-32693000,-52839000
(주)HJ중공업,097230,2014/12,249783000,204078000
(주)HJ중공업,097230,2015/12,409000,-32960000
(주)HJ중공업,097230,2016/12,-43927000,-85380000
(주)HJ중공업,097230,2017/12,-36512000,198422000
(주)HJ중공업,097230,2018/12,15886000,-2020000
(주)HJ중공업,097230,2019/12,51752000,36099000
(주)MH에탄올,023150,2011/12,-8074198,12547367
(주)MH에탄올,023150,2012/12,-4116270,1115316
(주)MH에탄올,023150,2013/12,-4646566,-4783523
(주)MH에탄올,023150,2014/12,35174665,-4570335
(주)MH에탄올,023150,2015/12,2921164,2896164
(주)MH에탄올,023150,2016/12,1476767,1461767
(주)MH에탄올,023150,2017/12,-38163673,-25459599
(주)MH에탄올,023150,2018/12,-2930214,40276387
(주)MH에탄올,023150,2019/12,-2940840,-3854102
(주)SH에너지화학,002360,2011/12,-3161428,-5936614
(주)SH에너지화학,002360,2012/12,-2397506,-1232512
(주)SH에너지화학,002360,2013/12,-2465754,-1945785
(주)SH에너지화학,002360,2014/12,-2027268,-2050449
(주)SH에너지화학,002360,2015/12,-4907393,-4985240
(주)SH에너지화학,002360,2016/12,2952558,3930942
(주)SH에너지화학,002360,2017/12,-4392721,-1347063
(주)SH에너지화학,002360,2018/12,-3473611,-4046569
(주)SH에너지화학,002360,2019/12,-5156722,-6337450
(주)SIMPAC,009160,2011/12,-9139505,-8704426
(주)SIMPAC,009160,2012/12,-50742985,-50742985
(주)SIMPAC,009160,2013/12,-49065961,-49795709
(주)SIMPAC,009160,2014/12,18185471,10539189
(주)SIMPAC,009160,2015/12,-24960399,-15982486
(주)SIMPAC,009160,2016/12,1868196,-4526973
(주)SIMPAC,009160,2017/12,-1221063,-377362
(주)SIMPAC,009160,2018/12,34121439,34396141
(주)SIMPAC,009160,2019/12,-33505559,-30908323
(주)SNT에너지,100840,2011/12,874182,
(주)SNT에너지,100840,2012/12,-382322,
(주)SNT에너지,100840,2013/12,1754576,
(주)SNT에너지,100840,2014/12,-126524,
(주)SNT에너지,100840,2015/12,-388071,
(주)SNT에너지,100840,2016/12,-6276169,
(주)SNT에너지,100840,2017/12,6227623,
(주)SNT에너지,100840,2018/12,-6856584,
(주)SNT에너지,100840,2019/12,1138349,4716326
(주)SNT홀딩스,036530,2011/12,38205174,-23825834
(주)SNT홀딩스,036530,2012/12,-21698925,-42613065
(주)SNT홀딩스,036530,2013/12,-5576358,-22586456
(주)SNT홀딩스,036530,2014/12,-10037839,-53040189
(주)SNT홀딩스,036530,2015/12,25411785,-47887660
(주)SNT홀딩스,036530,2016/12,-5487797,-50764586
(주)SNT홀딩스,036530,2017/12,-18991272,-87582797
(주)SNT홀딩스,036530,2018/12,-6658574,-181259322
(주)SNT홀딩스,036530,2019/12,3067340,27442503
(주)STX,011810,2011/12,-311014000,-738589000
(주)STX,011810,2012/12,-170700000,-546582000
(주)STX,011810,2013/12,256801000,-28285000
(주)STX,011810,2014/12,25152000,44980000
(주)STX,011810,2015/12,41271000,42142000
(주)STX,011810,2016/12,48420000,53174000
(주)STX,011810,2017/12,45598000,47311000
(주)STX,011810,2018/12,22829000,24797000
(주)STX,011810,2019/12,-35804000,-26727000
(주)TCC스틸,002710,2011/12,-34958575,-33632208
(주)TCC스틸,002710,2012/12,-32640959,-43256998
(주)TCC스틸,002710,2013/12,-35681571,12243850
(주)TCC스틸,002710,2014/12,-28226203,4309765
(주)TCC스틸,002710,2015/12,-15629867,21985692
(주)TCC스틸,002710,2016/12,87807785,87996322
(주)TCC스틸,002710,2017/12,671217,272218
(주)TCC스틸,002710,2018/12,-2184262,-637436
(주)TCC스틸,002710,2019/12,-11360066,-11936714
(주)가비아,079940,2011/12,-5828440,-10140435
(주)가비아,079940,2012/12,-16004942,-20717005
(주)가비아,079940,2013/12,-1682086,-9998158
(주)가비아,079940,2014/12,-7744206,-10913796
(주)가비아,079940,2015/12,-1800461,-8773166
(주)가비아,079940,2016/12,-10755258,-18247920
(주)가비아,079940,2017/12,-6515005,-8859280
(주)가비아,079940,2018/12,-8098967,-22923889
(주)가비아,079940,2019/12,-13094318,-29988807
(주)강스템바이오텍,217730,2015/12,-12058913,
(주)강스템바이오텍,217730,2016/12,-26722204,
(주)강스템바이오텍,217730,2017/12,5871865,6469317
(주)강스템바이오텍,217730,2018/12,-25397225,-25834675
(주)강스템바이오텍,217730,2019/12,-33356662,-38130531
(주)강원랜드,035250,2011/12,-198767256,-187763915
(주)강원랜드,035250,2012/12,-232183363,-216998936
(주)강원랜드,035250,2013/12,-229555921,-193315698
(주)강원랜드,035250,2014/12,-404621440,-427372634
(주)강원랜드,035250,2015/12,-399445183,-398949073
(주)강원랜드,035250,2016/12,-414060181,-411462350
(주)강원랜드,035250,2017/12,-253342340,-250223124
(주)강원랜드,035250,2018/12,-205028726,-202048061
(주)강원랜드,035250,2019/12,-212758098,-211308893
(주)강원에너지,114190,2011/11,-4700331,
(주)강원에너지,114190,2012/12,-21039487,
(주)강원에너지,114190,2013/12,10839414,
(주)강원에너지,114190,2014/12,-2463292,
(주)강원에너지,114190,2015/12,-3757172,-4069038
(주)강원에너지,114190,2016/12,2857618,-272939
(주)강원에너지,114190,2017/12,484043,-746589
(주)강원에너지,114190,2018/12,-2019808,-801059
(주)강원에너지,114190,2019/12,-14691822,-14687728
(주)갤럭시아에스엠,011420,2011/12,-1378082,381972
(주)갤럭시아에스엠,011420,2012/12,-596085,-5044476
(주)갤럭시아에스엠,011420,2013/12,-2653809,-9658129
(주)갤럭시아에스엠,011420,2014/12,1643309,-458207
(주)갤럭시아에스엠,011420,2015/12,-5256354,-3398195
(주)갤럭시아에스엠,011420,2016/12,-840372,-559339
(주)갤럭시아에스엠,011420,2017/12,-924879,-1969493
(주)갤럭시아에스엠,011420,2018/12,1036438,1068801
(주)갤럭시아에스엠,011420,2019/12,1061814,995670
(주)경농,002100,2011/12,-12823304,-9444978
(주)경농,002100,2012/12,-25162774,-6775458
(주)경농,002100,2013/12,-11015907,-1125346
(주)경농,002100,2014/12,-18882330,-16252739
(주)경농,002100,2015/12,-19075073,-14264573
(주)경농,002100,2016/12,-2415338,-14091883
(주)경농,002100,2017/12,-3577143,-12828629
(주)경농,002100,2018/12,-4316014,-12754265
(주)경농,002100,2019/12,-2614186,6297614
(주)경동나비엔,009450,2011/12,-14561296,-19734957
(주)경동나비엔,009450,2012/12,-21037803,-29096492
(주)경동나비엔,009450,2013/12,-62575806,-67412813
(주)경동나비엔,009450,2014/12,-19195852,-38148799
(주)경동나비엔,009450,2015/12,1854034,-7238540
(주)경동나비엔,009450,2016/12,-13002830,-22069978
(주)경동나비엔,009450,2017/12,-25344330,-40198288
(주)경동나비엔,009450,2018/12,-31457522,-44715979
(주)경동나비엔,009450,2019/12,-22368814,-51466326
(주)경동도시가스,267290,2017/12,-54094509,-54218575
(주)경동도시가스,267290,2018/12,-58283279,-58533558
(주)경동도시가스,267290,2019/12,-46233496,-46540342
(주)경동인베스트,012320,2011/12,-80527912,-63153791
(주)경동인베스트,012320,2012/12,-67159239,-60092789
(주)경동인베스트,012320,2013/12,-19477359,-38215830
(주)경동인베스트,012320,2014/12,-30415596,-36929956
(주)경동인베스트,012320,2015/12,-101000740,-128436091
(주)경동인베스트,012320,2016/12,-20799465,-25524035
(주)경동인베스트,012320,2017/12,-11098576,-20172592
(주)경동인베스트,012320,2018/12,2952258,35768379
(주)경동인베스트,012320,2019/12,-4938785,-8561739
(주)경방,000050,2011/12,-26435986,-26322473
(주)경방,000050,2012/12,-19372995,-27697875
(주)경방,000050,2013/12,669867,-3280250
(주)경방,000050,2014/12,-30920122,-33885316
(주)경방,000050,2015/12,-5543521,-36713625
(주)경방,000050,2016/12,-3211754,-13675594
(주)경방,000050,2017/12,6831805,-19767162
(주)경방,000050,2018/12,-32823008,-25719906
(주)경방,000050,2019/12,-79930463,-45096923
(주)경보제약,214390,2015/12,-27781942,
(주)경보제약,214390,2016/12,-20158761,
(주)경보제약,214390,2017/12,-6395974,
(주)경보제약,214390,2018/12,-8194652,
(주)경보제약,214390,2019/12,-28127563,
(주)경인양행,012610,2011/12,-4871100,-9877016
(주)경인양행,012610,2012/12,-2384505,-5059446
(주)경인양행,012610,2013/12,-515260,-3527107
(주)경인양행,012610,2014/12,-9760461,-12201523
(주)경인양행,012610,2015/12,-3554826,-10080952
(주)경인양행,012610,2016/12,-1366831,-7033423
