,회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),자본율(개별),자산(*)(IFRS)(천원)(연결),자본(*)(IFRS)(천원)(연결),자본율(연결)
0,(주)CMG제약,58820,11-Dec,"27,549","18,291",66.39,"38,200","14,702",66.39
1,(주)CMG제약,58820,12-Dec,"56,989","31,603",55.45,"52,992","28,102",55.45
2,(주)CMG제약,58820,13-Dec,"55,962","49,048",87.65,"55,913","48,997",87.63
3,(주)CMG제약,58820,14-Dec,"58,127","49,067",84.41,"58,068","49,003",84.39
4,(주)CMG제약,58820,15-Dec,"56,592","46,873",82.83,"56,533","46,807",82.8
5,(주)CMG제약,58820,16-Dec,"110,980","101,108",91.1,"110,980","101,108",91.1
6,(주)CMG제약,58820,17-Dec,"109,568","97,944",89.39,"109,568","97,944",89.39
7,(주)CMG제약,58820,18-Dec,"114,380","103,982",90.91,"114,380","103,982",90.91
8,(주)CMG제약,58820,19-Dec,"192,243","180,158",93.71,"192,243","180,158",93.71
9,(주)DB하이텍,990,11-Dec,"1,183,957","291,709",24.64,"1,199,044","308,062",25.69
10,(주)DB하이텍,990,12-Dec,"1,149,069","274,553",23.89,"1,157,755","290,893",25.13
11,(주)DB하이텍,990,13-Dec,"1,049,495","197,287",18.8,"1,058,392","204,757",19.35
12,(주)DB하이텍,990,14-Dec,"1,001,960","136,104",13.58,"984,877","120,703",12.26
13,(주)DB하이텍,990,15-Dec,"1,005,674","277,663",27.61,"984,644","254,057",25.8
14,(주)DB하이텍,990,16-Dec,"1,006,371","364,450",36.21,"986,789","341,917",34.65
15,(주)DB하이텍,990,17-Dec,"977,575","441,547",45.17,"993,951","455,798",45.86
16,(주)DB하이텍,990,18-Dec,"1,050,696","542,557",51.64,"1,066,534","558,392",52.36
17,(주)DB하이텍,990,19-Dec,"1,089,401","645,305",59.23,"1,088,890","644,651",59.2
18,(주)ES큐브,50120,11-Dec,"45,233","39,144",86.54,"55,477","39,246",70.74
19,(주)ES큐브,50120,12-Dec,"44,676","39,881",89.27,"46,282","39,860",86.12
20,(주)ES큐브,50120,13-Dec,"47,510","43,713",92.01,"47,138","42,372",89.89
21,(주)ES큐브,50120,14-Dec,"44,914","41,226",91.79,"56,612","49,628",87.66
22,(주)ES큐브,50120,15-Dec,"47,124","44,873",95.22,"55,620","49,654",89.27
23,(주)ES큐브,50120,16-Dec,"104,460","69,832",66.85,"105,165","71,696",68.17
24,(주)ES큐브,50120,17-Dec,"104,850","71,398",68.1,"105,892","72,817",68.77
25,(주)ES큐브,50120,18-Dec,"108,482","66,519",61.32,"112,431","70,749",62.93
26,(주)ES큐브,50120,19-Dec,"136,065","53,986",39.68,"463,959","74,039",15.96
27,(주)MH에탄올,23150,11-Dec,"135,927","56,161",41.32,"134,207","42,667",31.79
28,(주)MH에탄올,23150,12-Dec,"139,201","58,713",42.18,"134,386","39,678",29.53
29,(주)MH에탄올,23150,13-Dec,"122,521","47,120",38.46,"129,698","45,886",35.38
30,(주)MH에탄올,23150,14-Dec,"85,254","52,508",61.59,"85,535","52,789",61.72
31,(주)MH에탄올,23150,15-Dec,"78,691","57,570",73.16,"78,996","57,884",73.27
32,(주)MH에탄올,23150,16-Dec,"72,025","63,258",87.83,"72,340","63,582",87.89
33,(주)MH에탄올,23150,17-Dec,"107,437","64,699",60.22,"500,180","106,837",21.36
34,(주)MH에탄올,23150,18-Dec,"109,657","68,472",62.44,"440,178","91,585",20.81
35,(주)MH에탄올,23150,19-Dec,"101,059","59,478",58.85,"451,474","79,389",17.58
36,(주)STX,11810,11-Dec,"3,302,248","1,164,648",35.27,"5,234,175","1,915,942",36.6
37,(주)STX,11810,12-Dec,"3,226,878","1,123,534",34.82,"5,067,029","1,506,639",29.73
38,(주)STX,11810,13-Dec,"1,086,567","-522,090",-48.05,"1,342,520","-509,663",-37.96
