회사명,거래소코드,회계년도,매출액증가율(IFRS),재고자산증가율(IFRS),자기자본증가율(IFRS)
(주)CMG제약,58820,Dec-11,56.4,-1.43,-0.62
(주)CMG제약,58820,Dec-12,-8.43,7.73,72.78
(주)CMG제약,58820,Dec-13,25.02,56.29,55.2
(주)CMG제약,58820,Dec-14,11.96,6.37,0.04
(주)CMG제약,58820,Dec-15,18.85,11.04,-4.47
(주)CMG제약,58820,Dec-16,21.92,17.2,115.71
(주)CMG제약,58820,Dec-17,25.98,23.63,-3.13
(주)CMG제약,58820,Dec-18,20.05,8.45,6.16
(주)CMG제약,58820,Dec-19,17.56,5.56,73.26
(주)DB하이텍,990,Dec-11,-9.96,-3.28,-22.61
(주)DB하이텍,990,Dec-12,9.28,2.79,-5.88
(주)DB하이텍,990,Dec-13,-15.44,-8.69,-28.14
(주)DB하이텍,990,Dec-14,14.98,-4.42,-31.01
(주)DB하이텍,990,Dec-15,17.42,20.64,104.01
(주)DB하이텍,990,Dec-16,15.98,-8.52,31.26
(주)DB하이텍,990,Dec-17,-12.08,-1.74,21.15
(주)DB하이텍,990,Dec-18,-1.54,-42.83,22.88
(주)DB하이텍,990,Dec-19,20.64,20.86,18.94
(주)ES큐브,50120,Dec-11,20.38,-49.36,-6.99
(주)ES큐브,50120,Dec-12,5.94,7.06,1.88
(주)ES큐브,50120,Dec-13,3.72,3.74,9.61
(주)ES큐브,50120,Dec-14,-18.84,-37.85,-5.69
(주)ES큐브,50120,Dec-15,-0.81,50.14,8.84
(주)ES큐브,50120,Dec-16,-5.61,5.77,55.62
(주)ES큐브,50120,Dec-17,6.57,-2.96,2.24
(주)ES큐브,50120,Dec-18,-15.62,37.25,-6.83
(주)ES큐브,50120,Dec-19,-8.88,-16.38,-18.84
(주)HJ중공업,97230,Dec-11,-15.3,10.98,-6.32
(주)HJ중공업,97230,Dec-12,-14.48,-11.12,-0.61
(주)HJ중공업,97230,Dec-13,-2.7,199.78,-3.16
(주)HJ중공업,97230,Dec-14,-6.66,-6.1,-2.37
(주)HJ중공업,97230,Dec-15,13.47,57.04,-21.82
(주)HJ중공업,97230,Dec-16,-5.52,-28.16,-34.36
(주)HJ중공업,97230,Dec-17,-9.91,26.38,-37.69
(주)HJ중공업,97230,Dec-18,0.78,-20.74,0
(주)HJ중공업,97230,Dec-19,-8.08,-29.96,0
(주)MH에탄올,23150,Dec-11,-0.23,8.19,6
(주)MH에탄올,23150,Dec-12,5.28,16.81,4.54
(주)MH에탄올,23150,Dec-13,1.78,14.86,-19.75
(주)MH에탄올,23150,Dec-14,5.8,14.64,11.43
