회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(소분류),종업원수증가율,R & D 투자효율,무형자산처리무형자산개발비(천원),경상개발비(천원)
(주)CMG제약,058820,2011/12,  의약품 제조업,4.65,0.13,0,23703
(주)CMG제약,058820,2012/12,  의약품 제조업,-0.74,0.74,0,120052
(주)CMG제약,058820,2013/12,  의약품 제조업,1.49,0.66,5993000,134454
(주)CMG제약,058820,2014/12,  의약품 제조업,20.59,0.51,3511000,116533
(주)CMG제약,058820,2015/12,  의약품 제조업,-4.88,3.08,3464000,831910
(주)CMG제약,058820,2016/12,  의약품 제조업,2.56,1.21,1799000,397519
(주)CMG제약,058820,2017/12,  의약품 제조업,25,4.32,1086000,1795891
(주)CMG제약,058820,2018/12,  의약품 제조업,11,1.56,962000,777797
(주)CMG제약,058820,2019/12,  의약품 제조업,8.56,3.4,2985000,1993412
(주)DB하이텍,000990,2011/12,  반도체 제조업,5.38,11.34,13904348,60572750
(주)DB하이텍,000990,2012/12,  반도체 제조업,-10.25,8.8,13888992,51365000
(주)DB하이텍,000990,2013/12,  반도체 제조업,-7.03,8.99,10318098,44409000
(주)DB하이텍,000990,2014/12,  반도체 제조업,-6.68,7.36,9886121,41769000
(주)DB하이텍,000990,2015/12,  반도체 제조업,0.25,7.41,6967904,49406000
(주)DB하이텍,000990,2016/12,  반도체 제조업,2.15,6.95,5849704,53738000
(주)DB하이텍,000990,2017/12,  반도체 제조업,-5.23,8.01,6000714,54428000
(주)DB하이텍,000990,2018/12,  반도체 제조업,0.77,7.89,7441987,52810000
(주)DB하이텍,000990,2019/12,  반도체 제조업,1.23,6.85,4791922,55296000
(주)ES큐브,050120,2011/12,  생활용품 도매업,20.3,5.95,4790260,2481560
(주)ES큐브,050120,2012/12,  생활용품 도매업,-0.42,3.07,5343369,1355428
(주)ES큐브,050120,2013/12,  생활용품 도매업,-57.63,5.15,1285400,2358093
(주)ES큐브,050120,2014/12,  생활용품 도매업,-73,2.36,0,878870
(주)ES큐브,050120,2015/12,  생활용품 도매업,44.44,0,,0
(주)ES큐브,050120,2016/12,  생활용품 도매업,-23.08,0,0,0
(주)ES큐브,050120,2017/12,  생활용품 도매업,16.67,0,,0
(주)ES큐브,050120,2018/12,  생활용품 도매업,-14.29,0,,0
(주)ES큐브,050120,2019/12,  생활용품 도매업,0,0,,0
(주)HJ중공업,097230,2011/12,  토목 건설업,-19.81,0.06,0,1475000
(주)HJ중공업,097230,2012/12,  토목 건설업,-5.42,0.12,0,2287000
(주)HJ중공업,097230,2013/12,  토목 건설업,4.71,0.17,0,3371000
(주)HJ중공업,097230,2014/12,  토목 건설업,-7.76,0.19,0,3455000
(주)HJ중공업,097230,2015/12,  토목 건설업,3.46,0.15,0,3055000
(주)HJ중공업,097230,2016/12,  토목 건설업,-6.04,0.11,0,2144000
(주)HJ중공업,097230,2017/12,  토목 건설업,0.81,0.11,0,1854000
(주)HJ중공업,097230,2018/12,  토목 건설업,-8.9,0.13,0,2209000
(주)HJ중공업,097230,2019/12,  토목 건설업,-11.23,0.11,0,1734000
(주)MH에탄올,023150,2011/12,  알코올음료 제조업,-3.77,0,0,0
(주)MH에탄올,023150,2012/12,  알코올음료 제조업,1.96,0,,0
(주)MH에탄올,023150,2013/12,  알코올음료 제조업,-1.92,0,,0
(주)MH에탄올,023150,2014/12,  알코올음료 제조업,3.92,0,0,0
(주)MH에탄올,023150,2015/12,  알코올음료 제조업,-11.32,0,0,0
(주)MH에탄올,023150,2016/12,  알코올음료 제조업,-8.51,0,0,0
(주)MH에탄올,023150,2017/12,  알코올음료 제조업,11.63,0,0,0
(주)MH에탄올,023150,2018/12,  알코올음료 제조업,4.17,0,0,0
(주)MH에탄올,023150,2019/12,  알코올음료 제조업,-6,0,0,0
(주)SH에너지화학,002360,2011/12,  기초 화학물질 제조업,-1.8,0.02,0,42624
(주)SH에너지화학,002360,2012/12,  기초 화학물질 제조업,2.75,0.03,0,57537
(주)SH에너지화학,002360,2013/12,  기초 화학물질 제조업,3.57,0.03,0,64707
(주)SH에너지화학,002360,2014/12,  기초 화학물질 제조업,20.69,0.05,0,117783
(주)SH에너지화학,002360,2015/12,  기초 화학물질 제조업,4.29,0,0,0
(주)SH에너지화학,002360,2016/12,  기초 화학물질 제조업,1.37,0.08,0,161234
(주)SH에너지화학,002360,2017/12,  기초 화학물질 제조업,0,0.04,0,82098
(주)SH에너지화학,002360,2018/12,  기초 화학물질 제조업,5.41,0.05,0,96821
(주)SH에너지화학,002360,2019/12,  기초 화학물질 제조업,1.28,0.07,0,100899
(주)SIMPAC,009160,2011/12,  1차 철강 제조업,11.74,0,,0
(주)SIMPAC,009160,2012/12,  1차 철강 제조업,7,0,,0
(주)SIMPAC,009160,2013/12,  1차 철강 제조업,0.73,0,,0
(주)SIMPAC,009160,2014/12,  1차 철강 제조업,10.11,0,,0
(주)SIMPAC,009160,2015/12,  1차 철강 제조업,-2.95,0,,0
(주)SIMPAC,009160,2016/12,  1차 철강 제조업,3.38,0,,0
(주)SIMPAC,009160,2017/12,  1차 철강 제조업,-0.33,0,,0
(주)SIMPAC,009160,2018/12,  1차 철강 제조업,63.93,0,,0
(주)SIMPAC,009160,2019/12,  1차 철강 제조업,-1.8,0,,0
(주)SNT에너지,100840,2011/12,  일반 목적용 기계 제조업,2.22,0.45,0,871757
(주)SNT에너지,100840,2012/12,  일반 목적용 기계 제조업,5.98,0.34,0,785053
(주)SNT에너지,100840,2013/12,  일반 목적용 기계 제조업,7.18,0.4,0,793087
(주)SNT에너지,100840,2014/12,  일반 목적용 기계 제조업,4.31,0.43,0,1049685
(주)SNT에너지,100840,2015/12,  일반 목적용 기계 제조업,6.42,0.35,0,908085
(주)SNT에너지,100840,2016/12,  일반 목적용 기계 제조업,-6.03,0.34,0,859808
(주)SNT에너지,100840,2017/12,  일반 목적용 기계 제조업,-10.55,0.41,0,747653
(주)SNT에너지,100840,2018/12,  일반 목적용 기계 제조업,-2.56,0.49,0,683800
(주)SNT에너지,100840,2019/12,  일반 목적용 기계 제조업,0.53,0.36,0,732767
(주)SNT홀딩스,036530,2011/12,  회사 본부 및 경영 컨설팅 서비스업,0,0,,0
(주)SNT홀딩스,036530,2012/12,  회사 본부 및 경영 컨설팅 서비스업,0,0,,0
(주)SNT홀딩스,036530,2013/12,  회사 본부 및 경영 컨설팅 서비스업,-11.11,0,,0
(주)SNT홀딩스,036530,2014/12,  회사 본부 및 경영 컨설팅 서비스업,0,0,,0
(주)SNT홀딩스,036530,2015/12,  회사 본부 및 경영 컨설팅 서비스업,0,0,,0
(주)SNT홀딩스,036530,2016/12,  회사 본부 및 경영 컨설팅 서비스업,0,0,,0
(주)SNT홀딩스,036530,2017/12,  회사 본부 및 경영 컨설팅 서비스업,-12.5,0,,0
(주)SNT홀딩스,036530,2018/12,  회사 본부 및 경영 컨설팅 서비스업,42.86,0,,0
(주)SNT홀딩스,036530,2019/12,  회사 본부 및 경영 컨설팅 서비스업,0,0,,0
(주)STX,011810,2011/12,  상품 종합 도매업,-39.04,0,,0
(주)STX,011810,2012/12,  상품 종합 도매업,-4.34,0,,0
(주)STX,011810,2013/12,  상품 종합 도매업,-52.8,0,,0
(주)STX,011810,2014/12,  상품 종합 도매업,-29.94,0,,0
(주)STX,011810,2015/12,  상품 종합 도매업,2.42,0,,0
(주)STX,011810,2016/12,  상품 종합 도매업,-5.51,0,,0
(주)STX,011810,2017/12,  상품 종합 도매업,-0.83,0,,0
(주)STX,011810,2018/12,  상품 종합 도매업,-7.56,0,,0
(주)STX,011810,2019/12,  상품 종합 도매업,5.45,0,,0
(주)TCC스틸,002710,2011/12,  1차 철강 제조업,-2.78,0,0,0
(주)TCC스틸,002710,2012/12,  1차 철강 제조업,1.27,0,,0
(주)TCC스틸,002710,2013/12,  1차 철강 제조업,-2.51,0,0,0
(주)TCC스틸,002710,2014/12,  1차 철강 제조업,-1.61,0,0,0
(주)TCC스틸,002710,2015/12,  1차 철강 제조업,-8.17,0,0,0
