회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),자산(*)(IFRS)(천원),매출원가(*)(IFRS연결)(천원),매출원가(*)(IFRS)(천원),재고자산(*)(IFRS연결)(천원),재고자산(*)(IFRS)(천원),매출채권(IFRS연결)(천원),매출채권(IFRS)(천원),유형자산(*)(IFRS연결)(천원),유형자산(*)(IFRS)(천원),매입채무(IFRS연결)(천원),매입채무(IFRS)(천원),자본(*)(IFRS연결)(천원),자본(*)(IFRS)(천원),부채(*)(IFRS연결)(천원),부채(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),유동자산(*)(IFRS)(천원)
(주)CMG제약,058820,2010/12,11350419,11350419,26775627,26775627,8217627,8217627,2782759,2782759,7625064,7625064,10316860,10316860,1488643,1488643,18405116,18405116,8370511,8370511,13041215,0
(주)CMG제약,058820,2011/12,17751704,17751704,27305198,27548539,10325799,10325799,2743103,2743103,11050219,11050219,9707759,9652599,1481481,1481481,18034249,18290915,9270949,9257624,15341167,0
(주)CMG제약,058820,2012/12,16255389,16255389,57108035,56988604,11648690,11648690,2955172,2955172,11362566,11362566,9307482,9264142,2670886,2670886,31590685,31602540,25517350,25386064,47109213,0
(주)CMG제약,058820,2013/12,20402140,20322140,55912563,55961620,12506817,12506817,4618718,4618718,13999415,13999415,10805092,10805092,3911851,3911851,48997281,49048213,6915281,6913407,38209699,0
(주)CMG제약,058820,2014/12,22752584,22752584,58068326,58127098,14318048,14318048,4913103,4913103,16787073,16787073,18833775,18833775,4719504,4719504,49002644,49067039,9065682,9060059,28300941,0
(주)CMG제약,058820,2015/12,27041894,27041894,56532821,56591972,17237814,17237814,5455617,5455617,15838057,15838056,17822468,17822468,4844096,4844096,46806888,46872705,9725933,9719267,26271614,0
(주)CMG제약,058820,2016/12,32969825,32969825,110979867,110979867,19663389,19663389,6393756,6393756,14435808,14435808,16905814,16905814,5688806,5688806,101107635,101107635,9872232,9872232,78772201,0
(주)CMG제약,058820,2017/12,41535588,41535588,109568153,109568153,23497552,23497552,7904518,7904518,16768648,16768648,16182518,16182518,7002289,7002289,97944019,97944019,11624134,11624134,81227330,0
(주)CMG제약,058820,2018/12,49864782,49864782,114379880,114379880,27124841,27124841,8572582,8572582,19030822,19030822,17268535,17268535,4162722,4162722,103981846,103981846,10398033,10398033,81370415,0
(주)CMG제약,058820,2019/12,58622681,58622681,192243166,192243166,29700050,29700050,9048933,9048933,21676515,21676515,24119403,24119403,4328437,4328437,180158283,180158283,12084883,12084883,150584066,0
(주)DB하이텍,000990,2010/12,620043034,593441908,1381251114,1363686317,753813405,727262560,79723938,79723938,103858000,94736548,823918082,823347589,30639171,30671011,398016157,376915607,983234957,986770710,311090151,0
(주)DB하이텍,000990,2011/12,552216245,534317238,1199043869,1183957429,460440945,443140034,77112663,77112663,79301000,71061975,758902417,758179817,23196334,22998829,308061688,291709498,890982181,892247931,279725559,0
(주)DB하이텍,000990,2012/12,590786488,583901597,1157755031,1149069244,494003057,486953432,79262392,79262392,69176000,74994000,685389046,684941380,17740927,23484407,290893335,274553219,866861695,874516025,309144147,0
(주)DB하이텍,000990,2013/12,493752028,493752028,1058391832,1049494642,404500718,404500718,72377687,72377687,59941499,59836026,636040366,635765049,29717748,29426433,204756748,197287466,853635085,852207175,222960700,0
(주)DB하이텍,000990,2014/12,567718224,567718224,984876636,1001959816,430813375,430813375,69179569,69179569,83353090,83154227,591787281,591653498,36235325,35936430,120702734,136104062,864173902,865855755,247582371,0
(주)DB하이텍,000990,2015/12,666594987,666594987,984643712,1005673854,436915515,436915515,83459568,83459568,92342122,91970866,533140340,533113708,44271640,42409042,254057491,277662952,730586221,728010902,337757266,0
(주)DB하이텍,000990,2016/12,773140180,773140180,986788572,1006370876,483129939,483129939,76344778,76344778,110311838,110311839,547700934,547687840,44199479,41718640,341917315,364450453,644871257,641920423,368924211,0
(주)DB하이텍,000990,2017/12,679737744,679737744,993950720,977575054,426170592,426170592,75018890,75018890,85709910,85713072,555566835,555556192,33883223,31644708,455797946,441546809,538152775,536028245,353662841,0
(주)DB하이텍,000990,2018/12,669279136,669279136,1066533840,1050696487,453942755,453942755,42891649,42891649,98855166,98855130,597570491,597563521,36469258,36347680,558391531,542557222,508142309,508139265,383378937,0
(주)DB하이텍,000990,2019/12,807416423,807416423,1088889810,1089400761,513292637,513292637,51837841,51837841,102020672,102020672,616573800,616562743,30645243,30336721,644650730,645305205,444239080,444095557,426263421,0
(주)ES큐브,050120,2010/12,43887335,34640205,49189060,47829486,32966862,27039899,4166815,757990,4641630,3032942,3374904,1595923,3198868,3826327,42621100,42087960,6567960,5741526,32820950,0
(주)ES큐브,050120,2011/12,53379952,41700477,55477032,45233434,38476771,29104839,5312339,383848,12624603,2102205,4313834,1407274,2706831,2385776,39245830,39144414,16231202,6089019,34078195,0
(주)ES큐브,050120,2012/12,55971147,44178050,46281660,44676182,40290541,31651298,4844206,410944,4718926,3047374,3181598,1395951,1540985,1624298,39859681,39881477,6421979,4794705,22707006,0
(주)ES큐브,050120,2013/12,58597361,45823196,47137573,47509654,44088670,34023346,6264936,426328,4935099,2846445,2177498,914811,934211,1329946,42372440,43712820,4765132,3796835,38357211,0
(주)ES큐브,050120,2014/12,44459581,37188072,56611836,44914173,34936541,30573957,6084161,264950,10542241,3093857,2299195,640405,1218077,2309135,49628091,41226335,6983745,3687837,46214758,0
(주)ES큐브,050120,2015/12,42152967,36887119,55620280,47123684,30433006,30735643,6783417,397788,7805190,2055434,1968118,596347,1154116,1126410,49654460,44872641,5965820,2251042,41180599,0
(주)ES큐브,050120,2016/12,34289385,34818205,105164626,104459992,24454448,28468888,7447857,420745,4142905,2820018,7063781,4673186,1029926,2932249,71696122,69832373,33468504,34627619,50885945,0
(주)ES큐브,050120,2017/12,35745794,37104908,105892131,104850192,26057940,30497256,8346570,408271,3886201,2573314,11623688,7506218,1232866,2416818,72816880,71398467,33075251,33451725,51038158,0
(주)ES큐브,050120,2018/12,33763508,31308873,112430896,108481764,26036057,25693835,9236879,560371,4655667,3016721,15202081,10880733,907478,2520376,70748607,66518631,41682289,41963133,45061626,0
(주)ES큐브,050120,2019/12,43708239,28527284,463958680,136065488,35510791,22708418,7648032,468610,212246240,2610301,17333381,10576512,1002412,4247225,74038512,53986331,389920168,82079157,359030693,0
(주)HJ중공업,097230,2010/12,3167774000,2734440000,7525363000,6323071000,2841789000,2436522000,292037000,165513000,243152000,956629000,3193218000,1448655000,341216000,387910000,1955791000,2001312000,5569572000,4321759000,2757267000,0
(주)HJ중공업,097230,2011/12,2891499000,2316017000,7036680000,5857119000,2664558000,2156842000,360584000,183693000,283789000,831799000,3144355000,1427510000,214421000,196118000,1866848000,1874877000,5169832000,3982242000,2391530000,0
(주)HJ중공업,097230,2012/12,2549319000,1980761000,6585093000,5938108000,2358260000,1833445000,223809000,163272000,268734000,955409000,2901480000,1343556000,247973000,218263000,1715516000,1863529000,4869577000,4074579000,2274211000,0
(주)HJ중공업,097230,2013/12,2529341000,1927307000,6683379000,5839633000,2464368000,1900927000,601781000,489464000,245971000,285995000,2808246000,1329680000,228311000,229429000,1638998000,1804609000,5044381000,4035024000,2788908000,0
(주)HJ중공업,097230,2014/12,2520325000,1799016000,6470284000,5469810000,2537259000,1798250000,655829000,459613000,294422000,384263000,2703561000,1263266000,292809000,385389000,1573076000,1761886000,4897208000,3707924000,2647534000,0
(주)HJ중공업,097230,2015/12,3115473000,2041347000,5914637000,4638381000,3004437000,1972358000,873978000,721779000,203499000,234552000,2735463000,1223488000,352916000,343319000,1368589000,1377529000,4546048000,3260852000,2429499000,0
(주)HJ중공업,097230,2016/12,2813271000,1928591000,5256464000,3921561000,2753545000,1776465000,675011000,518530000,134921000,242278000,2404052000,1036188000,291798000,186629000,895183000,904150000,4361281000,3017411000,2372221000,27432000
(주)HJ중공업,097230,2017/12,2452314000,1737428000,4206655000,3312303000,2431066000,1545012000,709533000,655299000,130629000,148699000,1792322000,653140000,279484000,208153000,577198000,563410000,3629457000,2748893000,1894161000,0
(주)HJ중공업,097230,2018/12,1697869000,1750954000,2733620000,2388369000,1557089000,1551132000,519198000,519388000,109666000,102682000,638765000,636673000,197744000,197641000,-708186000,-398930000,3441806000,2787299000,1720906000,0
(주)HJ중공업,097230,2019/12,1628751000,1609530000,2470222000,2465650000,1451267000,1439132000,363759000,363759000,186684000,175735000,615117000,613082000,166881000,166779000,244994000,247272000,2225228000,2218378000,1300538000,0
(주)MH에탄올,023150,2010/12,55048463,43304589,134869380,127603795,46932516,31860037,8228753,4198440,9797742,9661015,73133795,36075258,594345,267800,46625147,52983762,88244233,74620033,45987130,0
(주)MH에탄올,023150,2011/12,44785159,43206995,134206851,135927085,37258514,32715976,9734817,4542443,8757548,8748707,75265905,35172601,10717,0,42667338,56161251,91539513,79765833,45677724,0
(주)MH에탄올,023150,2012/12,59768175,45488675,134385813,139200817,49030452,35478357,20566965,5306016,10118103,10109892,71841895,34423174,15202,0,39678259,58712944,94707555,80487873,50009828,0
(주)MH에탄올,023150,2013/12,62199887,46298516,129697936,122520742,54316861,33247791,12486229,6094594,10691393,10664555,70410722,34123721,3722,0,45885523,47119925,83812413,75400817,43178092,0
(주)MH에탄올,023150,2014/12,48983781,48983781,85534839,85253876,37109977,37109977,6986598,6986598,10379733,10379733,36083190,36083178,0,0,52788681,52507884,32746158,32745993,28731429,0
(주)MH에탄올,023150,2015/12,50386203,50386203,78996052,78691328,36425005,36425005,3603074,3603074,11080407,11080407,36846510,36846498,0,0,57884347,57569789,21111704,21121539,22500870,0
(주)MH에탄올,023150,2016/12,48897025,48897025,72339673,72025138,33962392,33962392,5538540,5538540,9965259,9965259,37390804,37390792,0,0,63581883,63257513,8757790,8767625,19709368,0
(주)MH에탄올,023150,2017/12,51977132,48270464,500180086,107437079,37225576,34577247,5608722,5502545,10887252,10589508,389268406,39418503,457631,0,106837344,64698932,393342742,42738147,84767703,0
(주)MH에탄올,023150,2018/12,72795863,46943080,440177523,109656889,53524709,34331318,6538026,6430326,10529867,10266287,390589052,40585694,627047,0,91585473,68471529,348592051,41185360,29576016,0
(주)MH에탄올,023150,2019/12,80879342,46992295,451474451,101058662,54219181,35415661,8173323,8081383,9499084,9124637,402623574,41121323,528575,0,79389077,59477642,372085374,41581021,32814839,0
(주)SH에너지화학,002360,2010/12,150630768,150353519,95617808,94473095,137805193,137805193,6071472,6071472,23658951,23658951,32764894,32764894,154603,154603,61526743,61538912,34091065,32934183,38946747,0
(주)SH에너지화학,002360,2011/12,173209351,172752632,104710740,102383199,160789710,160574493,11114123,11114123,29083550,28469011,33220422,33115306,955253,940479,65242326,64498684,39468414,37884515,50355479,0
(주)SH에너지화학,002360,2012/12,193950102,191907628,103690070,102492810,178829327,178516652,14210523,14210523,30307562,29170923,32784916,32608108,2215544,2206403,64881202,64888612,38808867,37604198,50509179,0
(주)SH에너지화학,002360,2013/12,231912218,229783541,110488951,109984767,213952261,213397080,11944305,11944305,33797271,33105701,32065097,31944570,2599202,2593275,69599141,69781889,40889810,40202877,59051785,0
(주)SH에너지화학,002360,2014/12,230912587,226971465,110741407,109098264,197661842,196829927,13898172,13898172,33429222,32478430,31132703,31070401,2223255,2190170,84237197,83404299,26504210,25693965,60325646,0
