회사명,거래소코드,회계년도,[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[제조]매출액(수익)(*)(IFRS),[제조]부채(*)(IFRS),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결),[제조]매출액(수익)(*)(IFRS연결),[제조]부채(*)(IFRS연결)
(주)CMG제약,058820,2010/12,-5983864,11350419,8370511,-5983864,11350419,8370511
(주)CMG제약,058820,2011/12,-2488268,17751704,9257624,-2560438,17751704,9270949
(주)CMG제약,058820,2012/12,-1453276,16255389,25386064,-1572581,16255389,25517350
(주)CMG제약,058820,2013/12,-3891420,20322140,6913407,-3939013,20402140,6915281
(주)CMG제약,058820,2014/12,730447,22752584,9060059,724893,22752584,9065682
(주)CMG제약,058820,2015/12,2411254,27041894,9719267,2410205,27041894,9725933
(주)CMG제약,058820,2016/12,3321352,32969825,9872232,3321352,32969825,9872232
(주)CMG제약,058820,2017/12,1948086,41535588,11624134,1948086,41535588,11624134
(주)CMG제약,058820,2018/12,886779,49864782,10398033,886779,49864782,10398033
(주)CMG제약,058820,2019/12,2823387,58622681,12084883,2823387,58622681,12084883
(주)DB하이텍,000990,2010/12,60396202,593441908,986770710,43845614,620043034,983234957
(주)DB하이텍,000990,2011/12,61642286,534317238,892247931,60749180,552216245,890982181
(주)DB하이텍,000990,2012/12,68047966,583901597,874516025,73876619,590786488,866861695
(주)DB하이텍,000990,2013/12,28528798,493752028,852207175,28380938,493752028,853635085
(주)DB하이텍,000990,2014/12,47362460,567718224,865855755,48078139,567718224,864173902
(주)DB하이텍,000990,2015/12,150510354,666594987,728010902,152722221,666594987,730586221
(주)DB하이텍,000990,2016/12,247018873,773140180,641920423,248312191,773140180,644871257
(주)DB하이텍,000990,2017/12,182244045,679737744,536028245,183124083,679737744,538152775
(주)DB하이텍,000990,2018/12,182780278,669279136,508139265,180343534,669279136,508142309
(주)DB하이텍,000990,2019/12,160796839,807416423,444095557,161078351,807416423,444239080
(주)ES큐브,050120,2010/12,4435227,34640205,5741526,2873895,43887335,6567960
(주)ES큐브,050120,2011/12,1625293,41700477,6089019,1107724,53379952,16231202
(주)ES큐브,050120,2012/12,4618957,44178050,4794705,5224759,55971147,6421979
(주)ES큐브,050120,2013/12,4508559,45823196,3796835,2590980,58597361,4765132
(주)ES큐브,050120,2014/12,2934159,37188072,3687837,2889415,44459581,6983745
(주)ES큐브,050120,2015/12,3265832,36887119,2251042,-2778236,42152967,5965820
(주)ES큐브,050120,2016/12,3735385,34818205,34627619,1240854,34289385,33468504
