회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(IFRS연결),매출액(IFRS연결),영업활동으로 인한 현금흐름(IFRS개별),매출액(IFRS개별)
(주)CMG제약,58820,Dec-11,-2560438,17751704,-2488268,17751704
(주)CMG제약,58820,Dec-12,-1572581,16255389,-1453276,16255389
(주)CMG제약,58820,Dec-13,-3939013,20402140,-3891420,20322140
(주)CMG제약,58820,Dec-14,724893,22752584,730447,22752584
(주)CMG제약,58820,Dec-15,2410205,27041894,2411254,27041894
(주)CMG제약,58820,Dec-16,3321352,32969825,3321352,32969825
(주)CMG제약,58820,Dec-17,1948086,41535588,1948086,41535588
(주)CMG제약,58820,Dec-18,886779,49864782,886779,49864782
(주)CMG제약,58820,Dec-19,2823387,58622681,2823387,58622681
(주)DB하이텍,990,Dec-11,60749180,552216245,61642286,534317238
(주)DB하이텍,990,Dec-12,73876619,590786488,68047966,583901597
(주)DB하이텍,990,Dec-13,28380938,493752028,28528798,493752028
(주)DB하이텍,990,Dec-14,48078139,567718224,47362460,567718224
(주)DB하이텍,990,Dec-15,152722221,666594987,150510354,666594987
(주)DB하이텍,990,Dec-16,248312191,773140180,247018873,773140180
(주)DB하이텍,990,Dec-17,183124083,679737744,182244045,679737744
(주)DB하이텍,990,Dec-18,180343534,669279136,182780278,669279136
(주)DB하이텍,990,Dec-19,161078351,807416423,160796839,807416423
(주)ES큐브,50120,Dec-11,1107724,53379952,1625293,41700477
(주)ES큐브,50120,Dec-12,5224759,55971147,4618957,44178050
(주)ES큐브,50120,Dec-13,2590980,58597361,4508559,45823196
(주)ES큐브,50120,Dec-14,2889415,44459581,2934159,37188072
(주)ES큐브,50120,Dec-15,-2778236,42152967,3265832,36887119
(주)ES큐브,50120,Dec-16,1240854,34289385,3735385,34818205
(주)ES큐브,50120,Dec-17,2310978,35745794,3989913,37104908
(주)ES큐브,50120,Dec-18,-1347532,33763508,116879,31308873
(주)ES큐브,50120,Dec-19,75624795,43708239,1886276,28527284
(주)HJ중공업,97230,Dec-11,-401788000,2891499000,-297988000,2316017000
(주)HJ중공업,97230,Dec-12,-84391000,2549319000,-227250000,1980761000
(주)HJ중공업,97230,Dec-13,-321347000,2529341000,-186309000,1927307000
(주)HJ중공업,97230,Dec-14,-238336000,2520325000,-101009000,1799016000
(주)HJ중공업,97230,Dec-15,257547000,3115473000,109406000,2041347000
(주)HJ중공업,97230,Dec-16,-36763000,2813271000,78719000,1928591000
(주)HJ중공업,97230,Dec-17,385461000,2452314000,368798000,1737428000
(주)HJ중공업,97230,Dec-18,420195000,1697869000,182116000,1750954000
(주)HJ중공업,97230,Dec-19,155934000,1628751000,140634000,1609530000
(주)MH에탄올,23150,Dec-11,178820,44785159,4202371,43206995
(주)MH에탄올,23150,Dec-12,-4906202,59768175,2788992,45488675
(주)MH에탄올,23150,Dec-13,6114050,62199887,5638467,46298516
(주)MH에탄올,23150,Dec-14,5159224,48983781,5125822,48983781
(주)MH에탄올,23150,Dec-15,13384066,50386203,13354086,50386203
(주)MH에탄올,23150,Dec-16,12245831,48897025,12230065,48897025
(주)MH에탄올,23150,Dec-17,3336890,51977132,10755779,48270464
(주)MH에탄올,23150,Dec-18,-11269669,72795863,6668746,46943080
(주)MH에탄올,23150,Dec-19,11368931,80879342,6417691,46992295
(주)SH에너지화학,2360,Dec-11,5825197,173209351,6995359,172752632
(주)SH에너지화학,2360,Dec-12,-855725,193950102,363577,191907628
(주)SH에너지화학,2360,Dec-13,5949724,231912218,7500585,229783541
(주)SH에너지화학,2360,Dec-14,24749424,230912587,24219262,226971465
(주)SH에너지화학,2360,Dec-15,24630676,216441364,24557427,213882181
(주)SH에너지화학,2360,Dec-16,11685757,218397677,11581159,214380015
(주)SH에너지화학,2360,Dec-17,14208400,188114822,16292838,184672638
(주)SH에너지화학,2360,Dec-18,5202762,183598766,4284684,180753289
(주)SH에너지화학,2360,Dec-19,16081690,140852575,14508726,138161816
(주)SIMPAC,9160,Dec-11,18427061,215365697,18174973,213867522
(주)SIMPAC,9160,Dec-12,13157000,225353321,12986618,223854758
(주)SIMPAC,9160,Dec-13,12060558,205751154,11709355,204527751
(주)SIMPAC,9160,Dec-14,34443800,263152264,29061253,227491803
(주)SIMPAC,9160,Dec-15,10256628,269528038,10489830,213152303
(주)SIMPAC,9160,Dec-16,35245662,267074156,30470575,215839356
(주)SIMPAC,9160,Dec-17,-9543549,230634812,-13628628,203150228
(주)SIMPAC,9160,Dec-18,37360242,306150809,36290248,268863854
(주)SIMPAC,9160,Dec-19,37470315,430085162,45146571,391970769
(주)SNT에너지,100840,Dec-11,,,-17274075,195318747
(주)SNT에너지,100840,Dec-12,,,26635237,230707564
(주)SNT에너지,100840,Dec-13,,,20128884,200750984
(주)SNT에너지,100840,Dec-14,,,-24774316,242746888
(주)SNT에너지,100840,Dec-15,,,2204846,260094045
(주)SNT에너지,100840,Dec-16,,,35017765,254089906
(주)SNT에너지,100840,Dec-17,,,-5579426,184091945
(주)SNT에너지,100840,Dec-18,,,14435813,139516396
(주)SNT에너지,100840,Dec-19,-40064824,213326726,-40057737,202822913
(주)SNT홀딩스,36530,Dec-11,86981830,1663846065,9351556,2257851
(주)SNT홀딩스,36530,Dec-12,57310654,1668749904,8670824,8718270
(주)SNT홀딩스,36530,Dec-13,94174241,1576368464,7969284,8826810
(주)SNT홀딩스,36530,Dec-14,95278602,1552374806,6847661,7701882
(주)SNT홀딩스,36530,Dec-15,120263344,1612746929,7958287,8475099
(주)SNT홀딩스,36530,Dec-16,143865685,1537700275,761622,9818190
(주)SNT홀딩스,36530,Dec-17,104208804,1508152132,6184231,7417869
(주)SNT홀딩스,36530,Dec-18,128942884,1401307482,6691516,7292112
(주)SNT홀딩스,36530,Dec-19,89185851,1512114565,10098608,11015928
(주)STX,11810,Dec-11,55801000,5967701000,-108220000,4173397000
(주)STX,11810,Dec-12,250636000,6159850000,159192000,4116767000
(주)STX,11810,Dec-13,130779000,2449401000,85353000,1895063000
(주)STX,11810,Dec-14,-76097000,1634606000,-78562000,1291351000
(주)STX,11810,Dec-15,-15950000,1630827000,28936000,1362127000
(주)STX,11810,Dec-16,57833000,1720153000,31638000,1465561000
(주)STX,11810,Dec-17,100295000,1803878000,93844000,1595494000
(주)STX,11810,Dec-18,-48114000,1502985000,-51274000,1329890000
(주)STX,11810,Dec-19,528000,1471164000,12558000,1237876000
(주)TCC스틸,2710,Dec-11,-10245999,514424043,-8210627,456928069
(주)TCC스틸,2710,Dec-12,-4610373,501337475,10878979,440568155
(주)TCC스틸,2710,Dec-13,-29220038,500832754,21218485,419483813
(주)TCC스틸,2710,Dec-14,-21440429,518995240,13870764,401323585
(주)TCC스틸,2710,Dec-15,30047778,495795871,36353152,350074629
(주)TCC스틸,2710,Dec-16,-35273178,444453635,-34206656,317235565
(주)TCC스틸,2710,Dec-17,-1168958,391370092,-7248002,333762378
(주)TCC스틸,2710,Dec-18,21492009,413176279,13968719,351301866
(주)TCC스틸,2710,Dec-19,-6746810,437173902,-251282,339334364
(주)가비아,79940,Dec-11,9650833,52838864,6750777,33792831
(주)가비아,79940,Dec-12,13224986,69058144,9005290,38482449
(주)가비아,79940,Dec-13,12813443,70675565,6245989,40507693
(주)가비아,79940,Dec-14,16223625,80432047,8696486,43906243
(주)가비아,79940,Dec-15,19257887,91648622,10152135,48446932
(주)가비아,79940,Dec-16,17871404,102178978,9339489,49430564
(주)가비아,79940,Dec-17,20444884,116217941,8670614,52365659
(주)가비아,79940,Dec-18,21870330,128728438,9241321,55197652
(주)가비아,79940,Dec-19,36950567,148306878,13243609,58254105
(주)강스템바이오텍,217730,Dec-15,,,-3800024,1484593
(주)강스템바이오텍,217730,Dec-16,,,-7796613,842805
(주)강스템바이오텍,217730,Dec-17,-10646869,9132939,-10267751,5394323
(주)강스템바이오텍,217730,Dec-18,-11476851,9165454,-11298071,1001039
(주)강스템바이오텍,217730,Dec-19,-13321543,6004584,-11097344,282069
(주)강원랜드,35250,Dec-11,417827759,1265686425,428912416,1263651213
(주)강원랜드,35250,Dec-12,446539739,1296191223,458412852,1292896121
(주)강원랜드,35250,Dec-13,424407127,1361286598,432139763,1356906162
(주)강원랜드,35250,Dec-14,510413141,1496541441,516728788,1492291312
(주)강원랜드,35250,Dec-15,574981576,1633716839,581804341,1630976696
(주)강원랜드,35250,Dec-16,596486851,1696532511,600686651,1694575212
(주)강원랜드,35250,Dec-17,463050000,1604470055,465968987,1602901764
(주)강원랜드,35250,Dec-18,363918692,1438059299,366067885,1436042435
(주)강원랜드,35250,Dec-19,407868874,1520080449,408994810,1517612252
(주)강원에너지,114190,Nov-11,,,15102830,50222892
(주)강원에너지,114190,Dec-12,,,-3145103,106471214
(주)강원에너지,114190,Dec-13,,,16975955,50660659
(주)강원에너지,114190,Dec-14,,,-14600421,51481321
(주)강원에너지,114190,Dec-15,9499050,46188664,18555072,48852892
(주)강원에너지,114190,Dec-16,-15783876,42287473,-18630100,44448760
(주)강원에너지,114190,Dec-17,-3706818,82034829,-4605588,83113029
(주)강원에너지,114190,Dec-18,-10173085,85905365,-10047711,85905365
(주)강원에너지,114190,Dec-19,6960049,42549622,7013798,42549622
(주)갤럭시아에스엠,11420,Dec-11,5951394,47331427,3957763,31931418
