회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(IFRS연결),부채(IFRS연결),영업활동으로 인한 현금흐름(IFRS개별),부채(IFRS개별)
(주)CMG제약,58820,Dec-11,-2560438,9270949,-2488268,9257624
(주)CMG제약,58820,Dec-12,-1572581,25517350,-1453276,25386064
(주)CMG제약,58820,Dec-13,-3939013,6915281,-3891420,6913407
(주)CMG제약,58820,Dec-14,724893,9065682,730447,9060059
(주)CMG제약,58820,Dec-15,2410205,9725933,2411254,9719267
(주)CMG제약,58820,Dec-16,3321352,9872232,3321352,9872232
(주)CMG제약,58820,Dec-17,1948086,11624134,1948086,11624134
(주)CMG제약,58820,Dec-18,886779,10398033,886779,10398033
(주)CMG제약,58820,Dec-19,2823387,12084883,2823387,12084883
(주)DB하이텍,990,Dec-11,60749180,890982181,61642286,892247931
(주)DB하이텍,990,Dec-12,73876619,866861695,68047966,874516025
(주)DB하이텍,990,Dec-13,28380938,853635085,28528798,852207175
(주)DB하이텍,990,Dec-14,48078139,864173902,47362460,865855755
(주)DB하이텍,990,Dec-15,152722221,730586221,150510354,728010902
(주)DB하이텍,990,Dec-16,248312191,644871257,247018873,641920423
(주)DB하이텍,990,Dec-17,183124083,538152775,182244045,536028245
(주)DB하이텍,990,Dec-18,180343534,508142309,182780278,508139265
(주)DB하이텍,990,Dec-19,161078351,444239080,160796839,444095557
(주)ES큐브,50120,Dec-11,1107724,16231202,1625293,6089019
(주)ES큐브,50120,Dec-12,5224759,6421979,4618957,4794705
(주)ES큐브,50120,Dec-13,2590980,4765132,4508559,3796835
(주)ES큐브,50120,Dec-14,2889415,6983745,2934159,3687837
(주)ES큐브,50120,Dec-15,-2778236,5965820,3265832,2251042
(주)ES큐브,50120,Dec-16,1240854,33468504,3735385,34627619
(주)ES큐브,50120,Dec-17,2310978,33075251,3989913,33451725
(주)ES큐브,50120,Dec-18,-1347532,41682289,116879,41963133
(주)ES큐브,50120,Dec-19,75624795,389920168,1886276,82079157
(주)HJ중공업,97230,Dec-11,-401788000,5169832000,-297988000,3982242000
(주)HJ중공업,97230,Dec-12,-84391000,4869577000,-227250000,4074579000
(주)HJ중공업,97230,Dec-13,-321347000,5044381000,-186309000,4035024000
(주)HJ중공업,97230,Dec-14,-238336000,4897208000,-101009000,3707924000
(주)HJ중공업,97230,Dec-15,257547000,4546048000,109406000,3260852000
(주)HJ중공업,97230,Dec-16,-36763000,4361281000,78719000,3017411000
(주)HJ중공업,97230,Dec-17,385461000,3629457000,368798000,2748893000
(주)HJ중공업,97230,Dec-18,420195000,3441806000,182116000,2787299000
(주)HJ중공업,97230,Dec-19,155934000,2225228000,140634000,2218378000
(주)MH에탄올,23150,Dec-11,178820,91539513,4202371,79765833
(주)MH에탄올,23150,Dec-12,-4906202,94707555,2788992,80487873
(주)MH에탄올,23150,Dec-13,6114050,83812413,5638467,75400817
(주)MH에탄올,23150,Dec-14,5159224,32746158,5125822,32745993
(주)MH에탄올,23150,Dec-15,13384066,21111704,13354086,21121539
(주)MH에탄올,23150,Dec-16,12245831,8757790,12230065,8767625
(주)MH에탄올,23150,Dec-17,3336890,393342742,10755779,42738147
(주)MH에탄올,23150,Dec-18,-11269669,348592051,6668746,41185360
(주)MH에탄올,23150,Dec-19,11368931,372085374,6417691,41581021
(주)SH에너지화학,2360,Dec-11,5825197,39468414,6995359,37884515
(주)SH에너지화학,2360,Dec-12,-855725,38808867,363577,37604198
(주)SH에너지화학,2360,Dec-13,5949724,40889810,7500585,40202877
(주)SH에너지화학,2360,Dec-14,24749424,26504210,24219262,25693965
(주)SH에너지화학,2360,Dec-15,24630676,23874505,24557427,23308070
(주)SH에너지화학,2360,Dec-16,11685757,20399837,11581159,19873862
(주)SH에너지화학,2360,Dec-17,14208400,17618682,16292838,17543581
(주)SH에너지화학,2360,Dec-18,5202762,17043794,4284684,16830322
(주)SH에너지화학,2360,Dec-19,16081690,24415856,14508726,23740037
(주)SIMPAC,9160,Dec-11,18427061,141938059,18174973,141119807
(주)SIMPAC,9160,Dec-12,13157000,130804553,12986618,129536202
(주)SIMPAC,9160,Dec-13,12060558,153154843,11709355,151936024
(주)SIMPAC,9160,Dec-14,34443800,162814028,29061253,125420957
(주)SIMPAC,9160,Dec-15,10256628,190825603,10489830,149261391
(주)SIMPAC,9160,Dec-16,35245662,177448939,30470575,137286101
(주)SIMPAC,9160,Dec-17,-9543549,140332152,-13628628,119223157
(주)SIMPAC,9160,Dec-18,37360242,246717950,36290248,217214665
(주)SIMPAC,9160,Dec-19,37470315,237950364,45146571,189477136
(주)SNT에너지,100840,Dec-11,,,-17274075,115915976
(주)SNT에너지,100840,Dec-12,,,26635237,109495724
(주)SNT에너지,100840,Dec-13,,,20128884,113510608
(주)SNT에너지,100840,Dec-14,,,-24774316,96799312
