회사명,거래소코드,회계년도,[제조]CASH FLOW 대 차입금비율(IFRS연결),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결),[제조]      장기차입금(*)(IFRS연결),[제조]      단기차입금(*)(IFRS연결),[제조]         유동성장기차입금(IFRS연결),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[제조]      장기차입금(*)(IFRS),[제조]      단기차입금(*)(IFRS),[제조]         유동성장기차입금(IFRS)
(주)CMG제약,058820,2011/12,-172.4,-2560438,0,0,2000000,-2488268,0,2134049,2000000
(주)CMG제약,058820,2012/12,-11.83,-1572581,0,100000,0,-1453276,0,2132612,0
(주)CMG제약,058820,2013/12,-194.73,-3939013,0,0,0,-3891420,0,0,0
(주)CMG제약,058820,2014/12,-104.12,724893,0,5451,0,730447,0,0,0
(주)CMG제약,058820,2015/12,24988.82,2410205,0,6273,0,2411254,0,0,0
(주)CMG제약,058820,2016/12,0,3321352,0,0,0,3321352,0,0,0
(주)CMG제약,058820,2017/12,0,1948086,0,0,0,1948086,0,0,0
(주)CMG제약,058820,2018/12,0,886779,0,0,0,886779,0,0,0
(주)CMG제약,058820,2019/12,647.74,2823387,0,0,0,2823387,0,0,0
(주)DB하이텍,000990,2011/12,7.39,60749180,0,5398046,685879000,61642286,0,5398045,685879000
(주)DB하이텍,000990,2012/12,9.87,73876619,214817416,5141640,447982000,68047966,214817416,5141640,447982000
(주)DB하이텍,000990,2013/12,7.7,28380938,276846544,6452198,378887000,28528798,276846544,6452198,378887000
(주)DB하이텍,000990,2014/12,5.81,48078139,391619824,7547468,259262000,47362460,391619824,7547468,259262000
(주)DB하이텍,000990,2015/12,19.1,152722221,399748737,5218930,120707000,150510354,399748737,5218929,120707000
(주)DB하이텍,000990,2016/12,47.48,248312191,282487037,15253525,124561870,247018873,282487037,15253525,124561870
(주)DB하이텍,000990,2017/12,60.67,183124083,315595985,11286143,28689829,182244045,315595985,11286143,28689829
(주)DB하이텍,000990,2018/12,59.59,180343534,277380073,15890934,11717019,182780278,277380073,15890934,11717019
(주)DB하이텍,000990,2019/12,67.56,161078351,179746294,30550406,29739094,160796839,179746294,30550406,29739094
(주)ES큐브,050120,2011/12,1107.72,1107724,0,100000,0,1625293,0,0,0
(주)ES큐브,050120,2012/12,3402.53,5224759,0,153555,0,4618957,0,0,0
(주)ES큐브,050120,2013/12,2558.09,2590980,0,152765,0,4508559,0,0,0
(주)ES큐브,050120,2014/12,102.05,2889415,0,568302,0,2934159,0,0,0
