회사명,거래소코드,회계년도,[제조]   금융비용(IFRS연결),[제조]매출액(수익)(*)(IFRS연결),[제조]   금융비용(IFRS),[제조]매출액(수익)(*)(IFRS)
(주)CMG제약,058820,2011/12,0,17751704,0,17751704
(주)CMG제약,058820,2012/12,0,16255389,0,16255389
(주)CMG제약,058820,2013/12,0,20402140,0,20322140
(주)CMG제약,058820,2014/12,0,22752584,0,22752584
(주)CMG제약,058820,2015/12,0,27041894,0,27041894
(주)CMG제약,058820,2016/12,0,32969825,0,32969825
(주)CMG제약,058820,2017/12,0,41535588,0,41535588
(주)CMG제약,058820,2018/12,0,49864782,0,49864782
(주)CMG제약,058820,2019/12,0,58622681,0,58622681
(주)DB하이텍,000990,2011/12,0,552216245,0,534317238
(주)DB하이텍,000990,2012/12,0,590786488,0,583901597
(주)DB하이텍,000990,2013/12,0,493752028,0,493752028
(주)DB하이텍,000990,2014/12,0,567718224,0,567718224
(주)DB하이텍,000990,2015/12,0,666594987,0,666594987
(주)DB하이텍,000990,2016/12,0,773140180,0,773140180
(주)DB하이텍,000990,2017/12,0,679737744,0,679737744
(주)DB하이텍,000990,2018/12,0,669279136,0,669279136
(주)DB하이텍,000990,2019/12,0,807416423,0,807416423
(주)ES큐브,050120,2011/12,0,53379952,0,41700477
(주)ES큐브,050120,2012/12,0,55971147,0,44178050
(주)ES큐브,050120,2013/12,0,58597361,0,45823196
(주)ES큐브,050120,2014/12,0,44459581,0,37188072
(주)ES큐브,050120,2015/12,0,42152967,0,36887119
(주)ES큐브,050120,2016/12,0,34289385,0,34818205
(주)ES큐브,050120,2017/12,0,35745794,0,37104908
(주)ES큐브,050120,2018/12,0,33763508,0,31308873
(주)ES큐브,050120,2019/12,6734172,43708239,0,28527284
(주)HJ중공업,097230,2011/12,0,2891499000,0,2316017000
(주)HJ중공업,097230,2012/12,0,2549319000,0,1980761000
(주)HJ중공업,097230,2013/12,0,2529341000,0,1927307000
(주)HJ중공업,097230,2014/12,0,2520325000,0,1799016000
(주)HJ중공업,097230,2015/12,0,3115473000,0,2041347000
(주)HJ중공업,097230,2016/12,0,2813271000,0,1928591000
(주)HJ중공업,097230,2017/12,0,2452314000,0,1737428000
(주)HJ중공업,097230,2018/12,0,1697869000,0,1750954000
(주)HJ중공업,097230,2019/12,0,1628751000,0,1609530000
(주)MH에탄올,023150,2011/12,0,44785159,0,43206995
(주)MH에탄올,023150,2012/12,0,59768175,0,45488675
(주)MH에탄올,023150,2013/12,0,62199887,0,46298516
(주)MH에탄올,023150,2014/12,0,48983781,0,48983781
(주)MH에탄올,023150,2015/12,0,50386203,0,50386203
(주)MH에탄올,023150,2016/12,0,48897025,0,48897025
(주)MH에탄올,023150,2017/12,0,51977132,0,48270464
(주)MH에탄올,023150,2018/12,0,72795863,0,46943080
(주)MH에탄올,023150,2019/12,0,80879342,0,46992295
(주)SH에너지화학,002360,2011/12,0,173209351,0,172752632
(주)SH에너지화학,002360,2012/12,0,193950102,0,191907628
(주)SH에너지화학,002360,2013/12,0,231912218,0,229783541
(주)SH에너지화학,002360,2014/12,0,230912587,0,226971465
(주)SH에너지화학,002360,2015/12,0,216441364,0,213882181
(주)SH에너지화학,002360,2016/12,0,218397677,0,214380015
(주)SH에너지화학,002360,2017/12,0,188114822,0,184672638
(주)SH에너지화학,002360,2018/12,0,183598766,0,180753289
(주)SH에너지화학,002360,2019/12,0,140852575,0,138161816
(주)SIMPAC,009160,2011/12,0,215365697,0,213867522
(주)SIMPAC,009160,2012/12,0,225353321,0,223854758
(주)SIMPAC,009160,2013/12,0,205751154,0,204527751
(주)SIMPAC,009160,2014/12,0,263152264,0,227491803
(주)SIMPAC,009160,2015/12,0,269528038,0,213152303
(주)SIMPAC,009160,2016/12,0,267074156,0,215839356
(주)SIMPAC,009160,2017/12,0,230634812,0,203150228
(주)SIMPAC,009160,2018/12,0,306150809,0,268863854
(주)SIMPAC,009160,2019/12,0,430085162,0,391970769
(주)SNT에너지,100840,2011/12,,,0,195318747
(주)SNT에너지,100840,2012/12,,,0,230707564
(주)SNT에너지,100840,2013/12,,,0,200750984
(주)SNT에너지,100840,2014/12,,,0,242746888
(주)SNT에너지,100840,2015/12,,,0,260094045
(주)SNT에너지,100840,2016/12,,,0,254089906
(주)SNT에너지,100840,2017/12,,,0,184091945
(주)SNT에너지,100840,2018/12,,,0,139516396
(주)SNT에너지,100840,2019/12,0,213326726,0,202822913
(주)SNT홀딩스,036530,2011/12,0,1663846065,0,2257851
(주)SNT홀딩스,036530,2012/12,0,1668749904,0,8718270
(주)SNT홀딩스,036530,2013/12,0,1576368464,0,8826810
(주)SNT홀딩스,036530,2014/12,0,1552374806,0,7701882
(주)SNT홀딩스,036530,2015/12,0,1612746929,0,8475099
(주)SNT홀딩스,036530,2016/12,0,1537700275,0,9818190
(주)SNT홀딩스,036530,2017/12,0,1508152132,0,7417869
(주)SNT홀딩스,036530,2018/12,0,1401307482,0,7292112
(주)SNT홀딩스,036530,2019/12,0,1512114565,0,11015928
(주)STX,011810,2011/12,0,5967701000,0,4173397000
(주)STX,011810,2012/12,0,6159850000,0,4116767000
(주)STX,011810,2013/12,0,2449401000,0,1895063000
(주)STX,011810,2014/12,0,1634606000,0,1291351000
(주)STX,011810,2015/12,0,1630827000,0,1362127000
(주)STX,011810,2016/12,0,1720153000,0,1465561000
(주)STX,011810,2017/12,0,1803878000,0,1595494000
(주)STX,011810,2018/12,0,1502985000,0,1329890000
(주)STX,011810,2019/12,0,1471164000,0,1237876000
(주)TCC스틸,002710,2011/12,0,514424043,0,456928069
(주)TCC스틸,002710,2012/12,0,501337475,0,440568155
(주)TCC스틸,002710,2013/12,0,500832754,0,419483813
(주)TCC스틸,002710,2014/12,0,518995240,0,401323585
(주)TCC스틸,002710,2015/12,0,495795871,0,350074629
(주)TCC스틸,002710,2016/12,0,444453635,0,317235565
(주)TCC스틸,002710,2017/12,0,391370092,0,333762378
(주)TCC스틸,002710,2018/12,0,413176279,0,351301866
