회사명,거래소코드,회계년도,기계장치(IFRS연결,기계장치(IFRS),합계_기말인원
(주)CMG제약,58820,Dec-11,3944218,3944218,135
(주)CMG제약,58820,Dec-12,4288368,4288368,134
(주)CMG제약,58820,Dec-13,4595388,4595388,136
(주)CMG제약,58820,Dec-14,7950710,7950710,164
(주)CMG제약,58820,Dec-15,8328336,8328336,156
(주)CMG제약,58820,Dec-16,8523793,8523793,160
(주)CMG제약,58820,Dec-17,9029339,9029339,200
(주)CMG제약,58820,Dec-18,9751312,9751312,222
(주)CMG제약,58820,Dec-19,10703886,10703886,241
(주)DB하이텍,990,Dec-11,1531279417,1531278817,2567
(주)DB하이텍,990,Dec-12,1456050000,1456050000,2304
(주)DB하이텍,990,Dec-13,1462150000,1462150000,2142
(주)DB하이텍,990,Dec-14,1475386000,1475386000,1999
(주)DB하이텍,990,Dec-15,1550672000,1550672000,2004
(주)DB하이텍,990,Dec-16,1630540000,1630540000,2047
(주)DB하이텍,990,Dec-17,1684434000,1684434000,1940
(주)DB하이텍,990,Dec-18,1713452491,1713452000,1955
(주)DB하이텍,990,Dec-19,1822085000,1822084743,1979
(주)ES큐브,50120,Dec-11,835643,720,237
(주)ES큐브,50120,Dec-12,693268,492,236
(주)ES큐브,50120,Dec-13,428855,186,100
(주)ES큐브,50120,Dec-14,533831,0,27
(주)ES큐브,50120,Dec-15,305943,0,39
(주)ES큐브,50120,Dec-16,167403,0,30
(주)ES큐브,50120,Dec-17,411066,0,35
(주)ES큐브,50120,Dec-18,362241,0,30
(주)ES큐브,50120,Dec-19,337131,0,30
(주)HJ중공업,97230,Dec-11,500193000,98801000,2785
(주)HJ중공업,97230,Dec-12,481476000,98606000,2634
(주)HJ중공업,97230,Dec-13,493709000,99298000,2758
(주)HJ중공업,97230,Dec-14,506693000,98168000,2544
(주)HJ중공업,97230,Dec-15,557825000,101523000,2632
(주)HJ중공업,97230,Dec-16,582148000,94949000,2473
(주)HJ중공업,97230,Dec-17,506543000,68795000,2493
(주)HJ중공업,97230,Dec-18,67790000,67790000,2271
(주)HJ중공업,97230,Dec-19,68832000,68832000,2016
(주)MH에탄올,23150,Dec-11,13957369,9897298,51
(주)MH에탄올,23150,Dec-12,13629527,10017098,52
(주)MH에탄올,23150,Dec-13,13778632,10102098,51
