회사명,거래소코드,회계년도,부가가치(IFRS연결),기계장치(IFRS연결),부가가치(IFRS개별),기계장치(IFRS개별)
(주)CMG제약,58820,Dec-11,3472.17,3944218,3669.25,3944218
(주)CMG제약,58820,Dec-12,269.31,4288368,-88.04,4288368
(주)CMG제약,58820,Dec-13,6994.9,4595388,6952.08,4595388
(주)CMG제약,58820,Dec-14,7061.34,7950710,7065.04,7950710
(주)CMG제약,58820,Dec-15,4315.37,8328336,4316.8,8328336
(주)CMG제약,58820,Dec-16,10518.86,8523793,10518.86,8523793
(주)CMG제약,58820,Dec-17,13710.01,9029339,13710.01,9029339
(주)CMG제약,58820,Dec-18,16847.65,9751312,16847.65,9751312
(주)CMG제약,58820,Dec-19,19033.25,10703886,19033.25,10703886
(주)DB하이텍,990,Dec-11,217837.57,1531279417,216914,1531278817
(주)DB하이텍,990,Dec-12,245655.23,1456050000,241800.39,1456050000
(주)DB하이텍,990,Dec-13,191554.48,1462150000,198528.8,1462150000
(주)DB하이텍,990,Dec-14,187341.51,1475386000,207672.46,1475386000
(주)DB하이텍,990,Dec-15,386127.3,1550672000,382610.36,1550672000
(주)DB하이텍,990,Dec-16,341049.1,1630540000,336460.47,1630540000
(주)DB하이텍,990,Dec-17,329388.04,1684434000,292737.25,1684434000
(주)DB하이텍,990,Dec-18,309084.25,1713452491,316543.96,1713452000
(주)DB하이텍,990,Dec-19,379212.5,1822085000,394709.63,1822084743
(주)ES큐브,50120,Dec-11,12044.17,835643,7961.63,720
(주)ES큐브,50120,Dec-12,17991.74,693268,11617.33,492
(주)ES큐브,50120,Dec-13,1434.39,428855,-5722.54,186
(주)ES큐브,50120,Dec-14,5773,533831,1481.4,0
(주)ES큐브,50120,Dec-15,2670.29,305943,6263.14,0
(주)ES큐브,50120,Dec-16,26875.03,167403,20160.01,0
(주)ES큐브,50120,Dec-17,7493.34,411066,4476.07,0
(주)ES큐브,50120,Dec-18,1165.56,362241,177.01,0
(주)ES큐브,50120,Dec-19,-557.97,337131,-6558.67,0
(주)HJ중공업,97230,Dec-11,494018,500193000,364032,98801000
(주)HJ중공업,97230,Dec-12,543885,481476000,488043,98606000
(주)HJ중공업,97230,Dec-13,358044,493709000,213438,99298000
(주)HJ중공업,97230,Dec-14,291365,506693000,241189,98168000
(주)HJ중공업,97230,Dec-15,292787,557825000,171017,101523000
(주)HJ중공업,97230,Dec-16,221273,582148000,77014,94949000
(주)HJ중공업,97230,Dec-17,171765,506543000,62839,68795000
(주)HJ중공업,97230,Dec-18,390449,67790000,-664773,67790000
(주)HJ중공업,97230,Dec-19,333185,68832000,291962,68832000
(주)MH에탄올,23150,Dec-11,8741.25,13957369,12156.15,9897298
(주)MH에탄올,23150,Dec-12,15364.39,13629527,11475.93,10017098
(주)MH에탄올,23150,Dec-13,13050.09,13778632,-10099.69,10102098
(주)MH에탄올,23150,Dec-14,11295.12,11481026,11030.53,11481026
(주)MH에탄올,23150,Dec-15,16454.85,12377510,16452.87,12377510
(주)MH에탄올,23150,Dec-16,17091.29,12494639,16882.88,12494639
(주)MH에탄올,23150,Dec-17,14202.61,13336059,14882.33,13336060
(주)MH에탄올,23150,Dec-18,16853.56,13588329,16047.25,13588330
(주)MH에탄올,23150,Dec-19,22570.7,14155129,5096.55,14155129
(주)SH에너지화학,2360,Dec-11,14210,25479087,14221.3,25479087
(주)SH에너지화학,2360,Dec-12,14518.25,27068753,13164.14,27068753
(주)SH에너지화학,2360,Dec-13,20836.07,27909031,18725.38,27909031
(주)SH에너지화학,2360,Dec-14,37108.64,28351425,33796.55,28351425
(주)SH에너지화학,2360,Dec-15,36388.74,30587094,34895.57,30587094
(주)SH에너지화학,2360,Dec-16,40893.43,30867878,39411.54,30867877
(주)SH에너지화학,2360,Dec-17,29127.7,31647086,27260.32,31647086
(주)SH에너지화학,2360,Dec-18,19920.85,31839773,19849.37,31839773
(주)SH에너지화학,2360,Dec-19,13705.14,33882924,12959.9,33882924
(주)SIMPAC,9160,Dec-11,53726.56,18666167,47745.41,18666167
(주)SIMPAC,9160,Dec-12,43772.07,22387797,45503.45,22387797
(주)SIMPAC,9160,Dec-13,46115.44,24742321,44116.55,24742321
(주)SIMPAC,9160,Dec-14,51704.11,45051844,35041.8,26089830
(주)SIMPAC,9160,Dec-15,59958.15,49564682,48511.4,29948323
(주)SIMPAC,9160,Dec-16,59093.1,55929435,45818.17,36313076
(주)SIMPAC,9160,Dec-17,43282.91,55792892,33411.91,36327651
(주)SIMPAC,9160,Dec-18,114254.96,128448700,94742.34,109088328
