회사명,거래소코드,회계년도,부가가치(IFRS연결),인건비(IFRS연결),부가가치(IFRS개별),인건비(IFRS개별)
(주)CMG제약,58820,Dec-11,3472.17,3118.67,3669.25,3110.72
(주)CMG제약,58820,Dec-12,269.31,4712.51,-88.04,4677.39
(주)CMG제약,58820,Dec-13,6994.9,4986.26,6952.08,4971.13
(주)CMG제약,58820,Dec-14,7061.34,5599.85,7065.04,5599.85
(주)CMG제약,58820,Dec-15,4315.37,6218.5,4316.8,6218.5
(주)CMG제약,58820,Dec-16,10518.86,6682.92,10518.86,6682.92
(주)CMG제약,58820,Dec-17,13710.01,8786.99,13710.01,8786.99
(주)CMG제약,58820,Dec-18,16847.65,11342.93,16847.65,11342.93
(주)CMG제약,58820,Dec-19,19033.25,13817.61,19033.25,13817.61
(주)DB하이텍,990,Dec-11,217837.57,136223,216914,131619
(주)DB하이텍,990,Dec-12,245655.23,137384,241800.39,133918
(주)DB하이텍,990,Dec-13,191554.48,128629,198528.8,126871
(주)DB하이텍,990,Dec-14,187341.51,128497,207672.46,126669
(주)DB하이텍,990,Dec-15,386127.3,138722,382610.36,137214
(주)DB하이텍,990,Dec-16,341049.1,138765,336460.47,137535
(주)DB하이텍,990,Dec-17,329388.04,132417,292737.25,131160
(주)DB하이텍,990,Dec-18,309084.25,132673,316543.96,131877
(주)DB하이텍,990,Dec-19,379212.5,144912,394709.63,143826
(주)ES큐브,50120,Dec-11,12044.17,14476.82,7961.63,9811.54
(주)ES큐브,50120,Dec-12,17991.74,15492.37,11617.33,9914.56
(주)ES큐브,50120,Dec-13,1434.39,15101.11,-5722.54,7979.24
(주)ES큐브,50120,Dec-14,5773,4775.85,1481.4,3113.36
(주)ES큐브,50120,Dec-15,2670.29,5261.84,6263.14,2511.06
(주)ES큐브,50120,Dec-16,26875.03,4346.67,20160.01,2317.84
(주)ES큐브,50120,Dec-17,7493.34,4158.1,4476.07,2374.2
(주)ES큐브,50120,Dec-18,1165.56,4547.17,177.01,2483.47
(주)ES큐브,50120,Dec-19,-557.97,5313.1,-6558.67,2427.59
(주)HJ중공업,97230,Dec-11,494018,203264,364032,197662
(주)HJ중공업,97230,Dec-12,543885,213333,488043,207835
(주)HJ중공업,97230,Dec-13,358044,279734,213438,268095
(주)HJ중공업,97230,Dec-14,291365,280340,241189,268275
(주)HJ중공업,97230,Dec-15,292787,283054,171017,269035
(주)HJ중공업,97230,Dec-16,221273,281156,77014,219001
(주)HJ중공업,97230,Dec-17,171765,205593,62839,202835
(주)HJ중공업,97230,Dec-18,390449,181945,-664773,181627
(주)HJ중공업,97230,Dec-19,333185,172176,291962,171931
(주)MH에탄올,23150,Dec-11,8741.25,4441,12156.15,3870.37
(주)MH에탄올,23150,Dec-12,15364.39,5785.63,11475.93,3962.5
(주)MH에탄올,23150,Dec-13,13050.09,5227.8,-10099.69,4023.45
(주)MH에탄올,23150,Dec-14,11295.12,4368.17,11030.53,4368.17
(주)MH에탄올,23150,Dec-15,16454.85,4383.54,16452.87,4383.54
(주)MH에탄올,23150,Dec-16,17091.29,4839.4,16882.88,4839.4
(주)MH에탄올,23150,Dec-17,14202.61,5833.99,14882.33,4934.38
(주)MH에탄올,23150,Dec-18,16853.56,9214.1,16047.25,5459.83
(주)MH에탄올,23150,Dec-19,22570.7,9943.06,5096.55,5927.26
(주)SH에너지화학,2360,Dec-11,14210,8434.07,14221.3,7862.51
(주)SH에너지화학,2360,Dec-12,14518.25,10200.48,13164.14,8845.3
(주)SH에너지화학,2360,Dec-13,20836.07,12079.17,18725.38,10610.53
(주)SH에너지화학,2360,Dec-14,37108.64,13048.34,33796.55,11801.17
(주)SH에너지화학,2360,Dec-15,36388.74,16592.48,34895.57,15057.88
(주)SH에너지화학,2360,Dec-16,40893.43,15744.19,39411.54,14750.41
(주)SH에너지화학,2360,Dec-17,29127.7,14667,27260.32,13794.92
(주)SH에너지화학,2360,Dec-18,19920.85,15291.7,19849.37,14545.38
(주)SH에너지화학,2360,Dec-19,13705.14,15136.04,12959.9,14488.62
(주)SIMPAC,9160,Dec-11,53726.56,17977.59,47745.41,17722.3
(주)SIMPAC,9160,Dec-12,43772.07,18370.81,45503.45,18081.51
(주)SIMPAC,9160,Dec-13,46115.44,17849.27,44116.55,17564.92
(주)SIMPAC,9160,Dec-14,51704.11,28207.9,35041.8,20170
(주)SIMPAC,9160,Dec-15,59958.15,31196.2,48511.4,21419.52
(주)SIMPAC,9160,Dec-16,59093.1,30407.83,45818.17,21089.3
(주)SIMPAC,9160,Dec-17,43282.91,26075.8,33411.91,17775.61
(주)SIMPAC,9160,Dec-18,114254.96,31469.15,94742.34,23657.49
(주)SIMPAC,9160,Dec-19,65475.48,37403.36,50726.3,28048.14
(주)SNT에너지,100840,Dec-11,,,-5072.93,0
(주)SNT에너지,100840,Dec-12,,,-3911.2,-12643.46
(주)SNT에너지,100840,Dec-13,,,36145.24,14424.28
(주)SNT에너지,100840,Dec-14,,,31921.1,15662.04
(주)SNT에너지,100840,Dec-15,,,53697.45,16172.9
(주)SNT에너지,100840,Dec-16,,,21049.19,15986.07
(주)SNT에너지,100840,Dec-17,,,22693.15,14517.49
(주)SNT에너지,100840,Dec-18,,,16995.59,13794.98
(주)SNT에너지,100840,Dec-19,36695.84,15404.41,34093.55,14196.67
(주)SNT홀딩스,36530,Dec-11,316126.05,153640.27,-3092.48,1072.02
