회사명,거래소코드,회계년도,유형자산(IFRS연결),건설중인자산(IFRS연결),유형자산(IFRS개별),건설중인자산(IFRS개별),합계_기말인원
(주)CMG제약,58820,Dec-11,0,24700,9652599,24700,135
(주)CMG제약,58820,Dec-12,0,0,9264142,0,134
(주)CMG제약,58820,Dec-13,0,1827454,10805092,1827454,136
(주)CMG제약,58820,Dec-14,0,154233,18833775,154233,164
(주)CMG제약,58820,Dec-15,0,0,17822468,0,156
(주)CMG제약,58820,Dec-16,0,24524,16905814,24524,160
(주)CMG제약,58820,Dec-17,0,28136,16182518,28136,200
(주)CMG제약,58820,Dec-18,0,1412095,17268535,1412095,222
(주)CMG제약,58820,Dec-19,0,7510879,24119403,7510880,241
(주)DB하이텍,990,Dec-11,0,27453000,758179817,27453000,2567
(주)DB하이텍,990,Dec-12,0,22706000,684941380,22706000,2304
(주)DB하이텍,990,Dec-13,0,36099000,635765049,36099000,2142
(주)DB하이텍,990,Dec-14,0,41972000,591653498,41973000,1999
(주)DB하이텍,990,Dec-15,0,44837000,533113708,44837000,2004
(주)DB하이텍,990,Dec-16,0,50562000,547687840,50562000,2047
(주)DB하이텍,990,Dec-17,0,42348000,555556192,42348000,1940
(주)DB하이텍,990,Dec-18,0,100033000,597563521,100033000,1955
(주)DB하이텍,990,Dec-19,0,61122000,616562743,61122000,1979
(주)ES큐브,50120,Dec-11,0,0,1407274,0,237
(주)ES큐브,50120,Dec-12,0,0,1395951,0,236
(주)ES큐브,50120,Dec-13,0,0,914811,0,100
(주)ES큐브,50120,Dec-14,0,0,640405,0,27
(주)ES큐브,50120,Dec-15,0,0,596347,0,39
(주)ES큐브,50120,Dec-16,0,0,4673186,0,30
(주)ES큐브,50120,Dec-17,0,0,7506218,0,35
(주)ES큐브,50120,Dec-18,0,0,10880733,0,30
(주)ES큐브,50120,Dec-19,0,0,10576512,0,30
(주)HJ중공업,97230,Dec-11,4347000,19784000,1427510000,5016000,2785
(주)HJ중공업,97230,Dec-12,0,55437000,1343556000,13655000,2634
(주)HJ중공업,97230,Dec-13,0,24325000,1329680000,22403000,2758
(주)HJ중공업,97230,Dec-14,0,54901000,1263266000,41086000,2544
(주)HJ중공업,97230,Dec-15,80000,43452000,1223488000,36388000,2632
(주)HJ중공업,97230,Dec-16,152543000,54116000,1036188000,45263000,2473
(주)HJ중공업,97230,Dec-17,80000,6573000,653140000,1828000,2493
(주)HJ중공업,97230,Dec-18,200418000,2227000,636673000,2227000,2271
(주)HJ중공업,97230,Dec-19,5767000,1800000,613082000,1800000,2016
(주)MH에탄올,23150,Dec-11,0,58210,35172601,0,51
(주)MH에탄올,23150,Dec-12,0,0,34423174,0,52
(주)MH에탄올,23150,Dec-13,0,69000,34123721,69000,51
(주)MH에탄올,23150,Dec-14,0,486096,36083178,486096,53
(주)MH에탄올,23150,Dec-15,0,268000,36846498,268000,47
(주)MH에탄올,23150,Dec-16,0,402993,37390792,402993,43
(주)MH에탄올,23150,Dec-17,0,333000,39418503,333000,48
(주)MH에탄올,23150,Dec-18,0,650107,40585694,51500,50
(주)MH에탄올,23150,Dec-19,0,1085121,41121323,150000,47
(주)SH에너지화학,2360,Dec-11,0,1175202,33115306,1175202,109
(주)SH에너지화학,2360,Dec-12,0,711970,32608108,711970,112
(주)SH에너지화학,2360,Dec-13,0,828543,31944570,828543,116
(주)SH에너지화학,2360,Dec-14,0,715481,31070401,715481,140
(주)SH에너지화학,2360,Dec-15,0,373549,32654731,373550,146
(주)SH에너지화학,2360,Dec-16,0,466709,31792327,466709,148
(주)SH에너지화학,2360,Dec-17,0,392095,30956708,392095,148
(주)SH에너지화학,2360,Dec-18,0,492857,29913044,492857,156
(주)SH에너지화학,2360,Dec-19,0,2268097,33126165,2268097,158
(주)SIMPAC,9160,Dec-11,0,1103192,62702218,1103192,257
(주)SIMPAC,9160,Dec-12,0,0,64182764,0,275
(주)SIMPAC,9160,Dec-13,0,0,64271295,0,277
(주)SIMPAC,9160,Dec-14,0,2307507,70604838,2307507,305
(주)SIMPAC,9160,Dec-15,0,5215137,75847152,5215137,296
(주)SIMPAC,9160,Dec-16,0,2600,75130388,2600,306
(주)SIMPAC,9160,Dec-17,0,2600,70402759,2600,305
(주)SIMPAC,9160,Dec-18,0,301000,156312739,301000,500
(주)SIMPAC,9160,Dec-19,0,1303450,153003014,1250250,491
(주)SNT에너지,100840,Dec-11,,,122586108,31000,184
(주)SNT에너지,100840,Dec-12,,,122289502,0,195
(주)SNT에너지,100840,Dec-13,,,120367341,0,209
(주)SNT에너지,100840,Dec-14,,,120065551,75369,218
(주)SNT에너지,100840,Dec-15,,,118714558,0,232
(주)SNT에너지,100840,Dec-16,,,118148046,0,218
(주)SNT에너지,100840,Dec-17,,,116825424,0,195
(주)SNT에너지,100840,Dec-18,,,115728393,237174,190
(주)SNT에너지,100840,Dec-19,0,739889,116275557,739889,191
(주)SNT홀딩스,36530,Dec-11,10574528,16444584,150611,0,9
(주)SNT홀딩스,36530,Dec-12,0,6983785,100263,0,9
(주)SNT홀딩스,36530,Dec-13,0,8825589,54602,0,8
(주)SNT홀딩스,36530,Dec-14,0,24955195,75419,0,8
(주)SNT홀딩스,36530,Dec-15,1686108,18812799,55309,0,8
(주)SNT홀딩스,36530,Dec-16,0,11797205,35654,0,8
(주)SNT홀딩스,36530,Dec-17,0,6653359,19895,0,7
(주)SNT홀딩스,36530,Dec-18,0,14610465,2888,0,10
(주)SNT홀딩스,36530,Dec-19,0,23474134,59663,0,10
(주)STX,11810,Dec-11,0,27862000,72801000,0,392
(주)STX,11810,Dec-12,0,201250000,69598000,0,375
(주)STX,11810,Dec-13,0,0,62152000,0,177
(주)STX,11810,Dec-14,0,0,57120000,0,124
(주)STX,11810,Dec-15,0,125000,53714000,0,127
(주)STX,11810,Dec-16,0,234000,30798000,0,120
(주)STX,11810,Dec-17,26090000,364000,29631000,0,119
(주)STX,11810,Dec-18,0,16000,28464000,0,110
(주)STX,11810,Dec-19,0,69000,43245000,0,116
(주)TCC스틸,2710,Dec-11,0,1119494,75283350,1119494,315
(주)TCC스틸,2710,Dec-12,0,16963339,71554979,743100,319
(주)TCC스틸,2710,Dec-13,0,4938140,71255687,0,311
(주)TCC스틸,2710,Dec-14,0,3997004,68743151,0,306
(주)TCC스틸,2710,Dec-15,106445325,0,50635593,0,281
(주)TCC스틸,2710,Dec-16,0,101346,43730610,101346,277
(주)TCC스틸,2710,Dec-17,0,19800,45541678,19800,283
(주)TCC스틸,2710,Dec-18,0,306250,43204124,306250,277
(주)TCC스틸,2710,Dec-19,0,2512043,47129444,2512043,275
(주)가비아,79940,Dec-11,0,0,7163470,0,191
(주)가비아,79940,Dec-12,1448018,0,23749485,0,211
(주)가비아,79940,Dec-13,0,0,22732962,0,228
(주)가비아,79940,Dec-14,2512377,0,22313113,0,247
(주)가비아,79940,Dec-15,0,0,22210592,0,262
(주)가비아,79940,Dec-16,0,0,22429866,0,268
(주)가비아,79940,Dec-17,0,579154,22362004,435654,275
(주)가비아,79940,Dec-18,0,3862712,24425180,1738220,280
(주)가비아,79940,Dec-19,0,21744142,39724951,9795289,277
(주)강스템바이오텍,217730,Dec-15,,,2980005,0,62
(주)강스템바이오텍,217730,Dec-16,,,4039297,1068262,79
(주)강스템바이오텍,217730,Dec-17,0,7327062,12480829,7327062,75
(주)강스템바이오텍,217730,Dec-18,0,9547126,14220013,9547126,89
(주)강스템바이오텍,217730,Dec-19,0,25963956,22738650,18450622,102
(주)강원랜드,35250,Dec-11,0,111936204,1302068954,110537110,3145
(주)강원랜드,35250,Dec-12,0,34660762,1334113267,22045367,3184
(주)강원랜드,35250,Dec-13,0,70878212,1327018456,25757113,3657
(주)강원랜드,35250,Dec-14,0,72921157,1284798892,41557550,3591
(주)강원랜드,35250,Dec-15,0,63789006,1253601276,32826352,3620
(주)강원랜드,35250,Dec-16,0,52323443,1254129261,52323443,3629
(주)강원랜드,35250,Dec-17,0,93200856,1253403658,93200856,3693
(주)강원랜드,35250,Dec-18,0,29571131,1299058388,29571131,5194
(주)강원랜드,35250,Dec-19,0,37071729,1353732478,36221457,5147
(주)강원에너지,114190,Nov-11,,,3912294,0,94
(주)강원에너지,114190,Dec-12,,,4416402,203000,101
(주)강원에너지,114190,Dec-13,,,4787448,585000,112
(주)강원에너지,114190,Dec-14,,,10004091,261301,147
(주)강원에너지,114190,Dec-15,0,2774080,9712091,6048,133
