회사명,거래소코드,회계년도,유동자산(IFRS연결),재고자산(IFRS연결),유동부채(IFRS연결),유동자산(IFRS개별),재고자산(IFRS개별),유동부채(IFRS개별)
(주)CMG제약,58820,Dec-11,15341167,2743103,7633673,15264885,2743103,7620349
(주)CMG제약,58820,Dec-12,47109213,2955172,6793095,47073443,2955172,6665126
(주)CMG제약,58820,Dec-13,38209699,4618718,5500075,38258866,4618718,5498201
(주)CMG제약,58820,Dec-14,28300941,4913103,8719202,28359823,4913103,8713579
(주)CMG제약,58820,Dec-15,26271614,5455617,8849994,26330765,5455617,8843328
(주)CMG제약,58820,Dec-16,78772201,6393756,9136755,78772201,6393756,9136755
(주)CMG제약,58820,Dec-17,81227330,7904518,10884321,81227330,7904518,10884321
(주)CMG제약,58820,Dec-18,81370415,8572582,8495060,81370415,8572582,8495060
(주)CMG제약,58820,Dec-19,150584066,9048933,9306387,150584066,9048933,9306387
(주)DB하이텍,990,Dec-11,279725559,77112663,794704783,265976810,77112663,796794129
(주)DB하이텍,990,Dec-12,309144147,79262392,555433290,303296307,79262392,563352691
(주)DB하이텍,990,Dec-13,222960700,72377687,476867874,222316934,72377687,476710357
(주)DB하이텍,990,Dec-14,247582371,69179569,376436760,246306720,69179569,376149526
(주)DB하이텍,990,Dec-15,337757266,83459568,244044785,334045125,83459568,242109386
(주)DB하이텍,990,Dec-16,368924211,76344778,274231115,364126852,76344778,271946015
(주)DB하이텍,990,Dec-17,353662841,75018890,145225195,348507961,75018890,143100665
(주)DB하이텍,990,Dec-18,383378937,42891649,156796450,380098326,42891649,156793407
(주)DB하이텍,990,Dec-19,426263421,51837841,219715556,422531166,51837841,219572033
(주)ES큐브,50120,Dec-11,34078195,5312339,14801430,18786276,383848,4839823
(주)ES큐브,50120,Dec-12,22707006,4844206,4802996,15631243,410944,3228112
(주)ES큐브,50120,Dec-13,38357211,6264936,3630549,32518902,426328,2690545
(주)ES큐브,50120,Dec-14,46214758,6084161,6002775,21477612,264950,3055060
(주)ES큐브,50120,Dec-15,41180599,6783417,5378364,22590313,397788,1792096
(주)ES큐브,50120,Dec-16,50885945,7447857,3406254,43388800,420745,4569554
(주)ES큐브,50120,Dec-17,51038158,8346570,3702478,44761949,408271,4085637
(주)ES큐브,50120,Dec-18,45061626,9236879,37613190,29054833,560371,37696219
(주)ES큐브,50120,Dec-19,359030693,7648032,230135454,24298462,468610,54789915
(주)HJ중공업,97230,Dec-11,2391530000,360584000,2482598000,2183437000,183693000,1800533000
(주)HJ중공업,97230,Dec-12,2274211000,223809000,2448324000,2419666000,163272000,2125376000
(주)HJ중공업,97230,Dec-13,2788908000,601781000,3284862000,1949615000,489464000,2490138000
(주)HJ중공업,97230,Dec-14,2647534000,655829000,2843001000,1858441000,459613000,2203465000
(주)HJ중공업,97230,Dec-15,2429499000,873978000,3430218000,1622994000,721779000,2558441000
(주)HJ중공업,97230,Dec-16,2372221000,675011000,2636927000,1709538000,518530000,1598996000
(주)HJ중공업,97230,Dec-17,1894161000,709533000,3329421000,1390569000,655299000,2532122000
(주)HJ중공업,97230,Dec-18,1720906000,519198000,2140149000,1382999000,519388000,1490510000
(주)HJ중공업,97230,Dec-19,1300538000,363759000,1845223000,1299550000,363759000,1840367000
(주)MH에탄올,23150,Dec-11,45677724,9734817,78266518,26253473,4542443,66482839
(주)MH에탄올,23150,Dec-12,50009828,20566965,81625166,23099890,5306016,67402817
(주)MH에탄올,23150,Dec-13,43178092,12486229,75260635,25868582,6094594,67842982
(주)MH에탄올,23150,Dec-14,28731429,6986598,31619269,28019052,6986598,31619104
(주)MH에탄올,23150,Dec-15,22500870,3603074,20538639,21758814,3603074,20538474
(주)MH에탄올,23150,Dec-16,19709368,5538540,7640748,18955978,5538540,7640583
(주)MH에탄올,23150,Dec-17,84767703,5608722,189894170,18235352,5502545,15540676
(주)MH에탄올,23150,Dec-18,29576016,6538026,141080352,18385099,6430326,13740951
(주)MH에탄올,23150,Dec-19,32814839,8173323,282350933,18130225,8081383,14251549
(주)SH에너지화학,2360,Dec-11,50355479,11114123,34076575,47641848,11114123,32842749
(주)SH에너지화학,2360,Dec-12,50509179,14210523,29499813,48762275,14210523,28724217
(주)SH에너지화학,2360,Dec-13,59051785,11944305,35131167,57773554,11944305,34930123
(주)SH에너지화학,2360,Dec-14,60325646,13898172,20681148,55486941,13898172,20421353
(주)SH에너지화학,2360,Dec-15,68213722,11899473,17080931,63737267,11416122,16794017
(주)SH에너지화학,2360,Dec-16,84222915,11572141,12512423,79584275,10801243,12205868
(주)SH에너지화학,2360,Dec-17,87597479,19985599,8284440,79139030,18561488,8386725
(주)SH에너지화학,2360,Dec-18,85758694,22253999,6658546,77591484,20857092,6653981
(주)SH에너지화학,2360,Dec-19,83558867,16753438,7524603,74793897,15888341,7038413
(주)SIMPAC,9160,Dec-11,152885455,26468261,116979241,151220422,26353233,116922857
