회사명,거래소코드,회계년도,유동자산(IFRS연결),재고자산(IFRS연결),자산(IFRS연결),유동자산(IFRS개별),재고자산(IFRS개별),자산(IFRS개별)
(주)CMG제약,58820,Dec-11,15341167,2743103,27305198,15264885,2743103,27548539
(주)CMG제약,58820,Dec-12,47109213,2955172,57108035,47073443,2955172,56988604
(주)CMG제약,58820,Dec-13,38209699,4618718,55912563,38258866,4618718,55961620
(주)CMG제약,58820,Dec-14,28300941,4913103,58068326,28359823,4913103,58127098
(주)CMG제약,58820,Dec-15,26271614,5455617,56532821,26330765,5455617,56591972
(주)CMG제약,58820,Dec-16,78772201,6393756,110979867,78772201,6393756,110979867
(주)CMG제약,58820,Dec-17,81227330,7904518,109568153,81227330,7904518,109568153
(주)CMG제약,58820,Dec-18,81370415,8572582,114379880,81370415,8572582,114379880
(주)CMG제약,58820,Dec-19,150584066,9048933,192243166,150584066,9048933,192243166
(주)DB하이텍,990,Dec-11,279725559,77112663,1199043869,265976810,77112663,1183957429
(주)DB하이텍,990,Dec-12,309144147,79262392,1157755031,303296307,79262392,1149069244
(주)DB하이텍,990,Dec-13,222960700,72377687,1058391832,222316934,72377687,1049494642
(주)DB하이텍,990,Dec-14,247582371,69179569,984876636,246306720,69179569,1001959816
(주)DB하이텍,990,Dec-15,337757266,83459568,984643712,334045125,83459568,1005673854
(주)DB하이텍,990,Dec-16,368924211,76344778,986788572,364126852,76344778,1006370876
(주)DB하이텍,990,Dec-17,353662841,75018890,993950720,348507961,75018890,977575054
(주)DB하이텍,990,Dec-18,383378937,42891649,1066533840,380098326,42891649,1050696487
(주)DB하이텍,990,Dec-19,426263421,51837841,1088889810,422531166,51837841,1089400761
(주)ES큐브,50120,Dec-11,34078195,5312339,55477032,18786276,383848,45233434
(주)ES큐브,50120,Dec-12,22707006,4844206,46281660,15631243,410944,44676182
(주)ES큐브,50120,Dec-13,38357211,6264936,47137573,32518902,426328,47509654
(주)ES큐브,50120,Dec-14,46214758,6084161,56611836,21477612,264950,44914173
(주)ES큐브,50120,Dec-15,41180599,6783417,55620280,22590313,397788,47123684
(주)ES큐브,50120,Dec-16,50885945,7447857,105164626,43388800,420745,104459992
(주)ES큐브,50120,Dec-17,51038158,8346570,105892131,44761949,408271,104850192
(주)ES큐브,50120,Dec-18,45061626,9236879,112430896,29054833,560371,108481764
(주)ES큐브,50120,Dec-19,359030693,7648032,463958680,24298462,468610,136065488
(주)HJ중공업,97230,Dec-11,2391530000,360584000,7036680000,2183437000,183693000,5857119000
(주)HJ중공업,97230,Dec-12,2274211000,223809000,6585093000,2419666000,163272000,5938108000
(주)HJ중공업,97230,Dec-13,2788908000,601781000,6683379000,1949615000,489464000,5839633000
(주)HJ중공업,97230,Dec-14,2647534000,655829000,6470284000,1858441000,459613000,5469810000
(주)HJ중공업,97230,Dec-15,2429499000,873978000,5914637000,1622994000,721779000,4638381000
(주)HJ중공업,97230,Dec-16,2372221000,675011000,5256464000,1709538000,518530000,3921561000
(주)HJ중공업,97230,Dec-17,1894161000,709533000,4206655000,1390569000,655299000,3312303000
(주)HJ중공업,97230,Dec-18,1720906000,519198000,2733620000,1382999000,519388000,2388369000
(주)HJ중공업,97230,Dec-19,1300538000,363759000,2470222000,1299550000,363759000,2465650000
(주)MH에탄올,23150,Dec-11,45677724,9734817,134206851,26253473,4542443,135927085
(주)MH에탄올,23150,Dec-12,50009828,20566965,134385813,23099890,5306016,139200817
(주)MH에탄올,23150,Dec-13,43178092,12486229,129697936,25868582,6094594,122520742
(주)MH에탄올,23150,Dec-14,28731429,6986598,85534839,28019052,6986598,85253876
(주)MH에탄올,23150,Dec-15,22500870,3603074,78996052,21758814,3603074,78691328
(주)MH에탄올,23150,Dec-16,19709368,5538540,72339673,18955978,5538540,72025138
(주)MH에탄올,23150,Dec-17,84767703,5608722,500180086,18235352,5502545,107437079
(주)MH에탄올,23150,Dec-18,29576016,6538026,440177523,18385099,6430326,109656889
(주)MH에탄올,23150,Dec-19,32814839,8173323,451474451,18130225,8081383,101058662
(주)SH에너지화학,2360,Dec-11,50355479,11114123,104710740,47641848,11114123,102383199
(주)SH에너지화학,2360,Dec-12,50509179,14210523,103690070,48762275,14210523,102492810
(주)SH에너지화학,2360,Dec-13,59051785,11944305,110488951,57773554,11944305,109984767
(주)SH에너지화학,2360,Dec-14,60325646,13898172,110741407,55486941,13898172,109098264
(주)SH에너지화학,2360,Dec-15,68213722,11899473,115520726,63737267,11416122,114048206
(주)SH에너지화학,2360,Dec-16,84222915,11572141,124488724,79584275,10801243,122956894
(주)SH에너지화학,2360,Dec-17,87597479,19985599,125312154,79139030,18561488,123261552
(주)SH에너지화학,2360,Dec-18,85758694,22253999,122434685,77591484,20857092,120895795
(주)SH에너지화학,2360,Dec-19,83558867,16753438,123415832,74793897,15888341,121126250
(주)SIMPAC,9160,Dec-11,152885455,26468261,310879328,151220422,26353233,296953131
