회사명,거래소코드,회계년도,매출액(IFRS연결),유동자산(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),유동자산(IFRS개별),재고자산(IFRS개별)
(주)CMG제약,58820,Dec-11,17751704,15341167,2743103,17751704,15264885,2743103
(주)CMG제약,58820,Dec-12,16255389,47109213,2955172,16255389,47073443,2955172
(주)CMG제약,58820,Dec-13,20402140,38209699,4618718,20322140,38258866,4618718
(주)CMG제약,58820,Dec-14,22752584,28300941,4913103,22752584,28359823,4913103
(주)CMG제약,58820,Dec-15,27041894,26271614,5455617,27041894,26330765,5455617
(주)CMG제약,58820,Dec-16,32969825,78772201,6393756,32969825,78772201,6393756
(주)CMG제약,58820,Dec-17,41535588,81227330,7904518,41535588,81227330,7904518
(주)CMG제약,58820,Dec-18,49864782,81370415,8572582,49864782,81370415,8572582
(주)CMG제약,58820,Dec-19,58622681,150584066,9048933,58622681,150584066,9048933
(주)DB하이텍,990,Dec-11,552216245,279725559,77112663,534317238,265976810,77112663
(주)DB하이텍,990,Dec-12,590786488,309144147,79262392,583901597,303296307,79262392
(주)DB하이텍,990,Dec-13,493752028,222960700,72377687,493752028,222316934,72377687
(주)DB하이텍,990,Dec-14,567718224,247582371,69179569,567718224,246306720,69179569
(주)DB하이텍,990,Dec-15,666594987,337757266,83459568,666594987,334045125,83459568
(주)DB하이텍,990,Dec-16,773140180,368924211,76344778,773140180,364126852,76344778
(주)DB하이텍,990,Dec-17,679737744,353662841,75018890,679737744,348507961,75018890
(주)DB하이텍,990,Dec-18,669279136,383378937,42891649,669279136,380098326,42891649
(주)DB하이텍,990,Dec-19,807416423,426263421,51837841,807416423,422531166,51837841
(주)ES큐브,50120,Dec-11,53379952,34078195,5312339,41700477,18786276,383848
(주)ES큐브,50120,Dec-12,55971147,22707006,4844206,44178050,15631243,410944
(주)ES큐브,50120,Dec-13,58597361,38357211,6264936,45823196,32518902,426328
(주)ES큐브,50120,Dec-14,44459581,46214758,6084161,37188072,21477612,264950
(주)ES큐브,50120,Dec-15,42152967,41180599,6783417,36887119,22590313,397788
(주)ES큐브,50120,Dec-16,34289385,50885945,7447857,34818205,43388800,420745
(주)ES큐브,50120,Dec-17,35745794,51038158,8346570,37104908,44761949,408271
(주)ES큐브,50120,Dec-18,33763508,45061626,9236879,31308873,29054833,560371
(주)ES큐브,50120,Dec-19,43708239,359030693,7648032,28527284,24298462,468610
(주)HJ중공업,97230,Dec-11,2891499000,2391530000,360584000,2316017000,2183437000,183693000
(주)HJ중공업,97230,Dec-12,2549319000,2274211000,223809000,1980761000,2419666000,163272000
(주)HJ중공업,97230,Dec-13,2529341000,2788908000,601781000,1927307000,1949615000,489464000
(주)HJ중공업,97230,Dec-14,2520325000,2647534000,655829000,1799016000,1858441000,459613000
(주)HJ중공업,97230,Dec-15,3115473000,2429499000,873978000,2041347000,1622994000,721779000
(주)HJ중공업,97230,Dec-16,2813271000,2372221000,675011000,1928591000,1709538000,518530000
(주)HJ중공업,97230,Dec-17,2452314000,1894161000,709533000,1737428000,1390569000,655299000
(주)HJ중공업,97230,Dec-18,1697869000,1720906000,519198000,1750954000,1382999000,519388000
(주)HJ중공업,97230,Dec-19,1628751000,1300538000,363759000,1609530000,1299550000,363759000
(주)MH에탄올,23150,Dec-11,44785159,45677724,9734817,43206995,26253473,4542443
(주)MH에탄올,23150,Dec-12,59768175,50009828,20566965,45488675,23099890,5306016
(주)MH에탄올,23150,Dec-13,62199887,43178092,12486229,46298516,25868582,6094594
(주)MH에탄올,23150,Dec-14,48983781,28731429,6986598,48983781,28019052,6986598
(주)MH에탄올,23150,Dec-15,50386203,22500870,3603074,50386203,21758814,3603074
(주)MH에탄올,23150,Dec-16,48897025,19709368,5538540,48897025,18955978,5538540
(주)MH에탄올,23150,Dec-17,51977132,84767703,5608722,48270464,18235352,5502545
(주)MH에탄올,23150,Dec-18,72795863,29576016,6538026,46943080,18385099,6430326
(주)MH에탄올,23150,Dec-19,80879342,32814839,8173323,46992295,18130225,8081383
(주)SH에너지화학,2360,Dec-11,173209351,50355479,11114123,172752632,47641848,11114123
(주)SH에너지화학,2360,Dec-12,193950102,50509179,14210523,191907628,48762275,14210523
(주)SH에너지화학,2360,Dec-13,231912218,59051785,11944305,229783541,57773554,11944305
(주)SH에너지화학,2360,Dec-14,230912587,60325646,13898172,226971465,55486941,13898172
