회사명,거래소코드,회계년도,매출액(IFRS연결),매입채무(IFRS연결),매출액(IFRS개별),매입채무(IFRS개별)
(주)CMG제약,58820,Dec-11,17751704,1481481,17751704,1481481
(주)CMG제약,58820,Dec-12,16255389,2670886,16255389,2670886
(주)CMG제약,58820,Dec-13,20402140,3911851,20322140,3911851
(주)CMG제약,58820,Dec-14,22752584,4719504,22752584,4719504
(주)CMG제약,58820,Dec-15,27041894,4844096,27041894,4844096
(주)CMG제약,58820,Dec-16,32969825,5688806,32969825,5688806
(주)CMG제약,58820,Dec-17,41535588,7002289,41535588,7002289
(주)CMG제약,58820,Dec-18,49864782,4162722,49864782,4162722
(주)CMG제약,58820,Dec-19,58622681,4328437,58622681,4328437
(주)DB하이텍,990,Dec-11,552216245,23196334,534317238,22998829
(주)DB하이텍,990,Dec-12,590786488,17740927,583901597,23484407
(주)DB하이텍,990,Dec-13,493752028,29717748,493752028,29426433
(주)DB하이텍,990,Dec-14,567718224,36235325,567718224,35936430
(주)DB하이텍,990,Dec-15,666594987,44271640,666594987,42409042
(주)DB하이텍,990,Dec-16,773140180,44199479,773140180,41718640
(주)DB하이텍,990,Dec-17,679737744,33883223,679737744,31644708
(주)DB하이텍,990,Dec-18,669279136,36469258,669279136,36347680
(주)DB하이텍,990,Dec-19,807416423,30645243,807416423,30336721
(주)ES큐브,50120,Dec-11,53379952,2706831,41700477,2385776
(주)ES큐브,50120,Dec-12,55971147,1540985,44178050,1624298
(주)ES큐브,50120,Dec-13,58597361,934211,45823196,1329946
(주)ES큐브,50120,Dec-14,44459581,1218077,37188072,2309135
(주)ES큐브,50120,Dec-15,42152967,1154116,36887119,1126410
(주)ES큐브,50120,Dec-16,34289385,1029926,34818205,2932249
(주)ES큐브,50120,Dec-17,35745794,1232866,37104908,2416818
(주)ES큐브,50120,Dec-18,33763508,907478,31308873,2520376
(주)ES큐브,50120,Dec-19,43708239,1002412,28527284,4247225
(주)HJ중공업,97230,Dec-11,2891499000,214421000,2316017000,196118000
(주)HJ중공업,97230,Dec-12,2549319000,247973000,1980761000,218263000
(주)HJ중공업,97230,Dec-13,2529341000,228311000,1927307000,229429000
(주)HJ중공업,97230,Dec-14,2520325000,292809000,1799016000,385389000
(주)HJ중공업,97230,Dec-15,3115473000,352916000,2041347000,343319000
(주)HJ중공업,97230,Dec-16,2813271000,291798000,1928591000,186629000
(주)HJ중공업,97230,Dec-17,2452314000,279484000,1737428000,208153000
(주)HJ중공업,97230,Dec-18,1697869000,197744000,1750954000,197641000
(주)HJ중공업,97230,Dec-19,1628751000,166881000,1609530000,166779000
(주)MH에탄올,23150,Dec-11,44785159,10717,43206995,0
(주)MH에탄올,23150,Dec-12,59768175,15202,45488675,0
(주)MH에탄올,23150,Dec-13,62199887,3722,46298516,0
(주)MH에탄올,23150,Dec-14,48983781,0,48983781,0
(주)MH에탄올,23150,Dec-15,50386203,0,50386203,0
(주)MH에탄올,23150,Dec-16,48897025,0,48897025,0
(주)MH에탄올,23150,Dec-17,51977132,457631,48270464,0
(주)MH에탄올,23150,Dec-18,72795863,627047,46943080,0
(주)MH에탄올,23150,Dec-19,80879342,528575,46992295,0
(주)SH에너지화학,2360,Dec-11,173209351,955253,172752632,940479
(주)SH에너지화학,2360,Dec-12,193950102,2215544,191907628,2206403
(주)SH에너지화학,2360,Dec-13,231912218,2599202,229783541,2593275
(주)SH에너지화학,2360,Dec-14,230912587,2223255,226971465,2190170
(주)SH에너지화학,2360,Dec-15,216441364,1103755,213882181,1087816
(주)SH에너지화학,2360,Dec-16,218397677,1504713,214380015,1483508
(주)SH에너지화학,2360,Dec-17,188114822,1775928,184672638,1657856
(주)SH에너지화학,2360,Dec-18,183598766,969166,180753289,956145
(주)SH에너지화학,2360,Dec-19,140852575,1033114,138161816,1003854
(주)SIMPAC,9160,Dec-11,215365697,37822973,213867522,37851191
(주)SIMPAC,9160,Dec-12,225353321,37650525,223854758,37650525
