회사명,거래소코드,회계년도,당기순이익(IFRS연결),매출액(IFRS연결),당기순이익(IFRS개별),매출액(IFRS개별)
(주)CMG제약,58820,Dec-11,-1508282,17751704,-1264488,17751704
(주)CMG제약,58820,Dec-12,-6660149,16255389,-6892739,16255389
(주)CMG제약,58820,Dec-13,296181,20402140,335258,20322140
(주)CMG제약,58820,Dec-14,158039,22752584,171502,22752584
(주)CMG제약,58820,Dec-15,-3650091,27041894,-3648668,27041894
(주)CMG제약,58820,Dec-16,1727895,32969825,1693463,32969825
(주)CMG제약,58820,Dec-17,2834901,41535588,2834901,41535588
(주)CMG제약,58820,Dec-18,6065026,49864782,6065026,49864782
(주)CMG제약,58820,Dec-19,3051177,58622681,3051177,58622681
(주)DB하이텍,990,Dec-11,-97946584,552216245,-93084414,534317238
(주)DB하이텍,990,Dec-12,-31341318,590786488,-32121504,583901597
(주)DB하이텍,990,Dec-13,-83046768,493752028,-73243309,493752028
(주)DB하이텍,990,Dec-14,-77008844,567718224,-58319918,567718224
(주)DB하이텍,990,Dec-15,126733352,666594987,127469869,666594987
(주)DB하이텍,990,Dec-16,88344018,773140180,88002359,773140180
(주)DB하이텍,990,Dec-17,110175089,679737744,74401732,679737744
(주)DB하이텍,990,Dec-18,86828768,669279136,95087399,669279136
(주)DB하이텍,990,Dec-19,104637012,807416423,121159865,807416423
(주)ES큐브,50120,Dec-11,-4796438,53379952,-2933429,41700477
(주)ES큐브,50120,Dec-12,-359216,55971147,516857,44178050
(주)ES큐브,50120,Dec-13,-16455910,58597361,-14749080,45823196
(주)ES큐브,50120,Dec-14,-615409,44459581,-2412385,37188072
(주)ES큐브,50120,Dec-15,-2307159,42152967,3610344,36887119
(주)ES큐브,50120,Dec-16,21541047,34289385,17469014,34818205
(주)ES큐브,50120,Dec-17,1737925,35745794,1218923,37104908
(주)ES큐브,50120,Dec-18,-6121462,33763508,-3836071,31308873
(주)ES큐브,50120,Dec-19,-13767748,43708239,-12738710,28527284
(주)HJ중공업,97230,Dec-11,-96920000,2891499000,-116272000,2316017000
(주)HJ중공업,97230,Dec-12,-53214000,2549319000,13082000,1980761000
(주)HJ중공업,97230,Dec-13,-190193000,2529341000,-212716000,1927307000
(주)HJ중공업,97230,Dec-14,-299811000,2520325000,-225739000,1799016000
(주)HJ중공업,97230,Dec-15,-260925000,3115473000,-260118000,2041347000
(주)HJ중공업,97230,Dec-16,-334446000,2813271000,-334429000,1928591000
(주)HJ중공업,97230,Dec-17,-277978000,2452314000,-299028000,1737428000
(주)HJ중공업,97230,Dec-18,-1283647000,1697869000,-963474000,1750954000
(주)HJ중공업,97230,Dec-19,306169000,1628751000,-73654000,1609530000
(주)MH에탄올,23150,Dec-11,-4357312,44785159,3351943,43206995
(주)MH에탄올,23150,Dec-12,287369,59768175,2571700,45488675
(주)MH에탄올,23150,Dec-13,7028234,62199887,-11627211,46298516
(주)MH에탄올,23150,Dec-14,-203193,48983781,4618332,48983781
(주)MH에탄올,23150,Dec-15,7778593,50386203,7744832,50386203
(주)MH에탄올,23150,Dec-16,8144684,48897025,8134873,48897025
(주)MH에탄올,23150,Dec-17,4308068,51977132,5903108,48270464
(주)MH에탄올,23150,Dec-18,-12033428,72795863,6553371,46943080
(주)MH에탄올,23150,Dec-19,-7552043,80879342,-5004935,46992295
(주)SH에너지화학,2360,Dec-11,1800972,173209351,3164441,172752632
(주)SH에너지화학,2360,Dec-12,210854,193950102,1079738,191907628
(주)SH에너지화학,2360,Dec-13,4606872,231912218,4841817,229783541
(주)SH에너지화학,2360,Dec-14,16733050,230912587,15569914,226971465
(주)SH에너지화학,2360,Dec-15,12590617,216441364,12639344,213882181
(주)SH에너지화학,2360,Dec-16,18028878,218397677,17574101,214380015
(주)SH에너지화학,2360,Dec-17,9879057,188114822,8905104,184672638
(주)SH에너지화학,2360,Dec-18,2033570,183598766,2766802,180753289
(주)SH에너지화학,2360,Dec-19,-3090151,140852575,-3151629,138161816
(주)SIMPAC,9160,Dec-11,24976613,215365697,21196377,213867522
(주)SIMPAC,9160,Dec-12,19285856,225353321,22517068,223854758
(주)SIMPAC,9160,Dec-13,20043596,205751154,19196136,204527751
(주)SIMPAC,9160,Dec-14,14312319,263152264,10218575,227491803
(주)SIMPAC,9160,Dec-15,16449973,269528038,19448583,213152303
(주)SIMPAC,9160,Dec-16,16183843,267074156,16444650,215839356
(주)SIMPAC,9160,Dec-17,12895699,230634812,7133940,203150228
(주)SIMPAC,9160,Dec-18,69198558,306150809,62381304,268863854
(주)SIMPAC,9160,Dec-19,9487516,430085162,11507259,391970769
(주)SNT에너지,100840,Dec-11,,,-4155767,195318747
(주)SNT에너지,100840,Dec-12,,,9087721,230707564
(주)SNT에너지,100840,Dec-13,,,16189688,200750984
(주)SNT에너지,100840,Dec-14,,,11264253,242746888
(주)SNT에너지,100840,Dec-15,,,27029932,260094045
(주)SNT에너지,100840,Dec-16,,,1659742,254089906
(주)SNT에너지,100840,Dec-17,,,4581777,184091945
(주)SNT에너지,100840,Dec-18,,,1825479,139516396
(주)SNT에너지,100840,Dec-19,15452273,213326726,14578960,202822913
(주)SNT홀딩스,36530,Dec-11,87196578,1663846065,5766277,2257851
(주)SNT홀딩스,36530,Dec-12,63253909,1668749904,9011145,8718270
(주)SNT홀딩스,36530,Dec-13,53763061,1576368464,8018313,8826810
(주)SNT홀딩스,36530,Dec-14,66985248,1552374806,6891599,7701882
(주)SNT홀딩스,36530,Dec-15,116419931,1612746929,27765789,8475099
(주)SNT홀딩스,36530,Dec-16,10146568,1537700275,6923176,9818190
