회사명,거래소코드,회계년도,매출액(IFRS연결),매출원가(IFRS연결),판관비(IFRS연결),매출액(IFRS개별),매출원가(IFRS개별),판관비(IFRS개별)
(주)CMG제약,58820,Dec-11,17751704,10325799,6802089,17751704,10325799,6727421
(주)CMG제약,58820,Dec-12,16255389,11648690,8812202,16255389,11648690,8651838
(주)CMG제약,58820,Dec-13,20402140,12506817,7104073,20322140,12506817,6992776
(주)CMG제약,58820,Dec-14,22752584,14318048,7992213,22752584,14318048,7988518
(주)CMG제약,58820,Dec-15,27041894,17237814,12376249,27041894,17237814,12374958
(주)CMG제약,58820,Dec-16,32969825,19663389,11575683,32969825,19663389,11575683
(주)CMG제약,58820,Dec-17,41535588,23497552,16479429,41535588,23497552,16479429
(주)CMG제약,58820,Dec-18,49864782,27124841,20172121,49864782,27124841,20172121
(주)CMG제약,58820,Dec-19,58622681,29700050,26318857,58622681,29700050,26318857
(주)DB하이텍,990,Dec-11,552216245,460440945,127163621,534317238,443140034,126664477
(주)DB하이텍,990,Dec-12,590786488,494003057,112405062,583901597,486953432,111377822
(주)DB하이텍,990,Dec-13,493752028,404500718,98861923,493752028,404500718,98644291
(주)DB하이텍,990,Dec-14,567718224,430813375,91344601,567718224,430813375,91594343
(주)DB하이텍,990,Dec-15,666594987,436915515,104710656,666594987,436915515,105306648
(주)DB하이텍,990,Dec-16,773140180,483129939,117582311,773140180,483129939,118222593
(주)DB하이텍,990,Dec-17,679737744,426170592,110371984,679737744,426170592,111213462
(주)DB하이텍,990,Dec-18,669279136,453942755,102343239,669279136,453942755,102452079
(주)DB하이텍,990,Dec-19,807416423,513292637,112831598,807416423,513292637,112967914
(주)ES큐브,50120,Dec-11,53379952,38476771,18553426,41700477,29104839,14675781
(주)ES큐브,50120,Dec-12,55971147,40290541,15591269,44178050,31651298,11880913
(주)ES큐브,50120,Dec-13,58597361,44088670,15673302,45823196,34023346,11582714
(주)ES큐브,50120,Dec-14,44459581,34936541,9351950,37188072,30573957,6288207
(주)ES큐브,50120,Dec-15,42152967,30433006,15780388,36887119,30735643,3780907
(주)ES큐브,50120,Dec-16,34289385,24454448,7673895,34818205,28468888,3989789
(주)ES큐브,50120,Dec-17,35745794,26057940,7439335,37104908,30497256,4437550
(주)ES큐브,50120,Dec-18,33763508,26036057,8938580,31308873,25693835,4923569
(주)ES큐브,50120,Dec-19,43708239,35510791,10814519,28527284,22708418,5231167
(주)HJ중공업,97230,Dec-11,2891499000,2664558000,139646000,2316017000,2156842000,120739000
(주)HJ중공업,97230,Dec-12,2549319000,2358260000,138145000,1980761000,1833445000,118725000
(주)HJ중공업,97230,Dec-13,2529341000,2464368000,134547000,1927307000,1900927000,135487000
(주)HJ중공업,97230,Dec-14,2520325000,2537259000,128054000,1799016000,1798250000,107015000
(주)HJ중공업,97230,Dec-15,3115473000,3004437000,190406000,2041347000,1972358000,166799000
(주)HJ중공업,97230,Dec-16,2813271000,2753545000,139045000,1928591000,1776465000,102807000
(주)HJ중공업,97230,Dec-17,2452314000,2431066000,137941000,1737428000,1545012000,105733000
(주)HJ중공업,97230,Dec-18,1697869000,1557089000,79104000,1750954000,1551132000,265827000
(주)HJ중공업,97230,Dec-19,1628751000,1451267000,93645000,1609530000,1439132000,93343000
(주)MH에탄올,23150,Dec-11,44785159,37258514,7016081,43206995,32715976,3594900
(주)MH에탄올,23150,Dec-12,59768175,49030452,5285990,45488675,35478357,3491561
(주)MH에탄올,23150,Dec-13,62199887,54316861,4873284,46298516,33247791,3400484
(주)MH에탄올,23150,Dec-14,48983781,37109977,3128953,48983781,37109977,3126986
(주)MH에탄올,23150,Dec-15,50386203,36425005,2869185,50386203,36425005,2867026
(주)MH에탄올,23150,Dec-16,48897025,33962392,3060158,48897025,33962392,3057762
(주)MH에탄올,23150,Dec-17,51977132,37225576,6634846,48270464,34577247,3240303
(주)MH에탄올,23150,Dec-18,72795863,53524709,18042950,46943080,34331318,3583247
(주)MH에탄올,23150,Dec-19,80879342,54219181,18831058,46992295,35415661,3748048
(주)SH에너지화학,2360,Dec-11,173209351,160789710,8845210,172752632,160574493,7782885
(주)SH에너지화학,2360,Dec-12,193950102,178829327,12937591,191907628,178516652,10516392
(주)SH에너지화학,2360,Dec-13,231912218,213952261,11535730,229783541,213397080,9183287
(주)SH에너지화학,2360,Dec-14,230912587,197661842,11978837,226971465,196829927,9867035
(주)SH에너지화학,2360,Dec-15,216441364,179135051,14356137,213882181,179081363,11901196
(주)SH에너지화학,2360,Dec-16,218397677,179759098,14537419,214380015,179726464,11053345
(주)SH에너지화학,2360,Dec-17,188114822,161824273,12108613,184672638,161711689,9771675
(주)SH에너지화학,2360,Dec-18,183598766,171330094,10168002,180753289,169058462,8883270
(주)SH에너지화학,2360,Dec-19,140852575,134184400,9799303,138161816,131861388,8663622
(주)SIMPAC,9160,Dec-11,215365697,170409718,16067582,213867522,169699426,15256714
(주)SIMPAC,9160,Dec-12,225353321,182861979,17300065,223854758,182101881,16442981
(주)SIMPAC,9160,Dec-13,205751154,164405183,17746622,204527751,163875499,16910891
(주)SIMPAC,9160,Dec-14,263152264,220084616,25725748,227491803,188349315,20405682
(주)SIMPAC,9160,Dec-15,269528038,221412942,26874065,213152303,171341851,18179952
(주)SIMPAC,9160,Dec-16,267074156,217713888,25794076,215839356,175971604,18461676
(주)SIMPAC,9160,Dec-17,230634812,193009825,25927072,203150228,168484356,20694784
(주)SIMPAC,9160,Dec-18,306150809,271995017,23965220,268863854,243575353,18072612
(주)SIMPAC,9160,Dec-19,430085162,385305111,33638732,391970769,357126998,26405466
(주)SNT에너지,100840,Dec-11,,,,195318747,181219511,20812087
(주)SNT에너지,100840,Dec-12,,,,230707564,191839172,23735608
(주)SNT에너지,100840,Dec-13,,,,200750984,161808099,22138474
(주)SNT에너지,100840,Dec-14,,,,242746888,203611420,25357817
(주)SNT에너지,100840,Dec-15,,,,260094045,202305297,23870714
(주)SNT에너지,100840,Dec-16,,,,254089906,204980319,47914443
(주)SNT에너지,100840,Dec-17,,,,184091945,146050315,18839719
(주)SNT에너지,100840,Dec-18,,,,139516396,118750224,22658363
(주)SNT에너지,100840,Dec-19,213326726,177635077,18218102,202822913,170291934,17851276
(주)SNT홀딩스,36530,Dec-11,1663846065,1449348821,123824178,2257851,0,1611687
(주)SNT홀딩스,36530,Dec-12,1668749904,1465168699,117887632,8718270,0,2022710
(주)SNT홀딩스,36530,Dec-13,1576368464,1379201925,112368449,8826810,0,1903453
(주)SNT홀딩스,36530,Dec-14,1552374806,1380123821,106746009,7701882,0,1735761
(주)SNT홀딩스,36530,Dec-15,1612746929,1331347191,119866075,8475099,0,1755565
(주)SNT홀딩스,36530,Dec-16,1537700275,1336617769,128799440,9818190,0,1818263
(주)SNT홀딩스,36530,Dec-17,1508152132,1303372403,144142589,7417869,0,2015960
(주)SNT홀딩스,36530,Dec-18,1401307482,1221120349,107537015,7292112,0,1900080
(주)SNT홀딩스,36530,Dec-19,1512114565,1284171398,101666105,11015928,0,2024424
(주)STX,11810,Dec-11,5967701000,5516021000,217072000,4173397000,3988988000,122698000
(주)STX,11810,Dec-12,6159850000,6353608000,217053000,4116767000,3997635000,101399000
(주)STX,11810,Dec-13,2449401000,3140865000,270312000,1895063000,1814171000,148125000
(주)STX,11810,Dec-14,1634606000,1513363000,85552000,1291351000,1233380000,34557000
(주)STX,11810,Dec-15,1630827000,1586081000,78916000,1362127000,1352181000,26282000
(주)STX,11810,Dec-16,1720153000,1635394000,118928000,1465561000,1494187000,77154000
(주)STX,11810,Dec-17,1803878000,1718572000,41253000,1595494000,1541890000,23434000
(주)STX,11810,Dec-18,1502985000,1483048000,34715000,1329890000,1319737000,17055000
(주)STX,11810,Dec-19,1471164000,1424697000,44719000,1237876000,1225459000,26114000
(주)TCC스틸,2710,Dec-11,514424043,472273637,30600718,456928069,419062918,25079936
(주)TCC스틸,2710,Dec-12,501337475,457927934,37475597,440568155,399338479,29554032
(주)TCC스틸,2710,Dec-13,500832754,474104834,34473642,419483813,385343144,25792395
(주)TCC스틸,2710,Dec-14,518995240,483588495,35062274,401323585,364984531,25470505
(주)TCC스틸,2710,Dec-15,495795871,451936886,28003827,350074629,311691285,23812910
(주)TCC스틸,2710,Dec-16,444453635,402898839,26203661,317235565,281559457,22384689
(주)TCC스틸,2710,Dec-17,391370092,356978389,26285247,333762378,304470552,22532022
(주)TCC스틸,2710,Dec-18,413176279,377890304,18205373,351301866,320798763,14196981
(주)TCC스틸,2710,Dec-19,437173902,405618477,18699255,339334364,312320391,14356868
(주)가비아,79940,Dec-11,52838864,29173840,15470152,33792831,20761832,9105062
(주)가비아,79940,Dec-12,69058144,40302408,21135774,38482449,23494026,12039194
(주)가비아,79940,Dec-13,70675565,38882747,24759315,40507693,24558241,12914401
(주)가비아,79940,Dec-14,80432047,45275795,26773564,43906243,26874841,13580143
(주)가비아,79940,Dec-15,91648622,50078893,30220634,48446932,28806524,15108414
(주)가비아,79940,Dec-16,102178978,54998617,34631102,49430564,28802628,16646190
(주)가비아,79940,Dec-17,116217941,60313364,43192421,52365659,30561799,18627531
(주)가비아,79940,Dec-18,128728438,65751367,44788622,55197652,31654603,19436958
(주)가비아,79940,Dec-19,148306878,75650385,48919898,58254105,34532096,18832896
(주)강스템바이오텍,217730,Dec-15,,,,1484593,252810,6356984
(주)강스템바이오텍,217730,Dec-16,,,,842805,57688,9902658
(주)강스템바이오텍,217730,Dec-17,9132939,5874047,14996757,5394323,2402560,14124268
(주)강스템바이오텍,217730,Dec-18,9165454,7988195,12871228,1001039,276617,11249767
(주)강스템바이오텍,217730,Dec-19,6004584,6428945,22729347,282069,141439,19551777
(주)강원랜드,35250,Dec-11,1265686425,538388479,237651483,1263651213,530019096,232036737
(주)강원랜드,35250,Dec-12,1296191223,647845564,243477994,1292896121,639097544,237009158
(주)강원랜드,35250,Dec-13,1361286598,726091776,247153517,1356906162,718286815,240055756
(주)강원랜드,35250,Dec-14,1496541441,722297880,261071509,1492291312,713323703,252649920
(주)강원랜드,35250,Dec-15,1633716839,759645970,278670466,1630976696,754752007,272340184
