회사명,거래소코드,회계년도,당기매출액(IFRS연결),전기매출액(IFRS연결),당기매출액(IFRS개별),전기매출액(IFRS개별)
(주)CMG제약,58820,Dec-11,17751704,17751704,17751704,17751704
(주)CMG제약,58820,Dec-12,16255389,16008937,16255389,16008937
(주)CMG제약,58820,Dec-13,20402140,20402140,20322140,20322140
(주)CMG제약,58820,Dec-14,22752584,22752584,22752584,22752584
(주)CMG제약,58820,Dec-15,27041894,27041894,27041894,27041894
(주)CMG제약,58820,Dec-16,32969825,32969825,32969825,32969825
(주)CMG제약,58820,Dec-17,41535588,41535588,41535588,41535588
(주)CMG제약,58820,Dec-18,49864782,49864782,49864782,49864782
(주)CMG제약,58820,Dec-19,58622681,,58622681,58622681
(주)DB하이텍,990,Dec-11,552216245,552216245,534317238,534317238
(주)DB하이텍,990,Dec-12,590786488,590786488,583901597,583901597
(주)DB하이텍,990,Dec-13,493752028,493752028,493752028,493752028
(주)DB하이텍,990,Dec-14,567718224,567718224,567718224,567718224
(주)DB하이텍,990,Dec-15,666594987,666594987,666594987,666594987
(주)DB하이텍,990,Dec-16,773140180,773140180,773140180,773140180
(주)DB하이텍,990,Dec-17,679737744,679737744,679737744,679737744
(주)DB하이텍,990,Dec-18,669279136,669279136,669279136,669279136
(주)DB하이텍,990,Dec-19,807416423,807416423,807416423,807416423
(주)ES큐브,50120,Dec-11,53379952,53379952,41700477,41700477
(주)ES큐브,50120,Dec-12,55971147,55971147,44178050,44178050
(주)ES큐브,50120,Dec-13,58597361,58597361,45823196,45823196
(주)ES큐브,50120,Dec-14,44459581,44459581,37188072,37188072
(주)ES큐브,50120,Dec-15,42152967,42152967,36887119,36887119
(주)ES큐브,50120,Dec-16,34289385,34289385,34818205,34818205
(주)ES큐브,50120,Dec-17,35745794,35745794,37104908,37104908
(주)ES큐브,50120,Dec-18,33763508,33763508,31308873,31308873
(주)ES큐브,50120,Dec-19,43708239,43708239,28527284,28527284
(주)HJ중공업,97230,Dec-11,2891499000,2891499000,2316017000,2316017000
(주)HJ중공업,97230,Dec-12,2549319000,2549319000,1980761000,1980761000
(주)HJ중공업,97230,Dec-13,2529341000,2529341000,1927307000,1927307000
(주)HJ중공업,97230,Dec-14,2520325000,2520325000,1799016000,1799016000
(주)HJ중공업,97230,Dec-15,3115473000,3063623000,2041347000,2041347000
(주)HJ중공업,97230,Dec-16,2813271000,2813271000,1928591000,1928591000
(주)HJ중공업,97230,Dec-17,2452314000,1647652000,1737428000,1737428000
(주)HJ중공업,97230,Dec-18,1697869000,1697869000,1750954000,1750954000
(주)HJ중공업,97230,Dec-19,1628751000,1628751000,1609530000,1609530000
(주)MH에탄올,23150,Dec-11,44785159,44785159,43206995,43206995
(주)MH에탄올,23150,Dec-12,59768175,59768175,45488675,45488675
(주)MH에탄올,23150,Dec-13,62199887,46298516,46298516,46298516
(주)MH에탄올,23150,Dec-14,48983781,48983781,48983781,48983781
(주)MH에탄올,23150,Dec-15,50386203,50386203,50386203,50386203
(주)MH에탄올,23150,Dec-16,48897025,48897025,48897025,48897025
(주)MH에탄올,23150,Dec-17,51977132,51977132,48270464,48270464
(주)MH에탄올,23150,Dec-18,72795863,72795863,46943080,46943080
(주)MH에탄올,23150,Dec-19,80879342,80879342,46992295,46992295
(주)SH에너지화학,2360,Dec-11,173209351,173209351,172752632,172752632
(주)SH에너지화학,2360,Dec-12,193950102,193950102,191907628,191907628
(주)SH에너지화학,2360,Dec-13,231912218,231912218,229783541,229783541
(주)SH에너지화학,2360,Dec-14,230912587,230912587,226971465,226971465
(주)SH에너지화학,2360,Dec-15,216441364,216441364,213882181,213882181
(주)SH에너지화학,2360,Dec-16,218397677,218397677,214380015,214380015
(주)SH에너지화학,2360,Dec-17,188114822,188114822,184672638,184672638
(주)SH에너지화학,2360,Dec-18,183598766,183598766,180753289,180753289
(주)SH에너지화학,2360,Dec-19,140852575,140852575,138161816,138161816
(주)SIMPAC,9160,Dec-11,215365697,215365697,213867522,213867522
(주)SIMPAC,9160,Dec-12,225353321,,223854758,223854758
(주)SIMPAC,9160,Dec-13,205751154,205751154,204527751,204527751
(주)SIMPAC,9160,Dec-14,263152264,263152264,227491803,227491803
(주)SIMPAC,9160,Dec-15,269528038,269528038,213152303,213152303
(주)SIMPAC,9160,Dec-16,267074156,267074156,215839356,215839356
(주)SIMPAC,9160,Dec-17,230634812,230634812,203150228,203150228
(주)SIMPAC,9160,Dec-18,306150809,306150809,268863854,268863854
(주)SIMPAC,9160,Dec-19,430085162,430085162,391970769,391970769
(주)SNT에너지,100840,Dec-11,,,195318747,195318747
(주)SNT에너지,100840,Dec-12,,,230707564,230707564
(주)SNT에너지,100840,Dec-13,,,200750984,200750984
(주)SNT에너지,100840,Dec-14,,,242746888,242746888
(주)SNT에너지,100840,Dec-15,,,260094045,260094045
