회사명,거래소코드,회계년도,매출액(IFRS연결),매출원가(IFRS연결),매출액(IFRS개별),매출원가(IFRS개별)
(주)CMG제약,58820,Dec-11,17751704,10325799,17751704,10325799
(주)CMG제약,58820,Dec-12,16255389,11648690,16255389,11648690
(주)CMG제약,58820,Dec-13,20402140,12506817,20322140,12506817
(주)CMG제약,58820,Dec-14,22752584,14318048,22752584,14318048
(주)CMG제약,58820,Dec-15,27041894,17237814,27041894,17237814
(주)CMG제약,58820,Dec-16,32969825,19663389,32969825,19663389
(주)CMG제약,58820,Dec-17,41535588,23497552,41535588,23497552
(주)CMG제약,58820,Dec-18,49864782,27124841,49864782,27124841
(주)CMG제약,58820,Dec-19,58622681,29700050,58622681,29700050
(주)DB하이텍,990,Dec-11,552216245,460440945,534317238,443140034
(주)DB하이텍,990,Dec-12,590786488,494003057,583901597,486953432
(주)DB하이텍,990,Dec-13,493752028,404500718,493752028,404500718
(주)DB하이텍,990,Dec-14,567718224,430813375,567718224,430813375
(주)DB하이텍,990,Dec-15,666594987,436915515,666594987,436915515
(주)DB하이텍,990,Dec-16,773140180,483129939,773140180,483129939
(주)DB하이텍,990,Dec-17,679737744,426170592,679737744,426170592
(주)DB하이텍,990,Dec-18,669279136,453942755,669279136,453942755
(주)DB하이텍,990,Dec-19,807416423,513292637,807416423,513292637
(주)ES큐브,50120,Dec-11,53379952,38476771,41700477,29104839
(주)ES큐브,50120,Dec-12,55971147,40290541,44178050,31651298
(주)ES큐브,50120,Dec-13,58597361,44088670,45823196,34023346
(주)ES큐브,50120,Dec-14,44459581,34936541,37188072,30573957
(주)ES큐브,50120,Dec-15,42152967,30433006,36887119,30735643
(주)ES큐브,50120,Dec-16,34289385,24454448,34818205,28468888
(주)ES큐브,50120,Dec-17,35745794,26057940,37104908,30497256
(주)ES큐브,50120,Dec-18,33763508,26036057,31308873,25693835
(주)ES큐브,50120,Dec-19,43708239,35510791,28527284,22708418
(주)HJ중공업,97230,Dec-11,2891499000,2664558000,2316017000,2156842000
(주)HJ중공업,97230,Dec-12,2549319000,2358260000,1980761000,1833445000
(주)HJ중공업,97230,Dec-13,2529341000,2464368000,1927307000,1900927000
(주)HJ중공업,97230,Dec-14,2520325000,2537259000,1799016000,1798250000
(주)HJ중공업,97230,Dec-15,3115473000,3004437000,2041347000,1972358000
(주)HJ중공업,97230,Dec-16,2813271000,2753545000,1928591000,1776465000
(주)HJ중공업,97230,Dec-17,2452314000,2431066000,1737428000,1545012000
(주)HJ중공업,97230,Dec-18,1697869000,1557089000,1750954000,1551132000
(주)HJ중공업,97230,Dec-19,1628751000,1451267000,1609530000,1439132000
(주)MH에탄올,23150,Dec-11,44785159,37258514,43206995,32715976
(주)MH에탄올,23150,Dec-12,59768175,49030452,45488675,35478357
(주)MH에탄올,23150,Dec-13,62199887,54316861,46298516,33247791
(주)MH에탄올,23150,Dec-14,48983781,37109977,48983781,37109977
(주)MH에탄올,23150,Dec-15,50386203,36425005,50386203,36425005
(주)MH에탄올,23150,Dec-16,48897025,33962392,48897025,33962392
(주)MH에탄올,23150,Dec-17,51977132,37225576,48270464,34577247
(주)MH에탄올,23150,Dec-18,72795863,53524709,46943080,34331318
(주)MH에탄올,23150,Dec-19,80879342,54219181,46992295,35415661
(주)SH에너지화학,2360,Dec-11,173209351,160789710,172752632,160574493
(주)SH에너지화학,2360,Dec-12,193950102,178829327,191907628,178516652
(주)SH에너지화학,2360,Dec-13,231912218,213952261,229783541,213397080
(주)SH에너지화학,2360,Dec-14,230912587,197661842,226971465,196829927
(주)SH에너지화학,2360,Dec-15,216441364,179135051,213882181,179081363
(주)SH에너지화학,2360,Dec-16,218397677,179759098,214380015,179726464
(주)SH에너지화학,2360,Dec-17,188114822,161824273,184672638,161711689
(주)SH에너지화학,2360,Dec-18,183598766,171330094,180753289,169058462
(주)SH에너지화학,2360,Dec-19,140852575,134184400,138161816,131861388
(주)SIMPAC,9160,Dec-11,215365697,170409718,213867522,169699426
(주)SIMPAC,9160,Dec-12,225353321,182861979,223854758,182101881
(주)SIMPAC,9160,Dec-13,205751154,164405183,204527751,163875499
(주)SIMPAC,9160,Dec-14,263152264,220084616,227491803,188349315
(주)SIMPAC,9160,Dec-15,269528038,221412942,213152303,171341851
(주)SIMPAC,9160,Dec-16,267074156,217713888,215839356,175971604
