회사명,거래소코드,회계년도,매출원가(IFRS연결),매출액(IFRS연결),매출원가(IFRS개별),매출액(IFRS개별)
(주)CMG제약,58820,Dec-11,10325799,17751704,10325799,17751704
(주)CMG제약,58820,Dec-12,11648690,16255389,11648690,16255389
(주)CMG제약,58820,Dec-13,12506817,20402140,12506817,20322140
(주)CMG제약,58820,Dec-14,14318048,22752584,14318048,22752584
(주)CMG제약,58820,Dec-15,17237814,27041894,17237814,27041894
(주)CMG제약,58820,Dec-16,19663389,32969825,19663389,32969825
(주)CMG제약,58820,Dec-17,23497552,41535588,23497552,41535588
(주)CMG제약,58820,Dec-18,27124841,49864782,27124841,49864782
(주)CMG제약,58820,Dec-19,29700050,58622681,29700050,58622681
(주)DB하이텍,990,Dec-11,460440945,552216245,443140034,534317238
(주)DB하이텍,990,Dec-12,494003057,590786488,486953432,583901597
(주)DB하이텍,990,Dec-13,404500718,493752028,404500718,493752028
(주)DB하이텍,990,Dec-14,430813375,567718224,430813375,567718224
(주)DB하이텍,990,Dec-15,436915515,666594987,436915515,666594987
(주)DB하이텍,990,Dec-16,483129939,773140180,483129939,773140180
(주)DB하이텍,990,Dec-17,426170592,679737744,426170592,679737744
(주)DB하이텍,990,Dec-18,453942755,669279136,453942755,669279136
(주)DB하이텍,990,Dec-19,513292637,807416423,513292637,807416423
(주)ES큐브,50120,Dec-11,38476771,53379952,29104839,41700477
(주)ES큐브,50120,Dec-12,40290541,55971147,31651298,44178050
(주)ES큐브,50120,Dec-13,44088670,58597361,34023346,45823196
(주)ES큐브,50120,Dec-14,34936541,44459581,30573957,37188072
(주)ES큐브,50120,Dec-15,30433006,42152967,30735643,36887119
(주)ES큐브,50120,Dec-16,24454448,34289385,28468888,34818205
(주)ES큐브,50120,Dec-17,26057940,35745794,30497256,37104908
(주)ES큐브,50120,Dec-18,26036057,33763508,25693835,31308873
(주)ES큐브,50120,Dec-19,35510791,43708239,22708418,28527284
(주)HJ중공업,97230,Dec-11,2664558000,2891499000,2156842000,2316017000
(주)HJ중공업,97230,Dec-12,2358260000,2549319000,1833445000,1980761000
(주)HJ중공업,97230,Dec-13,2464368000,2529341000,1900927000,1927307000
(주)HJ중공업,97230,Dec-14,2537259000,2520325000,1798250000,1799016000
(주)HJ중공업,97230,Dec-15,3004437000,3115473000,1972358000,2041347000
(주)HJ중공업,97230,Dec-16,2753545000,2813271000,1776465000,1928591000
(주)HJ중공업,97230,Dec-17,2431066000,2452314000,1545012000,1737428000
(주)HJ중공업,97230,Dec-18,1557089000,1697869000,1551132000,1750954000
(주)HJ중공업,97230,Dec-19,1451267000,1628751000,1439132000,1609530000
(주)MH에탄올,23150,Dec-11,37258514,44785159,32715976,43206995
(주)MH에탄올,23150,Dec-12,49030452,59768175,35478357,45488675
(주)MH에탄올,23150,Dec-13,54316861,62199887,33247791,46298516
(주)MH에탄올,23150,Dec-14,37109977,48983781,37109977,48983781
(주)MH에탄올,23150,Dec-15,36425005,50386203,36425005,50386203
(주)MH에탄올,23150,Dec-16,33962392,48897025,33962392,48897025
(주)MH에탄올,23150,Dec-17,37225576,51977132,34577247,48270464
(주)MH에탄올,23150,Dec-18,53524709,72795863,34331318,46943080
(주)MH에탄올,23150,Dec-19,54219181,80879342,35415661,46992295
(주)SH에너지화학,2360,Dec-11,160789710,173209351,160574493,172752632
(주)SH에너지화학,2360,Dec-12,178829327,193950102,178516652,191907628
(주)SH에너지화학,2360,Dec-13,213952261,231912218,213397080,229783541
(주)SH에너지화학,2360,Dec-14,197661842,230912587,196829927,226971465
(주)SH에너지화학,2360,Dec-15,179135051,216441364,179081363,213882181
(주)SH에너지화학,2360,Dec-16,179759098,218397677,179726464,214380015
(주)SH에너지화학,2360,Dec-17,161824273,188114822,161711689,184672638
(주)SH에너지화학,2360,Dec-18,171330094,183598766,169058462,180753289
(주)SH에너지화학,2360,Dec-19,134184400,140852575,131861388,138161816
(주)SIMPAC,9160,Dec-11,170409718,215365697,169699426,213867522
(주)SIMPAC,9160,Dec-12,182861979,225353321,182101881,223854758
(주)SIMPAC,9160,Dec-13,164405183,205751154,163875499,204527751
(주)SIMPAC,9160,Dec-14,220084616,263152264,188349315,227491803
(주)SIMPAC,9160,Dec-15,221412942,269528038,171341851,213152303
(주)SIMPAC,9160,Dec-16,217713888,267074156,175971604,215839356
(주)SIMPAC,9160,Dec-17,193009825,230634812,168484356,203150228
(주)SIMPAC,9160,Dec-18,271995017,306150809,243575353,268863854
(주)SIMPAC,9160,Dec-19,385305111,430085162,357126998,391970769
(주)SNT에너지,100840,Dec-11,,,181219511,195318747
(주)SNT에너지,100840,Dec-12,,,191839172,230707564
(주)SNT에너지,100840,Dec-13,,,161808099,200750984
(주)SNT에너지,100840,Dec-14,,,203611420,242746888
(주)SNT에너지,100840,Dec-15,,,202305297,260094045
(주)SNT에너지,100840,Dec-16,,,204980319,254089906
(주)SNT에너지,100840,Dec-17,,,146050315,184091945
(주)SNT에너지,100840,Dec-18,,,118750224,139516396
(주)SNT에너지,100840,Dec-19,177635077,213326726,170291934,202822913
(주)SNT홀딩스,36530,Dec-11,1449348821,1663846065,0,2257851
(주)SNT홀딩스,36530,Dec-12,1465168699,1668749904,0,8718270
(주)SNT홀딩스,36530,Dec-13,1379201925,1576368464,0,8826810
(주)SNT홀딩스,36530,Dec-14,1380123821,1552374806,0,7701882
(주)SNT홀딩스,36530,Dec-15,1331347191,1612746929,0,8475099
(주)SNT홀딩스,36530,Dec-16,1336617769,1537700275,0,9818190
(주)SNT홀딩스,36530,Dec-17,1303372403,1508152132,0,7417869
