회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원)
(주)CMG제약,58820,Dec-10,11350419,8217627,11350419,8217627
(주)CMG제약,58820,Dec-11,17751704,10325799,17751704,10325799
(주)DB하이텍,990,Dec-10,620043034,753813405,593441908,727262560
(주)DB하이텍,990,Dec-11,552216245,460440945,534317238,443140034
(주)ES큐브,50120,Dec-10,43887335,32966862,34640205,27039899
(주)ES큐브,50120,Dec-11,53379952,38476771,41700477,29104839
(주)HJ중공업,97230,Dec-10,3167774000,2841789000,2734440000,2436522000
(주)HJ중공업,97230,Dec-11,2891499000,2664558000,2316017000,2156842000
(주)MH에탄올,23150,Dec-10,55048463,46932516,43304589,31860037
(주)MH에탄올,23150,Dec-11,44785159,37258514,43206995,32715976
(주)SH에너지화학,2360,Dec-10,150630768,137805193,150353519,137805193
(주)SH에너지화학,2360,Dec-11,173209351,160789710,172752632,160574493
(주)SIMPAC,9160,Dec-10,181795010,143921095,180593108,143181567
(주)SIMPAC,9160,Dec-11,215365697,170409718,213867522,169699426
(주)SNT에너지,100840,Dec-10,,,213919312,188599110
(주)SNT에너지,100840,Dec-11,,,195318747,181219511
(주)SNT홀딩스,36530,Dec-10,1500160508,1254983399,2068556,0
(주)SNT홀딩스,36530,Dec-11,1663846065,1449348821,2257851,0
(주)STX,11810,Dec-10,4045884000,3780427000,3191730000,2984563000
(주)STX,11810,Dec-11,5967701000,5516021000,4173397000,3988988000
(주)TCC스틸,2710,Dec-10,460900040,411174924,412110088,367618694
(주)TCC스틸,2710,Dec-11,514424043,472273637,456928069,419062918
(주)가비아,79940,Dec-10,40623302,21744253,26065926,14343735
(주)가비아,79940,Dec-11,52838864,29173840,33792831,20761832
(주)강원랜드,35250,Dec-10,1313788411,490130911,1313380414,487543088
(주)강원랜드,35250,Dec-11,1265686425,538388479,1263651213,530019096
(주)강원에너지,114190,Nov-10,,,30619298,23930695
(주)강원에너지,114190,Nov-11,,,50222892,37631683
(주)갤럭시아에스엠,11420,Dec-10,56624254,47615806,42704968,35630824
(주)갤럭시아에스엠,11420,Dec-11,47331427,38695073,31931418,26327117
(주)경농,2100,Dec-10,143433922,93364157,143042882,93205957
(주)경농,2100,Dec-11,121253605,79220101,120728258,79073941
(주)경동나비엔,9450,Dec-10,307182060,222260842,278277379,213052418
(주)경동나비엔,9450,Dec-11,341246917,251540613,318269213,246619329
(주)경동인베스트,12320,Dec-10,1360542926,1254462850,1289139847,1187080406
(주)경동인베스트,12320,Dec-11,1847666903,1739469751,1806174764,1697470671
(주)경방,50,Dec-10,339355972,233166690,277727642,222076044
(주)경방,50,Dec-11,348136369,258814443,275746943,246411496
(주)경보제약,214390,Dec-10,,,,
(주)경보제약,214390,Dec-11,,,,
(주)경인양행,12610,Dec-10,267600679,227505749,149007816,129714312
(주)경인양행,12610,Dec-11,233095049,198818643,128707611,109831813
(주)고영테크놀러지,98460,Dec-10,72956931,30102283,71207683,29644170
(주)고영테크놀러지,98460,Dec-11,86130810,36970902,80200892,34339828
(주)골드앤에스,35290,Dec-10,50487261,35851526,50487261,36340786
(주)골드앤에스,35290,Dec-11,47522791,32544786,47522791,33020367
(주)골드퍼시픽,38530,Dec-10,,,10718074,7711690
(주)골드퍼시픽,38530,Dec-11,,,11236925,6637040
(주)골프존뉴딘홀딩스,121440,Dec-10,190299946,81211708,184308070,81697184
(주)골프존뉴딘홀딩스,121440,Dec-11,215793737,100364106,209788389,101810790
(주)광림,14200,Dec-10,,,93434519,77705430
(주)광림,14200,Dec-11,,,106495363,89277042
(주)광명전기,17040,Dec-10,103512739,89902685,68250250,61508629
(주)광명전기,17040,Dec-11,92382628,81102005,57967857,51994278
(주)광무,29480,Dec-10,81747132,62980133,80284671,61972719
(주)광무,29480,Dec-11,51755052,42251012,50359203,40419633
(주)광주신세계,37710,Dec-10,,,207799414,77887068
(주)광주신세계,37710,Dec-11,,,219613514,80698060
(주)구영테크,53270,Dec-10,150546089,129653477,60777103,47533638
(주)구영테크,53270,Dec-11,147832315,129730219,62527619,50904676
(주)국동,5320,Dec-10,152156795,130904315,110608935,93002231
(주)국동,5320,Dec-11,154293577,134179552,100097439,86396894
(주)국보,1140,Dec-10,118744324,108327142,108593661,99229089
(주)국보,1140,Dec-11,130636214,121478547,118304924,110401747
(주)국보디자인,66620,Dec-10,117346477,98678532,103169415,90743070
(주)국보디자인,66620,Dec-11,130689686,110146120,123203000,104476612
(주)국순당,43650,Dec-10,116933694,57728627,103748078,49230706
(주)국순당,43650,Dec-11,127686247,73054530,124279594,71050728
(주)국영지앤엠,6050,Dec-10,,,41942761,38256667
(주)국영지앤엠,6050,Dec-11,,,42569848,42885119
(주)그래디언트,35080,Dec-10,448995193,293192695,8652903,0
(주)그래디언트,35080,Dec-11,428571939,282364606,9501248,0
(주)그리티,204020,Dec-10,,,,
(주)그리티,204020,Dec-11,,,,
(주)그린플러스,186230,Dec-10,,,,
(주)그린플러스,186230,Dec-11,,,,
(주)글로벌스탠다드테크놀로지,83450,Dec-10,46413211,27915601,46203130,29726177
(주)글로벌스탠다드테크놀로지,83450,Dec-11,41504144,25904818,40662578,27560469
(주)금비,8870,Sep-10,,,72690887,55448200
(주)금비,8870,Sep-11,182184368,140978607,90614774,69214079
(주)금양,1570,Dec-10,102718517,86772404,90724087,79068564
(주)금양,1570,Dec-11,109810009,92297702,100918699,87166520
(주)금호에이치티,214330,Dec-10,,,,
(주)금호에이치티,214330,Dec-11,,,,
(주)금화피에스시,36190,Dec-10,,,97654825,79874919
(주)금화피에스시,36190,Dec-11,,,82738193,62321930
(주)기가레인,49080,Dec-10,,,,
(주)기산텔레콤,35460,Dec-10,103705410,82488070,63580595,48033652
(주)기산텔레콤,35460,Dec-11,65679195,58538412,36332290,32001840
(주)까뮤이앤씨,13700,Dec-10,,,219370206,195430332
(주)까뮤이앤씨,13700,Dec-11,,,90048208,108257108
(주)나노신소재,121600,Dec-10,27820898,13899561,27820898,13899561
(주)나노신소재,121600,Dec-11,33480756,18805669,33480756,18793245
(주)나노엔텍,39860,Dec-10,15154917,12383141,15096265,12383141
(주)나노엔텍,39860,Dec-11,13153879,12411365,13088091,12422875
(주)나래나노텍,137080,Dec-10,,,,
(주)나래나노텍,137080,Dec-11,,,,
(주)나무가,190510,Dec-10,,,,
(주)나무가,190510,Dec-11,,,,
(주)나스미디어,89600,Dec-10,,,18877379,0
(주)나스미디어,89600,Dec-11,,,21717857,0
(주)나이벡,138610,Dec-10,,,5270307,1895154
(주)나이벡,138610,Dec-11,,,2702416,2367419
(주)나이스디앤비,130580,Dec-10,,,16298746,0
(주)나이스디앤비,130580,Dec-11,,,17447086,0
(주)나이스홀딩스,34310,Dec-10,101591581,0,14073529,0
(주)나이스홀딩스,34310,Dec-11,194810015,0,27906675,0
(주)남선알미늄,8350,Dec-10,270881073,243724794,270881073,243724794
(주)남선알미늄,8350,Dec-11,302410988,276133992,302410988,276133992
(주)남성,4270,Dec-10,77176415,60523923,65504679,57363034
(주)남성,4270,Dec-11,66156225,51529324,55212184,47566587
(주)네오리진,94860,Dec-10,26146044,21213719,21018076,15855337
(주)네오리진,94860,Dec-11,42947694,35654342,23311768,17082439
(주)네오오토,212560,Dec-10,,,,
(주)네오오토,212560,Dec-11,,,,
(주)네오위즈,95660,Dec-10,430549822,260997342,423171796,253820461
(주)네오위즈,95660,Dec-11,667748340,404835206,592103340,368238006
(주)네오위즈홀딩스,42420,Dec-10,505659785,307012973,10487603,0
(주)네오위즈홀딩스,42420,Dec-11,727227250,445201473,13097599,0
(주)네오티스,85910,Dec-10,38920125,31878852,23432025,17529345
(주)네오티스,85910,Dec-11,,,29184036,22266719
(주)네오팜,92730,Dec-10,,,14661158,3271159
(주)네오팜,92730,Dec-11,,,16944305,4440190
(주)네이블커뮤니케이션즈,153460,Dec-10,,,18196564,9396304
(주)네이블커뮤니케이션즈,153460,Dec-11,,,20770504,10295939
(주)네이처셀,7390,Dec-10,,,29562875,26703467
(주)네이처셀,7390,Dec-11,,,22793853,21306113
(주)네패스,33640,Dec-10,272781707,219624044,238536131,193804998
(주)네패스,33640,Dec-11,276089822,229235676,215792824,172823069
(주)넥센,5720,Dec-10,249092509,206197799,247916979,213845148
(주)넥센,5720,Dec-11,281033576,240775423,239883610,210062880
(주)넥스턴바이오사이언스,89140,Dec-10,,,25112117,19132489
(주)넥스턴바이오사이언스,89140,Dec-11,,,27402406,20225073
(주)넥스트아이,137940,Dec-10,,,17512266,9431269
(주)넥스트아이,137940,Dec-11,,,17766393,10248372
(주)노랑풍선,104620,Dec-11,,,,
(주)노루페인트,90350,Dec-10,323598602,259753598,301175128,246356971
(주)노루페인트,90350,Dec-11,387059408,313485273,360300788,297889549
(주)노루홀딩스,320,Dec-10,468484516,370224678,23843639,0
(주)노루홀딩스,320,Dec-11,547974061,437075689,24611009,0
(주)노바렉스,194700,Dec-10,,,,
(주)노바렉스,194700,Dec-11,,,,
(주)노블엠앤비,106520,Dec-10,26733160,22367590,26733092,22367590
(주)노블엠앤비,106520,Dec-11,58378017,47021643,58378017,47215966
(주)녹십자,6280,Dec-10,793048919,471109974,791015317,470209237
(주)녹십자,6280,Dec-11,767911771,509056095,698866474,456818177
(주)녹십자엠에스,142280,Dec-10,,,29343241,24268098
(주)녹십자엠에스,142280,Dec-11,,,55036428,42029209
(주)녹십자홀딩스,5250,Dec-10,842803462,500464958,32356429,0
(주)녹십자홀딩스,5250,Dec-11,817952804,534680424,34013200,0
(주)녹원씨엔아이,65560,Dec-10,29602827,20519252,27002913,21099240
(주)녹원씨엔아이,65560,Dec-11,31094117,20957816,27504233,21452457
(주)농심,4370,Dec-10,2082830180,1463707370,1895168275,1354289907
(주)농심,4370,Dec-11,2170883423,1592746952,1970686353,1463826859
(주)농심홀딩스,72710,Dec-10,301392449,252817175,16210280,0
(주)농심홀딩스,72710,Dec-11,323877236,275794673,19810280,0
(주)누리플랜,69140,Dec-10,55095005,41586221,53205395,40190150
(주)누리플랜,69140,Dec-11,59455540,46019496,59649314,46116196
(주)누리플렉스,40160,Dec-10,72379499,45444995,46722693,31372708
(주)누리플렉스,40160,Dec-11,63302018,43443324,37187313,27884189
(주)뉴로스,126870,Dec-10,33424248,15544207,33424248,15544207
(주)뉴로스,126870,Dec-11,36416968,18097836,37028332,18424107
(주)뉴보텍,60260,Dec-10,,,32847160,26190556
(주)뉴보텍,60260,Dec-11,,,36470951,30203964
(주)뉴인텍,12340,Dec-10,56835516,48949280,52331920,45034505
(주)뉴인텍,12340,Dec-11,58341797,51598791,54427792,48402472
(주)뉴파워프라즈마,144960,Dec-10,,,,
(주)뉴파워프라즈마,144960,Dec-11,,,,
(주)뉴프렉스,85670,Dec-10,71160657,65370795,69573662,64042164
(주)뉴프렉스,85670,Dec-11,69161654,61934274,66569237,59634480
(주)다나와,119860,Dec-10,20694535,0,20694535,0
(주)다나와,119860,Dec-11,21167814,0,21094996,0
(주)다날,64260,Dec-10,84239177,0,82138712,0
(주)다날,64260,Dec-11,93496730,0,91499192,0
(주)다산네트웍스,39560,Dec-10,207463115,129818447,193889786,118927119
(주)다산네트웍스,39560,Dec-11,144096268,96416001,130647481,85245628
(주)다우기술,23590,Dec-10,741336841,427938678,155108530,123443967
(주)다우기술,23590,Dec-11,760690314,413897604,167578702,134073698
(주)다우데이타,32190,Dec-10,878474389,546145426,119659070,104150295
(주)다우데이타,32190,Dec-11,896975499,529741603,117225114,101617636
(주)다원시스,68240,Dec-10,,,30402863,19439157
(주)다원시스,68240,Dec-11,,,39573010,25785293
(주)다이나믹디자인,145210,Dec-10,136374553,97247756,100439292,64884236
(주)다이나믹디자인,145210,Dec-11,175306840,119443421,127684012,81953191
(주)대교,19680,Dec-10,904217159,737890806,792233160,642688235
(주)대교,19680,Dec-11,932828729,766934624,818473835,666730605
(주)대구백화점,6370,Mar-10,176290170,58760358,163947005,50249086
(주)대구백화점,6370,Mar-11,,,179162883,54506011
(주)대덕,8060,Dec-10,530903371,458990944,530735161,468729977
(주)대덕,8060,Dec-11,656457276,585581278,655724203,595984324
(주)대동,490,Dec-10,519626570,402349466,441001481,342114466
(주)대동,490,Dec-11,619097327,484481947,503098278,394566033
(주)대동스틸,48470,Dec-10,,,117196148,110276108
(주)대동스틸,48470,Dec-11,,,155434161,146967480
(주)대륙제관,4780,Dec-10,,,152652741,133129940
(주)대륙제관,4780,Dec-11,,,176869298,159183378
(주)대림제지,17650,Dec-10,,,70306510,63505584
(주)대림제지,17650,Dec-11,,,78530514,71502238
(주)대명소노시즌,7720,Dec-10,33928249,24769785,6016808,5855353
(주)대명소노시즌,7720,Dec-11,24126346,20264678,8401073,6677980
(주)대성미생물연구소,36480,Dec-10,,,17540048,12052194
(주)대성미생물연구소,36480,Dec-11,,,17148022,13570857
(주)대성엘텍,25440,Dec-10,275635361,254265011,260575650,241682291
(주)대성엘텍,25440,Dec-11,254383050,249756975,239501268,233702496
(주)대성파인텍,104040,Dec-10,24471556,19592283,22959455,18726002
(주)대성파인텍,104040,Dec-11,32471054,25009684,31169768,24165062
(주)대성하이텍,129920,Dec-10,,,,
(주)대성하이텍,129920,Dec-11,,,,
(주)대양금속,9190,Dec-10,215591074,194956661,215007487,195535932
(주)대양금속,9190,Dec-11,146313431,155905791,146017854,156170613
(주)대우건설,47040,Dec-10,6713401582,6586941648,6719062405,6606260891
(주)대우건설,47040,Dec-11,7019591544,6336765332,7031863672,6363201661
(주)대웅,3090,Mar-10,766644083,427553638,68111126,6117180
(주)대웅,3090,Dec-11,294259306,181671594,45481287,5994977
(주)대웅제약,69620,Mar-10,,,613750337,322037706
(주)대웅제약,69620,Dec-11,710547146,409830898,706643347,409314418
(주)대원,7680,Dec-10,,,,
(주)대원,7680,Dec-11,,,,
(주)대유,290380,Dec-10,,,,
(주)대유,290380,Dec-11,,,,
(주)대유에이텍,2880,Dec-10,278778965,252018383,250722135,226020812
(주)대유에이텍,2880,Dec-11,469492403,431626012,402876552,372748879
(주)대유플러스,300,Dec-10,236261847,217763787,202288697,189242071
(주)대유플러스,300,Dec-11,334908921,315316290,269816158,259731781
(주)대창,12800,Dec-10,814945245,748073028,791532522,728485651
(주)대창,12800,Dec-11,868579999,826154874,847602152,808703371
(주)대창솔루션,96350,Dec-10,,,71418035,61520799
(주)대창솔루션,96350,Dec-11,,,78897094,71605351
(주)대창스틸,140520,Dec-10,,,,
(주)대창스틸,140520,Dec-11,374880785,353830867,375618776,354568858
(주)대한과학,131220,Dec-10,,,27864762,19849085
(주)대한과학,131220,Dec-11,,,34442607,25295832
(주)대한항공,3490,Dec-10,11639953965,9053559324,11278796117,8835162889
(주)대한항공,3490,Dec-11,12269083442,10539660247,11805281564,10205749487
(주)대현,16090,Dec-10,,,185047747,75364835
(주)대현,16090,Dec-11,,,196209581,83382209
(주)대호에이엘,69460,Dec-10,167098004,148258628,166988816,148258628
(주)대호에이엘,69460,Dec-11,179347681,162099506,172103915,155720327
(주)대호특수강,21040,Dec-10,,,171541511,157401938
(주)대호특수강,21040,Dec-11,,,213832202,203189383
(주)더블유아이,73570,Dec-10,79793456,72682841,79793456,73192831
(주)더블유아이,73570,Dec-11,52297039,48498540,52230213,48678335
(주)더존비즈온,12510,Dec-10,117365978,52033082,117373128,49843635
(주)더존비즈온,12510,Dec-11,115664742,55444768,112382349,52993172
(주)덕성,4830,Dec-10,111180222,100298283,95563584,86252328
(주)덕성,4830,Dec-11,90994471,82467070,80029454,72153109
(주)덕신하우징,90410,Dec-10,,,,
(주)덕신하우징,90410,Dec-11,,,,
(주)데이타솔루션,263800,Dec-10,,,,
(주)데이타솔루션,263800,Dec-11,,,,
(주)덴티움,145720,Dec-10,,,52700214,14359624
(주)덴티움,145720,Dec-11,69398589,19306006,68380129,18604774
(주)도화엔지니어링,2150,Dec-10,,,321980713,0
(주)도화엔지니어링,2150,Dec-11,,,282096884,0
(주)동구바이오제약,6620,Dec-10,,,,
(주)동구바이오제약,6620,Dec-11,,,,
(주)동국알앤에스,75970,Dec-10,176510449,152569174,169892319,150700309
(주)동국알앤에스,75970,Dec-11,154053142,131062628,148238581,129883933
(주)동국에스엔씨,100130,Dec-10,105567655,97974633,104331874,97004879
(주)동국에스엔씨,100130,Dec-11,116891942,106802407,115568473,105887613
(주)동남합성,23450,Dec-10,,,49918410,43183518
(주)동남합성,23450,Dec-11,,,59784516,53992056
(주)동방,4140,Dec-10,548057852,489643545,433874124,392885972
(주)동방,4140,Dec-11,585508996,526177519,472871652,430798636
(주)동방선기,99410,Dec-10,58623157,47078669,36500084,29130964
(주)동방선기,99410,Dec-11,55491589,44574776,36527616,31167650
(주)동방아그로,7590,Dec-10,102054193,70249606,101979235,70240548
(주)동방아그로,7590,Dec-11,104135497,73000688,104135497,73147309
(주)동서,26960,Dec-10,384714777,312633979,349442664,289853752
(주)동서,26960,Dec-11,443158569,364261183,407145531,340440963
(주)동성케미컬,102260,Dec-10,536619879,452881019,8529923,0
(주)동성케미컬,102260,Dec-11,582112775,503706822,12065936,0
(주)동성화인텍,33500,Dec-10,,,181372621,154724800
(주)동성화인텍,33500,Dec-11,,,177618063,158719744
(주)동아엘텍,88130,Dec-10,57179445,37771304,35511323,22674835
(주)동아엘텍,88130,Dec-11,64235041,47670117,30831019,21460357
(주)동아지질,28100,Dec-10,326080590,295632862,313827006,285657279
(주)동아지질,28100,Dec-11,253840382,241404975,251872404,239098122
(주)동양,1520,Dec-10,990790531,862586104,678741186,588729241
(주)동양,1520,Dec-11,1491867213,1297586578,877037698,712347698
(주)동양고속,84670,Dec-10,138034898,111010643,109485062,85432187
(주)동양고속,84670,Dec-11,203129076,174107516,113116958,92449855
(주)동양에스텍,60380,Dec-10,188351317,176084111,180156438,170038725
(주)동양에스텍,60380,Dec-11,216818796,203147857,207403841,195831212
(주)동우팜투테이블,88910,Dec-10,,,202563904,168804358
(주)동우팜투테이블,88910,Dec-11,,,218666059,197654981
(주)동운아나텍,94170,Dec-10,,,,
(주)동운아나텍,94170,Dec-11,,,25312972,16698865
(주)동원개발,13120,Dec-10,,,106676592,91893174
(주)동원개발,13120,Dec-11,,,216368374,184214814
(주)동원에프앤비,49770,Dec-10,1328767718,1007745083,1003800665,731914789
(주)동원에프앤비,49770,Dec-11,1563244948,1183935328,1099094841,793308598
(주)동일기연,32960,Dec-10,52281083,29207604,52258634,30582002
(주)동일기연,32960,Dec-11,45546692,28453351,45546506,28640720
(주)동진쎄미켐,5290,Dec-10,422852856,352261714,408644566,349135401
(주)동진쎄미켐,5290,Dec-11,457421768,405125875,441224831,395360740
(주)두산,150,Dec-10,3752594956,2335321730,1405848709,1089343619
(주)두산,150,Dec-11,4033312612,2963164179,1930096327,1481236101
(주)두산테스나,131970,Dec-10,,,30271024,22486445
(주)두산테스나,131970,Dec-11,,,48026019,35603204
(주)두올,16740,Dec-10,,,,
(주)두올,16740,Dec-11,,,,
(주)듀오백,73190,Dec-10,40685217,26820683,39775788,26826772
(주)듀오백,73190,Dec-11,43295809,28188362,40860122,28189164
(주)드래곤플라이,30350,Dec-10,35542577,1179505,35542577,639291
(주)드래곤플라이,30350,Dec-11,36773818,3532287,36387253,2220805
(주)드림씨아이에스,223250,Dec-11,,,,
(주)드림어스컴퍼니,60570,Dec-10,174957241,149136554,107181964,95639927
(주)드림어스컴퍼니,60570,Dec-11,148471368,138462627,91429418,87181851
(주)드림텍,192650,Dec-10,231970710,208888935,231970710,208888935
(주)드림텍,192650,Dec-11,317904673,284109058,308592624,274465039
(주)디모아,16670,Dec-10,,,44034448,34324148
(주)디모아,16670,Dec-11,,,49059079,38136684
(주)디바이스이엔지,187870,Dec-10,,,,
(주)디바이스이엔지,187870,Dec-11,,,,
(주)디비아이엔씨,12030,Dec-10,192315364,172484644,191104153,171204780
(주)디비아이엔씨,12030,Dec-11,511077050,458811762,511011832,459045270
(주)디스플레이테크,66670,Dec-10,,,171873018,155738649
(주)디스플레이테크,66670,Dec-11,,,177792014,166506560
(주)디아이,3160,Dec-10,89320214,64182409,63921031,45576928
(주)디아이,3160,Dec-11,87027369,68247860,45262670,34084609
(주)디아이씨,92200,Dec-10,427331272,358752638,254716882,218503267
(주)디아이씨,92200,Dec-11,519145524,448763661,323532686,285731824
(주)디아크,78590,Dec-10,,,24633684,20463822
(주)디아크,78590,Dec-11,,,36339241,31119367
(주)디알비동일,4840,Dec-10,389699028,300303350,272500219,217676578
(주)디알비동일,4840,Dec-11,505919694,404961698,338846704,267002491
(주)디에스앤엘,141020,Dec-10,,,30853960,22849991
(주)디에스앤엘,141020,Dec-11,,,49498638,36310839
(주)디에스케이,109740,Dec-10,44589981,38351211,44589981,38351211
(주)디에스케이,109740,Dec-11,37945005,30730110,37457285,30372389
(주)디에이테크놀로지,196490,Dec-10,,,,
(주)디에이테크놀로지,196490,Dec-11,,,,
(주)디에이피,66900,Dec-10,,,180690213,164016944
(주)디에이피,66900,Dec-11,,,212427333,207287246
(주)디엔에이링크,127120,Dec-10,,,6336070,3960185
(주)디엔에이링크,127120,Dec-11,,,9150508,5588349
(주)디엔에프,92070,Dec-10,,,12775485,4499763
(주)디엔에프,92070,Dec-11,,,25329505,14824294
(주)디엔오토모티브,7340,Dec-10,477868220,398942713,335003550,294444113
(주)디엔오토모티브,7340,Dec-11,562794298,467572065,377329347,336856979
(주)디엠에스,68790,Dec-10,264727218,203885783,262780312,203618141
(주)디엠에스,68790,Dec-11,230196160,178184508,227055326,177314394
(주)디오,39840,Dec-10,47558743,27134520,51198194,28656192
(주)디오,39840,Dec-11,51256033,21216906,50140272,20450928
(주)디이엔티,79810,Dec-10,,,61454978,53875945
(주)디이엔티,79810,Dec-11,,,45089545,41898759
(주)디지아이,43360,Dec-10,44089641,33173049,37434962,26921832
(주)디지아이,43360,Dec-11,,,26955616,19737836
(주)디지털대성,68930,Dec-10,,,29533286,20572998
(주)디지털대성,68930,Dec-11,,,49919903,32518852
(주)디지틀조선일보,33130,Dec-10,36913335,28886992,35930758,29091807
(주)디지틀조선일보,33130,Dec-11,41082372,30879208,39539534,31082464
(주)디케이앤디,263020,Dec-10,,,,
(주)디케이앤디,263020,Dec-11,,,,
(주)디티앤씨,187220,Dec-10,,,,
(주)디티앤씨,187220,Dec-11,,,,
(주)딜리,131180,Dec-10,29250182,17589951,29250182,17589951
(주)딜리,131180,Dec-11,28938214,18639806,29300804,18950329
(주)라온테크,232680,Dec-11,,,,
(주)라이온켐텍,171120,Dec-10,,,62309584,50418440
(주)라이온켐텍,171120,Dec-11,,,80121191,61993361
(주)라이트론,69540,Dec-10,29820522,23364091,29130321,23989212
