회사명,거래소코드,회계년도,매출채권(IFRS연결)(천원),매입채무(IFRS연결)(천원),매출채권(IFRS)(천원),매입채무(IFRS)(천원)
(주)CMG제약,058820,2011/12,11050219,1481481,11050219,1481481
(주)CMG제약,058820,2012/12,11362566,2670886,11362566,2670886
(주)CMG제약,058820,2013/12,13999415,3911851,13999415,3911851
(주)CMG제약,058820,2014/12,16787073,4719504,16787073,4719504
(주)CMG제약,058820,2015/12,15838057,4844096,15838056,4844096
(주)CMG제약,058820,2016/12,14435808,5688806,14435808,5688806
(주)CMG제약,058820,2017/12,16768648,7002289,16768648,7002289
(주)CMG제약,058820,2018/12,19030822,4162722,19030822,4162722
(주)CMG제약,058820,2019/12,21676515,4328437,21676515,4328437
(주)DB하이텍,000990,2011/12,79301000,23196334,71061975,22998829
(주)DB하이텍,000990,2012/12,69176000,17740927,74994000,23484407
(주)DB하이텍,000990,2013/12,59941499,29717748,59836026,29426433
(주)DB하이텍,000990,2014/12,83353090,36235325,83154227,35936430
(주)DB하이텍,000990,2015/12,92342122,44271640,91970866,42409042
(주)DB하이텍,000990,2016/12,110311838,44199479,110311839,41718640
(주)DB하이텍,000990,2017/12,85709910,33883223,85713072,31644708
(주)DB하이텍,000990,2018/12,98855166,36469258,98855130,36347680
(주)DB하이텍,000990,2019/12,102020672,30645243,102020672,30336721
(주)ES큐브,050120,2011/12,12624603,2706831,2102205,2385776
(주)ES큐브,050120,2012/12,4718926,1540985,3047374,1624298
(주)ES큐브,050120,2013/12,4935099,934211,2846445,1329946
(주)ES큐브,050120,2014/12,10542241,1218077,3093857,2309135
(주)ES큐브,050120,2015/12,7805190,1154116,2055434,1126410
(주)ES큐브,050120,2016/12,4142905,1029926,2820018,2932249
(주)ES큐브,050120,2017/12,3886201,1232866,2573314,2416818
(주)ES큐브,050120,2018/12,4655667,907478,3016721,2520376
(주)ES큐브,050120,2019/12,212246240,1002412,2610301,4247225
(주)HJ중공업,097230,2011/12,283789000,214421000,831799000,196118000
(주)HJ중공업,097230,2012/12,268734000,247973000,955409000,218263000
(주)HJ중공업,097230,2013/12,245971000,228311000,285995000,229429000
(주)HJ중공업,097230,2014/12,294422000,292809000,384263000,385389000
(주)HJ중공업,097230,2015/12,203499000,352916000,234552000,343319000
(주)HJ중공업,097230,2016/12,134921000,291798000,242278000,186629000
(주)HJ중공업,097230,2017/12,130629000,279484000,148699000,208153000
(주)HJ중공업,097230,2018/12,109666000,197744000,102682000,197641000
(주)HJ중공업,097230,2019/12,186684000,166881000,175735000,166779000
(주)MH에탄올,023150,2011/12,8757548,10717,8748707,0
(주)MH에탄올,023150,2012/12,10118103,15202,10109892,0
(주)MH에탄올,023150,2013/12,10691393,3722,10664555,0
(주)MH에탄올,023150,2014/12,10379733,0,10379733,0
(주)MH에탄올,023150,2015/12,11080407,0,11080407,0
(주)MH에탄올,023150,2016/12,9965259,0,9965259,0
(주)MH에탄올,023150,2017/12,10887252,457631,10589508,0
(주)MH에탄올,023150,2018/12,10529867,627047,10266287,0
(주)MH에탄올,023150,2019/12,9499084,528575,9124637,0
(주)SH에너지화학,002360,2011/12,29083550,955253,28469011,940479
(주)SH에너지화학,002360,2012/12,30307562,2215544,29170923,2206403
(주)SH에너지화학,002360,2013/12,33797271,2599202,33105701,2593275
(주)SH에너지화학,002360,2014/12,33429222,2223255,32478430,2190170
(주)SH에너지화학,002360,2015/12,32536497,1103755,31405845,1087816
(주)SH에너지화학,002360,2016/12,44363775,1504713,44371296,1483508
(주)SH에너지화학,002360,2017/12,32135522,1775928,29569635,1657856
(주)SH에너지화학,002360,2018/12,28065346,969166,26954657,956145
(주)SH에너지화학,002360,2019/12,19343406,1033114,18332571,1003854
(주)SIMPAC,009160,2011/12,61396431,37822973,61101857,37851191
(주)SIMPAC,009160,2012/12,64410349,37650525,63906443,37650525
(주)SIMPAC,009160,2013/12,70776019,38556438,70594150,38556438
(주)SIMPAC,009160,2014/12,85807726,46030344,65389652,39369978
(주)SIMPAC,009160,2015/12,92407160,53845716,63243462,44285429
(주)SIMPAC,009160,2016/12,82187792,46855264,49480584,41037295
(주)SIMPAC,009160,2017/12,92525495,29467361,69293781,25003174
(주)SIMPAC,009160,2018/12,83584396,43116640,58586618,37013249
(주)SIMPAC,009160,2019/12,70072876,32704191,47263174,25346947
(주)SNT에너지,100840,2011/12,,,61985605,44474696
(주)SNT에너지,100840,2012/12,,,55907590,39641985
(주)SNT에너지,100840,2013/12,,,41261252,37857624
(주)SNT에너지,100840,2014/12,,,49187725,31040007
(주)SNT에너지,100840,2015/12,,,64863275,29685849
(주)SNT에너지,100840,2016/12,,,48869506,23920463
(주)SNT에너지,100840,2017/12,,,51310402,16893340
(주)SNT에너지,100840,2018/12,,,29295256,13110417
(주)SNT에너지,100840,2019/12,83894725,23420417,98456397,21255312
(주)SNT홀딩스,036530,2011/12,404578388,371854324,677865,0
(주)SNT홀딩스,036530,2012/12,404874970,318705541,659958,0
(주)SNT홀딩스,036530,2013/12,364300144,317382506,624553,0
(주)SNT홀딩스,036530,2014/12,318803347,257490442,608494,0
(주)SNT홀딩스,036530,2015/12,317287946,216310412,647243,0
(주)SNT홀딩스,036530,2016/12,331347025,235495857,647920,0
(주)SNT홀딩스,036530,2017/12,317573551,244821803,558857,53817
(주)SNT홀딩스,036530,2018/12,282698019,225133544,595784,0
(주)SNT홀딩스,036530,2019/12,323871429,199204201,570175,0
(주)STX,011810,2011/12,549558000,357994000,433389000,263754000
(주)STX,011810,2012/12,585650000,335789000,407542000,211303000
(주)STX,011810,2013/12,318920000,199238000,264240000,117155000
