회사명,거래소코드,회계년도,매출액(IFRS연결),매출채권(IFRS연결),매출액(IFRS개별),매출채권(IFRS개별)
(주)CMG제약,58820,Dec-11,17751704,11050219,17751704,11050219
(주)CMG제약,58820,Dec-12,16255389,11362566,16255389,11362566
(주)CMG제약,58820,Dec-13,20402140,13999415,20322140,13999415
(주)CMG제약,58820,Dec-14,22752584,16787073,22752584,16787073
(주)CMG제약,58820,Dec-15,27041894,15838057,27041894,15838056
(주)CMG제약,58820,Dec-16,32969825,14435808,32969825,14435808
(주)CMG제약,58820,Dec-17,41535588,16768648,41535588,16768648
(주)CMG제약,58820,Dec-18,49864782,19030822,49864782,19030822
(주)CMG제약,58820,Dec-19,58622681,21676515,58622681,21676515
(주)DB하이텍,990,Dec-11,552216245,79301000,534317238,71061975
(주)DB하이텍,990,Dec-12,590786488,69176000,583901597,74994000
(주)DB하이텍,990,Dec-13,493752028,59941499,493752028,59836026
(주)DB하이텍,990,Dec-14,567718224,83353090,567718224,83154227
(주)DB하이텍,990,Dec-15,666594987,92342122,666594987,91970866
(주)DB하이텍,990,Dec-16,773140180,110311838,773140180,110311839
(주)DB하이텍,990,Dec-17,679737744,85709910,679737744,85713072
(주)DB하이텍,990,Dec-18,669279136,98855166,669279136,98855130
(주)DB하이텍,990,Dec-19,807416423,102020672,807416423,102020672
(주)ES큐브,50120,Dec-11,53379952,12624603,41700477,2102205
(주)ES큐브,50120,Dec-12,55971147,4718926,44178050,3047374
(주)ES큐브,50120,Dec-13,58597361,4935099,45823196,2846445
(주)ES큐브,50120,Dec-14,44459581,10542241,37188072,3093857
(주)ES큐브,50120,Dec-15,42152967,7805190,36887119,2055434
(주)ES큐브,50120,Dec-16,34289385,4142905,34818205,2820018
(주)ES큐브,50120,Dec-17,35745794,3886201,37104908,2573314
(주)ES큐브,50120,Dec-18,33763508,4655667,31308873,3016721
(주)ES큐브,50120,Dec-19,43708239,212246240,28527284,2610301
(주)HJ중공업,97230,Dec-11,2891499000,283789000,2316017000,831799000
(주)HJ중공업,97230,Dec-12,2549319000,268734000,1980761000,955409000
(주)HJ중공업,97230,Dec-13,2529341000,245971000,1927307000,285995000
(주)HJ중공업,97230,Dec-14,2520325000,294422000,1799016000,384263000
(주)HJ중공업,97230,Dec-15,3115473000,203499000,2041347000,234552000
(주)HJ중공업,97230,Dec-16,2813271000,134921000,1928591000,242278000
(주)HJ중공업,97230,Dec-17,2452314000,130629000,1737428000,148699000
(주)HJ중공업,97230,Dec-18,1697869000,109666000,1750954000,102682000
(주)HJ중공업,97230,Dec-19,1628751000,186684000,1609530000,175735000
(주)MH에탄올,23150,Dec-11,44785159,8757548,43206995,8748707
(주)MH에탄올,23150,Dec-12,59768175,10118103,45488675,10109892
(주)MH에탄올,23150,Dec-13,62199887,10691393,46298516,10664555
(주)MH에탄올,23150,Dec-14,48983781,10379733,48983781,10379733
(주)MH에탄올,23150,Dec-15,50386203,11080407,50386203,11080407
(주)MH에탄올,23150,Dec-16,48897025,9965259,48897025,9965259
(주)MH에탄올,23150,Dec-17,51977132,10887252,48270464,10589508
(주)MH에탄올,23150,Dec-18,72795863,10529867,46943080,10266287
(주)MH에탄올,23150,Dec-19,80879342,9499084,46992295,9124637
(주)SH에너지화학,2360,Dec-11,173209351,29083550,172752632,28469011
(주)SH에너지화학,2360,Dec-12,193950102,30307562,191907628,29170923
(주)SH에너지화학,2360,Dec-13,231912218,33797271,229783541,33105701
(주)SH에너지화학,2360,Dec-14,230912587,33429222,226971465,32478430
(주)SH에너지화학,2360,Dec-15,216441364,32536497,213882181,31405845
(주)SH에너지화학,2360,Dec-16,218397677,44363775,214380015,44371296
(주)SH에너지화학,2360,Dec-17,188114822,32135522,184672638,29569635
(주)SH에너지화학,2360,Dec-18,183598766,28065346,180753289,26954657
(주)SH에너지화학,2360,Dec-19,140852575,19343406,138161816,18332571
(주)SIMPAC,9160,Dec-11,215365697,61396431,213867522,61101857
(주)SIMPAC,9160,Dec-12,225353321,64410349,223854758,63906443
(주)SIMPAC,9160,Dec-13,205751154,70776019,204527751,70594150
(주)SIMPAC,9160,Dec-14,263152264,85807726,227491803,65389652
(주)SIMPAC,9160,Dec-15,269528038,92407160,213152303,63243462
(주)SIMPAC,9160,Dec-16,267074156,82187792,215839356,49480584
(주)SIMPAC,9160,Dec-17,230634812,92525495,203150228,69293781
(주)SIMPAC,9160,Dec-18,306150809,83584396,268863854,58586618
(주)SIMPAC,9160,Dec-19,430085162,70072876,391970769,47263174
(주)SNT에너지,100840,Dec-11,,,195318747,61985605
(주)SNT에너지,100840,Dec-12,,,230707564,55907590
(주)SNT에너지,100840,Dec-13,,,200750984,41261252
(주)SNT에너지,100840,Dec-14,,,242746888,49187725
(주)SNT에너지,100840,Dec-15,,,260094045,64863275
(주)SNT에너지,100840,Dec-16,,,254089906,48869506
(주)SNT에너지,100840,Dec-17,,,184091945,51310402
(주)SNT에너지,100840,Dec-18,,,139516396,29295256
(주)SNT에너지,100840,Dec-19,213326726,83894725,202822913,98456397
(주)SNT홀딩스,36530,Dec-11,1663846065,404578388,2257851,677865
(주)SNT홀딩스,36530,Dec-12,1668749904,404874970,8718270,659958
(주)SNT홀딩스,36530,Dec-13,1576368464,364300144,8826810,624553
(주)SNT홀딩스,36530,Dec-14,1552374806,318803347,7701882,608494
(주)SNT홀딩스,36530,Dec-15,1612746929,317287946,8475099,647243
(주)SNT홀딩스,36530,Dec-16,1537700275,331347025,9818190,647920
(주)SNT홀딩스,36530,Dec-17,1508152132,317573551,7417869,558857
(주)SNT홀딩스,36530,Dec-18,1401307482,282698019,7292112,595784
(주)SNT홀딩스,36530,Dec-19,1512114565,323871429,11015928,570175
(주)STX,11810,Dec-11,5967701000,549558000,4173397000,433389000
(주)STX,11810,Dec-12,6159850000,585650000,4116767000,407542000
(주)STX,11810,Dec-13,2449401000,318920000,1895063000,264240000
(주)STX,11810,Dec-14,1634606000,231173000,1291351000,240745000
(주)STX,11810,Dec-15,1630827000,196846000,1362127000,192082000
(주)STX,11810,Dec-16,1720153000,151385000,1465561000,225461000
(주)STX,11810,Dec-17,1803878000,150002000,1595494000,148268000
(주)STX,11810,Dec-18,1502985000,168448000,1329890000,124416000
(주)STX,11810,Dec-19,1471164000,184444000,1237876000,149459000
(주)TCC스틸,2710,Dec-11,514424043,80665225,456928069,67618018
(주)TCC스틸,2710,Dec-12,501337475,71112902,440568155,65092634
(주)TCC스틸,2710,Dec-13,500832754,68316114,419483813,56753518
(주)TCC스틸,2710,Dec-14,518995240,86970515,401323585,60593854
(주)TCC스틸,2710,Dec-15,495795871,67719623,350074629,42872200
(주)TCC스틸,2710,Dec-16,444453635,57654611,317235565,48126701
(주)TCC스틸,2710,Dec-17,391370092,48408783,333762378,43217757
(주)TCC스틸,2710,Dec-18,413176279,42246665,351301866,41140973
(주)TCC스틸,2710,Dec-19,437173902,45242999,339334364,33268239
(주)가비아,79940,Dec-11,52838864,4866865,33792831,1964346
(주)가비아,79940,Dec-12,69058144,6524566,38482449,2041083
(주)가비아,79940,Dec-13,70675565,6448247,40507693,1986939
(주)가비아,79940,Dec-14,80432047,0,43906243,2648057
(주)가비아,79940,Dec-15,91648622,8120801,48446932,2327391
(주)가비아,79940,Dec-16,102178978,14103577,49430564,2458491
(주)가비아,79940,Dec-17,116217941,19164658,52365659,2897556
(주)가비아,79940,Dec-18,128728438,20324111,55197652,2873894
(주)가비아,79940,Dec-19,148306878,25159207,58254105,3227148
(주)강스템바이오텍,217730,Dec-15,,,1484593,298840
(주)강스템바이오텍,217730,Dec-16,,,842805,170110
(주)강스템바이오텍,217730,Dec-17,9132939,440984,5394323,173608
