회사명,거래소코드,회계년도,부가가치(IFRS연결),매출액(IFRS연결),부가가치(IFRS개별),매출액(IFRS개별)
(주)CMG제약,58820,Dec-11,3472.17,17751704,3669.25,17751704
(주)CMG제약,58820,Dec-12,269.31,16255389,-88.04,16255389
(주)CMG제약,58820,Dec-13,6994.9,20402140,6952.08,20322140
(주)CMG제약,58820,Dec-14,7061.34,22752584,7065.04,22752584
(주)CMG제약,58820,Dec-15,4315.37,27041894,4316.8,27041894
(주)CMG제약,58820,Dec-16,10518.86,32969825,10518.86,32969825
(주)CMG제약,58820,Dec-17,13710.01,41535588,13710.01,41535588
(주)CMG제약,58820,Dec-18,16847.65,49864782,16847.65,49864782
(주)CMG제약,58820,Dec-19,19033.25,58622681,19033.25,58622681
(주)DB하이텍,990,Dec-11,217837.57,552216245,216914,534317238
(주)DB하이텍,990,Dec-12,245655.23,590786488,241800.39,583901597
(주)DB하이텍,990,Dec-13,191554.48,493752028,198528.8,493752028
(주)DB하이텍,990,Dec-14,187341.51,567718224,207672.46,567718224
(주)DB하이텍,990,Dec-15,386127.3,666594987,382610.36,666594987
(주)DB하이텍,990,Dec-16,341049.1,773140180,336460.47,773140180
(주)DB하이텍,990,Dec-17,329388.04,679737744,292737.25,679737744
(주)DB하이텍,990,Dec-18,309084.25,669279136,316543.96,669279136
(주)DB하이텍,990,Dec-19,379212.5,807416423,394709.63,807416423
(주)ES큐브,50120,Dec-11,12044.17,53379952,7961.63,41700477
(주)ES큐브,50120,Dec-12,17991.74,55971147,11617.33,44178050
(주)ES큐브,50120,Dec-13,1434.39,58597361,-5722.54,45823196
(주)ES큐브,50120,Dec-14,5773,44459581,1481.4,37188072
(주)ES큐브,50120,Dec-15,2670.29,42152967,6263.14,36887119
(주)ES큐브,50120,Dec-16,26875.03,34289385,20160.01,34818205
(주)ES큐브,50120,Dec-17,7493.34,35745794,4476.07,37104908
(주)ES큐브,50120,Dec-18,1165.56,33763508,177.01,31308873
(주)ES큐브,50120,Dec-19,-557.97,43708239,-6558.67,28527284
(주)HJ중공업,97230,Dec-11,494018,2891499000,364032,2316017000
(주)HJ중공업,97230,Dec-12,543885,2549319000,488043,1980761000
(주)HJ중공업,97230,Dec-13,358044,2529341000,213438,1927307000
