회사명,거래소코드,회계년도,부채(IFRS연결),자본(IFRS연결),부채(IFRS개별),자본(IFRS개별)
(주)CMG제약,58820,Dec-11,9270949,18034249,9257624,18290915
(주)CMG제약,58820,Dec-12,25517350,31590685,25386064,31602540
(주)CMG제약,58820,Dec-13,6915281,48997281,6913407,49048213
(주)CMG제약,58820,Dec-14,9065682,49002644,9060059,49067039
(주)CMG제약,58820,Dec-15,9725933,46806888,9719267,46872705
(주)CMG제약,58820,Dec-16,9872232,101107635,9872232,101107635
(주)CMG제약,58820,Dec-17,11624134,97944019,11624134,97944019
(주)CMG제약,58820,Dec-18,10398033,103981846,10398033,103981846
(주)CMG제약,58820,Dec-19,12084883,180158283,12084883,180158283
(주)DB하이텍,990,Dec-11,890982181,308061688,892247931,291709498
(주)DB하이텍,990,Dec-12,866861695,290893335,874516025,274553219
(주)DB하이텍,990,Dec-13,853635085,204756748,852207175,197287466
(주)DB하이텍,990,Dec-14,864173902,120702734,865855755,136104062
(주)DB하이텍,990,Dec-15,730586221,254057491,728010902,277662952
(주)DB하이텍,990,Dec-16,644871257,341917315,641920423,364450453
(주)DB하이텍,990,Dec-17,538152775,455797946,536028245,441546809
(주)DB하이텍,990,Dec-18,508142309,558391531,508139265,542557222
(주)DB하이텍,990,Dec-19,444239080,644650730,444095557,645305205
(주)ES큐브,50120,Dec-11,16231202,39245830,6089019,39144414
(주)ES큐브,50120,Dec-12,6421979,39859681,4794705,39881477
(주)ES큐브,50120,Dec-13,4765132,42372440,3796835,43712820
(주)ES큐브,50120,Dec-14,6983745,49628091,3687837,41226335
(주)ES큐브,50120,Dec-15,5965820,49654460,2251042,44872641
(주)ES큐브,50120,Dec-16,33468504,71696122,34627619,69832373
(주)ES큐브,50120,Dec-17,33075251,72816880,33451725,71398467
(주)ES큐브,50120,Dec-18,41682289,70748607,41963133,66518631
(주)ES큐브,50120,Dec-19,389920168,74038512,82079157,53986331
(주)HJ중공업,97230,Dec-11,5169832000,1866848000,3982242000,1874877000
(주)HJ중공업,97230,Dec-12,4869577000,1715516000,4074579000,1863529000
(주)HJ중공업,97230,Dec-13,5044381000,1638998000,4035024000,1804609000
(주)HJ중공업,97230,Dec-14,4897208000,1573076000,3707924000,1761886000
(주)HJ중공업,97230,Dec-15,4546048000,1368589000,3260852000,1377529000
(주)HJ중공업,97230,Dec-16,4361281000,895183000,3017411000,904150000
(주)HJ중공업,97230,Dec-17,3629457000,577198000,2748893000,563410000
(주)HJ중공업,97230,Dec-18,3441806000,-708186000,2787299000,-398930000
(주)HJ중공업,97230,Dec-19,2225228000,244994000,2218378000,247272000
(주)MH에탄올,23150,Dec-11,91539513,42667338,79765833,56161251
(주)MH에탄올,23150,Dec-12,94707555,39678259,80487873,58712944
(주)MH에탄올,23150,Dec-13,83812413,45885523,75400817,47119925
(주)MH에탄올,23150,Dec-14,32746158,52788681,32745993,52507884
(주)MH에탄올,23150,Dec-15,21111704,57884347,21121539,57569789
(주)MH에탄올,23150,Dec-16,8757790,63581883,8767625,63257513
(주)MH에탄올,23150,Dec-17,393342742,106837344,42738147,64698932
(주)MH에탄올,23150,Dec-18,348592051,91585473,41185360,68471529
(주)MH에탄올,23150,Dec-19,372085374,79389077,41581021,59477642
(주)SH에너지화학,2360,Dec-11,39468414,65242326,37884515,64498684
(주)SH에너지화학,2360,Dec-12,38808867,64881202,37604198,64888612
(주)SH에너지화학,2360,Dec-13,40889810,69599141,40202877,69781889
(주)SH에너지화학,2360,Dec-14,26504210,84237197,25693965,83404299
(주)SH에너지화학,2360,Dec-15,23874505,91646221,23308070,90740136
(주)SH에너지화학,2360,Dec-16,20399837,104088887,19873862,103083032
(주)SH에너지화학,2360,Dec-17,17618682,107693472,17543581,105717970
