회사명,거래소코드,회계년도,부가가치(IFRS연결),유형자산(IFRS연결),건설중인자산(IFRS연결),부가가치(IFRS개별),유형자산(IFRS개별),건설중인자산(IFRS개별)
(주)CMG제약,58820,11-Dec,3472.17,0,24700,3669.25,9652599,24700
(주)CMG제약,58820,12-Dec,269.31,0,0,-88.04,9264142,0
(주)CMG제약,58820,13-Dec,6994.9,0,1827454,6952.08,10805092,1827454
(주)CMG제약,58820,14-Dec,7061.34,0,154233,7065.04,18833775,154233
(주)CMG제약,58820,15-Dec,4315.37,0,0,4316.8,17822468,0
(주)CMG제약,58820,16-Dec,10518.86,0,24524,10518.86,16905814,24524
(주)CMG제약,58820,17-Dec,13710.01,0,28136,13710.01,16182518,28136
(주)CMG제약,58820,18-Dec,16847.65,0,1412095,16847.65,17268535,1412095
(주)CMG제약,58820,19-Dec,19033.25,0,7510879,19033.25,24119403,7510880
(주)DB하이텍,990,11-Dec,217837.57,0,27453000,216914,758179817,27453000
(주)DB하이텍,990,12-Dec,245655.23,0,22706000,241800.39,684941380,22706000
(주)DB하이텍,990,13-Dec,191554.48,0,36099000,198528.8,635765049,36099000
(주)DB하이텍,990,14-Dec,187341.51,0,41972000,207672.46,591653498,41973000
(주)DB하이텍,990,15-Dec,386127.3,0,44837000,382610.36,533113708,44837000
(주)DB하이텍,990,16-Dec,341049.1,0,50562000,336460.47,547687840,50562000
(주)DB하이텍,990,17-Dec,329388.04,0,42348000,292737.25,555556192,42348000
(주)DB하이텍,990,18-Dec,309084.25,0,100033000,316543.96,597563521,100033000
(주)DB하이텍,990,19-Dec,379212.5,0,61122000,394709.63,616562743,61122000
(주)ES큐브,50120,11-Dec,12044.17,0,0,7961.63,1407274,0
(주)ES큐브,50120,12-Dec,17991.74,0,0,11617.33,1395951,0
(주)ES큐브,50120,13-Dec,1434.39,0,0,-5722.54,914811,0
(주)ES큐브,50120,14-Dec,5773,0,0,1481.4,640405,0
(주)ES큐브,50120,15-Dec,2670.29,0,0,6263.14,596347,0
(주)ES큐브,50120,16-Dec,26875.03,0,0,20160.01,4673186,0
(주)ES큐브,50120,17-Dec,7493.34,0,0,4476.07,7506218,0
(주)ES큐브,50120,18-Dec,1165.56,0,0,177.01,10880733,0
(주)ES큐브,50120,19-Dec,-557.97,0,0,-6558.67,10576512,0
(주)HJ중공업,97230,11-Dec,494018,4347000,19784000,364032,1427510000,5016000
(주)HJ중공업,97230,12-Dec,543885,0,55437000,488043,1343556000,13655000
(주)HJ중공업,97230,13-Dec,358044,0,24325000,213438,1329680000,22403000
(주)HJ중공업,97230,14-Dec,291365,0,54901000,241189,1263266000,41086000
(주)HJ중공업,97230,15-Dec,292787,80000,43452000,171017,1223488000,36388000
(주)HJ중공업,97230,16-Dec,221273,152543000,54116000,77014,1036188000,45263000
(주)HJ중공업,97230,17-Dec,171765,80000,6573000,62839,653140000,1828000
(주)HJ중공업,97230,18-Dec,390449,200418000,2227000,-664773,636673000,2227000
(주)HJ중공업,97230,19-Dec,333185,5767000,1800000,291962,613082000,1800000
(주)MH에탄올,23150,11-Dec,8741.25,0,58210,12156.15,35172601,0
(주)MH에탄올,23150,12-Dec,15364.39,0,0,11475.93,34423174,0
(주)MH에탄올,23150,13-Dec,13050.09,0,69000,-10099.69,34123721,69000
(주)MH에탄올,23150,14-Dec,11295.12,0,486096,11030.53,36083178,486096
(주)MH에탄올,23150,15-Dec,16454.85,0,268000,16452.87,36846498,268000
(주)MH에탄올,23150,16-Dec,17091.29,0,402993,16882.88,37390792,402993
(주)MH에탄올,23150,17-Dec,14202.61,0,333000,14882.33,39418503,333000
(주)MH에탄올,23150,18-Dec,16853.56,0,650107,16047.25,40585694,51500
(주)MH에탄올,23150,19-Dec,22570.7,0,1085121,5096.55,41121323,150000
(주)SH에너지화학,2360,11-Dec,14210,0,1175202,14221.3,33115306,1175202
(주)SH에너지화학,2360,12-Dec,14518.25,0,711970,13164.14,32608108,711970
(주)SH에너지화학,2360,13-Dec,20836.07,0,828543,18725.38,31944570,828543
(주)SH에너지화학,2360,14-Dec,37108.64,0,715481,33796.55,31070401,715481
(주)SH에너지화학,2360,15-Dec,36388.74,0,373549,34895.57,32654731,373550
(주)SH에너지화학,2360,16-Dec,40893.43,0,466709,39411.54,31792327,466709
(주)SH에너지화학,2360,17-Dec,29127.7,0,392095,27260.32,30956708,392095
(주)SH에너지화학,2360,18-Dec,19920.85,0,492857,19849.37,29913044,492857
(주)SH에너지화학,2360,19-Dec,13705.14,0,2268097,12959.9,33126165,2268097
(주)SIMPAC,9160,11-Dec,53726.56,0,1103192,47745.41,62702218,1103192
(주)SIMPAC,9160,12-Dec,43772.07,0,0,45503.45,64182764,0
(주)SIMPAC,9160,13-Dec,46115.44,0,0,44116.55,64271295,0
(주)SIMPAC,9160,14-Dec,51704.11,0,2307507,35041.8,70604838,2307507
(주)SIMPAC,9160,15-Dec,59958.15,0,5215137,48511.4,75847152,5215137
(주)SIMPAC,9160,16-Dec,59093.1,0,2600,45818.17,75130388,2600
(주)SIMPAC,9160,17-Dec,43282.91,0,2600,33411.91,70402759,2600
(주)SIMPAC,9160,18-Dec,114254.96,0,301000,94742.34,156312739,301000
(주)SIMPAC,9160,19-Dec,65475.48,0,1303450,50726.3,153003014,1250250
(주)SNT에너지,100840,11-Dec,,,,-5072.93,122586108,31000
(주)SNT에너지,100840,12-Dec,,,,-3911.2,122289502,0
(주)SNT에너지,100840,13-Dec,,,,36145.24,120367341,0
(주)SNT에너지,100840,14-Dec,,,,31921.1,120065551,75369
(주)SNT에너지,100840,15-Dec,,,,53697.45,118714558,0
(주)SNT에너지,100840,16-Dec,,,,21049.19,118148046,0
(주)SNT에너지,100840,17-Dec,,,,22693.15,116825424,0
(주)SNT에너지,100840,18-Dec,,,,16995.59,115728393,237174
(주)SNT에너지,100840,19-Dec,36695.84,0,739889,34093.55,116275557,739889
