회사명,거래소코드,회계년도,유동자산(IFRS연결),유동부채(IFRS연결),자산(IFRS연결),유동자산(IFRS개별),유동부채(IFRS개별),자산(IFRS개별)
(주)CMG제약,58820,Dec-11,15341167,7633673,27305198,15264885,7620349,27548539
(주)CMG제약,58820,Dec-12,47109213,6793095,57108035,47073443,6665126,56988604
(주)CMG제약,58820,Dec-13,38209699,5500075,55912563,38258866,5498201,55961620
(주)CMG제약,58820,Dec-14,28300941,8719202,58068326,28359823,8713579,58127098
(주)CMG제약,58820,Dec-15,26271614,8849994,56532821,26330765,8843328,56591972
(주)CMG제약,58820,Dec-16,78772201,9136755,110979867,78772201,9136755,110979867
(주)CMG제약,58820,Dec-17,81227330,10884321,109568153,81227330,10884321,109568153
(주)CMG제약,58820,Dec-18,81370415,8495060,114379880,81370415,8495060,114379880
(주)CMG제약,58820,Dec-19,150584066,9306387,192243166,150584066,9306387,192243166
(주)DB하이텍,990,Dec-11,279725559,794704783,1199043869,265976810,796794129,1183957429
(주)DB하이텍,990,Dec-12,309144147,555433290,1157755031,303296307,563352691,1149069244
(주)DB하이텍,990,Dec-13,222960700,476867874,1058391832,222316934,476710357,1049494642
(주)DB하이텍,990,Dec-14,247582371,376436760,984876636,246306720,376149526,1001959816
(주)DB하이텍,990,Dec-15,337757266,244044785,984643712,334045125,242109386,1005673854
(주)DB하이텍,990,Dec-16,368924211,274231115,986788572,364126852,271946015,1006370876
(주)DB하이텍,990,Dec-17,353662841,145225195,993950720,348507961,143100665,977575054
(주)DB하이텍,990,Dec-18,383378937,156796450,1066533840,380098326,156793407,1050696487
(주)DB하이텍,990,Dec-19,426263421,219715556,1088889810,422531166,219572033,1089400761
(주)ES큐브,50120,Dec-11,34078195,14801430,55477032,18786276,4839823,45233434
(주)ES큐브,50120,Dec-12,22707006,4802996,46281660,15631243,3228112,44676182
(주)ES큐브,50120,Dec-13,38357211,3630549,47137573,32518902,2690545,47509654
(주)ES큐브,50120,Dec-14,46214758,6002775,56611836,21477612,3055060,44914173
(주)ES큐브,50120,Dec-15,41180599,5378364,55620280,22590313,1792096,47123684
(주)ES큐브,50120,Dec-16,50885945,3406254,105164626,43388800,4569554,104459992
(주)ES큐브,50120,Dec-17,51038158,3702478,105892131,44761949,4085637,104850192
(주)ES큐브,50120,Dec-18,45061626,37613190,112430896,29054833,37696219,108481764
(주)ES큐브,50120,Dec-19,359030693,230135454,463958680,24298462,54789915,136065488
(주)HJ중공업,97230,Dec-11,2391530000,2482598000,7036680000,2183437000,1800533000,5857119000
(주)HJ중공업,97230,Dec-12,2274211000,2448324000,6585093000,2419666000,2125376000,5938108000
(주)HJ중공업,97230,Dec-13,2788908000,3284862000,6683379000,1949615000,2490138000,5839633000
(주)HJ중공업,97230,Dec-14,2647534000,2843001000,6470284000,1858441000,2203465000,5469810000
(주)HJ중공업,97230,Dec-15,2429499000,3430218000,5914637000,1622994000,2558441000,4638381000
(주)HJ중공업,97230,Dec-16,2372221000,2636927000,5256464000,1709538000,1598996000,3921561000
(주)HJ중공업,97230,Dec-17,1894161000,3329421000,4206655000,1390569000,2532122000,3312303000
(주)HJ중공업,97230,Dec-18,1720906000,2140149000,2733620000,1382999000,1490510000,2388369000
(주)HJ중공업,97230,Dec-19,1300538000,1845223000,2470222000,1299550000,1840367000,2465650000
(주)MH에탄올,23150,Dec-11,45677724,78266518,134206851,26253473,66482839,135927085
(주)MH에탄올,23150,Dec-12,50009828,81625166,134385813,23099890,67402817,139200817
(주)MH에탄올,23150,Dec-13,43178092,75260635,129697936,25868582,67842982,122520742
(주)MH에탄올,23150,Dec-14,28731429,31619269,85534839,28019052,31619104,85253876
(주)MH에탄올,23150,Dec-15,22500870,20538639,78996052,21758814,20538474,78691328
(주)MH에탄올,23150,Dec-16,19709368,7640748,72339673,18955978,7640583,72025138
(주)MH에탄올,23150,Dec-17,84767703,189894170,500180086,18235352,15540676,107437079
(주)MH에탄올,23150,Dec-18,29576016,141080352,440177523,18385099,13740951,109656889
(주)MH에탄올,23150,Dec-19,32814839,282350933,451474451,18130225,14251549,101058662
(주)SH에너지화학,2360,Dec-11,50355479,34076575,104710740,47641848,32842749,102383199
(주)SH에너지화학,2360,Dec-12,50509179,29499813,103690070,48762275,28724217,102492810
(주)SH에너지화학,2360,Dec-13,59051785,35131167,110488951,57773554,34930123,109984767
(주)SH에너지화학,2360,Dec-14,60325646,20681148,110741407,55486941,20421353,109098264
(주)SH에너지화학,2360,Dec-15,68213722,17080931,115520726,63737267,16794017,114048206
(주)SH에너지화학,2360,Dec-16,84222915,12512423,124488724,79584275,12205868,122956894
(주)SH에너지화학,2360,Dec-17,87597479,8284440,125312154,79139030,8386725,123261552
(주)SH에너지화학,2360,Dec-18,85758694,6658546,122434685,77591484,6653981,120895795
(주)SH에너지화학,2360,Dec-19,83558867,7524603,123415832,74793897,7038413,121126250
(주)SIMPAC,9160,Dec-11,152885455,116979241,310879328,151220422,116922857,296953131
(주)SIMPAC,9160,Dec-12,152757766,108358727,318665505,150643335,108043478,307366684
(주)SIMPAC,9160,Dec-13,108635043,133795401,361985890,106534703,133732141,349836891
(주)SIMPAC,9160,Dec-14,144850453,136708331,381939281,118044851,116089000,329325876
(주)SIMPAC,9160,Dec-15,174086524,169308019,422833445,138074968,142954454,369348917
(주)SIMPAC,9160,Dec-16,176778523,155344858,417865468,138253630,130874395,366245273
(주)SIMPAC,9160,Dec-17,150671614,130651105,381158251,124800057,114191470,343005145
(주)SIMPAC,9160,Dec-18,310736335,228518804,681750819,273219151,207957388,628334175
(주)SIMPAC,9160,Dec-19,289195402,219489571,679145850,224313300,178141755,608693104
(주)SNT에너지,100840,Dec-11,,,,145463387,96002453,276511841
(주)SNT에너지,100840,Dec-12,,,,161463967,88443397,292802033
(주)SNT에너지,100840,Dec-13,,,,181309369,91989174,311675279
(주)SNT에너지,100840,Dec-14,,,,170494610,76613085,304511816
(주)SNT에너지,100840,Dec-15,,,,184059424,64293369,316196096
(주)SNT에너지,100840,Dec-16,,,,211766053,102181702,348042346
