회사명,거래소코드,회계년도,매출액(IFRS연결),유동자산(IFRS연결),유동부채(IFRS연결),매출액(IFRS개별),유동자산(IFRS개별),유동부채(IFRS개별)
(주)CMG제약,58820,Dec-11,17751704,15341167,7633673,17751704,15264885,7620349
(주)CMG제약,58820,Dec-12,16255389,47109213,6793095,16255389,47073443,6665126
(주)CMG제약,58820,Dec-13,20402140,38209699,5500075,20322140,38258866,5498201
(주)CMG제약,58820,Dec-14,22752584,28300941,8719202,22752584,28359823,8713579
(주)CMG제약,58820,Dec-15,27041894,26271614,8849994,27041894,26330765,8843328
(주)CMG제약,58820,Dec-16,32969825,78772201,9136755,32969825,78772201,9136755
(주)CMG제약,58820,Dec-17,41535588,81227330,10884321,41535588,81227330,10884321
(주)CMG제약,58820,Dec-18,49864782,81370415,8495060,49864782,81370415,8495060
(주)CMG제약,58820,Dec-19,58622681,150584066,9306387,58622681,150584066,9306387
(주)DB하이텍,990,Dec-11,552216245,279725559,794704783,534317238,265976810,796794129
(주)DB하이텍,990,Dec-12,590786488,309144147,555433290,583901597,303296307,563352691
(주)DB하이텍,990,Dec-13,493752028,222960700,476867874,493752028,222316934,476710357
(주)DB하이텍,990,Dec-14,567718224,247582371,376436760,567718224,246306720,376149526
(주)DB하이텍,990,Dec-15,666594987,337757266,244044785,666594987,334045125,242109386
(주)DB하이텍,990,Dec-16,773140180,368924211,274231115,773140180,364126852,271946015
(주)DB하이텍,990,Dec-17,679737744,353662841,145225195,679737744,348507961,143100665
(주)DB하이텍,990,Dec-18,669279136,383378937,156796450,669279136,380098326,156793407
(주)DB하이텍,990,Dec-19,807416423,426263421,219715556,807416423,422531166,219572033
(주)ES큐브,50120,Dec-11,53379952,34078195,14801430,41700477,18786276,4839823
(주)ES큐브,50120,Dec-12,55971147,22707006,4802996,44178050,15631243,3228112
(주)ES큐브,50120,Dec-13,58597361,38357211,3630549,45823196,32518902,2690545
(주)ES큐브,50120,Dec-14,44459581,46214758,6002775,37188072,21477612,3055060
(주)ES큐브,50120,Dec-15,42152967,41180599,5378364,36887119,22590313,1792096
(주)ES큐브,50120,Dec-16,34289385,50885945,3406254,34818205,43388800,4569554
(주)ES큐브,50120,Dec-17,35745794,51038158,3702478,37104908,44761949,4085637
(주)ES큐브,50120,Dec-18,33763508,45061626,37613190,31308873,29054833,37696219
(주)ES큐브,50120,Dec-19,43708239,359030693,230135454,28527284,24298462,54789915
(주)HJ중공업,97230,Dec-11,2891499000,2391530000,2482598000,2316017000,2183437000,1800533000
(주)HJ중공업,97230,Dec-12,2549319000,2274211000,2448324000,1980761000,2419666000,2125376000
(주)HJ중공업,97230,Dec-13,2529341000,2788908000,3284862000,1927307000,1949615000,2490138000
(주)HJ중공업,97230,Dec-14,2520325000,2647534000,2843001000,1799016000,1858441000,2203465000
(주)HJ중공업,97230,Dec-15,3115473000,2429499000,3430218000,2041347000,1622994000,2558441000
(주)HJ중공업,97230,Dec-16,2813271000,2372221000,2636927000,1928591000,1709538000,1598996000
(주)HJ중공업,97230,Dec-17,2452314000,1894161000,3329421000,1737428000,1390569000,2532122000
(주)HJ중공업,97230,Dec-18,1697869000,1720906000,2140149000,1750954000,1382999000,1490510000
(주)HJ중공업,97230,Dec-19,1628751000,1300538000,1845223000,1609530000,1299550000,1840367000
(주)MH에탄올,23150,Dec-11,44785159,45677724,78266518,43206995,26253473,66482839
(주)MH에탄올,23150,Dec-12,59768175,50009828,81625166,45488675,23099890,67402817
(주)MH에탄올,23150,Dec-13,62199887,43178092,75260635,46298516,25868582,67842982
(주)MH에탄올,23150,Dec-14,48983781,28731429,31619269,48983781,28019052,31619104
(주)MH에탄올,23150,Dec-15,50386203,22500870,20538639,50386203,21758814,20538474
(주)MH에탄올,23150,Dec-16,48897025,19709368,7640748,48897025,18955978,7640583
(주)MH에탄올,23150,Dec-17,51977132,84767703,189894170,48270464,18235352,15540676
(주)MH에탄올,23150,Dec-18,72795863,29576016,141080352,46943080,18385099,13740951
(주)MH에탄올,23150,Dec-19,80879342,32814839,282350933,46992295,18130225,14251549
(주)SH에너지화학,2360,Dec-11,173209351,50355479,34076575,172752632,47641848,32842749
(주)SH에너지화학,2360,Dec-12,193950102,50509179,29499813,191907628,48762275,28724217
(주)SH에너지화학,2360,Dec-13,231912218,59051785,35131167,229783541,57773554,34930123
(주)SH에너지화학,2360,Dec-14,230912587,60325646,20681148,226971465,55486941,20421353
(주)SH에너지화학,2360,Dec-15,216441364,68213722,17080931,213882181,63737267,16794017
(주)SH에너지화학,2360,Dec-16,218397677,84222915,12512423,214380015,79584275,12205868
(주)SH에너지화학,2360,Dec-17,188114822,87597479,8284440,184672638,79139030,8386725
(주)SH에너지화학,2360,Dec-18,183598766,85758694,6658546,180753289,77591484,6653981
(주)SH에너지화학,2360,Dec-19,140852575,83558867,7524603,138161816,74793897,7038413
(주)SIMPAC,9160,Dec-11,215365697,152885455,116979241,213867522,151220422,116922857
(주)SIMPAC,9160,Dec-12,225353321,152757766,108358727,223854758,150643335,108043478
(주)SIMPAC,9160,Dec-13,205751154,108635043,133795401,204527751,106534703,133732141
(주)SIMPAC,9160,Dec-14,263152264,144850453,136708331,227491803,118044851,116089000
(주)SIMPAC,9160,Dec-15,269528038,174086524,169308019,213152303,138074968,142954454
(주)SIMPAC,9160,Dec-16,267074156,176778523,155344858,215839356,138253630,130874395
(주)SIMPAC,9160,Dec-17,230634812,150671614,130651105,203150228,124800057,114191470
(주)SIMPAC,9160,Dec-18,306150809,310736335,228518804,268863854,273219151,207957388
(주)SIMPAC,9160,Dec-19,430085162,289195402,219489571,391970769,224313300,178141755
(주)SNT에너지,100840,Dec-11,,,,195318747,145463387,96002453
(주)SNT에너지,100840,Dec-12,,,,230707564,161463967,88443397
(주)SNT에너지,100840,Dec-13,,,,200750984,181309369,91989174
(주)SNT에너지,100840,Dec-14,,,,242746888,170494610,76613085
(주)SNT에너지,100840,Dec-15,,,,260094045,184059424,64293369
(주)SNT에너지,100840,Dec-16,,,,254089906,211766053,102181702
(주)SNT에너지,100840,Dec-17,,,,184091945,172919603,49128545
(주)SNT에너지,100840,Dec-18,,,,139516396,155524318,31555307
(주)SNT에너지,100840,Dec-19,213326726,204986584,67469967,202822913,202225767,65138557
(주)SNT홀딩스,36530,Dec-11,1663846065,1041841182,597785981,2257851,64671576,199700
(주)SNT홀딩스,36530,Dec-12,1668749904,998857779,540250663,8718270,40740917,165833
(주)SNT홀딩스,36530,Dec-13,1576368464,1070812404,569273848,8826810,49212139,306090
(주)SNT홀딩스,36530,Dec-14,1552374806,994978341,477795324,7701882,47079948,245998
(주)SNT홀딩스,36530,Dec-15,1612746929,1140793639,433769566,8475099,100040105,8658519
(주)SNT홀딩스,36530,Dec-16,1537700275,1205349271,487107956,9818190,97449826,318763
(주)SNT홀딩스,36530,Dec-17,1508152132,1187727595,448821933,7417869,98229088,299279
(주)SNT홀딩스,36530,Dec-18,1401307482,1168023374,381612594,7292112,89557460,231691
(주)SNT홀딩스,36530,Dec-19,1512114565,1266526398,405603647,11015928,31735933,233270
(주)STX,11810,Dec-11,5967701000,1430457000,2041868000,4173397000,993206000,1568777000
(주)STX,11810,Dec-12,6159850000,1484305000,2363189000,4116767000,856988000,1821548000
(주)STX,11810,Dec-13,2449401000,793607000,1278680000,1895063000,640293000,1071743000
(주)STX,11810,Dec-14,1634606000,893610000,788697000,1291351000,728283000,671976000
(주)STX,11810,Dec-15,1630827000,902119000,866685000,1362127000,663016000,677923000
(주)STX,11810,Dec-16,1720153000,486347000,974743000,1465561000,441306000,914419000
(주)STX,11810,Dec-17,1803878000,475786000,553981000,1595494000,349891000,453983000
(주)STX,11810,Dec-18,1502985000,422861000,463598000,1329890000,297842000,361935000
(주)STX,11810,Dec-19,1471164000,386401000,439806000,1237876000,292473000,377150000
(주)TCC스틸,2710,Dec-11,514424043,183481284,165589918,456928069,163515113,143961450
(주)TCC스틸,2710,Dec-12,501337475,218440703,191715329,440568155,168674581,115747321
(주)TCC스틸,2710,Dec-13,500832754,220034732,155751890,419483813,150092488,98538725
