회사명,거래소코드,회계년도,당기순이익(IFRS연결),전기순이익(IFRS연결),당기순이익(IFRS개별),전기순이익(IFRS개별)
(주)CMG제약,58820,Dec-11,-1508282,-1508282,-1264488,-1264488
(주)CMG제약,58820,Dec-12,-6660149,-6660149,-6892739,-6892739
(주)CMG제약,58820,Dec-13,296181,296181,335258,335258
(주)CMG제약,58820,Dec-14,158039,158039,171502,171502
(주)CMG제약,58820,Dec-15,-3650091,-3650091,-3648668,-3648668
(주)CMG제약,58820,Dec-16,1727895,823197,1693463,788765
(주)CMG제약,58820,Dec-17,2834901,2834901,2834901,2834901
(주)CMG제약,58820,Dec-18,6065026,6065026,6065026,6065026
(주)CMG제약,58820,Dec-19,3051177,,3051177,3051177
(주)DB하이텍,990,Dec-11,-97946584,-97946584,-93084414,-93084414
(주)DB하이텍,990,Dec-12,-31341318,-31324452,-32121504,-32104639
(주)DB하이텍,990,Dec-13,-83046768,-83046768,-73243309,-73243309
(주)DB하이텍,990,Dec-14,-77008844,-77008844,-58319918,-58319918
(주)DB하이텍,990,Dec-15,126733352,126733352,127469869,127469869
(주)DB하이텍,990,Dec-16,88344018,88344018,88002359,88002359
(주)DB하이텍,990,Dec-17,110175089,110175089,74401732,74401732
(주)DB하이텍,990,Dec-18,86828768,86828768,95087399,95087399
(주)DB하이텍,990,Dec-19,104637012,104637012,121159865,121159865
(주)ES큐브,50120,Dec-11,-4796438,-4796438,-2933429,-2933429
(주)ES큐브,50120,Dec-12,-359216,-359216,516857,516857
(주)ES큐브,50120,Dec-13,-16455910,-16455910,-14749080,-14749080
(주)ES큐브,50120,Dec-14,-615409,-615409,-2412385,-2412385
(주)ES큐브,50120,Dec-15,-2307159,-2307159,3610344,3610344
(주)ES큐브,50120,Dec-16,21541047,21541047,17469014,17469014
(주)ES큐브,50120,Dec-17,1737925,1737925,1218923,1218923
(주)ES큐브,50120,Dec-18,-6121462,-6121462,-3836071,-3836071
(주)ES큐브,50120,Dec-19,-13767748,-13767748,-12738710,-12738710
(주)HJ중공업,97230,Dec-11,-96920000,-96920000,-116272000,-116272000
(주)HJ중공업,97230,Dec-12,-53214000,-53214000,13082000,13082000
(주)HJ중공업,97230,Dec-13,-190193000,-190193000,-212716000,-212716000
(주)HJ중공업,97230,Dec-14,-299811000,-299811000,-225739000,-302120000
(주)HJ중공업,97230,Dec-15,-260925000,-392257000,-260118000,-391450000
(주)HJ중공업,97230,Dec-16,-334446000,-313395000,-334429000,-313377000
(주)HJ중공업,97230,Dec-17,-277978000,-277978000,-299028000,-299028000
(주)HJ중공업,97230,Dec-18,-1283647000,-1283647000,-963474000,-963474000
(주)HJ중공업,97230,Dec-19,306169000,306169000,-73654000,-73654000
(주)MH에탄올,23150,Dec-11,-4357312,-4357312,3351943,3351943
(주)MH에탄올,23150,Dec-12,287369,287369,2571700,2571700
(주)MH에탄올,23150,Dec-13,7028234,7028234,-11627211,-11627211
(주)MH에탄올,23150,Dec-14,-203193,-203193,4618332,4618332
(주)MH에탄올,23150,Dec-15,7778593,7778593,7744832,7744832
(주)MH에탄올,23150,Dec-16,8144684,8144684,8134873,8134873
(주)MH에탄올,23150,Dec-17,4308068,4308068,5903108,5903108
(주)MH에탄올,23150,Dec-18,-12033428,-12033428,6553371,6553371
(주)MH에탄올,23150,Dec-19,-7552043,-7552043,-5004935,-5004935
(주)SH에너지화학,2360,Dec-11,1800972,1800972,3164441,3164441
(주)SH에너지화학,2360,Dec-12,210854,210854,1079738,1079738
(주)SH에너지화학,2360,Dec-13,4606872,4606872,4841817,4841817
(주)SH에너지화학,2360,Dec-14,16733050,16733050,15569914,15569914
(주)SH에너지화학,2360,Dec-15,12590617,12590617,12639344,12639344
(주)SH에너지화학,2360,Dec-16,18028878,18028878,17574101,17574101
(주)SH에너지화학,2360,Dec-17,9879057,9879057,8905104,8905104
(주)SH에너지화학,2360,Dec-18,2033570,2033570,2766802,2766802
(주)SH에너지화학,2360,Dec-19,-3090151,-3090151,-3151629,-3151629
(주)SIMPAC,9160,Dec-11,24976613,24976613,21196377,21196377
(주)SIMPAC,9160,Dec-12,19285856,,22517068,22517068
(주)SIMPAC,9160,Dec-13,20043596,20043596,19196136,19196136
(주)SIMPAC,9160,Dec-14,14312319,14312319,10218575,10218575
(주)SIMPAC,9160,Dec-15,16449973,16449973,19448583,19448583
(주)SIMPAC,9160,Dec-16,16183843,16183843,16444650,16444650
(주)SIMPAC,9160,Dec-17,12895699,12895699,7133940,7133940
(주)SIMPAC,9160,Dec-18,69198558,69198558,62381304,62381304
(주)SIMPAC,9160,Dec-19,9487516,9487516,11507259,11507259
(주)SNT에너지,100840,Dec-11,,,-4155767,-4155767
(주)SNT에너지,100840,Dec-12,,,9087721,9087721
(주)SNT에너지,100840,Dec-13,,,16189688,16189688
(주)SNT에너지,100840,Dec-14,,,11264253,11264253
(주)SNT에너지,100840,Dec-15,,,27029932,27029932
(주)SNT에너지,100840,Dec-16,,,1659742,1659742
(주)SNT에너지,100840,Dec-17,,,4581777,4581777
(주)SNT에너지,100840,Dec-18,,1825479,1825479,1917555
(주)SNT에너지,100840,Dec-19,15452273,15452273,14578960,14578960
(주)SNT홀딩스,36530,Dec-11,87196578,87196578,5766277,5766277
(주)SNT홀딩스,36530,Dec-12,63253909,63253909,9011145,9011145
(주)SNT홀딩스,36530,Dec-13,53763061,53763061,8018313,8018313
(주)SNT홀딩스,36530,Dec-14,66985248,66985248,6891599,6891599
