회사명,거래소코드,회계년도,매출액(IFRS연결),매출채권(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),매출채권(IFRS개별),재고자산(IFRS개별)
(주)CMG제약,58820,Dec-11,17751704,11050219,2743103,17751704,11050219,2743103
(주)CMG제약,58820,Dec-12,16255389,11362566,2955172,16255389,11362566,2955172
(주)CMG제약,58820,Dec-13,20402140,13999415,4618718,20322140,13999415,4618718
(주)CMG제약,58820,Dec-14,22752584,16787073,4913103,22752584,16787073,4913103
(주)CMG제약,58820,Dec-15,27041894,15838057,5455617,27041894,15838056,5455617
(주)CMG제약,58820,Dec-16,32969825,14435808,6393756,32969825,14435808,6393756
(주)CMG제약,58820,Dec-17,41535588,16768648,7904518,41535588,16768648,7904518
(주)CMG제약,58820,Dec-18,49864782,19030822,8572582,49864782,19030822,8572582
(주)CMG제약,58820,Dec-19,58622681,21676515,9048933,58622681,21676515,9048933
(주)DB하이텍,990,Dec-11,552216245,79301000,77112663,534317238,71061975,77112663
(주)DB하이텍,990,Dec-12,590786488,69176000,79262392,583901597,74994000,79262392
(주)DB하이텍,990,Dec-13,493752028,59941499,72377687,493752028,59836026,72377687
(주)DB하이텍,990,Dec-14,567718224,83353090,69179569,567718224,83154227,69179569
(주)DB하이텍,990,Dec-15,666594987,92342122,83459568,666594987,91970866,83459568
(주)DB하이텍,990,Dec-16,773140180,110311838,76344778,773140180,110311839,76344778
(주)DB하이텍,990,Dec-17,679737744,85709910,75018890,679737744,85713072,75018890
(주)DB하이텍,990,Dec-18,669279136,98855166,42891649,669279136,98855130,42891649
(주)DB하이텍,990,Dec-19,807416423,102020672,51837841,807416423,102020672,51837841
(주)ES큐브,50120,Dec-11,53379952,12624603,5312339,41700477,2102205,383848
(주)ES큐브,50120,Dec-12,55971147,4718926,4844206,44178050,3047374,410944
(주)ES큐브,50120,Dec-13,58597361,4935099,6264936,45823196,2846445,426328
(주)ES큐브,50120,Dec-14,44459581,10542241,6084161,37188072,3093857,264950
(주)ES큐브,50120,Dec-15,42152967,7805190,6783417,36887119,2055434,397788
(주)ES큐브,50120,Dec-16,34289385,4142905,7447857,34818205,2820018,420745
(주)ES큐브,50120,Dec-17,35745794,3886201,8346570,37104908,2573314,408271
(주)ES큐브,50120,Dec-18,33763508,4655667,9236879,31308873,3016721,560371
(주)ES큐브,50120,Dec-19,43708239,212246240,7648032,28527284,2610301,468610
(주)HJ중공업,97230,Dec-11,2891499000,283789000,360584000,2316017000,831799000,183693000
(주)HJ중공업,97230,Dec-12,2549319000,268734000,223809000,1980761000,955409000,163272000
(주)HJ중공업,97230,Dec-13,2529341000,245971000,601781000,1927307000,285995000,489464000
(주)HJ중공업,97230,Dec-14,2520325000,294422000,655829000,1799016000,384263000,459613000
(주)HJ중공업,97230,Dec-15,3115473000,203499000,873978000,2041347000,234552000,721779000
(주)HJ중공업,97230,Dec-16,2813271000,134921000,675011000,1928591000,242278000,518530000
(주)HJ중공업,97230,Dec-17,2452314000,130629000,709533000,1737428000,148699000,655299000
(주)HJ중공업,97230,Dec-18,1697869000,109666000,519198000,1750954000,102682000,519388000
(주)HJ중공업,97230,Dec-19,1628751000,186684000,363759000,1609530000,175735000,363759000
(주)MH에탄올,23150,Dec-11,44785159,8757548,9734817,43206995,8748707,4542443
(주)MH에탄올,23150,Dec-12,59768175,10118103,20566965,45488675,10109892,5306016
(주)MH에탄올,23150,Dec-13,62199887,10691393,12486229,46298516,10664555,6094594
(주)MH에탄올,23150,Dec-14,48983781,10379733,6986598,48983781,10379733,6986598
(주)MH에탄올,23150,Dec-15,50386203,11080407,3603074,50386203,11080407,3603074
(주)MH에탄올,23150,Dec-16,48897025,9965259,5538540,48897025,9965259,5538540
(주)MH에탄올,23150,Dec-17,51977132,10887252,5608722,48270464,10589508,5502545
(주)MH에탄올,23150,Dec-18,72795863,10529867,6538026,46943080,10266287,6430326
(주)MH에탄올,23150,Dec-19,80879342,9499084,8173323,46992295,9124637,8081383
(주)SH에너지화학,2360,Dec-11,173209351,29083550,11114123,172752632,28469011,11114123
(주)SH에너지화학,2360,Dec-12,193950102,30307562,14210523,191907628,29170923,14210523
(주)SH에너지화학,2360,Dec-13,231912218,33797271,11944305,229783541,33105701,11944305
(주)SH에너지화학,2360,Dec-14,230912587,33429222,13898172,226971465,32478430,13898172
(주)SH에너지화학,2360,Dec-15,216441364,32536497,11899473,213882181,31405845,11416122
(주)SH에너지화학,2360,Dec-16,218397677,44363775,11572141,214380015,44371296,10801243
(주)SH에너지화학,2360,Dec-17,188114822,32135522,19985599,184672638,29569635,18561488
(주)SH에너지화학,2360,Dec-18,183598766,28065346,22253999,180753289,26954657,20857092
(주)SH에너지화학,2360,Dec-19,140852575,19343406,16753438,138161816,18332571,15888341
(주)SIMPAC,9160,Dec-11,215365697,61396431,26468261,213867522,61101857,26353233
(주)SIMPAC,9160,Dec-12,225353321,64410349,25350698,223854758,63906443,25281451
(주)SIMPAC,9160,Dec-13,205751154,70776019,25646140,204527751,70594150,25606746
