회사명,거래소코드,회계년도,유동부채(IFRS연결),부채(IFRS연결),유동부채(IFRS개별),부채(IFRS개별)
(주)CMG제약,58820,Dec-11,7633673,9270949,7620349,9257624
(주)CMG제약,58820,Dec-12,6793095,25517350,6665126,25386064
(주)CMG제약,58820,Dec-13,5500075,6915281,5498201,6913407
(주)CMG제약,58820,Dec-14,8719202,9065682,8713579,9060059
(주)CMG제약,58820,Dec-15,8849994,9725933,8843328,9719267
(주)CMG제약,58820,Dec-16,9136755,9872232,9136755,9872232
(주)CMG제약,58820,Dec-17,10884321,11624134,10884321,11624134
(주)CMG제약,58820,Dec-18,8495060,10398033,8495060,10398033
(주)CMG제약,58820,Dec-19,9306387,12084883,9306387,12084883
(주)DB하이텍,990,Dec-11,794704783,890982181,796794129,892247931
(주)DB하이텍,990,Dec-12,555433290,866861695,563352691,874516025
(주)DB하이텍,990,Dec-13,476867874,853635085,476710357,852207175
(주)DB하이텍,990,Dec-14,376436760,864173902,376149526,865855755
(주)DB하이텍,990,Dec-15,244044785,730586221,242109386,728010902
(주)DB하이텍,990,Dec-16,274231115,644871257,271946015,641920423
(주)DB하이텍,990,Dec-17,145225195,538152775,143100665,536028245
(주)DB하이텍,990,Dec-18,156796450,508142309,156793407,508139265
(주)DB하이텍,990,Dec-19,219715556,444239080,219572033,444095557
(주)ES큐브,50120,Dec-11,14801430,16231202,4839823,6089019
(주)ES큐브,50120,Dec-12,4802996,6421979,3228112,4794705
(주)ES큐브,50120,Dec-13,3630549,4765132,2690545,3796835
(주)ES큐브,50120,Dec-14,6002775,6983745,3055060,3687837
(주)ES큐브,50120,Dec-15,5378364,5965820,1792096,2251042
(주)ES큐브,50120,Dec-16,3406254,33468504,4569554,34627619
(주)ES큐브,50120,Dec-17,3702478,33075251,4085637,33451725
(주)ES큐브,50120,Dec-18,37613190,41682289,37696219,41963133
(주)ES큐브,50120,Dec-19,230135454,389920168,54789915,82079157
(주)HJ중공업,97230,Dec-11,2482598000,5169832000,1800533000,3982242000
(주)HJ중공업,97230,Dec-12,2448324000,4869577000,2125376000,4074579000
(주)HJ중공업,97230,Dec-13,3284862000,5044381000,2490138000,4035024000
(주)HJ중공업,97230,Dec-14,2843001000,4897208000,2203465000,3707924000
(주)HJ중공업,97230,Dec-15,3430218000,4546048000,2558441000,3260852000
(주)HJ중공업,97230,Dec-16,2636927000,4361281000,1598996000,3017411000
(주)HJ중공업,97230,Dec-17,3329421000,3629457000,2532122000,2748893000
(주)HJ중공업,97230,Dec-18,2140149000,3441806000,1490510000,2787299000
(주)HJ중공업,97230,Dec-19,1845223000,2225228000,1840367000,2218378000
(주)MH에탄올,23150,Dec-11,78266518,91539513,66482839,79765833
(주)MH에탄올,23150,Dec-12,81625166,94707555,67402817,80487873
(주)MH에탄올,23150,Dec-13,75260635,83812413,67842982,75400817
(주)MH에탄올,23150,Dec-14,31619269,32746158,31619104,32745993
(주)MH에탄올,23150,Dec-15,20538639,21111704,20538474,21121539
(주)MH에탄올,23150,Dec-16,7640748,8757790,7640583,8767625
(주)MH에탄올,23150,Dec-17,189894170,393342742,15540676,42738147
(주)MH에탄올,23150,Dec-18,141080352,348592051,13740951,41185360
(주)MH에탄올,23150,Dec-19,282350933,372085374,14251549,41581021
