회사명,거래소코드,회계년도,유동자산(IFRS연결),유동부채(IFRS연결),유동자산(IFRS개별),유동부채(IFRS개별)
(주)CMG제약,58820,Dec-11,15341167,7633673,15264885,7620349
(주)CMG제약,58820,Dec-12,47109213,6793095,47073443,6665126
(주)CMG제약,58820,Dec-13,38209699,5500075,38258866,5498201
(주)CMG제약,58820,Dec-14,28300941,8719202,28359823,8713579
(주)CMG제약,58820,Dec-15,26271614,8849994,26330765,8843328
(주)CMG제약,58820,Dec-16,78772201,9136755,78772201,9136755
(주)CMG제약,58820,Dec-17,81227330,10884321,81227330,10884321
(주)CMG제약,58820,Dec-18,81370415,8495060,81370415,8495060
(주)CMG제약,58820,Dec-19,150584066,9306387,150584066,9306387
(주)DB하이텍,990,Dec-11,279725559,794704783,265976810,796794129
(주)DB하이텍,990,Dec-12,309144147,555433290,303296307,563352691
(주)DB하이텍,990,Dec-13,222960700,476867874,222316934,476710357
(주)DB하이텍,990,Dec-14,247582371,376436760,246306720,376149526
(주)DB하이텍,990,Dec-15,337757266,244044785,334045125,242109386
(주)DB하이텍,990,Dec-16,368924211,274231115,364126852,271946015
(주)DB하이텍,990,Dec-17,353662841,145225195,348507961,143100665
(주)DB하이텍,990,Dec-18,383378937,156796450,380098326,156793407
(주)DB하이텍,990,Dec-19,426263421,219715556,422531166,219572033
(주)ES큐브,50120,Dec-11,34078195,14801430,18786276,4839823
(주)ES큐브,50120,Dec-12,22707006,4802996,15631243,3228112
(주)ES큐브,50120,Dec-13,38357211,3630549,32518902,2690545
(주)ES큐브,50120,Dec-14,46214758,6002775,21477612,3055060
(주)ES큐브,50120,Dec-15,41180599,5378364,22590313,1792096
(주)ES큐브,50120,Dec-16,50885945,3406254,43388800,4569554
(주)ES큐브,50120,Dec-17,51038158,3702478,44761949,4085637
(주)ES큐브,50120,Dec-18,45061626,37613190,29054833,37696219
(주)ES큐브,50120,Dec-19,359030693,230135454,24298462,54789915
(주)HJ중공업,97230,Dec-11,2391530000,2482598000,2183437000,1800533000
(주)HJ중공업,97230,Dec-12,2274211000,2448324000,2419666000,2125376000
(주)HJ중공업,97230,Dec-13,2788908000,3284862000,1949615000,2490138000
(주)HJ중공업,97230,Dec-14,2647534000,2843001000,1858441000,2203465000
(주)HJ중공업,97230,Dec-15,2429499000,3430218000,1622994000,2558441000
(주)HJ중공업,97230,Dec-16,2372221000,2636927000,1709538000,1598996000
(주)HJ중공업,97230,Dec-17,1894161000,3329421000,1390569000,2532122000
(주)HJ중공업,97230,Dec-18,1720906000,2140149000,1382999000,1490510000
(주)HJ중공업,97230,Dec-19,1300538000,1845223000,1299550000,1840367000
(주)MH에탄올,23150,Dec-11,45677724,78266518,26253473,66482839
(주)MH에탄올,23150,Dec-12,50009828,81625166,23099890,67402817
(주)MH에탄올,23150,Dec-13,43178092,75260635,25868582,67842982
(주)MH에탄올,23150,Dec-14,28731429,31619269,28019052,31619104
(주)MH에탄올,23150,Dec-15,22500870,20538639,21758814,20538474
(주)MH에탄올,23150,Dec-16,19709368,7640748,18955978,7640583
(주)MH에탄올,23150,Dec-17,84767703,189894170,18235352,15540676
(주)MH에탄올,23150,Dec-18,29576016,141080352,18385099,13740951
(주)MH에탄올,23150,Dec-19,32814839,282350933,18130225,14251549
(주)SH에너지화학,2360,Dec-11,50355479,34076575,47641848,32842749
(주)SH에너지화학,2360,Dec-12,50509179,29499813,48762275,28724217
(주)SH에너지화학,2360,Dec-13,59051785,35131167,57773554,34930123
(주)SH에너지화학,2360,Dec-14,60325646,20681148,55486941,20421353
(주)SH에너지화학,2360,Dec-15,68213722,17080931,63737267,16794017
(주)SH에너지화학,2360,Dec-16,84222915,12512423,79584275,12205868
(주)SH에너지화학,2360,Dec-17,87597479,8284440,79139030,8386725
(주)SH에너지화학,2360,Dec-18,85758694,6658546,77591484,6653981
(주)SH에너지화학,2360,Dec-19,83558867,7524603,74793897,7038413
(주)SIMPAC,9160,Dec-11,152885455,116979241,151220422,116922857
(주)SIMPAC,9160,Dec-12,152757766,108358727,150643335,108043478
(주)SIMPAC,9160,Dec-13,108635043,133795401,106534703,133732141
(주)SIMPAC,9160,Dec-14,144850453,136708331,118044851,116089000
(주)SIMPAC,9160,Dec-15,174086524,169308019,138074968,142954454
(주)SIMPAC,9160,Dec-16,176778523,155344858,138253630,130874395
(주)SIMPAC,9160,Dec-17,150671614,130651105,124800057,114191470
(주)SIMPAC,9160,Dec-18,310736335,228518804,273219151,207957388
(주)SIMPAC,9160,Dec-19,289195402,219489571,224313300,178141755
(주)SNT에너지,100840,Dec-11,,,145463387,96002453
(주)SNT에너지,100840,Dec-12,,,161463967,88443397
(주)SNT에너지,100840,Dec-13,,,181309369,91989174
(주)SNT에너지,100840,Dec-14,,,170494610,76613085
(주)SNT에너지,100840,Dec-15,,,184059424,64293369
(주)SNT에너지,100840,Dec-16,,,211766053,102181702
(주)SNT에너지,100840,Dec-17,,,172919603,49128545
(주)SNT에너지,100840,Dec-18,,,155524318,31555307
(주)SNT에너지,100840,Dec-19,204986584,67469967,202225767,65138557
(주)SNT홀딩스,36530,Dec-11,1041841182,597785981,64671576,199700
(주)SNT홀딩스,36530,Dec-12,998857779,540250663,40740917,165833
(주)SNT홀딩스,36530,Dec-13,1070812404,569273848,49212139,306090
(주)SNT홀딩스,36530,Dec-14,994978341,477795324,47079948,245998
(주)SNT홀딩스,36530,Dec-15,1140793639,433769566,100040105,8658519
(주)SNT홀딩스,36530,Dec-16,1205349271,487107956,97449826,318763
(주)SNT홀딩스,36530,Dec-17,1187727595,448821933,98229088,299279
(주)SNT홀딩스,36530,Dec-18,1168023374,381612594,89557460,231691
(주)SNT홀딩스,36530,Dec-19,1266526398,405603647,31735933,233270
(주)STX,11810,Dec-11,1430457000,2041868000,993206000,1568777000
(주)STX,11810,Dec-12,1484305000,2363189000,856988000,1821548000
(주)STX,11810,Dec-13,793607000,1278680000,640293000,1071743000
(주)STX,11810,Dec-14,893610000,788697000,728283000,671976000
(주)STX,11810,Dec-15,902119000,866685000,663016000,677923000
(주)STX,11810,Dec-16,486347000,974743000,441306000,914419000
(주)STX,11810,Dec-17,475786000,553981000,349891000,453983000
(주)STX,11810,Dec-18,422861000,463598000,297842000,361935000
(주)STX,11810,Dec-19,386401000,439806000,292473000,377150000
(주)TCC스틸,2710,Dec-11,183481284,165589918,163515113,143961450
(주)TCC스틸,2710,Dec-12,218440703,191715329,168674581,115747321
(주)TCC스틸,2710,Dec-13,220034732,155751890,150092488,98538725
(주)TCC스틸,2710,Dec-14,233224033,283660429,141191905,189566139
(주)TCC스틸,2710,Dec-15,240184174,153614700,202116240,121276743
(주)TCC스틸,2710,Dec-16,120777516,94244692,97007914,77521428
(주)TCC스틸,2710,Dec-17,120243911,160048884,101914014,148607324
(주)TCC스틸,2710,Dec-18,152165969,93172096,128625665,82038987
(주)TCC스틸,2710,Dec-19,148991647,165995910,121879909,152915323
(주)가비아,79940,Dec-11,28837190,13905604,9245779,11953563
(주)가비아,79940,Dec-12,31997486,14858349,9613034,10723878
(주)가비아,79940,Dec-13,37411881,14999568,10360239,11588806
(주)가비아,79940,Dec-14,41920706,16229926,14916105,13161566
(주)가비아,79940,Dec-15,52239105,13210992,17436488,9687159
(주)가비아,79940,Dec-16,60241586,20386590,12237594,10247269
(주)가비아,79940,Dec-17,66113388,29400833,15116578,17323452
(주)가비아,79940,Dec-18,78058272,29792809,18388749,18089528
(주)가비아,79940,Dec-19,86880807,43098923,13602872,20260391
(주)강스템바이오텍,217730,Dec-15,,,18896590,2965591
(주)강스템바이오텍,217730,Dec-16,,,37966496,3231048
(주)강스템바이오텍,217730,Dec-17,25246012,6368374,24316617,4000962
(주)강스템바이오텍,217730,Dec-18,48992790,20056267,44071609,13802351
(주)강스템바이오텍,217730,Dec-19,55408095,20598774,50136013,15296868
(주)강원랜드,35250,Dec-11,1163791156,440884890,1116717650,439575361
(주)강원랜드,35250,Dec-12,1165450728,518388305,1117338850,516757053
(주)강원랜드,35250,Dec-13,1080401909,570217325,1032979185,568327002
(주)강원랜드,35250,Dec-14,1371825587,624516570,1349601870,619817290
(주)강원랜드,35250,Dec-15,1750420316,664599978,1736167993,662837030
(주)강원랜드,35250,Dec-16,1809513458,718893173,1799026863,717426075
(주)강원랜드,35250,Dec-17,2164296051,681337932,2155754572,680591144
(주)강원랜드,35250,Dec-18,1759033105,636028473,1749493012,635168405
(주)강원랜드,35250,Dec-19,1878191161,651342607,1868365557,650507914
(주)강원에너지,114190,Nov-11,,,47950975,29049482
(주)강원에너지,114190,Dec-12,,,80491240,52980413
(주)강원에너지,114190,Dec-13,,,61556228,26561224
(주)강원에너지,114190,Dec-14,,,48800730,16587078
(주)강원에너지,114190,Dec-15,62927388,18860326,58744703,26044865
(주)강원에너지,114190,Dec-16,53716336,12090212,49882033,17100077
(주)강원에너지,114190,Dec-17,68068421,33693980,66557788,36681993
(주)강원에너지,114190,Dec-18,70556730,43608244,70097814,40299772
(주)강원에너지,114190,Dec-19,30544232,30840573,30346449,27565065
(주)갤럭시아에스엠,11420,Dec-11,24658098,15665609,17322791,12001627
(주)갤럭시아에스엠,11420,Dec-12,24752609,13440442,21665386,12435097
(주)갤럭시아에스엠,11420,Dec-13,19899780,13503615,15680160,9491278
(주)갤럭시아에스엠,11420,Dec-14,26742964,17868979,21910144,14705118
(주)갤럭시아에스엠,11420,Dec-15,44426010,16873228,40480215,14961439
(주)갤럭시아에스엠,11420,Dec-16,37929417,12464561,33508731,9845511
(주)갤럭시아에스엠,11420,Dec-17,28750883,8744690,25522603,7871709
(주)갤럭시아에스엠,11420,Dec-18,14251248,6670268,14317048,6429460
(주)갤럭시아에스엠,11420,Dec-19,13644588,6311576,13644588,6311576
(주)경농,2100,Dec-11,94363834,24871768,85897543,24782041
(주)경농,2100,Dec-12,142516976,102878086,88973571,45244293
(주)경농,2100,Dec-13,129526582,72472377,90491612,40577371
(주)경농,2100,Dec-14,139646908,90426180,92163573,46610936
(주)경농,2100,Dec-15,161184139,114383542,110823037,75250424
(주)경농,2100,Dec-16,156061222,112348070,113338004,75688103
(주)경농,2100,Dec-17,163437464,121066567,114661596,78430974
(주)경농,2100,Dec-18,169982099,128301300,124295854,86896477
(주)경농,2100,Dec-19,185020093,122608005,138697201,80682497
(주)경동나비엔,9450,Dec-11,129512842,81664623,109967953,74711381
(주)경동나비엔,9450,Dec-12,145371681,100189444,123218302,87833093
(주)경동나비엔,9450,Dec-13,134043087,149468556,104914630,132677192
(주)경동나비엔,9450,Dec-14,159947056,186324883,134136648,156677220
(주)경동나비엔,9450,Dec-15,158254944,177125715,129837058,136609355
(주)경동나비엔,9450,Dec-16,175420277,177489101,145915928,135099803
(주)경동나비엔,9450,Dec-17,230894567,219839746,175839342,159637322
(주)경동나비엔,9450,Dec-18,287001959,275122471,209454208,191253920
(주)경동나비엔,9450,Dec-19,274279157,270253541,214093729,183748685
(주)경동도시가스,267290,Dec-17,376858740,334894003,374489353,334399752
(주)경동도시가스,267290,Dec-18,444232799,375912237,441723742,375445868
(주)경동도시가스,267290,Dec-19,395154174,321180745,392458231,320773519
(주)경동인베스트,12320,Dec-11,610411619,488755455,563584969,450578763
(주)경동인베스트,12320,Dec-12,814034002,649801248,753036515,612902677
(주)경동인베스트,12320,Dec-13,778164231,596199441,724069045,555649865
(주)경동인베스트,12320,Dec-14,766552554,550250914,631297926,449400573
(주)경동인베스트,12320,Dec-15,571798491,392919112,459634757,294859087
(주)경동인베스트,12320,Dec-16,508994824,337654347,394847821,259946634
(주)경동인베스트,12320,Dec-17,238339688,77526863,110951332,615156
(주)경동인베스트,12320,Dec-18,188460289,78414333,44742051,424952
(주)경동인베스트,12320,Dec-19,236475693,84662496,44653640,7787239
(주)경방,50,Dec-11,138673371,406687562,123787600,362096037
(주)경방,50,Dec-12,123685731,164949423,101710997,121339742
(주)경방,50,Dec-13,103410904,135215333,79482802,88576434
(주)경방,50,Dec-14,101229398,409405729,83665762,388656785
(주)경방,50,Dec-15,108093423,185946014,83760073,143915877
(주)경방,50,Dec-16,106002223,155435755,80538917,120641481
(주)경방,50,Dec-17,90254697,319476563,71472590,249334914
(주)경방,50,Dec-18,120711492,163151849,88159568,102888605
(주)경방,50,Dec-19,264861016,192380293,223798878,150525799
(주)경보제약,214390,Dec-15,,,105108130,64542191
(주)경보제약,214390,Dec-16,,,102226920,72716830
(주)경보제약,214390,Dec-17,,,110638039,60379395
(주)경보제약,214390,Dec-18,,,128936315,69317865
(주)경보제약,214390,Dec-19,,,124176490,83814952
(주)경인양행,12610,Dec-11,166259207,107188765,99039937,64682274
(주)경인양행,12610,Dec-12,146242797,94090486,94723927,70551008
(주)경인양행,12610,Dec-13,175887375,108289018,123143650,88530619
(주)경인양행,12610,Dec-14,164606526,86323503,107227115,64009841
(주)경인양행,12610,Dec-15,176664098,109310448,113173448,81834318
(주)경인양행,12610,Dec-16,191409058,119502456,126364739,93552900
(주)경인양행,12610,Dec-17,193184742,124353660,125062666,93894860
(주)경인양행,12610,Dec-18,234817064,156924274,165167110,127936086
(주)경인양행,12610,Dec-19,251884675,192593606,172620331,154357193
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,38542950,23125664
(주)고려시멘트,198440,Dec-18,,,49955334,29601570
(주)고려시멘트,198440,Dec-19,,,46591282,27999091
(주)고영테크놀러지,98460,Dec-11,63304178,14902695,61560094,14154716
(주)고영테크놀러지,98460,Dec-12,77857574,15604806,75787332,14596799
(주)고영테크놀러지,98460,Dec-13,94895999,17831243,93556579,16476867
(주)고영테크놀러지,98460,Dec-14,108649874,20476391,107119140,18713887
(주)고영테크놀러지,98460,Dec-15,121834639,21007557,124933566,20345674
(주)고영테크놀러지,98460,Dec-16,154891864,27477608,156029191,26393379
(주)고영테크놀러지,98460,Dec-17,161356541,32283948,159374622,29687984
(주)고영테크놀러지,98460,Dec-18,227563739,40471875,231667150,38506988
(주)고영테크놀러지,98460,Dec-19,225797248,38413935,229213476,34506180
(주)골드앤에스,35290,Dec-11,23477041,21734828,23165184,21203833
(주)골드앤에스,35290,Dec-12,26661256,20697748,27310447,19364629
(주)골드앤에스,35290,Dec-13,15792977,29802347,17985887,22293201
(주)골드앤에스,35290,Dec-14,15072221,25047175,15782408,14232991
(주)골드앤에스,35290,Dec-15,15364121,7942854,15122533,7606920
(주)골드앤에스,35290,Dec-16,8660668,3670098,8552277,3460979
