회사명,거래소코드,회계년도,유동자산(IFRS연결),자산(IFRS연결),유동자산(IFRS개별),자산(IFRS개별)
(주)CMG제약,58820,Dec-11,15341167,27305198,15264885,27548539
(주)CMG제약,58820,Dec-12,47109213,57108035,47073443,56988604
(주)CMG제약,58820,Dec-13,38209699,55912563,38258866,55961620
(주)CMG제약,58820,Dec-14,28300941,58068326,28359823,58127098
(주)CMG제약,58820,Dec-15,26271614,56532821,26330765,56591972
(주)CMG제약,58820,Dec-16,78772201,110979867,78772201,110979867
(주)CMG제약,58820,Dec-17,81227330,109568153,81227330,109568153
(주)CMG제약,58820,Dec-18,81370415,114379880,81370415,114379880
(주)CMG제약,58820,Dec-19,150584066,192243166,150584066,192243166
(주)DB하이텍,990,Dec-11,279725559,1199043869,265976810,1183957429
(주)DB하이텍,990,Dec-12,309144147,1157755031,303296307,1149069244
(주)DB하이텍,990,Dec-13,222960700,1058391832,222316934,1049494642
(주)DB하이텍,990,Dec-14,247582371,984876636,246306720,1001959816
(주)DB하이텍,990,Dec-15,337757266,984643712,334045125,1005673854
(주)DB하이텍,990,Dec-16,368924211,986788572,364126852,1006370876
(주)DB하이텍,990,Dec-17,353662841,993950720,348507961,977575054
(주)DB하이텍,990,Dec-18,383378937,1066533840,380098326,1050696487
(주)DB하이텍,990,Dec-19,426263421,1088889810,422531166,1089400761
(주)ES큐브,50120,Dec-11,34078195,55477032,18786276,45233434
(주)ES큐브,50120,Dec-12,22707006,46281660,15631243,44676182
(주)ES큐브,50120,Dec-13,38357211,47137573,32518902,47509654
(주)ES큐브,50120,Dec-14,46214758,56611836,21477612,44914173
(주)ES큐브,50120,Dec-15,41180599,55620280,22590313,47123684
(주)ES큐브,50120,Dec-16,50885945,105164626,43388800,104459992
(주)ES큐브,50120,Dec-17,51038158,105892131,44761949,104850192
(주)ES큐브,50120,Dec-18,45061626,112430896,29054833,108481764
(주)ES큐브,50120,Dec-19,359030693,463958680,24298462,136065488
(주)HJ중공업,97230,Dec-11,2391530000,7036680000,2183437000,5857119000
(주)HJ중공업,97230,Dec-12,2274211000,6585093000,2419666000,5938108000
(주)HJ중공업,97230,Dec-13,2788908000,6683379000,1949615000,5839633000
(주)HJ중공업,97230,Dec-14,2647534000,6470284000,1858441000,5469810000
(주)HJ중공업,97230,Dec-15,2429499000,5914637000,1622994000,4638381000
(주)HJ중공업,97230,Dec-16,2372221000,5256464000,1709538000,3921561000
(주)HJ중공업,97230,Dec-17,1894161000,4206655000,1390569000,3312303000
(주)HJ중공업,97230,Dec-18,1720906000,2733620000,1382999000,2388369000
(주)HJ중공업,97230,Dec-19,1300538000,2470222000,1299550000,2465650000
(주)MH에탄올,23150,Dec-11,45677724,134206851,26253473,135927085
(주)MH에탄올,23150,Dec-12,50009828,134385813,23099890,139200817
(주)MH에탄올,23150,Dec-13,43178092,129697936,25868582,122520742
(주)MH에탄올,23150,Dec-14,28731429,85534839,28019052,85253876
(주)MH에탄올,23150,Dec-15,22500870,78996052,21758814,78691328
(주)MH에탄올,23150,Dec-16,19709368,72339673,18955978,72025138
(주)MH에탄올,23150,Dec-17,84767703,500180086,18235352,107437079
(주)MH에탄올,23150,Dec-18,29576016,440177523,18385099,109656889
(주)MH에탄올,23150,Dec-19,32814839,451474451,18130225,101058662
(주)SH에너지화학,2360,Dec-11,50355479,104710740,47641848,102383199
(주)SH에너지화학,2360,Dec-12,50509179,103690070,48762275,102492810
