회사명,거래소코드,회계년도,당기유동자산(IFRS연결),전기유동자산(IFRS연결),당기유동자산(IFRS개별),전기유동자산(IFRS개별)
(주)CMG제약,58820,Dec-11,15341167,15341167,15264885,15264885
(주)CMG제약,58820,Dec-12,47109213,47109213,47073443,47073443
(주)CMG제약,58820,Dec-13,38209699,38209699,38258866,38258866
(주)CMG제약,58820,Dec-14,28300941,28300941,28359823,28359823
(주)CMG제약,58820,Dec-15,26271614,26271614,26330765,26330765
(주)CMG제약,58820,Dec-16,78772201,78772201,78772201,78772201
(주)CMG제약,58820,Dec-17,81227330,81227330,81227330,81227330
(주)CMG제약,58820,Dec-18,81370415,81370415,81370415,81370415
(주)CMG제약,58820,Dec-19,150584066,,150584066,150584066
(주)DB하이텍,990,Dec-11,279725559,279725558,265976810,265976810
(주)DB하이텍,990,Dec-12,309144147,309144147,303296307,303296307
(주)DB하이텍,990,Dec-13,222960700,222960700,222316934,222316934
(주)DB하이텍,990,Dec-14,247582371,247582371,246306720,246306720
(주)DB하이텍,990,Dec-15,337757266,337757266,334045125,334045125
(주)DB하이텍,990,Dec-16,368924211,368924211,364126852,364126852
(주)DB하이텍,990,Dec-17,353662841,353662841,348507961,348507961
(주)DB하이텍,990,Dec-18,383378937,383378937,380098326,380098326
(주)DB하이텍,990,Dec-19,426263421,426263421,422531166,422531166
(주)ES큐브,50120,Dec-11,34078195,34078195,18786276,18786276
(주)ES큐브,50120,Dec-12,22707006,22707006,15631243,15631243
(주)ES큐브,50120,Dec-13,38357211,38357211,32518902,32518902
(주)ES큐브,50120,Dec-14,46214758,46214758,21477612,21477612
(주)ES큐브,50120,Dec-15,41180599,41180599,22590313,22590313
(주)ES큐브,50120,Dec-16,50885945,50885945,43388800,43388800
(주)ES큐브,50120,Dec-17,51038158,51038158,44761949,44761949
(주)ES큐브,50120,Dec-18,45061626,45061626,29054833,29054833
(주)ES큐브,50120,Dec-19,359030693,359030693,24298462,24298462
(주)HJ중공업,97230,Dec-11,2391530000,2391530000,2183437000,2183437000
(주)HJ중공업,97230,Dec-12,2274211000,2274211000,2419666000,2419666000
(주)HJ중공업,97230,Dec-13,2788908000,2788908000,1949615000,1949615000
(주)HJ중공업,97230,Dec-14,2647534000,2647534000,1858441000,1858441000
(주)HJ중공업,97230,Dec-15,2429499000,2357300000,1622994000,1604735000
(주)HJ중공업,97230,Dec-16,2372221000,2264280000,1709538000,1601597000
(주)HJ중공업,97230,Dec-17,1894161000,1894161000,1390569000,1390569000
(주)HJ중공업,97230,Dec-18,1720906000,1720906000,1382999000,1382999000
(주)HJ중공업,97230,Dec-19,1300538000,1300538000,1299550000,1299550000
(주)MH에탄올,23150,Dec-11,45677724,45677724,26253473,26253473
(주)MH에탄올,23150,Dec-12,50009828,50009828,23099890,23099890
(주)MH에탄올,23150,Dec-13,43178092,43178092,25868582,25868582
(주)MH에탄올,23150,Dec-14,28731429,28731429,28019052,28019052
(주)MH에탄올,23150,Dec-15,22500870,22500870,21758814,21758814
(주)MH에탄올,23150,Dec-16,19709368,19709368,18955978,18955978
(주)MH에탄올,23150,Dec-17,84767703,84767703,18235352,18235352
(주)MH에탄올,23150,Dec-18,29576016,29576016,18385099,18385099
(주)MH에탄올,23150,Dec-19,32814839,32814839,18130225,18130225
(주)SH에너지화학,2360,Dec-11,50355479,50355479,47641848,47641848
(주)SH에너지화학,2360,Dec-12,50509179,50509179,48762275,48762275
(주)SH에너지화학,2360,Dec-13,59051785,59051785,57773554,57773554
(주)SH에너지화학,2360,Dec-14,60325646,60325646,55486941,55486941
(주)SH에너지화학,2360,Dec-15,68213722,68213722,63737267,63737267
(주)SH에너지화학,2360,Dec-16,84222915,84222915,79584275,79584275
(주)SH에너지화학,2360,Dec-17,87597479,87597479,79139030,79139030
(주)SH에너지화학,2360,Dec-18,85758694,85758694,77591484,77591484
(주)SH에너지화학,2360,Dec-19,83558867,83558867,74793897,74793897
(주)SIMPAC,9160,Dec-11,152885455,152885455,151220422,151220422
(주)SIMPAC,9160,Dec-12,152757766,,150643335,150643335
(주)SIMPAC,9160,Dec-13,108635043,108635043,106534703,106534703
(주)SIMPAC,9160,Dec-14,144850453,144850453,118044851,118044851
(주)SIMPAC,9160,Dec-15,174086524,174086524,138074968,138074968
(주)SIMPAC,9160,Dec-16,176778523,176778523,138253630,138253630
(주)SIMPAC,9160,Dec-17,150671614,150671614,124800057,124800057
(주)SIMPAC,9160,Dec-18,310736335,310736335,273219151,273219151
(주)SIMPAC,9160,Dec-19,289195402,289195402,224313300,224313300
(주)SNT에너지,100840,Dec-11,,,145463387,145463387
(주)SNT에너지,100840,Dec-12,,,161463967,161463967
(주)SNT에너지,100840,Dec-13,,,181309369,181309369
(주)SNT에너지,100840,Dec-14,,,170494610,170494610
(주)SNT에너지,100840,Dec-15,,,184059424,184059424
(주)SNT에너지,100840,Dec-16,,,211766053,211766053
(주)SNT에너지,100840,Dec-17,,,172919603,172919603
(주)SNT에너지,100840,Dec-18,,155524318,155524318,155524318
(주)SNT에너지,100840,Dec-19,204986584,204986584,202225767,202225767
(주)SNT홀딩스,36530,Dec-11,1041841182,1041841182,64671576,64671576
(주)SNT홀딩스,36530,Dec-12,998857779,998857779,40740917,40740917
(주)SNT홀딩스,36530,Dec-13,1070812404,1070812404,49212139,49212139
(주)SNT홀딩스,36530,Dec-14,994978341,994978341,47079948,47079948
(주)SNT홀딩스,36530,Dec-15,1140793639,1140793639,100040105,100040105
(주)SNT홀딩스,36530,Dec-16,1205349271,1205349271,97449826,97449826
(주)SNT홀딩스,36530,Dec-17,1187727595,1187727595,98229088,98229088
(주)SNT홀딩스,36530,Dec-18,1168023374,1168023374,89557460,89557460
(주)SNT홀딩스,36530,Dec-19,1266526398,1266526398,31735933,31735933
(주)STX,11810,Dec-11,1430457000,1430457000,993206000,993206000
(주)STX,11810,Dec-12,1484305000,1484305000,856988000,856988000
(주)STX,11810,Dec-13,793607000,793607000,640293000,640293000
(주)STX,11810,Dec-14,893610000,893610000,728283000,728282000
(주)STX,11810,Dec-15,902119000,902119000,663016000,663016000
(주)STX,11810,Dec-16,486347000,486347000,441306000,441306000
(주)STX,11810,Dec-17,475786000,475786000,349891000,349891000
(주)STX,11810,Dec-18,422861000,422861000,297842000,297842000
(주)STX,11810,Dec-19,386401000,386401000,292473000,292473000
(주)TCC스틸,2710,Dec-11,183481284,183481284,163515113,163515113
(주)TCC스틸,2710,Dec-12,218440703,218440703,168674581,168674581
(주)TCC스틸,2710,Dec-13,220034732,220034732,150092488,150092488
(주)TCC스틸,2710,Dec-14,233224033,233224033,141191905,141191905
