회사명,거래소코드,회계년도,매출액(IFRS연결),유동자산(IFRS연결),매출액(IFRS개별),유동자산(IFRS개별)
(주)CMG제약,58820,Dec-11,17751704,15341167,17751704,15264885
(주)CMG제약,58820,Dec-12,16255389,47109213,16255389,47073443
(주)CMG제약,58820,Dec-13,20402140,38209699,20322140,38258866
(주)CMG제약,58820,Dec-14,22752584,28300941,22752584,28359823
(주)CMG제약,58820,Dec-15,27041894,26271614,27041894,26330765
(주)CMG제약,58820,Dec-16,32969825,78772201,32969825,78772201
(주)CMG제약,58820,Dec-17,41535588,81227330,41535588,81227330
(주)CMG제약,58820,Dec-18,49864782,81370415,49864782,81370415
(주)CMG제약,58820,Dec-19,58622681,150584066,58622681,150584066
(주)DB하이텍,990,Dec-11,552216245,279725559,534317238,265976810
(주)DB하이텍,990,Dec-12,590786488,309144147,583901597,303296307
(주)DB하이텍,990,Dec-13,493752028,222960700,493752028,222316934
(주)DB하이텍,990,Dec-14,567718224,247582371,567718224,246306720
(주)DB하이텍,990,Dec-15,666594987,337757266,666594987,334045125
(주)DB하이텍,990,Dec-16,773140180,368924211,773140180,364126852
(주)DB하이텍,990,Dec-17,679737744,353662841,679737744,348507961
(주)DB하이텍,990,Dec-18,669279136,383378937,669279136,380098326
(주)DB하이텍,990,Dec-19,807416423,426263421,807416423,422531166
(주)ES큐브,50120,Dec-11,53379952,34078195,41700477,18786276
(주)ES큐브,50120,Dec-12,55971147,22707006,44178050,15631243
(주)ES큐브,50120,Dec-13,58597361,38357211,45823196,32518902
(주)ES큐브,50120,Dec-14,44459581,46214758,37188072,21477612
(주)ES큐브,50120,Dec-15,42152967,41180599,36887119,22590313
(주)ES큐브,50120,Dec-16,34289385,50885945,34818205,43388800
(주)ES큐브,50120,Dec-17,35745794,51038158,37104908,44761949
(주)ES큐브,50120,Dec-18,33763508,45061626,31308873,29054833
(주)ES큐브,50120,Dec-19,43708239,359030693,28527284,24298462
(주)HJ중공업,97230,Dec-11,2891499000,2391530000,2316017000,2183437000
(주)HJ중공업,97230,Dec-12,2549319000,2274211000,1980761000,2419666000
(주)HJ중공업,97230,Dec-13,2529341000,2788908000,1927307000,1949615000
(주)HJ중공업,97230,Dec-14,2520325000,2647534000,1799016000,1858441000
(주)HJ중공업,97230,Dec-15,3115473000,2429499000,2041347000,1622994000
(주)HJ중공업,97230,Dec-16,2813271000,2372221000,1928591000,1709538000
(주)HJ중공업,97230,Dec-17,2452314000,1894161000,1737428000,1390569000
(주)HJ중공업,97230,Dec-18,1697869000,1720906000,1750954000,1382999000
(주)HJ중공업,97230,Dec-19,1628751000,1300538000,1609530000,1299550000
(주)MH에탄올,23150,Dec-11,44785159,45677724,43206995,26253473
(주)MH에탄올,23150,Dec-12,59768175,50009828,45488675,23099890
(주)MH에탄올,23150,Dec-13,62199887,43178092,46298516,25868582
(주)MH에탄올,23150,Dec-14,48983781,28731429,48983781,28019052
(주)MH에탄올,23150,Dec-15,50386203,22500870,50386203,21758814
(주)MH에탄올,23150,Dec-16,48897025,19709368,48897025,18955978
(주)MH에탄올,23150,Dec-17,51977132,84767703,48270464,18235352
(주)MH에탄올,23150,Dec-18,72795863,29576016,46943080,18385099
(주)MH에탄올,23150,Dec-19,80879342,32814839,46992295,18130225
(주)SH에너지화학,2360,Dec-11,173209351,50355479,172752632,47641848
(주)SH에너지화학,2360,Dec-12,193950102,50509179,191907628,48762275
(주)SH에너지화학,2360,Dec-13,231912218,59051785,229783541,57773554
(주)SH에너지화학,2360,Dec-14,230912587,60325646,226971465,55486941
(주)SH에너지화학,2360,Dec-15,216441364,68213722,213882181,63737267
(주)SH에너지화학,2360,Dec-16,218397677,84222915,214380015,79584275
(주)SH에너지화학,2360,Dec-17,188114822,87597479,184672638,79139030
(주)SH에너지화학,2360,Dec-18,183598766,85758694,180753289,77591484
