회사명,거래소코드,회계년도,당기유형자산(IFRS연결),전기유형자산(IFRS연결),당기유형자산(IFRS개별),전기유형자산(IFRS개별)
(주)CMG제약,58820,Dec-11,9707759,9707759,9652599,9652599
(주)CMG제약,58820,Dec-12,9307482,9307482,9264142,9264142
(주)CMG제약,58820,Dec-13,10805092,10805092,10805092,10805092
(주)CMG제약,58820,Dec-14,18833775,18833775,18833775,18833775
(주)CMG제약,58820,Dec-15,17822468,17822468,17822468,17822468
(주)CMG제약,58820,Dec-16,16905814,16905814,16905814,16905814
(주)CMG제약,58820,Dec-17,16182518,16182518,16182518,16182518
(주)CMG제약,58820,Dec-18,17268535,17268535,17268535,17268535
(주)CMG제약,58820,Dec-19,24119403,,24119403,24119403
(주)DB하이텍,990,Dec-11,758902417,758902417,758179817,758179817
(주)DB하이텍,990,Dec-12,685389046,685389046,684941380,684941380
(주)DB하이텍,990,Dec-13,636040366,636040366,635765049,635765049
(주)DB하이텍,990,Dec-14,591787281,591787281,591653498,591653498
(주)DB하이텍,990,Dec-15,533140340,533140340,533113708,533113708
(주)DB하이텍,990,Dec-16,547700934,547700934,547687840,547687840
(주)DB하이텍,990,Dec-17,555566835,555566835,555556192,555556192
(주)DB하이텍,990,Dec-18,597570491,597570491,597563521,597563521
(주)DB하이텍,990,Dec-19,616573800,616573800,616562743,616562743
(주)ES큐브,50120,Dec-11,4313834,4313834,1407274,1407274
(주)ES큐브,50120,Dec-12,3181598,3181598,1395951,1395951
(주)ES큐브,50120,Dec-13,2177498,2177498,914811,914811
(주)ES큐브,50120,Dec-14,2299195,2299195,640405,640405
(주)ES큐브,50120,Dec-15,1968118,1968118,596347,596347
(주)ES큐브,50120,Dec-16,7063781,7063781,4673186,4673186
(주)ES큐브,50120,Dec-17,11623688,11623688,7506218,7506218
(주)ES큐브,50120,Dec-18,15202081,15202081,10880733,10880733
(주)ES큐브,50120,Dec-19,17333381,17333381,10576512,10576512
(주)HJ중공업,97230,Dec-11,3144355000,3144355000,1427510000,1427510000
