회사명,거래소코드,회계년도,매출액(IFRS연결),유형자산(IFRS연결),매출액(IFRS개별),유형자산(IFRS개별)
(주)CMG제약,58820,Dec-11,17751704,9707759,17751704,9652599
(주)CMG제약,58820,Dec-12,16255389,9307482,16255389,9264142
(주)CMG제약,58820,Dec-13,20402140,10805092,20322140,10805092
(주)CMG제약,58820,Dec-14,22752584,18833775,22752584,18833775
(주)CMG제약,58820,Dec-15,27041894,17822468,27041894,17822468
(주)CMG제약,58820,Dec-16,32969825,16905814,32969825,16905814
(주)CMG제약,58820,Dec-17,41535588,16182518,41535588,16182518
(주)CMG제약,58820,Dec-18,49864782,17268535,49864782,17268535
(주)CMG제약,58820,Dec-19,58622681,24119403,58622681,24119403
(주)DB하이텍,990,Dec-11,552216245,758902417,534317238,758179817
(주)DB하이텍,990,Dec-12,590786488,685389046,583901597,684941380
(주)DB하이텍,990,Dec-13,493752028,636040366,493752028,635765049
(주)DB하이텍,990,Dec-14,567718224,591787281,567718224,591653498
(주)DB하이텍,990,Dec-15,666594987,533140340,666594987,533113708
(주)DB하이텍,990,Dec-16,773140180,547700934,773140180,547687840
(주)DB하이텍,990,Dec-17,679737744,555566835,679737744,555556192
(주)DB하이텍,990,Dec-18,669279136,597570491,669279136,597563521
(주)DB하이텍,990,Dec-19,807416423,616573800,807416423,616562743
(주)ES큐브,50120,Dec-11,53379952,4313834,41700477,1407274
(주)ES큐브,50120,Dec-12,55971147,3181598,44178050,1395951
(주)ES큐브,50120,Dec-13,58597361,2177498,45823196,914811
(주)ES큐브,50120,Dec-14,44459581,2299195,37188072,640405
(주)ES큐브,50120,Dec-15,42152967,1968118,36887119,596347
(주)ES큐브,50120,Dec-16,34289385,7063781,34818205,4673186
(주)ES큐브,50120,Dec-17,35745794,11623688,37104908,7506218
(주)ES큐브,50120,Dec-18,33763508,15202081,31308873,10880733
(주)ES큐브,50120,Dec-19,43708239,17333381,28527284,10576512
(주)HJ중공업,97230,Dec-11,2891499000,3144355000,2316017000,1427510000
(주)HJ중공업,97230,Dec-12,2549319000,2901480000,1980761000,1343556000
(주)HJ중공업,97230,Dec-13,2529341000,2808246000,1927307000,1329680000
(주)HJ중공업,97230,Dec-14,2520325000,2703561000,1799016000,1263266000
(주)HJ중공업,97230,Dec-15,3115473000,2735463000,2041347000,1223488000
(주)HJ중공업,97230,Dec-16,2813271000,2404052000,1928591000,1036188000
(주)HJ중공업,97230,Dec-17,2452314000,1792322000,1737428000,653140000
(주)HJ중공업,97230,Dec-18,1697869000,638765000,1750954000,636673000
(주)HJ중공업,97230,Dec-19,1628751000,615117000,1609530000,613082000
(주)MH에탄올,23150,Dec-11,44785159,75265905,43206995,35172601
(주)MH에탄올,23150,Dec-12,59768175,71841895,45488675,34423174
(주)MH에탄올,23150,Dec-13,62199887,70410722,46298516,34123721
(주)MH에탄올,23150,Dec-14,48983781,36083190,48983781,36083178
(주)MH에탄올,23150,Dec-15,50386203,36846510,50386203,36846498
(주)MH에탄올,23150,Dec-16,48897025,37390804,48897025,37390792
(주)MH에탄올,23150,Dec-17,51977132,389268406,48270464,39418503
(주)MH에탄올,23150,Dec-18,72795863,390589052,46943080,40585694
(주)MH에탄올,23150,Dec-19,80879342,402623574,46992295,41121323
(주)SH에너지화학,2360,Dec-11,173209351,33220422,172752632,33115306
(주)SH에너지화학,2360,Dec-12,193950102,32784916,191907628,32608108
(주)SH에너지화학,2360,Dec-13,231912218,32065097,229783541,31944570
(주)SH에너지화학,2360,Dec-14,230912587,31132703,226971465,31070401
(주)SH에너지화학,2360,Dec-15,216441364,32660706,213882181,32654731
(주)SH에너지화학,2360,Dec-16,218397677,31796198,214380015,31792327
(주)SH에너지화학,2360,Dec-17,188114822,31096409,184672638,30956708
(주)SH에너지화학,2360,Dec-18,183598766,30043406,180753289,29913044
(주)SH에너지화학,2360,Dec-19,140852575,33194337,138161816,33126165
(주)SIMPAC,9160,Dec-11,215365697,72940322,213867522,62702218
(주)SIMPAC,9160,Dec-12,225353321,74000157,223854758,64182764
(주)SIMPAC,9160,Dec-13,205751154,73711642,204527751,64271295
(주)SIMPAC,9160,Dec-14,263152264,169381419,227491803,70604838
(주)SIMPAC,9160,Dec-15,269528038,180973199,213152303,75847152
(주)SIMPAC,9160,Dec-16,267074156,178694040,215839356,75130388
(주)SIMPAC,9160,Dec-17,230634812,172659787,203150228,70402759
(주)SIMPAC,9160,Dec-18,306150809,357331367,268863854,156312739
(주)SIMPAC,9160,Dec-19,430085162,263608239,391970769,153003014
(주)SNT에너지,100840,Dec-11,,,195318747,122586108
(주)SNT에너지,100840,Dec-12,,,230707564,122289502
(주)SNT에너지,100840,Dec-13,,,200750984,120367341
(주)SNT에너지,100840,Dec-14,,,242746888,120065551
(주)SNT에너지,100840,Dec-15,,,260094045,118714558
(주)SNT에너지,100840,Dec-16,,,254089906,118148046
(주)SNT에너지,100840,Dec-17,,,184091945,116825424
(주)SNT에너지,100840,Dec-18,,,139516396,115728393
(주)SNT에너지,100840,Dec-19,213326726,123257799,202822913,116275557
(주)SNT홀딩스,36530,Dec-11,1663846065,989038851,2257851,150611
(주)SNT홀딩스,36530,Dec-12,1668749904,984180010,8718270,100263
(주)SNT홀딩스,36530,Dec-13,1576368464,986231198,8826810,54602
(주)SNT홀딩스,36530,Dec-14,1552374806,933346465,7701882,75419
(주)SNT홀딩스,36530,Dec-15,1612746929,928315887,8475099,55309
(주)SNT홀딩스,36530,Dec-16,1537700275,908800105,9818190,35654
(주)SNT홀딩스,36530,Dec-17,1508152132,880843802,7417869,19895
(주)SNT홀딩스,36530,Dec-18,1401307482,869282994,7292112,2888
(주)SNT홀딩스,36530,Dec-19,1512114565,871104106,11015928,59663
(주)STX,11810,Dec-11,5967701000,818420000,4173397000,72801000
(주)STX,11810,Dec-12,6159850000,1044547000,4116767000,69598000
(주)STX,11810,Dec-13,2449401000,215510000,1895063000,62152000
(주)STX,11810,Dec-14,1634606000,108080000,1291351000,57120000
(주)STX,11810,Dec-15,1630827000,101700000,1362127000,53714000
(주)STX,11810,Dec-16,1720153000,73715000,1465561000,30798000
(주)STX,11810,Dec-17,1803878000,70760000,1595494000,29631000
(주)STX,11810,Dec-18,1502985000,74249000,1329890000,28464000
(주)STX,11810,Dec-19,1471164000,90288000,1237876000,43245000
(주)TCC스틸,2710,Dec-11,514424043,84444856,456928069,75283350
(주)TCC스틸,2710,Dec-12,501337475,143845835,440568155,71554979
(주)TCC스틸,2710,Dec-13,500832754,156557380,419483813,71255687
(주)TCC스틸,2710,Dec-14,518995240,151621286,401323585,68743151
(주)TCC스틸,2710,Dec-15,495795871,71859909,350074629,50635593
(주)TCC스틸,2710,Dec-16,444453635,64693517,317235565,43730610
(주)TCC스틸,2710,Dec-17,391370092,58943990,333762378,45541678
(주)TCC스틸,2710,Dec-18,413176279,55878504,351301866,43204124
(주)TCC스틸,2710,Dec-19,437173902,59322335,339334364,47129444
(주)가비아,79940,Dec-11,52838864,22149161,33792831,7163470
(주)가비아,79940,Dec-12,69058144,37833915,38482449,23749485
(주)가비아,79940,Dec-13,70675565,37047584,40507693,22732962
(주)가비아,79940,Dec-14,80432047,37099200,43906243,22313113
(주)가비아,79940,Dec-15,91648622,36916970,48446932,22210592
(주)가비아,79940,Dec-16,102178978,43221838,49430564,22429866
(주)가비아,79940,Dec-17,116217941,45452326,52365659,22362004
(주)가비아,79940,Dec-18,128728438,49107084,55197652,24425180
(주)가비아,79940,Dec-19,148306878,85359914,58254105,39724951
(주)강스템바이오텍,217730,Dec-15,,,1484593,2980005
(주)강스템바이오텍,217730,Dec-16,,,842805,4039297
(주)강스템바이오텍,217730,Dec-17,9132939,13229478,5394323,12480829
(주)강스템바이오텍,217730,Dec-18,9165454,15140205,1001039,14220013
(주)강스템바이오텍,217730,Dec-19,6004584,31219524,282069,22738650
(주)강원랜드,35250,Dec-11,1265686425,1312308962,1263651213,1302068954
(주)강원랜드,35250,Dec-12,1296191223,1357670542,1292896121,1334113267
(주)강원랜드,35250,Dec-13,1361286598,1385719165,1356906162,1327018456
(주)강원랜드,35250,Dec-14,1496541441,1387584592,1492291312,1284798892
(주)강원랜드,35250,Dec-15,1633716839,1353560925,1630976696,1253601276
(주)강원랜드,35250,Dec-16,1696532511,1315715882,1694575212,1254129261
(주)강원랜드,35250,Dec-17,1604470055,1297980610,1602901764,1253403658
(주)강원랜드,35250,Dec-18,1438059299,1314038393,1436042435,1299058388
(주)강원랜드,35250,Dec-19,1520080449,1370568026,1517612252,1353732478
(주)강원에너지,114190,Nov-11,,,50222892,3912294
(주)강원에너지,114190,Dec-12,,,106471214,4416402
(주)강원에너지,114190,Dec-13,,,50660659,4787448
(주)강원에너지,114190,Dec-14,,,51481321,10004091
(주)강원에너지,114190,Dec-15,46188664,12847843,48852892,9712091
(주)강원에너지,114190,Dec-16,42287473,14792058,44448760,9490734
(주)강원에너지,114190,Dec-17,82034829,15392067,83113029,9242859
(주)강원에너지,114190,Dec-18,85905365,14771745,85905365,8853092
(주)강원에너지,114190,Dec-19,42549622,10387938,42549622,9089689
(주)갤럭시아에스엠,11420,Dec-11,47331427,746008,31931418,263856
(주)갤럭시아에스엠,11420,Dec-12,55049732,3386965,37398255,244196
(주)갤럭시아에스엠,11420,Dec-13,46437304,3092608,30903637,258052
(주)갤럭시아에스엠,11420,Dec-14,43885894,3055021,33027933,170073
(주)갤럭시아에스엠,11420,Dec-15,62472754,2905233,53784932,428742
(주)갤럭시아에스엠,11420,Dec-16,52626331,2588337,45665676,468225
(주)갤럭시아에스엠,11420,Dec-17,37281280,364072,36917656,348574
(주)갤럭시아에스엠,11420,Dec-18,22060413,251603,22030258,251603
(주)갤럭시아에스엠,11420,Dec-19,28732679,511985,28732679,511985
(주)경농,2100,Dec-11,121253605,49541176,120728258,47135730
(주)경농,2100,Dec-12,136970449,93105654,131021366,51459712
(주)경농,2100,Dec-13,196358952,101211463,139237273,55088070
(주)경농,2100,Dec-14,188483147,118629306,134806677,60743502
(주)경농,2100,Dec-15,196418710,122071383,137609256,60862714
(주)경농,2100,Dec-16,203984939,133213483,143209666,60986166
(주)경농,2100,Dec-17,206534382,140283689,143175105,61075339
(주)경농,2100,Dec-18,212654617,142669413,146216658,67819776
(주)경농,2100,Dec-19,227510941,139475078,151342037,64128521
(주)경동나비엔,9450,Dec-11,341246917,103309756,318269213,71463183
(주)경동나비엔,9450,Dec-12,379014259,120050563,341339118,86003940
(주)경동나비엔,9450,Dec-13,414177562,184422743,371601179,148703601
(주)경동나비엔,9450,Dec-14,428985365,190970831,382392117,133081097
(주)경동나비엔,9450,Dec-15,512031120,195089500,448302084,134166342
(주)경동나비엔,9450,Dec-16,583252904,203718091,506082201,138398427
(주)경동나비엔,9450,Dec-17,684660958,221945791,569819524,143721378
(주)경동나비엔,9450,Dec-18,726741615,248979361,618058456,157575992
(주)경동나비엔,9450,Dec-19,774290704,278770581,655419303,165763623
(주)경동도시가스,267290,Dec-17,871548284,316816604,870828897,316263778
(주)경동도시가스,267290,Dec-18,1606531867,320713747,1605687067,320275132
(주)경동도시가스,267290,Dec-19,1422707835,325975219,1421866212,325567581
(주)경동인베스트,12320,Dec-11,1847666903,302120078,1806174764,265516704
(주)경동인베스트,12320,Dec-12,2502642394,302039515,2403814656,279769365
(주)경동인베스트,12320,Dec-13,2788264380,322577481,2664100017,293643578
(주)경동인베스트,12320,Dec-14,2603059058,436240540,2399450987,299563689
