회사명,거래소코드,회계년도,자본(IFRS연결),자산(IFRS연결),자본(IFRS개별),자산(IFRS개별)
(주)CMG제약,58820,Dec-11,18034249,27305198,18290915,27548539
(주)CMG제약,58820,Dec-12,31590685,57108035,31602540,56988604
(주)CMG제약,58820,Dec-13,48997281,55912563,49048213,55961620
(주)CMG제약,58820,Dec-14,49002644,58068326,49067039,58127098
(주)CMG제약,58820,Dec-15,46806888,56532821,46872705,56591972
(주)CMG제약,58820,Dec-16,101107635,110979867,101107635,110979867
(주)CMG제약,58820,Dec-17,97944019,109568153,97944019,109568153
(주)CMG제약,58820,Dec-18,103981846,114379880,103981846,114379880
(주)CMG제약,58820,Dec-19,180158283,192243166,180158283,192243166
(주)DB하이텍,990,Dec-11,308061688,1199043869,291709498,1183957429
(주)DB하이텍,990,Dec-12,290893335,1157755031,274553219,1149069244
(주)DB하이텍,990,Dec-13,204756748,1058391832,197287466,1049494642
(주)DB하이텍,990,Dec-14,120702734,984876636,136104062,1001959816
(주)DB하이텍,990,Dec-15,254057491,984643712,277662952,1005673854
(주)DB하이텍,990,Dec-16,341917315,986788572,364450453,1006370876
(주)DB하이텍,990,Dec-17,455797946,993950720,441546809,977575054
(주)DB하이텍,990,Dec-18,558391531,1066533840,542557222,1050696487
(주)DB하이텍,990,Dec-19,644650730,1088889810,645305205,1089400761
(주)ES큐브,50120,Dec-11,39245830,55477032,39144414,45233434
(주)ES큐브,50120,Dec-12,39859681,46281660,39881477,44676182
(주)ES큐브,50120,Dec-13,42372440,47137573,43712820,47509654
(주)ES큐브,50120,Dec-14,49628091,56611836,41226335,44914173
(주)ES큐브,50120,Dec-15,49654460,55620280,44872641,47123684
(주)ES큐브,50120,Dec-16,71696122,105164626,69832373,104459992
(주)ES큐브,50120,Dec-17,72816880,105892131,71398467,104850192
(주)ES큐브,50120,Dec-18,70748607,112430896,66518631,108481764
(주)ES큐브,50120,Dec-19,74038512,463958680,53986331,136065488
(주)HJ중공업,97230,Dec-11,1866848000,7036680000,1874877000,5857119000
(주)HJ중공업,97230,Dec-12,1715516000,6585093000,1863529000,5938108000
(주)HJ중공업,97230,Dec-13,1638998000,6683379000,1804609000,5839633000
(주)HJ중공업,97230,Dec-14,1573076000,6470284000,1761886000,5469810000
(주)HJ중공업,97230,Dec-15,1368589000,5914637000,1377529000,4638381000
(주)HJ중공업,97230,Dec-16,895183000,5256464000,904150000,3921561000
(주)HJ중공업,97230,Dec-17,577198000,4206655000,563410000,3312303000
(주)HJ중공업,97230,Dec-18,-708186000,2733620000,-398930000,2388369000
(주)HJ중공업,97230,Dec-19,244994000,2470222000,247272000,2465650000
(주)MH에탄올,23150,Dec-11,42667338,134206851,56161251,135927085
(주)MH에탄올,23150,Dec-12,39678259,134385813,58712944,139200817
(주)MH에탄올,23150,Dec-13,45885523,129697936,47119925,122520742
(주)MH에탄올,23150,Dec-14,52788681,85534839,52507884,85253876
(주)MH에탄올,23150,Dec-15,57884347,78996052,57569789,78691328
(주)MH에탄올,23150,Dec-16,63581883,72339673,63257513,72025138
(주)MH에탄올,23150,Dec-17,106837344,500180086,64698932,107437079
(주)MH에탄올,23150,Dec-18,91585473,440177523,68471529,109656889
(주)MH에탄올,23150,Dec-19,79389077,451474451,59477642,101058662
(주)SH에너지화학,2360,Dec-11,65242326,104710740,64498684,102383199
(주)SH에너지화학,2360,Dec-12,64881202,103690070,64888612,102492810
(주)SH에너지화학,2360,Dec-13,69599141,110488951,69781889,109984767
(주)SH에너지화학,2360,Dec-14,84237197,110741407,83404299,109098264
(주)SH에너지화학,2360,Dec-15,91646221,115520726,90740136,114048206
(주)SH에너지화학,2360,Dec-16,104088887,124488724,103083032,122956894
(주)SH에너지화학,2360,Dec-17,107693472,125312154,105717970,123261552
(주)SH에너지화학,2360,Dec-18,105390892,122434685,104065473,120895795
(주)SH에너지화학,2360,Dec-19,98999976,123415832,97386214,121126250
(주)SIMPAC,9160,Dec-11,168941269,310879328,155833324,296953131
(주)SIMPAC,9160,Dec-12,187860952,318665505,177830482,307366684
(주)SIMPAC,9160,Dec-13,208831047,361985890,197900866,349836891
(주)SIMPAC,9160,Dec-14,219125252,381939281,203904919,329325876
