회사명,거래소코드,회계년도,[제조]자본(*)(IFRS연결),[제조]당기순이익(손실)(IFRS연결),[제조]자본(*)(IFRS),[제조]당기순이익(손실)(IFRS)
(주)CMG제약,058820,2010/12,18405116,-6945220,18405116,-6945220
(주)CMG제약,058820,2011/12,18034249,-1508282,18290915,-1264488
(주)CMG제약,058820,2012/12,31590685,-6660149,31602540,-6892739
(주)CMG제약,058820,2013/12,48997281,296181,49048213,335258
(주)CMG제약,058820,2014/12,49002644,158039,49067039,171502
(주)CMG제약,058820,2015/12,46806888,-3650091,46872705,-3648668
(주)CMG제약,058820,2016/12,101107635,1727895,101107635,1693463
(주)CMG제약,058820,2017/12,97944019,2834901,97944019,2834901
(주)CMG제약,058820,2018/12,103981846,6065026,103981846,6065026
(주)CMG제약,058820,2019/12,180158283,3051177,180158283,3051177
(주)DB하이텍,000990,2010/12,398016157,-191152903,376915607,-204814784
(주)DB하이텍,000990,2011/12,308061688,-97946584,291709498,-93084414
(주)DB하이텍,000990,2012/12,290893335,-31341318,274553219,-32121504
(주)DB하이텍,000990,2013/12,204756748,-83046768,197287466,-73243309
(주)DB하이텍,000990,2014/12,120702734,-77008844,136104062,-58319918
(주)DB하이텍,000990,2015/12,254057491,126733352,277662952,127469869
(주)DB하이텍,000990,2016/12,341917315,88344018,364450453,88002359
(주)DB하이텍,000990,2017/12,455797946,110175089,441546809,74401732
(주)DB하이텍,000990,2018/12,558391531,86828768,542557222,95087399
(주)DB하이텍,000990,2019/12,644650730,104637012,645305205,121159865
(주)ES큐브,050120,2010/12,42621100,-1632071,42087960,-2165930
(주)ES큐브,050120,2011/12,39245830,-4796438,39144414,-2933429
(주)ES큐브,050120,2012/12,39859681,-359216,39881477,516857
(주)ES큐브,050120,2013/12,42372440,-16455910,43712820,-14749080
(주)ES큐브,050120,2014/12,49628091,-615409,41226335,-2412385
(주)ES큐브,050120,2015/12,49654460,-2307159,44872641,3610344
(주)ES큐브,050120,2016/12,71696122,21541047,69832373,17469014
(주)ES큐브,050120,2017/12,72816880,1737925,71398467,1218923
(주)ES큐브,050120,2018/12,70748607,-6121462,66518631,-3836071
(주)ES큐브,050120,2019/12,74038512,-13767748,53986331,-12738710
(주)HJ중공업,097230,2010/12,1955791000,-72295000,2001312000,-39395000
(주)HJ중공업,097230,2011/12,1866848000,-96920000,1874877000,-116272000
(주)HJ중공업,097230,2012/12,1715516000,-53214000,1863529000,13082000
(주)HJ중공업,097230,2013/12,1638998000,-190193000,1804609000,-212716000
(주)HJ중공업,097230,2014/12,1573076000,-299811000,1761886000,-225739000
(주)HJ중공업,097230,2015/12,1368589000,-260925000,1377529000,-260118000
(주)HJ중공업,097230,2016/12,895183000,-334446000,904150000,-334429000
(주)HJ중공업,097230,2017/12,577198000,-277978000,563410000,-299028000
(주)HJ중공업,097230,2018/12,-708186000,-1283647000,-398930000,-963474000
(주)HJ중공업,097230,2019/12,244994000,306169000,247272000,-73654000
(주)MH에탄올,023150,2010/12,46625147,-1792566,52983762,4582073
(주)MH에탄올,023150,2011/12,42667338,-4357312,56161251,3351943
(주)MH에탄올,023150,2012/12,39678259,287369,58712944,2571700
(주)MH에탄올,023150,2013/12,45885523,7028234,47119925,-11627211
(주)MH에탄올,023150,2014/12,52788681,-203193,52507884,4618332
(주)MH에탄올,023150,2015/12,57884347,7778593,57569789,7744832
(주)MH에탄올,023150,2016/12,63581883,8144684,63257513,8134873
(주)MH에탄올,023150,2017/12,106837344,4308068,64698932,5903108
(주)MH에탄올,023150,2018/12,91585473,-12033428,68471529,6553371
(주)MH에탄올,023150,2019/12,79389077,-7552043,59477642,-5004935
(주)SH에너지화학,002360,2010/12,61526743,-6500918,61538912,-6557499
(주)SH에너지화학,002360,2011/12,65242326,1800972,64498684,3164441
(주)SH에너지화학,002360,2012/12,64881202,210854,64888612,1079738
(주)SH에너지화학,002360,2013/12,69599141,4606872,69781889,4841817
(주)SH에너지화학,002360,2014/12,84237197,16733050,83404299,15569914
(주)SH에너지화학,002360,2015/12,91646221,12590617,90740136,12639344
(주)SH에너지화학,002360,2016/12,104088887,18028878,103083032,17574101
(주)SH에너지화학,002360,2017/12,107693472,9879057,105717970,8905104
(주)SH에너지화학,002360,2018/12,105390892,2033570,104065473,2766802
(주)SH에너지화학,002360,2019/12,98999976,-3090151,97386214,-3151629
(주)SIMPAC,009160,2010/12,145325032,20514721,136119246,14884986
(주)SIMPAC,009160,2011/12,168941269,24976613,155833324,21196377
(주)SIMPAC,009160,2012/12,187860952,19285856,177830482,22517068
(주)SIMPAC,009160,2013/12,208831047,20043596,197900866,19196136
(주)SIMPAC,009160,2014/12,219125252,14312319,203904919,10218575
(주)SIMPAC,009160,2015/12,232007841,16449973,220087525,19448583
(주)SIMPAC,009160,2016/12,240416530,16183843,228959172,16444650
(주)SIMPAC,009160,2017/12,240826100,12895699,223781988,7133940
(주)SIMPAC,009160,2018/12,435032869,69198558,411119510,62381304
(주)SIMPAC,009160,2019/12,441195485,9487516,419215968,11507259
(주)SNT에너지,100840,2010/12,,,167390792,3200978
(주)SNT에너지,100840,2011/12,,,160595865,-4155767
(주)SNT에너지,100840,2012/12,,,183306309,9087721
(주)SNT에너지,100840,2013/12,,,198164671,16189688
(주)SNT에너지,100840,2014/12,,,207712504,11264253
(주)SNT에너지,100840,2015/12,,,231399939,27029932
(주)SNT에너지,100840,2016/12,,,229799567,1659742
(주)SNT에너지,100840,2017/12,,,233817326,4581777
(주)SNT에너지,100840,2018/12,,,231276490,1825479
(주)SNT에너지,100840,2019/12,244954910,15452273,245545053,14578960
(주)SNT홀딩스,036530,2010/12,1277919679,85735593,396588552,4776920
(주)SNT홀딩스,036530,2011/12,1311007481,87196578,387839074,5766277
(주)SNT홀딩스,036530,2012/12,1318022867,63253909,388611726,9011145
(주)SNT홀딩스,036530,2013/12,1374365240,53763061,396851717,8018313
(주)SNT홀딩스,036530,2014/12,1356040938,66985248,398863036,6891599
(주)SNT홀딩스,036530,2015/12,1529249091,116419931,421925486,27765789
(주)SNT홀딩스,036530,2016/12,1530892611,10146568,426682947,6923176
(주)SNT홀딩스,036530,2017/12,1519293154,25863066,425136143,4172419
(주)SNT홀딩스,036530,2018/12,1503275496,73732317,422573122,6218079
(주)SNT홀딩스,036530,2019/12,1625933047,124509305,416939604,9244252
(주)STX,011810,2010/12,1622889000,229769000,934675000,8971000
(주)STX,011810,2011/12,1915942000,222363000,1164648000,84657000
(주)STX,011810,2012/12,1506639000,-490928000,1123534000,-23863000
(주)STX,011810,2013/12,-509663000,-1595630000,-522090000,-1646014000
(주)STX,011810,2014/12,93662000,380584000,54894000,334488000
(주)STX,011810,2015/12,72342000,-48982000,72316000,-53449000
(주)STX,011810,2016/12,-330596000,-457446000,-328883000,-456150000
(주)STX,011810,2017/12,42560000,334386000,44710000,336179000
(주)STX,011810,2018/12,64028000,9107000,62213000,5024000
(주)STX,011810,2019/12,56291000,-33218000,50616000,-37142000
(주)TCC스틸,002710,2010/12,225226613,13847168,203173489,13684096
(주)TCC스틸,002710,2011/12,225441968,4557868,205616971,6828699
(주)TCC스틸,002710,2012/12,225998781,124581,209755733,4206491
(주)TCC스틸,002710,2013/12,205738102,-19955830,210086242,391783
(주)TCC스틸,002710,2014/12,189038004,-15813610,210093654,1022624
(주)TCC스틸,002710,2015/12,86012476,-110218983,76555951,-140083396
(주)TCC스틸,002710,2016/12,103337634,16948843,92623510,15468493
(주)TCC스틸,002710,2017/12,100915803,1503708,89627045,-2328706
(주)TCC스틸,002710,2018/12,112246210,9755131,98351707,7565000
(주)TCC스틸,002710,2019/12,116843135,5037267,97501452,1996130
(주)가비아,079940,2010/12,37225655,5572559,21535028,3095686
(주)가비아,079940,2011/12,48665742,7014899,24298687,3262397
(주)가비아,079940,2012/12,58945247,9419144,31165211,5737877
(주)가비아,079940,2013/12,68600227,9505713,34822978,3786937
(주)가비아,079940,2014/12,75509702,6752737,38147677,3076978
(주)가비아,079940,2015/12,84096148,8530281,42470259,4288423
(주)가비아,079940,2016/12,95951841,10177685,45413712,3544032
(주)가비아,079940,2017/12,99896520,9669613,47662984,2493743
(주)가비아,079940,2018/12,114187490,15340647,49832912,2762732
(주)가비아,079940,2019/12,134959139,21102390,54084066,4654769
(주)강스템바이오텍,217730,2015/12,,,21237036,-5754141
(주)강스템바이오텍,217730,2016/12,,,22976911,-8300375
(주)강스템바이오텍,217730,2017/12,24482163,-11531949,24668128,-10855842
(주)강스템바이오텍,217730,2018/12,47581374,-14294032,47944961,-13500909
(주)강스템바이오텍,217730,2019/12,68719236,-26394472,70845209,-25001590
(주)강원랜드,035250,2010/12,2099210537,426209186,2107623213,434447189
(주)강원랜드,035250,2011/12,2257362696,381175313,2278202202,393401121
(주)강원랜드,035250,2012/12,2372026990,306228988,2383160603,296503993
(주)강원랜드,035250,2013/12,2517696496,297596347,2523962938,293129468
(주)강원랜드,035250,2014/12,2705357485,359348568,2716175018,363815729
(주)강원랜드,035250,2015/12,2997755205,441629101,2997442337,430459518
(주)강원랜드,035250,2016/12,3252727459,454533659,3252738063,454998593
(주)강원랜드,035250,2017/12,3501235933,437540507,3500789656,437096330
(주)강원랜드,035250,2018/12,3586777089,297236881,3586452533,297320114
(주)강원랜드,035250,2019/12,3717759076,334653892,3718433001,335609508
(주)강원에너지,114190,2010/11,,,19268894,1716786
(주)강원에너지,114190,2011/11,,,24502434,5754715
(주)강원에너지,114190,2012/12,,,36107930,8974549
(주)강원에너지,114190,2013/12,,,45877155,3922208
(주)강원에너지,114190,2014/12,,,50445491,1123194
