회사명,거래소코드,회계년도,당기자본(IFRS연결),전기자본(IFRS연결),당기자본(IFRS개별),전기자본(IFRS개별)
(주)CMG제약,58820,Dec-11,18034249,18034249,18290915,18290915
(주)CMG제약,58820,Dec-12,31590685,31590685,31602540,31602540
(주)CMG제약,58820,Dec-13,48997281,48997281,49048213,49048213
(주)CMG제약,58820,Dec-14,49002644,49002644,49067039,49067039
(주)CMG제약,58820,Dec-15,46806888,46806888,46872705,46872705
(주)CMG제약,58820,Dec-16,101107635,94895419,101107635,94895419
(주)CMG제약,58820,Dec-17,97944019,97944019,97944019,97944019
(주)CMG제약,58820,Dec-18,103981846,103981846,103981846,103981846
(주)CMG제약,58820,Dec-19,180158283,,180158283,180158283
(주)DB하이텍,990,Dec-11,308061688,308061688,291709498,291709498
(주)DB하이텍,990,Dec-12,290893335,290893335,274553219,274553219
(주)DB하이텍,990,Dec-13,204756748,204756748,197287466,197287466
(주)DB하이텍,990,Dec-14,120702734,120702734,136104062,136104062
(주)DB하이텍,990,Dec-15,254057491,254057491,277662952,277662952
(주)DB하이텍,990,Dec-16,341917315,341917315,364450453,364450453
(주)DB하이텍,990,Dec-17,455797946,455797946,441546809,441546809
(주)DB하이텍,990,Dec-18,558391531,558391531,542557222,542557222
(주)DB하이텍,990,Dec-19,644650730,644650730,645305205,645305205
(주)ES큐브,50120,Dec-11,39245830,39245830,39144414,39144414
(주)ES큐브,50120,Dec-12,39859681,39859681,39881477,39881477
(주)ES큐브,50120,Dec-13,42372440,42372440,43712820,43712820
(주)ES큐브,50120,Dec-14,49628091,49628091,41226335,41226335
(주)ES큐브,50120,Dec-15,49654460,49654460,44872641,44872641
(주)ES큐브,50120,Dec-16,71696122,71696122,69832373,69832373
(주)ES큐브,50120,Dec-17,72816880,72816880,71398467,71398467
(주)ES큐브,50120,Dec-18,70748607,70748607,66518631,66518631
(주)ES큐브,50120,Dec-19,74038512,74038512,53986331,53986331
(주)HJ중공업,97230,Dec-11,1866848000,1866848000,1874877000,1874877000
(주)HJ중공업,97230,Dec-12,1715516000,1715516000,1863529000,1863529000
(주)HJ중공업,97230,Dec-13,1638998000,1638998000,1804609000,1804609000
(주)HJ중공업,97230,Dec-14,1573076000,1573076000,1761886000,1582996000
(주)HJ중공업,97230,Dec-15,1368589000,1178036000,1377529000,1186973000
(주)HJ중공업,97230,Dec-16,895183000,917608000,904150000,926577000
(주)HJ중공업,97230,Dec-17,577198000,577198000,563410000,563410000
(주)HJ중공업,97230,Dec-18,-708186000,-708186000,-398930000,-398930000
(주)HJ중공업,97230,Dec-19,244994000,244994000,247272000,247272000
(주)MH에탄올,23150,Dec-11,42667338,42667338,56161251,56161251
(주)MH에탄올,23150,Dec-12,39678259,39678259,58712944,58712944
(주)MH에탄올,23150,Dec-13,45885523,45885523,47119925,47119925
(주)MH에탄올,23150,Dec-14,52788681,52788681,52507884,52507884
(주)MH에탄올,23150,Dec-15,57884347,57884347,57569789,57569789
(주)MH에탄올,23150,Dec-16,63581883,63581883,63257513,63257513
(주)MH에탄올,23150,Dec-17,106837344,106837344,64698932,64698932
(주)MH에탄올,23150,Dec-18,91585473,91585473,68471529,68471529
(주)MH에탄올,23150,Dec-19,79389077,79389077,59477642,59477642
(주)SH에너지화학,2360,Dec-11,65242326,65242326,64498684,64498684
(주)SH에너지화학,2360,Dec-12,64881202,64881202,64888612,64888612
(주)SH에너지화학,2360,Dec-13,69599141,69599141,69781889,69781889
(주)SH에너지화학,2360,Dec-14,84237197,84237197,83404299,83404299
(주)SH에너지화학,2360,Dec-15,91646221,91646221,90740136,90740136
(주)SH에너지화학,2360,Dec-16,104088887,104088887,103083032,103083032
(주)SH에너지화학,2360,Dec-17,107693472,107693472,105717970,105717970
(주)SH에너지화학,2360,Dec-18,105390892,105390892,104065473,104065473
(주)SH에너지화학,2360,Dec-19,98999976,98999976,97386214,97386214
(주)SIMPAC,9160,Dec-11,168941269,168941269,155833324,155833324
(주)SIMPAC,9160,Dec-12,187860952,,177830482,177830482
(주)SIMPAC,9160,Dec-13,208831047,208831047,197900866,197900866
(주)SIMPAC,9160,Dec-14,219125252,219125252,203904919,203904919
(주)SIMPAC,9160,Dec-15,232007841,232007841,220087525,220087525
(주)SIMPAC,9160,Dec-16,240416530,240416530,228959172,228959172
(주)SIMPAC,9160,Dec-17,240826100,240826100,223781988,223781988
(주)SIMPAC,9160,Dec-18,435032869,435032869,411119510,411119510
(주)SIMPAC,9160,Dec-19,441195485,441195485,419215968,419215968
(주)SNT에너지,100840,Dec-11,,,160595865,160595865
(주)SNT에너지,100840,Dec-12,,,183306309,183306309
(주)SNT에너지,100840,Dec-13,,,198164671,198164671
(주)SNT에너지,100840,Dec-14,,,207712504,207712504
(주)SNT에너지,100840,Dec-15,,,231399939,231399939
(주)SNT에너지,100840,Dec-16,,,229799567,229799567
(주)SNT에너지,100840,Dec-17,,,233817326,233817326
