회사명,거래소코드,회계년도,매출액(IFRS연결),자본(IFRS연결),매출액(IFRS개별),자본(IFRS개별)
(주)CMG제약,58820,Dec-11,17751704,18034249,17751704,18290915
(주)CMG제약,58820,Dec-12,16255389,31590685,16255389,31602540
(주)CMG제약,58820,Dec-13,20402140,48997281,20322140,49048213
(주)CMG제약,58820,Dec-14,22752584,49002644,22752584,49067039
(주)CMG제약,58820,Dec-15,27041894,46806888,27041894,46872705
(주)CMG제약,58820,Dec-16,32969825,101107635,32969825,101107635
(주)CMG제약,58820,Dec-17,41535588,97944019,41535588,97944019
(주)CMG제약,58820,Dec-18,49864782,103981846,49864782,103981846
(주)CMG제약,58820,Dec-19,58622681,180158283,58622681,180158283
(주)DB하이텍,990,Dec-11,552216245,308061688,534317238,291709498
(주)DB하이텍,990,Dec-12,590786488,290893335,583901597,274553219
(주)DB하이텍,990,Dec-13,493752028,204756748,493752028,197287466
(주)DB하이텍,990,Dec-14,567718224,120702734,567718224,136104062
(주)DB하이텍,990,Dec-15,666594987,254057491,666594987,277662952
(주)DB하이텍,990,Dec-16,773140180,341917315,773140180,364450453
(주)DB하이텍,990,Dec-17,679737744,455797946,679737744,441546809
(주)DB하이텍,990,Dec-18,669279136,558391531,669279136,542557222
(주)DB하이텍,990,Dec-19,807416423,644650730,807416423,645305205
(주)ES큐브,50120,Dec-11,53379952,39245830,41700477,39144414
(주)ES큐브,50120,Dec-12,55971147,39859681,44178050,39881477
(주)ES큐브,50120,Dec-13,58597361,42372440,45823196,43712820
(주)ES큐브,50120,Dec-14,44459581,49628091,37188072,41226335
(주)ES큐브,50120,Dec-15,42152967,49654460,36887119,44872641
(주)ES큐브,50120,Dec-16,34289385,71696122,34818205,69832373
(주)ES큐브,50120,Dec-17,35745794,72816880,37104908,71398467
(주)ES큐브,50120,Dec-18,33763508,70748607,31308873,66518631
(주)ES큐브,50120,Dec-19,43708239,74038512,28527284,53986331
(주)HJ중공업,97230,Dec-11,2891499000,1866848000,2316017000,1874877000
(주)HJ중공업,97230,Dec-12,2549319000,1715516000,1980761000,1863529000
(주)HJ중공업,97230,Dec-13,2529341000,1638998000,1927307000,1804609000
(주)HJ중공업,97230,Dec-14,2520325000,1573076000,1799016000,1761886000
(주)HJ중공업,97230,Dec-15,3115473000,1368589000,2041347000,1377529000
(주)HJ중공업,97230,Dec-16,2813271000,895183000,1928591000,904150000
(주)HJ중공업,97230,Dec-17,2452314000,577198000,1737428000,563410000
(주)HJ중공업,97230,Dec-18,1697869000,-708186000,1750954000,-398930000
(주)HJ중공업,97230,Dec-19,1628751000,244994000,1609530000,247272000
(주)MH에탄올,23150,Dec-11,44785159,42667338,43206995,56161251
(주)MH에탄올,23150,Dec-12,59768175,39678259,45488675,58712944
(주)MH에탄올,23150,Dec-13,62199887,45885523,46298516,47119925
(주)MH에탄올,23150,Dec-14,48983781,52788681,48983781,52507884
(주)MH에탄올,23150,Dec-15,50386203,57884347,50386203,57569789
(주)MH에탄올,23150,Dec-16,48897025,63581883,48897025,63257513
(주)MH에탄올,23150,Dec-17,51977132,106837344,48270464,64698932
(주)MH에탄올,23150,Dec-18,72795863,91585473,46943080,68471529
(주)MH에탄올,23150,Dec-19,80879342,79389077,46992295,59477642
(주)SH에너지화학,2360,Dec-11,173209351,65242326,172752632,64498684
(주)SH에너지화학,2360,Dec-12,193950102,64881202,191907628,64888612
(주)SH에너지화학,2360,Dec-13,231912218,69599141,229783541,69781889
(주)SH에너지화학,2360,Dec-14,230912587,84237197,226971465,83404299
(주)SH에너지화학,2360,Dec-15,216441364,91646221,213882181,90740136
(주)SH에너지화학,2360,Dec-16,218397677,104088887,214380015,103083032
(주)SH에너지화학,2360,Dec-17,188114822,107693472,184672638,105717970
(주)SH에너지화학,2360,Dec-18,183598766,105390892,180753289,104065473
(주)SH에너지화학,2360,Dec-19,140852575,98999976,138161816,97386214
(주)SIMPAC,9160,Dec-11,215365697,168941269,213867522,155833324
(주)SIMPAC,9160,Dec-12,225353321,187860952,223854758,177830482
(주)SIMPAC,9160,Dec-13,205751154,208831047,204527751,197900866
(주)SIMPAC,9160,Dec-14,263152264,219125252,227491803,203904919
