회사명,거래소코드,회계년도,자산(IFRS연결),자산(IFRS개별),합계_기말인원
(주)CMG제약,58820,11-Dec,27305198,27548539,135
(주)CMG제약,58820,12-Dec,57108035,56988604,134
(주)CMG제약,58820,13-Dec,55912563,55961620,136
(주)CMG제약,58820,14-Dec,58068326,58127098,164
(주)CMG제약,58820,15-Dec,56532821,56591972,156
(주)CMG제약,58820,16-Dec,110979867,110979867,160
(주)CMG제약,58820,17-Dec,109568153,109568153,200
(주)CMG제약,58820,18-Dec,114379880,114379880,222
(주)CMG제약,58820,19-Dec,192243166,192243166,241
(주)DB하이텍,990,11-Dec,1199043869,1183957429,2567
(주)DB하이텍,990,12-Dec,1157755031,1149069244,2304
(주)DB하이텍,990,13-Dec,1058391832,1049494642,2142
(주)DB하이텍,990,14-Dec,984876636,1001959816,1999
(주)DB하이텍,990,15-Dec,984643712,1005673854,2004
(주)DB하이텍,990,16-Dec,986788572,1006370876,2047
(주)DB하이텍,990,17-Dec,993950720,977575054,1940
(주)DB하이텍,990,18-Dec,1066533840,1050696487,1955
(주)DB하이텍,990,19-Dec,1088889810,1089400761,1979
(주)ES큐브,50120,11-Dec,55477032,45233434,237
(주)ES큐브,50120,12-Dec,46281660,44676182,236
(주)ES큐브,50120,13-Dec,47137573,47509654,100
(주)ES큐브,50120,14-Dec,56611836,44914173,27
(주)ES큐브,50120,15-Dec,55620280,47123684,39
(주)ES큐브,50120,16-Dec,105164626,104459992,30
(주)ES큐브,50120,17-Dec,105892131,104850192,35
(주)ES큐브,50120,18-Dec,112430896,108481764,30
(주)ES큐브,50120,19-Dec,463958680,136065488,30
(주)HJ중공업,97230,11-Dec,7036680000,5857119000,2785
(주)HJ중공업,97230,12-Dec,6585093000,5938108000,2634
(주)HJ중공업,97230,13-Dec,6683379000,5839633000,2758
(주)HJ중공업,97230,14-Dec,6470284000,5469810000,2544
(주)HJ중공업,97230,15-Dec,5914637000,4638381000,2632
(주)HJ중공업,97230,16-Dec,5256464000,3921561000,2473
(주)HJ중공업,97230,17-Dec,4206655000,3312303000,2493
(주)HJ중공업,97230,18-Dec,2733620000,2388369000,2271
(주)HJ중공업,97230,19-Dec,2470222000,2465650000,2016
(주)MH에탄올,23150,11-Dec,134206851,135927085,51
(주)MH에탄올,23150,12-Dec,134385813,139200817,52
(주)MH에탄올,23150,13-Dec,129697936,122520742,51
(주)MH에탄올,23150,14-Dec,85534839,85253876,53
(주)MH에탄올,23150,15-Dec,78996052,78691328,47
(주)MH에탄올,23150,16-Dec,72339673,72025138,43
(주)MH에탄올,23150,17-Dec,500180086,107437079,48
(주)MH에탄올,23150,18-Dec,440177523,109656889,50
(주)MH에탄올,23150,19-Dec,451474451,101058662,47
(주)SH에너지화학,2360,11-Dec,104710740,102383199,109
(주)SH에너지화학,2360,12-Dec,103690070,102492810,112
(주)SH에너지화학,2360,13-Dec,110488951,109984767,116
(주)SH에너지화학,2360,14-Dec,110741407,109098264,140
(주)SH에너지화학,2360,15-Dec,115520726,114048206,146
(주)SH에너지화학,2360,16-Dec,124488724,122956894,148
(주)SH에너지화학,2360,17-Dec,125312154,123261552,148
(주)SH에너지화학,2360,18-Dec,122434685,120895795,156
(주)SH에너지화학,2360,19-Dec,123415832,121126250,158
(주)SIMPAC,9160,11-Dec,310879328,296953131,257
(주)SIMPAC,9160,12-Dec,318665505,307366684,275
(주)SIMPAC,9160,13-Dec,361985890,349836891,277
(주)SIMPAC,9160,14-Dec,381939281,329325876,305
(주)SIMPAC,9160,15-Dec,422833445,369348917,296
(주)SIMPAC,9160,16-Dec,417865468,366245273,306
(주)SIMPAC,9160,17-Dec,381158251,343005145,305
(주)SIMPAC,9160,18-Dec,681750819,628334175,500
(주)SIMPAC,9160,19-Dec,679145850,608693104,491
(주)SNT에너지,100840,11-Dec,,276511841,184
(주)SNT에너지,100840,12-Dec,,292802033,195
(주)SNT에너지,100840,13-Dec,,311675279,209
(주)SNT에너지,100840,14-Dec,,304511816,218
(주)SNT에너지,100840,15-Dec,,316196096,232
(주)SNT에너지,100840,16-Dec,,348042346,218
(주)SNT에너지,100840,17-Dec,,300266693,195
(주)SNT에너지,100840,18-Dec,,280991534,190
(주)SNT에너지,100840,19-Dec,333897235,331391237,191
(주)SNT홀딩스,36530,11-Dec,2124828265,388123974,9
(주)SNT홀딩스,36530,12-Dec,2074903906,388964716,9
(주)SNT홀딩스,36530,13-Dec,2149176237,397336142,8
(주)SNT홀딩스,36530,14-Dec,2039388864,399244416,8
(주)SNT홀딩스,36530,15-Dec,2169311305,430584006,8
(주)SNT홀딩스,36530,16-Dec,2210178425,427001710,8
(주)SNT홀딩스,36530,17-Dec,2146174938,425435423,7
(주)SNT홀딩스,36530,18-Dec,2113834573,422804813,10
(주)SNT홀딩스,36530,19-Dec,2236679025,417172874,10
(주)STX,11810,11-Dec,5234175000,3302248000,392
(주)STX,11810,12-Dec,5067029000,3226878000,375
(주)STX,11810,13-Dec,1342520000,1086567000,177
(주)STX,11810,14-Dec,1255002000,1070433000,124
(주)STX,11810,15-Dec,1267224000,1057543000,127
(주)STX,11810,16-Dec,707709000,627686000,120
(주)STX,11810,17-Dec,627542000,520393000,119
(주)STX,11810,18-Dec,554061000,446758000,110
(주)STX,11810,19-Dec,560107000,462734000,116
(주)TCC스틸,2710,11-Dec,454329510,407743559,315
(주)TCC스틸,2710,12-Dec,547013976,438642951,319
(주)TCC스틸,2710,13-Dec,543708595,444204925,311
(주)TCC스틸,2710,14-Dec,551000563,461297588,306
(주)TCC스틸,2710,15-Dec,376394571,330651742,281
(주)TCC스틸,2710,16-Dec,282914735,250878191,277
(주)TCC스틸,2710,17-Dec,278692540,248896237,283
(주)TCC스틸,2710,18-Dec,304781579,268135677,277
(주)TCC스틸,2710,19-Dec,314210087,270265082,275
(주)가비아,79940,11-Dec,64954440,37295822,191
(주)가비아,79940,12-Dec,85244515,51795749,211
(주)가비아,79940,13-Dec,91231294,52151784,228
(주)가비아,79940,14-Dec,98544072,55984243,247
