회사명,거래소코드,회계년도,재고자산(IFRS연결),유동자산(IFRS연결),유동부채(IFRS연결),재고자산(IFRS개별),유동자산(IFRS개별),유동부채(IFRS개별)
(주)CMG제약,58820,Dec-11,2743103,15341167,7633673,2743103,15264885,0
(주)CMG제약,58820,Dec-12,2955172,47109213,6793095,2955172,47073443,0
(주)CMG제약,58820,Dec-13,4618718,38209699,5500075,4618718,38258866,0
(주)CMG제약,58820,Dec-14,4913103,28300941,8719202,4913103,28359823,0
(주)CMG제약,58820,Dec-15,5455617,26271614,8849994,5455617,26330765,0
(주)CMG제약,58820,Dec-16,6393756,78772201,9136755,6393756,78772201,0
(주)CMG제약,58820,Dec-17,7904518,81227330,10884321,7904518,81227330,0
(주)CMG제약,58820,Dec-18,8572582,81370415,8495060,8572582,81370415,0
(주)CMG제약,58820,Dec-19,9048933,150584066,9306387,9048933,150584066,0
(주)DB하이텍,990,Dec-11,77112663,279725559,794704783,77112663,265976810,0
(주)DB하이텍,990,Dec-12,79262392,309144147,555433290,79262392,303296307,0
(주)DB하이텍,990,Dec-13,72377687,222960700,476867874,72377687,222316934,0
(주)DB하이텍,990,Dec-14,69179569,247582371,376436760,69179569,246306720,0
(주)DB하이텍,990,Dec-15,83459568,337757266,244044785,83459568,334045125,0
(주)DB하이텍,990,Dec-16,76344778,368924211,274231115,76344778,364126852,0
(주)DB하이텍,990,Dec-17,75018890,353662841,145225195,75018890,348507961,0
(주)DB하이텍,990,Dec-18,42891649,383378937,156796450,42891649,380098326,0
(주)DB하이텍,990,Dec-19,51837841,426263421,219715556,51837841,422531166,0
(주)ES큐브,50120,Dec-11,5312339,34078195,14801430,383848,18786276,0
(주)ES큐브,50120,Dec-12,4844206,22707006,4802996,410944,15631243,0
(주)ES큐브,50120,Dec-13,6264936,38357211,3630549,426328,32518902,0
(주)ES큐브,50120,Dec-14,6084161,46214758,6002775,264950,21477612,0
(주)ES큐브,50120,Dec-15,6783417,41180599,5378364,397788,22590313,0
(주)ES큐브,50120,Dec-16,7447857,50885945,3406254,420745,43388800,0
(주)ES큐브,50120,Dec-17,8346570,51038158,3702478,408271,44761949,0
(주)ES큐브,50120,Dec-18,9236879,45061626,37613190,560371,29054833,0
(주)ES큐브,50120,Dec-19,7648032,359030693,230135454,468610,24298462,0
(주)HJ중공업,97230,Dec-11,360584000,2391530000,2482598000,183693000,2183437000,0
(주)HJ중공업,97230,Dec-12,223809000,2274211000,2448324000,163272000,2419666000,0
(주)HJ중공업,97230,Dec-13,601781000,2788908000,3284862000,489464000,1949615000,0
(주)HJ중공업,97230,Dec-14,655829000,2647534000,2843001000,459613000,1858441000,0
(주)HJ중공업,97230,Dec-15,873978000,2429499000,3430218000,721779000,1622994000,0
(주)HJ중공업,97230,Dec-16,675011000,2372221000,2636927000,518530000,1709538000,0
(주)HJ중공업,97230,Dec-17,709533000,1894161000,3329421000,655299000,1390569000,0
(주)HJ중공업,97230,Dec-18,519198000,1720906000,2140149000,519388000,1382999000,0
(주)HJ중공업,97230,Dec-19,363759000,1300538000,1845223000,363759000,1299550000,0
(주)MH에탄올,23150,Dec-11,9734817,45677724,78266518,4542443,26253473,0
(주)MH에탄올,23150,Dec-12,20566965,50009828,81625166,5306016,23099890,0
(주)MH에탄올,23150,Dec-13,12486229,43178092,75260635,6094594,25868582,0
(주)MH에탄올,23150,Dec-14,6986598,28731429,31619269,6986598,28019052,0
(주)MH에탄올,23150,Dec-15,3603074,22500870,20538639,3603074,21758814,0
(주)MH에탄올,23150,Dec-16,5538540,19709368,7640748,5538540,18955978,0
