회사명,거래소코드,회계년도,재고자산(IFRS연결),유동자산(IFRS연결),재고자산(IFRS개별),유동자산(IFRS개별)
(주)CMG제약,58820,Dec-11,2743103,15341167,2743103,15264885
(주)CMG제약,58820,Dec-12,2955172,47109213,2955172,47073443
(주)CMG제약,58820,Dec-13,4618718,38209699,4618718,38258866
(주)CMG제약,58820,Dec-14,4913103,28300941,4913103,28359823
(주)CMG제약,58820,Dec-15,5455617,26271614,5455617,26330765
(주)CMG제약,58820,Dec-16,6393756,78772201,6393756,78772201
(주)CMG제약,58820,Dec-17,7904518,81227330,7904518,81227330
(주)CMG제약,58820,Dec-18,8572582,81370415,8572582,81370415
(주)CMG제약,58820,Dec-19,9048933,150584066,9048933,150584066
(주)DB하이텍,990,Dec-11,77112663,279725559,77112663,265976810
(주)DB하이텍,990,Dec-12,79262392,309144147,79262392,303296307
(주)DB하이텍,990,Dec-13,72377687,222960700,72377687,222316934
(주)DB하이텍,990,Dec-14,69179569,247582371,69179569,246306720
(주)DB하이텍,990,Dec-15,83459568,337757266,83459568,334045125
(주)DB하이텍,990,Dec-16,76344778,368924211,76344778,364126852
(주)DB하이텍,990,Dec-17,75018890,353662841,75018890,348507961
(주)DB하이텍,990,Dec-18,42891649,383378937,42891649,380098326
(주)DB하이텍,990,Dec-19,51837841,426263421,51837841,422531166
(주)ES큐브,50120,Dec-11,5312339,34078195,383848,18786276
(주)ES큐브,50120,Dec-12,4844206,22707006,410944,15631243
(주)ES큐브,50120,Dec-13,6264936,38357211,426328,32518902
(주)ES큐브,50120,Dec-14,6084161,46214758,264950,21477612
(주)ES큐브,50120,Dec-15,6783417,41180599,397788,22590313
(주)ES큐브,50120,Dec-16,7447857,50885945,420745,43388800
(주)ES큐브,50120,Dec-17,8346570,51038158,408271,44761949
(주)ES큐브,50120,Dec-18,9236879,45061626,560371,29054833
(주)ES큐브,50120,Dec-19,7648032,359030693,468610,24298462
(주)HJ중공업,97230,Dec-11,360584000,2391530000,183693000,2183437000
(주)HJ중공업,97230,Dec-12,223809000,2274211000,163272000,2419666000
(주)HJ중공업,97230,Dec-13,601781000,2788908000,489464000,1949615000
(주)HJ중공업,97230,Dec-14,655829000,2647534000,459613000,1858441000
(주)HJ중공업,97230,Dec-15,873978000,2429499000,721779000,1622994000
(주)HJ중공업,97230,Dec-16,675011000,2372221000,518530000,1709538000
(주)HJ중공업,97230,Dec-17,709533000,1894161000,655299000,1390569000
(주)HJ중공업,97230,Dec-18,519198000,1720906000,519388000,1382999000
(주)HJ중공업,97230,Dec-19,363759000,1300538000,363759000,1299550000
