회사명,거래소코드,회계년도,당기재고자산(IFRS연결),전기재고자산(IFRS연결),당기재고자산(IFRS개별),전기재고자산(IFRS개별)
(주)CMG제약,58820,Dec-11,2743103,2743103,2743103,2743103
(주)CMG제약,58820,Dec-12,2955172,2955172,2955172,2955172
(주)CMG제약,58820,Dec-13,4618718,4618718,4618718,4618718
(주)CMG제약,58820,Dec-14,4913103,4913103,4913103,4913103
(주)CMG제약,58820,Dec-15,5455617,5455617,5455617,5455617
(주)CMG제약,58820,Dec-16,6393756,6393756,6393756,6393756
(주)CMG제약,58820,Dec-17,7904518,7904518,7904518,7904518
(주)CMG제약,58820,Dec-18,8572582,8572582,8572582,8572582
(주)CMG제약,58820,Dec-19,9048933,,9048933,9048933
(주)DB하이텍,990,Dec-11,77112663,77112663,77112663,77112663
(주)DB하이텍,990,Dec-12,79262392,79262392,79262392,79262392
(주)DB하이텍,990,Dec-13,72377687,72377687,72377687,72377687
(주)DB하이텍,990,Dec-14,69179569,69179569,69179569,69179569
(주)DB하이텍,990,Dec-15,83459568,83459568,83459568,83459568
(주)DB하이텍,990,Dec-16,76344778,76344778,76344778,76344778
(주)DB하이텍,990,Dec-17,75018890,75018890,75018890,75018890
(주)DB하이텍,990,Dec-18,42891649,42891649,42891649,42891649
(주)DB하이텍,990,Dec-19,51837841,51837841,51837841,51837841
(주)ES큐브,50120,Dec-11,5312339,5312339,383848,383848
(주)ES큐브,50120,Dec-12,4844206,4844206,410944,410944
(주)ES큐브,50120,Dec-13,6264936,6264936,426328,426328
(주)ES큐브,50120,Dec-14,6084161,6084161,264950,264950
(주)ES큐브,50120,Dec-15,6783417,6783417,397788,397788
(주)ES큐브,50120,Dec-16,7447857,7447857,420745,420745
(주)ES큐브,50120,Dec-17,8346570,8346570,408271,408271
(주)ES큐브,50120,Dec-18,9236879,9236879,560371,560371
(주)ES큐브,50120,Dec-19,7648032,7648032,468610,468610
(주)HJ중공업,97230,Dec-11,360584000,360584000,183693000,183693000
(주)HJ중공업,97230,Dec-12,223809000,223809000,163272000,163272000
(주)HJ중공업,97230,Dec-13,601781000,601781000,489464000,489464000
(주)HJ중공업,97230,Dec-14,655829000,655829000,459613000,459613000
(주)HJ중공업,97230,Dec-15,873978000,873978000,721779000,721779000
(주)HJ중공업,97230,Dec-16,675011000,675011000,518530000,518530000
(주)HJ중공업,97230,Dec-17,709533000,709533000,655299000,655299000
(주)HJ중공업,97230,Dec-18,519198000,519198000,519388000,519388000
(주)HJ중공업,97230,Dec-19,363759000,363759000,363759000,363759000
(주)MH에탄올,23150,Dec-11,9734817,9734817,4542443,4542443
(주)MH에탄올,23150,Dec-12,20566965,20566965,5306016,5306016
(주)MH에탄올,23150,Dec-13,12486229,12486229,6094594,6094594
(주)MH에탄올,23150,Dec-14,6986598,6986598,6986598,6986598
(주)MH에탄올,23150,Dec-15,3603074,3603074,3603074,3603074
(주)MH에탄올,23150,Dec-16,5538540,5538540,5538540,5538540
(주)MH에탄올,23150,Dec-17,5608722,5608722,5502545,5502545
(주)MH에탄올,23150,Dec-18,6538026,6538026,6430326,6430326
(주)MH에탄올,23150,Dec-19,8173323,8173323,8081383,8081383
(주)SH에너지화학,2360,Dec-11,11114123,11114123,11114123,11114123
(주)SH에너지화학,2360,Dec-12,14210523,14210523,14210523,14210523
(주)SH에너지화학,2360,Dec-13,11944305,11944305,11944305,11944305
(주)SH에너지화학,2360,Dec-14,13898172,13898172,13898172,13898172
(주)SH에너지화학,2360,Dec-15,11899473,11899473,11416122,11416122
(주)SH에너지화학,2360,Dec-16,11572141,11572141,10801243,10801243
(주)SH에너지화학,2360,Dec-17,19985599,19985599,18561488,18561488
(주)SH에너지화학,2360,Dec-18,22253999,22253999,20857092,20857092
(주)SH에너지화학,2360,Dec-19,16753438,16753438,15888341,15888341
(주)SIMPAC,9160,Dec-11,26468261,26468261,26353233,26353233
(주)SIMPAC,9160,Dec-12,25350698,,25281451,25281451
(주)SIMPAC,9160,Dec-13,25646140,25646140,25606746,25606746
(주)SIMPAC,9160,Dec-14,40715808,40715808,31897827,31897827
(주)SIMPAC,9160,Dec-15,56208760,56208760,48860928,48860928
(주)SIMPAC,9160,Dec-16,45959349,45959349,41542910,41542910
(주)SIMPAC,9160,Dec-17,39255148,39255148,34297232,34297232
(주)SIMPAC,9160,Dec-18,110042965,110042965,103871365,103871365
(주)SIMPAC,9160,Dec-19,88166502,88166502,69944925,69944925
(주)SNT에너지,100840,Dec-11,,,15421719,15421719
(주)SNT에너지,100840,Dec-12,,,17407006,17407006
(주)SNT에너지,100840,Dec-13,,,17793150,17793150
(주)SNT에너지,100840,Dec-14,,,17747389,17747389
(주)SNT에너지,100840,Dec-15,,,10693980,10693980
(주)SNT에너지,100840,Dec-16,,,6779276,6779276
(주)SNT에너지,100840,Dec-17,,,2324389,2324389
(주)SNT에너지,100840,Dec-18,,5692284,5692284,5692284
(주)SNT에너지,100840,Dec-19,10208805,10208805,10124894,10124894
(주)SNT홀딩스,36530,Dec-11,274834022,274834022,0,0
(주)SNT홀딩스,36530,Dec-12,280540811,280540811,0,0
(주)SNT홀딩스,36530,Dec-13,311174402,311174402,0,0
(주)SNT홀딩스,36530,Dec-14,283952471,283952471,0,0
(주)SNT홀딩스,36530,Dec-15,268780766,268780766,0,0
(주)SNT홀딩스,36530,Dec-16,236908975,236908975,0,0
(주)SNT홀딩스,36530,Dec-17,215870141,215870141,0,0
(주)SNT홀딩스,36530,Dec-18,220256725,220256725,0,0
(주)SNT홀딩스,36530,Dec-19,229809615,229809615,0,0
(주)STX,11810,Dec-11,315306000,315306000,240418000,240418000
(주)STX,11810,Dec-12,182590000,182590000,108537000,108537000
(주)STX,11810,Dec-13,94076000,94076000,47749000,47749000
(주)STX,11810,Dec-14,207648000,207648000,148535000,148535000
