회사명,거래소코드,회계년도,매출액(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),재고자산(IFRS개별)
(주)CMG제약,58820,Dec-11,17751704,2743103,17751704,2743103
(주)CMG제약,58820,Dec-12,16255389,2955172,16255389,2955172
(주)CMG제약,58820,Dec-13,20402140,4618718,20322140,4618718
(주)CMG제약,58820,Dec-14,22752584,4913103,22752584,4913103
(주)CMG제약,58820,Dec-15,27041894,5455617,27041894,5455617
(주)CMG제약,58820,Dec-16,32969825,6393756,32969825,6393756
(주)CMG제약,58820,Dec-17,41535588,7904518,41535588,7904518
(주)CMG제약,58820,Dec-18,49864782,8572582,49864782,8572582
(주)CMG제약,58820,Dec-19,58622681,9048933,58622681,9048933
(주)DB하이텍,990,Dec-11,552216245,77112663,534317238,77112663
(주)DB하이텍,990,Dec-12,590786488,79262392,583901597,79262392
(주)DB하이텍,990,Dec-13,493752028,72377687,493752028,72377687
(주)DB하이텍,990,Dec-14,567718224,69179569,567718224,69179569
(주)DB하이텍,990,Dec-15,666594987,83459568,666594987,83459568
(주)DB하이텍,990,Dec-16,773140180,76344778,773140180,76344778
(주)DB하이텍,990,Dec-17,679737744,75018890,679737744,75018890
(주)DB하이텍,990,Dec-18,669279136,42891649,669279136,42891649
(주)DB하이텍,990,Dec-19,807416423,51837841,807416423,51837841
(주)ES큐브,50120,Dec-11,53379952,5312339,41700477,383848
(주)ES큐브,50120,Dec-12,55971147,4844206,44178050,410944
(주)ES큐브,50120,Dec-13,58597361,6264936,45823196,426328
(주)ES큐브,50120,Dec-14,44459581,6084161,37188072,264950
(주)ES큐브,50120,Dec-15,42152967,6783417,36887119,397788
(주)ES큐브,50120,Dec-16,34289385,7447857,34818205,420745
(주)ES큐브,50120,Dec-17,35745794,8346570,37104908,408271
(주)ES큐브,50120,Dec-18,33763508,9236879,31308873,560371
(주)ES큐브,50120,Dec-19,43708239,7648032,28527284,468610
(주)HJ중공업,97230,Dec-11,2891499000,360584000,2316017000,183693000
(주)HJ중공업,97230,Dec-12,2549319000,223809000,1980761000,163272000
(주)HJ중공업,97230,Dec-13,2529341000,601781000,1927307000,489464000
(주)HJ중공업,97230,Dec-14,2520325000,655829000,1799016000,459613000
(주)HJ중공업,97230,Dec-15,3115473000,873978000,2041347000,721779000
(주)HJ중공업,97230,Dec-16,2813271000,675011000,1928591000,518530000
(주)HJ중공업,97230,Dec-17,2452314000,709533000,1737428000,655299000
(주)HJ중공업,97230,Dec-18,1697869000,519198000,1750954000,519388000
(주)HJ중공업,97230,Dec-19,1628751000,363759000,1609530000,363759000
(주)MH에탄올,23150,Dec-11,44785159,9734817,43206995,4542443
(주)MH에탄올,23150,Dec-12,59768175,20566965,45488675,5306016
(주)MH에탄올,23150,Dec-13,62199887,12486229,46298516,6094594
(주)MH에탄올,23150,Dec-14,48983781,6986598,48983781,6986598
(주)MH에탄올,23150,Dec-15,50386203,3603074,50386203,3603074
(주)MH에탄올,23150,Dec-16,48897025,5538540,48897025,5538540
(주)MH에탄올,23150,Dec-17,51977132,5608722,48270464,5502545
(주)MH에탄올,23150,Dec-18,72795863,6538026,46943080,6430326
(주)MH에탄올,23150,Dec-19,80879342,8173323,46992295,8081383
(주)SH에너지화학,2360,Dec-11,173209351,11114123,172752632,11114123
(주)SH에너지화학,2360,Dec-12,193950102,14210523,191907628,14210523
(주)SH에너지화학,2360,Dec-13,231912218,11944305,229783541,11944305
(주)SH에너지화학,2360,Dec-14,230912587,13898172,226971465,13898172
(주)SH에너지화학,2360,Dec-15,216441364,11899473,213882181,11416122
(주)SH에너지화학,2360,Dec-16,218397677,11572141,214380015,10801243
(주)SH에너지화학,2360,Dec-17,188114822,19985599,184672638,18561488
(주)SH에너지화학,2360,Dec-18,183598766,22253999,180753289,20857092
(주)SH에너지화학,2360,Dec-19,140852575,16753438,138161816,15888341
(주)SIMPAC,9160,Dec-11,215365697,26468261,213867522,26353233
(주)SIMPAC,9160,Dec-12,225353321,25350698,223854758,25281451
(주)SIMPAC,9160,Dec-13,205751154,25646140,204527751,25606746
(주)SIMPAC,9160,Dec-14,263152264,40715808,227491803,31897827
(주)SIMPAC,9160,Dec-15,269528038,56208760,213152303,48860928
(주)SIMPAC,9160,Dec-16,267074156,45959349,215839356,41542910
(주)SIMPAC,9160,Dec-17,230634812,39255148,203150228,34297232
(주)SIMPAC,9160,Dec-18,306150809,110042965,268863854,103871365
(주)SIMPAC,9160,Dec-19,430085162,88166502,391970769,69944925
(주)SNT에너지,100840,Dec-11,,,195318747,15421719
(주)SNT에너지,100840,Dec-12,,,230707564,17407006
(주)SNT에너지,100840,Dec-13,,,200750984,17793150
(주)SNT에너지,100840,Dec-14,,,242746888,17747389
(주)SNT에너지,100840,Dec-15,,,260094045,10693980
(주)SNT에너지,100840,Dec-16,,,254089906,6779276
(주)SNT에너지,100840,Dec-17,,,184091945,2324389
(주)SNT에너지,100840,Dec-18,,,139516396,5692284
(주)SNT에너지,100840,Dec-19,213326726,10208805,202822913,10124894
(주)SNT홀딩스,36530,Dec-11,1663846065,274834022,2257851,0
(주)SNT홀딩스,36530,Dec-12,1668749904,280540811,8718270,0
(주)SNT홀딩스,36530,Dec-13,1576368464,311174402,8826810,0
(주)SNT홀딩스,36530,Dec-14,1552374806,283952471,7701882,0
(주)SNT홀딩스,36530,Dec-15,1612746929,268780766,8475099,0
(주)SNT홀딩스,36530,Dec-16,1537700275,236908975,9818190,0
(주)SNT홀딩스,36530,Dec-17,1508152132,215870141,7417869,0
(주)SNT홀딩스,36530,Dec-18,1401307482,220256725,7292112,0
(주)SNT홀딩스,36530,Dec-19,1512114565,229809615,11015928,0
(주)STX,11810,Dec-11,5967701000,315306000,4173397000,240418000
(주)STX,11810,Dec-12,6159850000,182590000,4116767000,108537000
(주)STX,11810,Dec-13,2449401000,94076000,1895063000,47749000
(주)STX,11810,Dec-14,1634606000,207648000,1291351000,148535000
(주)STX,11810,Dec-15,1630827000,316312000,1362127000,143454000
(주)STX,11810,Dec-16,1720153000,226131000,1465561000,139765000
(주)STX,11810,Dec-17,1803878000,181620000,1595494000,103343000
(주)STX,11810,Dec-18,1502985000,129417000,1329890000,89120000
(주)STX,11810,Dec-19,1471164000,118778000,1237876000,89664000
(주)TCC스틸,2710,Dec-11,514424043,79633257,456928069,76580688
(주)TCC스틸,2710,Dec-12,501337475,100648536,440568155,75866000
(주)TCC스틸,2710,Dec-13,500832754,117184576,419483813,62722660
(주)TCC스틸,2710,Dec-14,518995240,124343812,401323585,59114758
(주)TCC스틸,2710,Dec-15,495795871,48965898,350074629,45683627
(주)TCC스틸,2710,Dec-16,444453635,51850499,317235565,44890754
(주)TCC스틸,2710,Dec-17,391370092,52771855,333762378,48077587
(주)TCC스틸,2710,Dec-18,413176279,69197191,351301866,62280830
(주)TCC스틸,2710,Dec-19,437173902,72619098,339334364,67392895
(주)가비아,79940,Dec-11,52838864,14450,33792831,14450
(주)가비아,79940,Dec-12,69058144,248459,38482449,92459
(주)가비아,79940,Dec-13,70675565,93612,40507693,81039
(주)가비아,79940,Dec-14,80432047,0,43906243,0
(주)가비아,79940,Dec-15,91648622,0,48446932,0
(주)가비아,79940,Dec-16,102178978,1363738,49430564,0
(주)가비아,79940,Dec-17,116217941,1675464,52365659,0
(주)가비아,79940,Dec-18,128728438,1982294,55197652,0
(주)가비아,79940,Dec-19,148306878,2643604,58254105,0
(주)강스템바이오텍,217730,Dec-15,,,1484593,334913
(주)강스템바이오텍,217730,Dec-16,,,842805,582808
