회사명,거래소코드,회계년도,장기차입금(IFRS연결),단기차입금(IFRS연결),사채(IFRS연결),자산(IFRS연결),장기차입금(IFRS연결),단기차입금(IFRS연결),사채(IFRS연결),자산(IFRS연결)
(주)CMG제약,58820,Dec-11,0,0,478017,27305198,0,2134049,478017,27548539
(주)CMG제약,58820,Dec-12,0,100000,17362365,57108035,0,2132612,17362365,56988604
(주)CMG제약,58820,Dec-13,0,0,1415206,55912563,0,0,1415206,55961620
(주)CMG제약,58820,Dec-14,0,5451,0,58068326,0,0,0,58127098
(주)CMG제약,58820,Dec-15,0,6273,0,56532821,0,0,0,56591972
(주)CMG제약,58820,Dec-16,0,0,0,110979867,0,0,0,110979867
(주)CMG제약,58820,Dec-17,0,0,0,109568153,0,0,0,109568153
(주)CMG제약,58820,Dec-18,0,0,0,114379880,0,0,0,114379880
(주)CMG제약,58820,Dec-19,0,0,0,192243166,0,0,0,192243166
(주)DB하이텍,990,Dec-11,0,5398046,0,1199043869,0,5398045,0,1183957429
(주)DB하이텍,990,Dec-12,214817416,5141640,0,1157755031,214817416,5141640,0,1149069244
(주)DB하이텍,990,Dec-13,276846544,6452198,0,1058391832,276846544,6452198,0,1049494642
(주)DB하이텍,990,Dec-14,391619824,7547468,0,984876636,391619824,7547468,0,1001959816
(주)DB하이텍,990,Dec-15,399748737,5218930,0,984643712,399748737,5218929,0,1005673854
(주)DB하이텍,990,Dec-16,282487037,15253525,0,986788572,282487037,15253525,0,1006370876
(주)DB하이텍,990,Dec-17,315595985,11286143,0,993950720,315595985,11286143,0,977575054
(주)DB하이텍,990,Dec-18,277380073,15890934,0,1066533840,277380073,15890934,0,1050696487
(주)DB하이텍,990,Dec-19,179746294,30550406,0,1088889810,179746294,30550406,0,1089400761
(주)ES큐브,50120,Dec-11,0,100000,0,55477032,0,0,0,45233434
(주)ES큐브,50120,Dec-12,0,153555,0,46281660,0,0,0,44676182
(주)ES큐브,50120,Dec-13,0,152765,0,47137573,0,0,0,47509654
(주)ES큐브,50120,Dec-14,0,568302,0,56611836,0,0,0,44914173
(주)ES큐브,50120,Dec-15,0,0,0,55620280,0,0,0,47123684
(주)ES큐브,50120,Dec-16,28600000,0,0,105164626,28600000,0,0,104459992
(주)ES큐브,50120,Dec-17,27400000,0,0,105892131,27400000,0,0,104850192
(주)ES큐브,50120,Dec-18,2100000,0,0,112430896,2100000,0,0,108481764
(주)ES큐브,50120,Dec-19,24900000,2726000,0,463958680,24900000,0,0,136065488
(주)HJ중공업,97230,Dec-11,677057000,410598000,1616385000,7036680000,178967000,364466000,1616385000,5857119000
(주)HJ중공업,97230,Dec-12,777978000,354648000,1223555000,6585093000,315044000,311804000,1223555000,5938108000
(주)HJ중공업,97230,Dec-13,793546000,534025000,522765000,6683379000,588662000,291859000,522765000,5839633000
(주)HJ중공업,97230,Dec-14,1458914000,489339000,250000000,6470284000,904138000,318982000,250000000,5469810000
(주)HJ중공업,97230,Dec-15,628609000,660354000,150000000,5914637000,224253000,529090000,150000000,4638381000
(주)HJ중공업,97230,Dec-16,1269833000,514563000,193711000,5256464000,970466000,167724000,193711000,3921561000
(주)HJ중공업,97230,Dec-17,82638000,243789000,0,4206655000,5497000,105621000,0,3312303000
(주)HJ중공업,97230,Dec-18,1140191000,104816000,25000000,2733620000,1140192000,104816000,25000000,2388369000
(주)HJ중공업,97230,Dec-19,3927000,0,0,2470222000,3927000,0,0,2465650000
(주)MH에탄올,23150,Dec-11,8088960,0,0,134206851,8088960,63015867,0,135927085
(주)MH에탄올,23150,Dec-12,7613360,68371514,0,134385813,7613360,64484158,0,139200817
(주)MH에탄올,23150,Dec-13,8166707,64376121,0,129697936,7181760,62912838,0,122520742
(주)MH에탄올,23150,Dec-14,732160,28450064,0,85534839,732160,28450064,0,85253876
(주)MH에탄올,23150,Dec-15,484060,18000000,0,78996052,484060,18000000,0,78691328
(주)MH에탄올,23150,Dec-16,348460,5000000,0,72339673,348460,5000000,0,72025138
(주)MH에탄올,23150,Dec-17,169747422,41603421,0,500180086,25212860,11203421,0,107437079
(주)MH에탄올,23150,Dec-18,163785632,45739383,0,440177523,25077260,10482447,0,109656889
(주)MH에탄올,23150,Dec-19,31219687,46242628,0,451474451,25000000,10692858,0,101058662
(주)SH에너지화학,2360,Dec-11,181920,28921046,0,104710740,181920,28921046,0,102383199
(주)SH에너지화학,2360,Dec-12,4000000,24066914,0,103690070,4000000,24066914,0,102492810
(주)SH에너지화학,2360,Dec-13,500000,26982012,0,110488951,500000,26982012,0,109984767
(주)SH에너지화학,2360,Dec-14,0,9568698,0,110741407,0,9568698,0,109098264
(주)SH에너지화학,2360,Dec-15,0,6881833,0,115520726,0,6823233,0,114048206
(주)SH에너지화학,2360,Dec-16,0,3560425,0,124488724,0,3500000,0,122956894
(주)SH에너지화학,2360,Dec-17,0,3553570,0,125312154,0,3500000,0,123261552
(주)SH에너지화학,2360,Dec-18,0,3500000,0,122434685,0,3500000,0,120895795
(주)SH에너지화학,2360,Dec-19,4800000,3500000,0,123415832,4800000,3500000,0,121126250
(주)SIMPAC,9160,Dec-11,10000000,33556016,0,310879328,10000000,33556016,0,296953131
(주)SIMPAC,9160,Dec-12,10000000,30338486,0,318665505,10000000,30338486,0,307366684
(주)SIMPAC,9160,Dec-13,6666640,57162310,0,361985890,6666640,57162310,0,349836891
(주)SIMPAC,9160,Dec-14,2499990,35004397,0,381939281,2499990,25004397,0,329325876
(주)SIMPAC,9160,Dec-15,220000,50481896,0,422833445,0,40000000,0,369348917
(주)SIMPAC,9160,Dec-16,220000,24590628,0,417865468,0,10000000,0,366245273
(주)SIMPAC,9160,Dec-17,178750,20000000,0,381158251,0,15000000,0,343005145
