회사명,거래소코드,회계년도,이자비용(IFRS연결),장기차입금(IFRS연결),단기차입금(IFRS연결),회사채(IFRS연결),이자비용(IFRS개별),장기차입금(IFRS개별),단기차입금(IFRS개별),회사채(IFRS개별)
(주)CMG제약,58820,Dec-11,0,0,0,0,0,0,2134049,0
(주)CMG제약,58820,Dec-12,0,0,100000,0,0,0,2132612,0
(주)CMG제약,58820,Dec-13,0,0,0,0,0,0,0,0
(주)CMG제약,58820,Dec-14,0,0,5451,0,0,0,0,0
(주)CMG제약,58820,Dec-15,0,0,6273,0,0,0,0,0
(주)CMG제약,58820,Dec-16,0,0,0,0,0,0,0,0
(주)CMG제약,58820,Dec-17,0,0,0,0,0,0,0,0
(주)CMG제약,58820,Dec-18,0,0,0,0,0,0,0,0
(주)CMG제약,58820,Dec-19,0,0,0,0,0,0,0,0
(주)DB하이텍,990,Dec-11,0,0,5398046,0,0,0,5398045,0
(주)DB하이텍,990,Dec-12,0,214817416,5141640,0,0,214817416,5141640,0
(주)DB하이텍,990,Dec-13,0,276846544,6452198,0,0,276846544,6452198,0
(주)DB하이텍,990,Dec-14,0,391619824,7547468,0,0,391619824,7547468,0
(주)DB하이텍,990,Dec-15,0,399748737,5218930,0,0,399748737,5218929,0
(주)DB하이텍,990,Dec-16,0,282487037,15253525,0,0,282487037,15253525,0
(주)DB하이텍,990,Dec-17,0,315595985,11286143,0,0,315595985,11286143,0
(주)DB하이텍,990,Dec-18,0,277380073,15890934,0,0,277380073,15890934,0
(주)DB하이텍,990,Dec-19,0,179746294,30550406,0,0,179746294,30550406,0
(주)ES큐브,50120,Dec-11,0,0,100000,0,0,0,0,0
(주)ES큐브,50120,Dec-12,0,0,153555,0,0,0,0,0
(주)ES큐브,50120,Dec-13,0,0,152765,0,0,0,0,0
(주)ES큐브,50120,Dec-14,0,0,568302,0,0,0,0,0
(주)ES큐브,50120,Dec-15,0,0,0,0,0,0,0,0
(주)ES큐브,50120,Dec-16,0,28600000,0,0,0,28600000,0,0
(주)ES큐브,50120,Dec-17,0,27400000,0,0,0,27400000,0,0
(주)ES큐브,50120,Dec-18,0,2100000,0,0,0,2100000,0,0
(주)ES큐브,50120,Dec-19,0,24900000,2726000,0,0,24900000,0,0
(주)HJ중공업,97230,Dec-11,0,677057000,410598000,0,0,178967000,364466000,0
(주)HJ중공업,97230,Dec-12,0,777978000,354648000,0,0,315044000,311804000,0
(주)HJ중공업,97230,Dec-13,0,793546000,534025000,0,0,588662000,291859000,0
(주)HJ중공업,97230,Dec-14,0,1458914000,489339000,0,0,904138000,318982000,0
(주)HJ중공업,97230,Dec-15,0,628609000,660354000,0,0,224253000,529090000,0
(주)HJ중공업,97230,Dec-16,0,1269833000,514563000,0,0,970466000,167724000,0
(주)HJ중공업,97230,Dec-17,0,82638000,243789000,0,0,5497000,105621000,0
(주)HJ중공업,97230,Dec-18,0,1140191000,104816000,0,0,1140192000,104816000,0
(주)HJ중공업,97230,Dec-19,0,3927000,0,0,0,3927000,0,0
(주)MH에탄올,23150,Dec-11,0,8088960,0,0,0,8088960,63015867,0
(주)MH에탄올,23150,Dec-12,0,7613360,68371514,0,0,7613360,64484158,0
(주)MH에탄올,23150,Dec-13,0,8166707,64376121,0,0,7181760,62912838,0
(주)MH에탄올,23150,Dec-14,0,732160,28450064,0,0,732160,28450064,0
(주)MH에탄올,23150,Dec-15,0,484060,18000000,0,0,484060,18000000,0
(주)MH에탄올,23150,Dec-16,0,348460,5000000,0,0,348460,5000000,0
(주)MH에탄올,23150,Dec-17,0,169747422,41603421,0,0,25212860,11203421,0
(주)MH에탄올,23150,Dec-18,0,163785632,45739383,0,0,25077260,10482447,0
(주)MH에탄올,23150,Dec-19,0,31219687,46242628,0,0,25000000,10692858,0
(주)SH에너지화학,2360,Dec-11,0,181920,28921046,0,0,181920,28921046,0
(주)SH에너지화학,2360,Dec-12,0,4000000,24066914,0,0,4000000,24066914,0
