회사명,거래소코드,회계년도,당기순이익(IFRS연결),당기자본(IFRS연결),전기자본(IFRS연결),당기순이익(IFRS개별),당기자본(IFRS개별),전기자본(IFRS개별)
(주)CMG제약,58820,Dec-11,-1508282,18034249,18034249,-1264488,18290915,18290915
(주)CMG제약,58820,Dec-12,-6660149,31590685,31590685,-6892739,31602540,31602540
(주)CMG제약,58820,Dec-13,296181,48997281,48997281,335258,49048213,49048213
(주)CMG제약,58820,Dec-14,158039,49002644,49002644,171502,49067039,49067039
(주)CMG제약,58820,Dec-15,-3650091,46806888,46806888,-3648668,46872705,46872705
(주)CMG제약,58820,Dec-16,1727895,101107635,94895419,1693463,101107635,94895419
(주)CMG제약,58820,Dec-17,2834901,97944019,97944019,2834901,97944019,97944019
(주)CMG제약,58820,Dec-18,6065026,103981846,103981846,6065026,103981846,103981846
(주)CMG제약,58820,Dec-19,3051177,180158283,,3051177,180158283,180158283
(주)DB하이텍,990,Dec-11,-97946584,308061688,308061688,-93084414,291709498,291709498
(주)DB하이텍,990,Dec-12,-31341318,290893335,290893335,-32121504,274553219,274553219
(주)DB하이텍,990,Dec-13,-83046768,204756748,204756748,-73243309,197287466,197287466
(주)DB하이텍,990,Dec-14,-77008844,120702734,120702734,-58319918,136104062,136104062
(주)DB하이텍,990,Dec-15,126733352,254057491,254057491,127469869,277662952,277662952
(주)DB하이텍,990,Dec-16,88344018,341917315,341917315,88002359,364450453,364450453
(주)DB하이텍,990,Dec-17,110175089,455797946,455797946,74401732,441546809,441546809
(주)DB하이텍,990,Dec-18,86828768,558391531,558391531,95087399,542557222,542557222
(주)DB하이텍,990,Dec-19,104637012,644650730,644650730,121159865,645305205,645305205
(주)ES큐브,50120,Dec-11,-4796438,39245830,39245830,-2933429,39144414,39144414
(주)ES큐브,50120,Dec-12,-359216,39859681,39859681,516857,39881477,39881477
(주)ES큐브,50120,Dec-13,-16455910,42372440,42372440,-14749080,43712820,43712820
(주)ES큐브,50120,Dec-14,-615409,49628091,49628091,-2412385,41226335,41226335
(주)ES큐브,50120,Dec-15,-2307159,49654460,49654460,3610344,44872641,44872641
(주)ES큐브,50120,Dec-16,21541047,71696122,71696122,17469014,69832373,69832373
(주)ES큐브,50120,Dec-17,1737925,72816880,72816880,1218923,71398467,71398467
(주)ES큐브,50120,Dec-18,-6121462,70748607,70748607,-3836071,66518631,66518631
(주)ES큐브,50120,Dec-19,-13767748,74038512,74038512,-12738710,53986331,53986331
(주)HJ중공업,97230,Dec-11,-96920000,1866848000,1866848000,-116272000,1874877000,1874877000
(주)HJ중공업,97230,Dec-12,-53214000,1715516000,1715516000,13082000,1863529000,1863529000
(주)HJ중공업,97230,Dec-13,-190193000,1638998000,1638998000,-212716000,1804609000,1804609000
(주)HJ중공업,97230,Dec-14,-299811000,1573076000,1573076000,-225739000,1761886000,1582996000
(주)HJ중공업,97230,Dec-15,-260925000,1368589000,1178036000,-260118000,1377529000,1186973000
(주)HJ중공업,97230,Dec-16,-334446000,895183000,917608000,-334429000,904150000,926577000
(주)HJ중공업,97230,Dec-17,-277978000,577198000,577198000,-299028000,563410000,563410000
(주)HJ중공업,97230,Dec-18,-1283647000,-708186000,-708186000,-963474000,-398930000,-398930000
(주)HJ중공업,97230,Dec-19,306169000,244994000,244994000,-73654000,247272000,247272000
(주)MH에탄올,23150,Dec-11,-4357312,42667338,42667338,3351943,56161251,56161251
(주)MH에탄올,23150,Dec-12,287369,39678259,39678259,2571700,58712944,58712944
(주)MH에탄올,23150,Dec-13,7028234,45885523,45885523,-11627211,47119925,47119925
(주)MH에탄올,23150,Dec-14,-203193,52788681,52788681,4618332,52507884,52507884
(주)MH에탄올,23150,Dec-15,7778593,57884347,57884347,7744832,57569789,57569789
(주)MH에탄올,23150,Dec-16,8144684,63581883,63581883,8134873,63257513,63257513
(주)MH에탄올,23150,Dec-17,4308068,106837344,106837344,5903108,64698932,64698932
(주)MH에탄올,23150,Dec-18,-12033428,91585473,91585473,6553371,68471529,68471529
(주)MH에탄올,23150,Dec-19,-7552043,79389077,79389077,-5004935,59477642,59477642
(주)SH에너지화학,2360,Dec-11,1800972,65242326,65242326,3164441,64498684,64498684
(주)SH에너지화학,2360,Dec-12,210854,64881202,64881202,1079738,64888612,64888612
(주)SH에너지화학,2360,Dec-13,4606872,69599141,69599141,4841817,69781889,69781889
(주)SH에너지화학,2360,Dec-14,16733050,84237197,84237197,15569914,83404299,83404299
(주)SH에너지화학,2360,Dec-15,12590617,91646221,91646221,12639344,90740136,90740136
(주)SH에너지화학,2360,Dec-16,18028878,104088887,104088887,17574101,103083032,103083032
(주)SH에너지화학,2360,Dec-17,9879057,107693472,107693472,8905104,105717970,105717970
(주)SH에너지화학,2360,Dec-18,2033570,105390892,105390892,2766802,104065473,104065473
(주)SH에너지화학,2360,Dec-19,-3090151,98999976,98999976,-3151629,97386214,97386214
(주)SIMPAC,9160,Dec-11,24976613,168941269,168941269,21196377,155833324,155833324
(주)SIMPAC,9160,Dec-12,19285856,187860952,,22517068,177830482,177830482
(주)SIMPAC,9160,Dec-13,20043596,208831047,208831047,19196136,197900866,197900866
(주)SIMPAC,9160,Dec-14,14312319,219125252,219125252,10218575,203904919,203904919
(주)SIMPAC,9160,Dec-15,16449973,232007841,232007841,19448583,220087525,220087525
(주)SIMPAC,9160,Dec-16,16183843,240416530,240416530,16444650,228959172,228959172
(주)SIMPAC,9160,Dec-17,12895699,240826100,240826100,7133940,223781988,223781988
(주)SIMPAC,9160,Dec-18,69198558,435032869,435032869,62381304,411119510,411119510
(주)SIMPAC,9160,Dec-19,9487516,441195485,441195485,11507259,419215968,419215968
(주)SNT에너지,100840,Dec-11,,,,-4155767,160595865,160595865
(주)SNT에너지,100840,Dec-12,,,,9087721,183306309,183306309
(주)SNT에너지,100840,Dec-13,,,,16189688,198164671,198164671
(주)SNT에너지,100840,Dec-14,,,,11264253,207712504,207712504
(주)SNT에너지,100840,Dec-15,,,,27029932,231399939,231399939
(주)SNT에너지,100840,Dec-16,,,,1659742,229799567,229799567
(주)SNT에너지,100840,Dec-17,,,,4581777,233817326,233817326
(주)SNT에너지,100840,Dec-18,,,231276490,1825479,231276490,231193081
(주)SNT에너지,100840,Dec-19,15452273,244954910,244954910,14578960,245545053,245545053
(주)SNT홀딩스,36530,Dec-11,87196578,1311007481,1311007481,5766277,387839074,387839074
(주)SNT홀딩스,36530,Dec-12,63253909,1318022867,1318022867,9011145,388611726,388611726
(주)SNT홀딩스,36530,Dec-13,53763061,1374365240,1374365240,8018313,396851717,396851717
(주)SNT홀딩스,36530,Dec-14,66985248,1356040938,1356040938,6891599,398863036,398863036
(주)SNT홀딩스,36530,Dec-15,116419931,1529249091,1529249091,27765789,421925486,421925486
(주)SNT홀딩스,36530,Dec-16,10146568,1530892611,1530892611,6923176,426682947,426682947
(주)SNT홀딩스,36530,Dec-17,25863066,1519293154,1519293154,4172419,425136143,425136143
(주)SNT홀딩스,36530,Dec-18,73732317,1503275496,1503275496,6218079,422573122,422573122
(주)SNT홀딩스,36530,Dec-19,124509305,1625933047,1625933047,9244252,416939604,416939604
(주)STX,11810,Dec-11,222363000,1915942000,1915942000,84657000,1164648000,1164648000
(주)STX,11810,Dec-12,-490928000,1506639000,1506639000,-23863000,1123534000,1123534000
(주)STX,11810,Dec-13,-1595630000,-509663000,-509663000,-1646014000,-522090000,-522090000
(주)STX,11810,Dec-14,380584000,93662000,93662000,334488000,54894000,98087000
(주)STX,11810,Dec-15,-48982000,72342000,72342000,-53449000,72316000,72316000
(주)STX,11810,Dec-16,-457446000,-330596000,-330596000,-456150000,-328883000,-328883000
(주)STX,11810,Dec-17,334386000,42560000,42560000,336179000,44710000,44710000
(주)STX,11810,Dec-18,9107000,64028000,64028000,5024000,62213000,62213000
(주)STX,11810,Dec-19,-33218000,56291000,56291000,-37142000,50616000,50616000
(주)TCC스틸,2710,Dec-11,4557868,225441968,225441968,6828699,205616971,205616971
(주)TCC스틸,2710,Dec-12,124581,225998781,225998781,4206491,209755733,209755733
(주)TCC스틸,2710,Dec-13,-19955830,205738102,205738102,391783,210086242,210086242
(주)TCC스틸,2710,Dec-14,-15813610,189038004,189038004,1022624,210093654,210093654
(주)TCC스틸,2710,Dec-15,-110218983,86012476,86012476,-140083396,76555951,76555951
(주)TCC스틸,2710,Dec-16,16948843,103337634,100863852,15468493,92623510,90149728
(주)TCC스틸,2710,Dec-17,1503708,100915803,100915803,-2328706,89627045,89627045
(주)TCC스틸,2710,Dec-18,9755131,112246210,112246210,7565000,98351707,98351707
(주)TCC스틸,2710,Dec-19,5037267,116843135,116843135,1996130,97501452,97501452
(주)가비아,79940,Dec-11,7014899,48665742,48665742,3262397,24298687,24298687
(주)가비아,79940,Dec-12,9419144,58945247,58945247,5737877,31165211,31165211
(주)가비아,79940,Dec-13,9505713,68600227,68600227,3786937,34822978,34822978
(주)가비아,79940,Dec-14,6752737,75509702,75509702,3076978,38147677,38147677
(주)가비아,79940,Dec-15,8530281,84096148,84096148,4288423,42470259,42470259
(주)가비아,79940,Dec-16,10177685,95951841,95951841,3544032,45413712,45413712
(주)가비아,79940,Dec-17,9669613,99896520,99896520,2493743,47662984,47662984
(주)가비아,79940,Dec-18,15340647,114187490,114187490,2762732,49832912,49832912
(주)가비아,79940,Dec-19,21102390,134959139,134959139,4654769,54084066,54084066
(주)강스템바이오텍,217730,Dec-15,,,,-5754141,21237036,21237036
(주)강스템바이오텍,217730,Dec-16,,,22976911,-8300375,22976911,22976911
(주)강스템바이오텍,217730,Dec-17,-11531949,24482163,23404899,-10855842,24668128,23590864
(주)강스템바이오텍,217730,Dec-18,-14294032,47581374,47581374,-13500909,47944961,47944961
