회사명,거래소코드,회계년도,매출액(IFRS연결),매출원가(IFRS연결),판관비(IFRS연결),당기자본(IFRS연결),전기자본(IFRS연결),매출액(IFRS개별),매출원가(IFRS연결),판관비(IFRS개별),당기자본(IFRS개별),전기자본(IFRS개별)
(주)CMG제약,58820,Dec-11,17751704,10325799,6802089,18034249,18034249,17751704,10325799,6727421,18290915,18290915
(주)CMG제약,58820,Dec-12,16255389,11648690,8812202,31590685,31590685,16255389,11648690,8651838,31602540,31602540
(주)CMG제약,58820,Dec-13,20402140,12506817,7104073,48997281,48997281,20322140,12506817,6992776,49048213,49048213
(주)CMG제약,58820,Dec-14,22752584,14318048,7992213,49002644,49002644,22752584,14318048,7988518,49067039,49067039
(주)CMG제약,58820,Dec-15,27041894,17237814,12376249,46806888,46806888,27041894,17237814,12374958,46872705,46872705
(주)CMG제약,58820,Dec-16,32969825,19663389,11575683,101107635,94895419,32969825,19663389,11575683,101107635,94895419
(주)CMG제약,58820,Dec-17,41535588,23497552,16479429,97944019,97944019,41535588,23497552,16479429,97944019,97944019
(주)CMG제약,58820,Dec-18,49864782,27124841,20172121,103981846,103981846,49864782,27124841,20172121,103981846,103981846
(주)CMG제약,58820,Dec-19,58622681,29700050,26318857,180158283,,58622681,29700050,26318857,180158283,180158283
(주)DB하이텍,990,Dec-11,552216245,460440945,127163621,308061688,308061688,534317238,443140034,126664477,291709498,291709498
(주)DB하이텍,990,Dec-12,590786488,494003057,112405062,290893335,290893335,583901597,486953432,111377822,274553219,274553219
(주)DB하이텍,990,Dec-13,493752028,404500718,98861923,204756748,204756748,493752028,404500718,98644291,197287466,197287466
(주)DB하이텍,990,Dec-14,567718224,430813375,91344601,120702734,120702734,567718224,430813375,91594343,136104062,136104062
(주)DB하이텍,990,Dec-15,666594987,436915515,104710656,254057491,254057491,666594987,436915515,105306648,277662952,277662952
(주)DB하이텍,990,Dec-16,773140180,483129939,117582311,341917315,341917315,773140180,483129939,118222593,364450453,364450453
(주)DB하이텍,990,Dec-17,679737744,426170592,110371984,455797946,455797946,679737744,426170592,111213462,441546809,441546809
(주)DB하이텍,990,Dec-18,669279136,453942755,102343239,558391531,558391531,669279136,453942755,102452079,542557222,542557222
(주)DB하이텍,990,Dec-19,807416423,513292637,112831598,644650730,644650730,807416423,513292637,112967914,645305205,645305205
(주)ES큐브,50120,Dec-11,53379952,38476771,18553426,39245830,39245830,41700477,29104839,14675781,39144414,39144414
(주)ES큐브,50120,Dec-12,55971147,40290541,15591269,39859681,39859681,44178050,31651298,11880913,39881477,39881477
(주)ES큐브,50120,Dec-13,58597361,44088670,15673302,42372440,42372440,45823196,34023346,11582714,43712820,43712820
(주)ES큐브,50120,Dec-14,44459581,34936541,9351950,49628091,49628091,37188072,30573957,6288207,41226335,41226335
(주)ES큐브,50120,Dec-15,42152967,30433006,15780388,49654460,49654460,36887119,30735643,3780907,44872641,44872641
(주)ES큐브,50120,Dec-16,34289385,24454448,7673895,71696122,71696122,34818205,28468888,3989789,69832373,69832373
(주)ES큐브,50120,Dec-17,35745794,26057940,7439335,72816880,72816880,37104908,30497256,4437550,71398467,71398467
