회사명,거래소코드,회계년도,부가가치(IFRS연결),자산(IFRS연결),부가가치(IFRS개별),자산(IFRS개별)
(주)CMG제약,58820,Dec-11,3472.17,27305198,3669.25,27548539
(주)CMG제약,58820,Dec-12,269.31,57108035,-88.04,56988604
(주)CMG제약,58820,Dec-13,6994.9,55912563,6952.08,55961620
(주)CMG제약,58820,Dec-14,7061.34,58068326,7065.04,58127098
(주)CMG제약,58820,Dec-15,4315.37,56532821,4316.8,56591972
(주)CMG제약,58820,Dec-16,10518.86,110979867,10518.86,110979867
(주)CMG제약,58820,Dec-17,13710.01,109568153,13710.01,109568153
(주)CMG제약,58820,Dec-18,16847.65,114379880,16847.65,114379880
(주)CMG제약,58820,Dec-19,19033.25,192243166,19033.25,192243166
(주)DB하이텍,990,Dec-11,217837.57,1199043869,216914,1183957429
(주)DB하이텍,990,Dec-12,245655.23,1157755031,241800.39,1149069244
(주)DB하이텍,990,Dec-13,191554.48,1058391832,198528.8,1049494642
(주)DB하이텍,990,Dec-14,187341.51,984876636,207672.46,1001959816
(주)DB하이텍,990,Dec-15,386127.3,984643712,382610.36,1005673854
(주)DB하이텍,990,Dec-16,341049.1,986788572,336460.47,1006370876
(주)DB하이텍,990,Dec-17,329388.04,993950720,292737.25,977575054
(주)DB하이텍,990,Dec-18,309084.25,1066533840,316543.96,1050696487
(주)DB하이텍,990,Dec-19,379212.5,1088889810,394709.63,1089400761
(주)ES큐브,50120,Dec-11,12044.17,55477032,7961.63,45233434
(주)ES큐브,50120,Dec-12,17991.74,46281660,11617.33,44676182
(주)ES큐브,50120,Dec-13,1434.39,47137573,-5722.54,47509654
(주)ES큐브,50120,Dec-14,5773,56611836,1481.4,44914173
(주)ES큐브,50120,Dec-15,2670.29,55620280,6263.14,47123684
(주)ES큐브,50120,Dec-16,26875.03,105164626,20160.01,104459992
(주)ES큐브,50120,Dec-17,7493.34,105892131,4476.07,104850192
(주)ES큐브,50120,Dec-18,1165.56,112430896,177.01,108481764
(주)ES큐브,50120,Dec-19,-557.97,463958680,-6558.67,136065488
(주)HJ중공업,97230,Dec-11,494018,7036680000,364032,5857119000
(주)HJ중공업,97230,Dec-12,543885,6585093000,488043,5938108000
(주)HJ중공업,97230,Dec-13,358044,6683379000,213438,5839633000
(주)HJ중공업,97230,Dec-14,291365,6470284000,241189,5469810000
(주)HJ중공업,97230,Dec-15,292787,5914637000,171017,4638381000
(주)HJ중공업,97230,Dec-16,221273,5256464000,77014,3921561000
(주)HJ중공업,97230,Dec-17,171765,4206655000,62839,3312303000
(주)HJ중공업,97230,Dec-18,390449,2733620000,-664773,2388369000
(주)HJ중공업,97230,Dec-19,333185,2470222000,291962,2465650000
(주)MH에탄올,23150,Dec-11,8741.25,134206851,12156.15,135927085
(주)MH에탄올,23150,Dec-12,15364.39,134385813,11475.93,139200817
(주)MH에탄올,23150,Dec-13,13050.09,129697936,-10099.69,122520742
(주)MH에탄올,23150,Dec-14,11295.12,85534839,11030.53,85253876
(주)MH에탄올,23150,Dec-15,16454.85,78996052,16452.87,78691328
(주)MH에탄올,23150,Dec-16,17091.29,72339673,16882.88,72025138
(주)MH에탄올,23150,Dec-17,14202.61,500180086,14882.33,107437079
(주)MH에탄올,23150,Dec-18,16853.56,440177523,16047.25,109656889
(주)MH에탄올,23150,Dec-19,22570.7,451474451,5096.55,101058662
(주)SH에너지화학,2360,Dec-11,14210,104710740,14221.3,102383199
(주)SH에너지화학,2360,Dec-12,14518.25,103690070,13164.14,102492810
(주)SH에너지화학,2360,Dec-13,20836.07,110488951,18725.38,109984767
(주)SH에너지화학,2360,Dec-14,37108.64,110741407,33796.55,109098264
(주)SH에너지화학,2360,Dec-15,36388.74,115520726,34895.57,114048206
(주)SH에너지화학,2360,Dec-16,40893.43,124488724,39411.54,122956894
(주)SH에너지화학,2360,Dec-17,29127.7,125312154,27260.32,123261552
(주)SH에너지화학,2360,Dec-18,19920.85,122434685,19849.37,120895795
(주)SH에너지화학,2360,Dec-19,13705.14,123415832,12959.9,121126250
(주)SIMPAC,9160,Dec-11,53726.56,310879328,47745.41,296953131
(주)SIMPAC,9160,Dec-12,43772.07,318665505,45503.45,307366684
(주)SIMPAC,9160,Dec-13,46115.44,361985890,44116.55,349836891
(주)SIMPAC,9160,Dec-14,51704.11,381939281,35041.8,329325876
(주)SIMPAC,9160,Dec-15,59958.15,422833445,48511.4,369348917
(주)SIMPAC,9160,Dec-16,59093.1,417865468,45818.17,366245273
(주)SIMPAC,9160,Dec-17,43282.91,381158251,33411.91,343005145
(주)SIMPAC,9160,Dec-18,114254.96,681750819,94742.34,628334175
(주)SIMPAC,9160,Dec-19,65475.48,679145850,50726.3,608693104
(주)SNT에너지,100840,Dec-11,,,-5072.93,276511841
(주)SNT에너지,100840,Dec-12,,,-3911.2,292802033
(주)SNT에너지,100840,Dec-13,,,36145.24,311675279
(주)SNT에너지,100840,Dec-14,,,31921.1,304511816
(주)SNT에너지,100840,Dec-15,,,53697.45,316196096
(주)SNT에너지,100840,Dec-16,,,21049.19,348042346
