회사명,거래소코드,회계년도,당기순이익(IFRS연결),자산(IFRS연결),당기순이익(IFRS개별),자산(IFRS개별)
(주)CMG제약,58820,Dec-11,-1508282,27305198,-1264488,27548539
(주)CMG제약,58820,Dec-12,-6660149,57108035,-6892739,56988604
(주)CMG제약,58820,Dec-13,296181,55912563,335258,55961620
(주)CMG제약,58820,Dec-14,158039,58068326,171502,58127098
(주)CMG제약,58820,Dec-15,-3650091,56532821,-3648668,56591972
(주)CMG제약,58820,Dec-16,1727895,110979867,1693463,110979867
(주)CMG제약,58820,Dec-17,2834901,109568153,2834901,109568153
(주)CMG제약,58820,Dec-18,6065026,114379880,6065026,114379880
(주)CMG제약,58820,Dec-19,3051177,192243166,3051177,192243166
(주)DB하이텍,990,Dec-11,-97946584,1199043869,-93084414,1183957429
(주)DB하이텍,990,Dec-12,-31341318,1157755031,-32121504,1149069244
(주)DB하이텍,990,Dec-13,-83046768,1058391832,-73243309,1049494642
(주)DB하이텍,990,Dec-14,-77008844,984876636,-58319918,1001959816
(주)DB하이텍,990,Dec-15,126733352,984643712,127469869,1005673854
(주)DB하이텍,990,Dec-16,88344018,986788572,88002359,1006370876
(주)DB하이텍,990,Dec-17,110175089,993950720,74401732,977575054
(주)DB하이텍,990,Dec-18,86828768,1066533840,95087399,1050696487
(주)DB하이텍,990,Dec-19,104637012,1088889810,121159865,1089400761
(주)ES큐브,50120,Dec-11,-4796438,55477032,-2933429,45233434
(주)ES큐브,50120,Dec-12,-359216,46281660,516857,44676182
(주)ES큐브,50120,Dec-13,-16455910,47137573,-14749080,47509654
(주)ES큐브,50120,Dec-14,-615409,56611836,-2412385,44914173
(주)ES큐브,50120,Dec-15,-2307159,55620280,3610344,47123684
(주)ES큐브,50120,Dec-16,21541047,105164626,17469014,104459992
(주)ES큐브,50120,Dec-17,1737925,105892131,1218923,104850192
(주)ES큐브,50120,Dec-18,-6121462,112430896,-3836071,108481764
(주)ES큐브,50120,Dec-19,-13767748,463958680,-12738710,136065488
(주)HJ중공업,97230,Dec-11,-96920000,7036680000,-116272000,5857119000
(주)HJ중공업,97230,Dec-12,-53214000,6585093000,13082000,5938108000
(주)HJ중공업,97230,Dec-13,-190193000,6683379000,-212716000,5839633000
(주)HJ중공업,97230,Dec-14,-299811000,6470284000,-225739000,5469810000
(주)HJ중공업,97230,Dec-15,-260925000,5914637000,-260118000,4638381000
(주)HJ중공업,97230,Dec-16,-334446000,5256464000,-334429000,3921561000
(주)HJ중공업,97230,Dec-17,-277978000,4206655000,-299028000,3312303000
(주)HJ중공업,97230,Dec-18,-1283647000,2733620000,-963474000,2388369000
(주)HJ중공업,97230,Dec-19,306169000,2470222000,-73654000,2465650000
(주)MH에탄올,23150,Dec-11,-4357312,134206851,3351943,135927085
(주)MH에탄올,23150,Dec-12,287369,134385813,2571700,139200817
(주)MH에탄올,23150,Dec-13,7028234,129697936,-11627211,122520742
