회사명,거래소코드,회계년도,당기자산(IFRS연결),전기자산(IFRS연결),당기자산(IFRS개별),전기자산(IFRS개별)
(주)CMG제약,58820,Dec-11,27305198,27305198,27548539,27548539
(주)CMG제약,58820,Dec-12,57108035,57108035,56988604,56988604
(주)CMG제약,58820,Dec-13,55912563,55912563,55961620,55961620
(주)CMG제약,58820,Dec-14,58068326,58068326,58127098,58127098
(주)CMG제약,58820,Dec-15,56532821,56532821,56591972,56591972
(주)CMG제약,58820,Dec-16,110979867,104767651,110979867,104767651
(주)CMG제약,58820,Dec-17,109568153,109568153,109568153,109568153
(주)CMG제약,58820,Dec-18,114379880,114379880,114379880,114379880
(주)CMG제약,58820,Dec-19,192243166,,192243166,192243166
(주)DB하이텍,990,Dec-11,1199043869,1199043869,1183957429,1183957429
(주)DB하이텍,990,Dec-12,1157755031,1157755031,1149069244,1149069244
(주)DB하이텍,990,Dec-13,1058391832,1058391832,1049494642,1049494642
(주)DB하이텍,990,Dec-14,984876636,984876636,1001959816,1001959817
(주)DB하이텍,990,Dec-15,984643712,984643712,1005673854,1005673854
(주)DB하이텍,990,Dec-16,986788572,986788572,1006370876,1006370876
(주)DB하이텍,990,Dec-17,993950720,993950720,977575054,977575054
(주)DB하이텍,990,Dec-18,1066533840,1066533840,1050696487,1050696487
(주)DB하이텍,990,Dec-19,1088889810,1088889810,1089400761,1089400761
(주)ES큐브,50120,Dec-11,55477032,55477032,45233434,45233434
(주)ES큐브,50120,Dec-12,46281660,46281660,44676182,44676182
(주)ES큐브,50120,Dec-13,47137573,47137573,47509654,47509654
(주)ES큐브,50120,Dec-14,56611836,56611836,44914173,44914173
(주)ES큐브,50120,Dec-15,55620280,55620280,47123684,47123684
(주)ES큐브,50120,Dec-16,105164626,105164626,104459992,104459992
(주)ES큐브,50120,Dec-17,105892131,105892131,104850192,104850192
(주)ES큐브,50120,Dec-18,112430896,112430896,108481764,108481764
(주)ES큐브,50120,Dec-19,463958680,463958680,136065488,136065488
(주)HJ중공업,97230,Dec-11,7036680000,7036680000,5857119000,5857119000
(주)HJ중공업,97230,Dec-12,6585093000,6585093000,5938108000,5938108000
(주)HJ중공업,97230,Dec-13,6683379000,6683379000,5839633000,5839633000
(주)HJ중공업,97230,Dec-14,6470284000,6470284000,5469810000,5313157000
(주)HJ중공업,97230,Dec-15,5914637000,5754767000,4638381000,4469215000
(주)HJ중공업,97230,Dec-16,5256464000,5278868000,3921561000,3943966000
(주)HJ중공업,97230,Dec-17,4206655000,4206655000,3312303000,3312303000
(주)HJ중공업,97230,Dec-18,2733620000,2733620000,2388369000,2388369000
(주)HJ중공업,97230,Dec-19,2470222000,2470222000,2465650000,2465650000
(주)MH에탄올,23150,Dec-11,134206851,134206851,135927085,135927085
(주)MH에탄올,23150,Dec-12,134385813,134385813,139200817,139200817
(주)MH에탄올,23150,Dec-13,129697936,129697936,122520742,122520742
(주)MH에탄올,23150,Dec-14,85534839,85534839,85253876,85253876
(주)MH에탄올,23150,Dec-15,78996052,78996052,78691328,78691328
(주)MH에탄올,23150,Dec-16,72339673,72339673,72025138,72025138
(주)MH에탄올,23150,Dec-17,500180086,500180086,107437079,107437079
(주)MH에탄올,23150,Dec-18,440177523,440177523,109656889,109656889
(주)MH에탄올,23150,Dec-19,451474451,451474451,101058662,101058662
(주)SH에너지화학,2360,Dec-11,104710740,104710740,102383199,102383199
(주)SH에너지화학,2360,Dec-12,103690070,103690070,102492810,102492810
(주)SH에너지화학,2360,Dec-13,110488951,110488951,109984767,109984767
(주)SH에너지화학,2360,Dec-14,110741407,110741407,109098264,109098264
(주)SH에너지화학,2360,Dec-15,115520726,115520726,114048206,114048206
(주)SH에너지화학,2360,Dec-16,124488724,124488724,122956894,122956894
(주)SH에너지화학,2360,Dec-17,125312154,125312154,123261552,123261552
(주)SH에너지화학,2360,Dec-18,122434685,122434685,120895795,120895795
(주)SH에너지화학,2360,Dec-19,123415832,123415832,121126250,121126250
(주)SIMPAC,9160,Dec-11,310879328,310879328,296953131,296953131
(주)SIMPAC,9160,Dec-12,318665505,,307366684,307366684
(주)SIMPAC,9160,Dec-13,361985890,361985890,349836891,349836891
(주)SIMPAC,9160,Dec-14,381939281,381939281,329325876,329325876
(주)SIMPAC,9160,Dec-15,422833445,422833445,369348917,369348917
(주)SIMPAC,9160,Dec-16,417865468,417865468,366245273,366245273
(주)SIMPAC,9160,Dec-17,381158251,381158251,343005145,343005145
(주)SIMPAC,9160,Dec-18,681750819,681750819,628334175,628334175
(주)SIMPAC,9160,Dec-19,679145850,679145850,608693104,608693104
(주)SNT에너지,100840,Dec-11,,,276511841,276511841
(주)SNT에너지,100840,Dec-12,,,292802033,292802033
(주)SNT에너지,100840,Dec-13,,,311675279,311675279
(주)SNT에너지,100840,Dec-14,,,304511816,304511816
(주)SNT에너지,100840,Dec-15,,,316196096,316196096
(주)SNT에너지,100840,Dec-16,,,348042346,348042346
(주)SNT에너지,100840,Dec-17,,,300266693,300266693
(주)SNT에너지,100840,Dec-18,,280991534,280991534,280908125
(주)SNT에너지,100840,Dec-19,333897235,333897235,331391237,331391237
(주)SNT홀딩스,36530,Dec-11,2124828265,2124828265,388123974,388123974
(주)SNT홀딩스,36530,Dec-12,2074903906,2074903906,388964716,388964716
(주)SNT홀딩스,36530,Dec-13,2149176237,2149176237,397336142,397336142
(주)SNT홀딩스,36530,Dec-14,2039388864,2039388864,399244416,399244416
(주)SNT홀딩스,36530,Dec-15,2169311305,2169311305,430584006,430584006
(주)SNT홀딩스,36530,Dec-16,2210178425,2210178425,427001710,427001710
(주)SNT홀딩스,36530,Dec-17,2146174938,2146174938,425435423,425435423
(주)SNT홀딩스,36530,Dec-18,2113834573,2113834573,422804813,422804813
(주)SNT홀딩스,36530,Dec-19,2236679025,2236679025,417172874,417172874
(주)STX,11810,Dec-11,5234175000,5234175000,3302248000,3302248000
(주)STX,11810,Dec-12,5067029000,5067029000,3226878000,3226878000
(주)STX,11810,Dec-13,1342520000,1342520000,1086567000,1086567000
(주)STX,11810,Dec-14,1255002000,1255002000,1070433000,1113626000
(주)STX,11810,Dec-15,1267224000,1267224000,1057543000,1057543000
(주)STX,11810,Dec-16,707709000,707709000,627686000,627686000
(주)STX,11810,Dec-17,627542000,627542000,520393000,520393000
(주)STX,11810,Dec-18,554061000,554061000,446758000,446758000
(주)STX,11810,Dec-19,560107000,560107000,462734000,462734000
(주)TCC스틸,2710,Dec-11,454329510,454329510,407743559,407743559
(주)TCC스틸,2710,Dec-12,547013976,547013976,438642951,438642951
(주)TCC스틸,2710,Dec-13,543708595,543708595,444204925,444204925
(주)TCC스틸,2710,Dec-14,551000563,551000563,461297588,461297588
(주)TCC스틸,2710,Dec-15,376394571,376394571,330651742,330651742
(주)TCC스틸,2710,Dec-16,282914735,286074924,250878191,250878191
(주)TCC스틸,2710,Dec-17,278692540,278692540,248896237,248896237
(주)TCC스틸,2710,Dec-18,304781579,304781579,268135677,268135677
(주)TCC스틸,2710,Dec-19,314210087,314210087,270265082,270265082
(주)가비아,79940,Dec-11,64954440,64954440,37295822,37295822
(주)가비아,79940,Dec-12,85244515,85244515,51795749,51795749
(주)가비아,79940,Dec-13,91231294,91231294,52151784,52151784
(주)가비아,79940,Dec-14,98544072,98544072,55984243,55984243
(주)가비아,79940,Dec-15,105081568,105081568,57657418,57657418
(주)가비아,79940,Dec-16,125796754,125796754,61160981,61160981
(주)가비아,79940,Dec-17,133382584,133382584,64986436,64986436
(주)가비아,79940,Dec-18,151440505,151440505,69315988,69315988
(주)가비아,79940,Dec-19,199916131,199916131,82964911,82964911
(주)강스템바이오텍,217730,Dec-15,,,24982626,24982626
(주)강스템바이오텍,217730,Dec-16,,47441769,47441769,47441769
(주)강스템바이오텍,217730,Dec-17,47198979,45914104,44508729,43223854
(주)강스템바이오텍,217730,Dec-18,73194018,73194018,66184838,66184838
(주)강스템바이오텍,217730,Dec-19,113643697,113643697,98625925,98625925
(주)강원랜드,35250,Dec-11,2711401782,2711401782,2730283806,2730283806
(주)강원랜드,35250,Dec-12,2906655321,2906655321,2915385756,2915385756
(주)강원랜드,35250,Dec-13,3102036846,3102036846,3105430200,3105430200
(주)강원랜드,35250,Dec-14,3375127289,3375127289,3380461682,3380461682
(주)강원랜드,35250,Dec-15,3690791830,3690791830,3688060027,3688060027
(주)강원랜드,35250,Dec-16,3978987574,3978987574,3975979890,3975979890
(주)강원랜드,35250,Dec-17,4185657487,4185657487,4182527382,4182527382
(주)강원랜드,35250,Dec-18,4231241354,4231241354,4229630541,4229630541
(주)강원랜드,35250,Dec-19,4438119306,4438119306,4436461953,4436461953
(주)강원에너지,114190,Nov-11,,,53719067,53719067
(주)강원에너지,114190,Dec-12,,,89258208,89258208
(주)강원에너지,114190,Dec-13,,,72441333,72441333
(주)강원에너지,114190,Dec-14,,67037639,67037639,67037639
(주)강원에너지,114190,Dec-15,85457457,85457457,80939019,80939019
(주)강원에너지,114190,Dec-16,77186606,77186606,70850137,70850137
(주)강원에너지,114190,Dec-17,93179394,93179394,87781416,87781416
(주)강원에너지,114190,Dec-18,93845576,93845576,89619750,89619750
(주)강원에너지,114190,Dec-19,56602063,56300419,55106032,54804389
(주)갤럭시아에스엠,11420,Dec-11,45110356,45110356,40711969,40711969
(주)갤럭시아에스엠,11420,Dec-12,43979072,43979072,40169876,40169876
(주)갤럭시아에스엠,11420,Dec-13,37636664,37636664,34158874,34158874
(주)갤럭시아에스엠,11420,Dec-14,45274078,45274078,40528250,40528250
(주)갤럭시아에스엠,11420,Dec-15,68686992,68686992,67196553,66270377
(주)갤럭시아에스엠,11420,Dec-16,58444606,58444606,55825556,55825556
(주)갤럭시아에스엠,11420,Dec-17,49831109,49831109,48958128,48958128
(주)갤럭시아에스엠,11420,Dec-18,33253331,33253331,33337692,33337692
(주)갤럭시아에스엠,11420,Dec-19,28241598,,28241598,28241598
(주)경농,2100,Dec-11,173774102,173774102,176741869,176741869
(주)경농,2100,Dec-12,269412832,,203467698,203467698
(주)경농,2100,Dec-13,255984725,255984725,214988593,214988593
(주)경농,2100,Dec-14,284623063,284623063,230870852,230870852
(주)경농,2100,Dec-15,316341853,316341853,265109291,265109291
(주)경농,2100,Dec-16,320915151,320915151,266622289,266622289
(주)경농,2100,Dec-17,335873898,335873898,268967010,268967010
(주)경농,2100,Dec-18,357260541,357260541,285031873,285031873
(주)경농,2100,Dec-19,370874091,370874091,297197088,297197088
(주)경동나비엔,9450,Dec-11,263211016,263211016,224373470,224373470
(주)경동나비엔,9450,Dec-12,299729837,,254627468,254627468
(주)경동나비엔,9450,Dec-13,354779867,354779867,301475800,301475800
(주)경동나비엔,9450,Dec-14,401658957,401658957,331089242,331089242
(주)경동나비엔,9450,Dec-15,402084368,402084368,324848990,324848990
(주)경동나비엔,9450,Dec-16,429754702,429754702,347643876,347643876
(주)경동나비엔,9450,Dec-17,503697210,503697210,391400492,391400492
(주)경동나비엔,9450,Dec-18,583595818,583595818,440513661,440513661
(주)경동나비엔,9450,Dec-19,609808343,609808343,461607017,461607017
(주)경동도시가스,267290,Dec-17,710280194,710280194,707917077,707917077
(주)경동도시가스,267290,Dec-18,778269612,778269612,775880913,775880913
(주)경동도시가스,267290,Dec-19,749999474,749999474,747453908,747453908
(주)경동인베스트,12320,Dec-11,1001490869,1001490869,941176098,941176098
(주)경동인베스트,12320,Dec-12,1209924561,1209924561,1168400020,1168400020
(주)경동인베스트,12320,Dec-13,1205008353,1207295886,1161427092,1161427092
(주)경동인베스트,12320,Dec-14,1320789066,1320789066,1101071366,1101071366
(주)경동인베스트,12320,Dec-15,1167819522,1167819522,926392697,926392697
(주)경동인베스트,12320,Dec-16,1126122628,1126122628,903818865,903818865
(주)경동인베스트,12320,Dec-17,599276331,599276331,318031347,318031347
(주)경동인베스트,12320,Dec-18,592002536,600099804,318776653,318776653
(주)경동인베스트,12320,Dec-19,605467383,605467383,316572482,316572482
(주)경방,50,Dec-11,1352324332,1352324332,1331930968,1331930968
(주)경방,50,Dec-12,1335039930,1335039930,1301719900,1301719900
(주)경방,50,Dec-13,1296989142,1296989142,1261257414,1261257414
(주)경방,50,Dec-14,1301841379,1301841379,1275008413,1275008413
(주)경방,50,Dec-15,1318643312,1318643312,1259512344,1259512344
(주)경방,50,Dec-16,1301910960,1301910960,1237024388,1237024388
(주)경방,50,Dec-17,1274042237,1274042237,1199063663,1199063663
(주)경방,50,Dec-18,1301792841,1301792841,1226545382,1226545382
(주)경방,50,Dec-19,1370742491,1370742491,1296265431,1296265431
(주)경보제약,214390,Dec-15,,,195488457,195488457
(주)경보제약,214390,Dec-16,,,203735980,203735980
(주)경보제약,214390,Dec-17,,,204869399,204869399
(주)경보제약,214390,Dec-18,,,221622993,221622993
(주)경보제약,214390,Dec-19,,,237816742,237816742
(주)경인양행,12610,Dec-11,319596954,319686464,245825940,245825940
(주)경인양행,12610,Dec-12,287452678,287452678,241045608,241045608
(주)경인양행,12610,Dec-13,316944796,316944796,274570963,274570963
(주)경인양행,12610,Dec-14,313039125,313039125,267331084,267331084
(주)경인양행,12610,Dec-15,326687437,326687437,273778266,273778266
(주)경인양행,12610,Dec-16,344298515,344298515,290035389,290035389
(주)경인양행,12610,Dec-17,357951470,357951470,296909084,296909084
