회사명,거래소코드,회계년도,매출액(IFRS연결),자산(IFRS연결),매출액(IFRS개별),자산(IFRS개별)
(주)CMG제약,58820,Dec-11,17751704,27305198,17751704,27548539
(주)CMG제약,58820,Dec-12,16255389,57108035,16255389,56988604
(주)CMG제약,58820,Dec-13,20402140,55912563,20322140,55961620
(주)CMG제약,58820,Dec-14,22752584,58068326,22752584,58127098
(주)CMG제약,58820,Dec-15,27041894,56532821,27041894,56591972
(주)CMG제약,58820,Dec-16,32969825,110979867,32969825,110979867
(주)CMG제약,58820,Dec-17,41535588,109568153,41535588,109568153
(주)CMG제약,58820,Dec-18,49864782,114379880,49864782,114379880
(주)CMG제약,58820,Dec-19,58622681,192243166,58622681,192243166
(주)DB하이텍,990,Dec-11,552216245,1199043869,534317238,1183957429
(주)DB하이텍,990,Dec-12,590786488,1157755031,583901597,1149069244
(주)DB하이텍,990,Dec-13,493752028,1058391832,493752028,1049494642
(주)DB하이텍,990,Dec-14,567718224,984876636,567718224,1001959816
(주)DB하이텍,990,Dec-15,666594987,984643712,666594987,1005673854
(주)DB하이텍,990,Dec-16,773140180,986788572,773140180,1006370876
(주)DB하이텍,990,Dec-17,679737744,993950720,679737744,977575054
(주)DB하이텍,990,Dec-18,669279136,1066533840,669279136,1050696487
(주)DB하이텍,990,Dec-19,807416423,1088889810,807416423,1089400761
(주)ES큐브,50120,Dec-11,53379952,55477032,41700477,45233434
(주)ES큐브,50120,Dec-12,55971147,46281660,44178050,44676182
(주)ES큐브,50120,Dec-13,58597361,47137573,45823196,47509654
(주)ES큐브,50120,Dec-14,44459581,56611836,37188072,44914173
(주)ES큐브,50120,Dec-15,42152967,55620280,36887119,47123684
(주)ES큐브,50120,Dec-16,34289385,105164626,34818205,104459992
(주)ES큐브,50120,Dec-17,35745794,105892131,37104908,104850192
(주)ES큐브,50120,Dec-18,33763508,112430896,31308873,108481764
(주)ES큐브,50120,Dec-19,43708239,463958680,28527284,136065488
(주)HJ중공업,97230,Dec-11,2891499000,7036680000,2316017000,5857119000
(주)HJ중공업,97230,Dec-12,2549319000,6585093000,1980761000,5938108000
(주)HJ중공업,97230,Dec-13,2529341000,6683379000,1927307000,5839633000
(주)HJ중공업,97230,Dec-14,2520325000,6470284000,1799016000,5469810000
(주)HJ중공업,97230,Dec-15,3115473000,5914637000,2041347000,4638381000
(주)HJ중공업,97230,Dec-16,2813271000,5256464000,1928591000,3921561000
(주)HJ중공업,97230,Dec-17,2452314000,4206655000,1737428000,3312303000
(주)HJ중공업,97230,Dec-18,1697869000,2733620000,1750954000,2388369000
(주)HJ중공업,97230,Dec-19,1628751000,2470222000,1609530000,2465650000
(주)MH에탄올,23150,Dec-11,44785159,134206851,43206995,135927085
(주)MH에탄올,23150,Dec-12,59768175,134385813,45488675,139200817
(주)MH에탄올,23150,Dec-13,62199887,129697936,46298516,122520742
(주)MH에탄올,23150,Dec-14,48983781,85534839,48983781,85253876
(주)MH에탄올,23150,Dec-15,50386203,78996052,50386203,78691328
(주)MH에탄올,23150,Dec-16,48897025,72339673,48897025,72025138
(주)MH에탄올,23150,Dec-17,51977132,500180086,48270464,107437079
(주)MH에탄올,23150,Dec-18,72795863,440177523,46943080,109656889
(주)MH에탄올,23150,Dec-19,80879342,451474451,46992295,101058662
(주)SH에너지화학,2360,Dec-11,173209351,104710740,172752632,102383199
(주)SH에너지화학,2360,Dec-12,193950102,103690070,191907628,102492810
(주)SH에너지화학,2360,Dec-13,231912218,110488951,229783541,109984767
(주)SH에너지화학,2360,Dec-14,230912587,110741407,226971465,109098264
(주)SH에너지화학,2360,Dec-15,216441364,115520726,213882181,114048206
(주)SH에너지화학,2360,Dec-16,218397677,124488724,214380015,122956894
(주)SH에너지화학,2360,Dec-17,188114822,125312154,184672638,123261552
(주)SH에너지화학,2360,Dec-18,183598766,122434685,180753289,120895795
(주)SH에너지화학,2360,Dec-19,140852575,123415832,138161816,121126250
(주)SIMPAC,9160,Dec-11,215365697,310879328,213867522,296953131
(주)SIMPAC,9160,Dec-12,225353321,318665505,223854758,307366684
(주)SIMPAC,9160,Dec-13,205751154,361985890,204527751,349836891
(주)SIMPAC,9160,Dec-14,263152264,381939281,227491803,329325876
(주)SIMPAC,9160,Dec-15,269528038,422833445,213152303,369348917
(주)SIMPAC,9160,Dec-16,267074156,417865468,215839356,366245273
(주)SIMPAC,9160,Dec-17,230634812,381158251,203150228,343005145
(주)SIMPAC,9160,Dec-18,306150809,681750819,268863854,628334175
(주)SIMPAC,9160,Dec-19,430085162,679145850,391970769,608693104
(주)SNT에너지,100840,Dec-11,,,195318747,276511841
(주)SNT에너지,100840,Dec-12,,,230707564,292802033
(주)SNT에너지,100840,Dec-13,,,200750984,311675279
(주)SNT에너지,100840,Dec-14,,,242746888,304511816
(주)SNT에너지,100840,Dec-15,,,260094045,316196096
(주)SNT에너지,100840,Dec-16,,,254089906,348042346
(주)SNT에너지,100840,Dec-17,,,184091945,300266693
(주)SNT에너지,100840,Dec-18,,,139516396,280991534
